,metrics,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
0,rouge1_fmeasure,0.676812370904058,0.6726512771716221,0.6906729499213129,0.646799650123651,0.5571655163662039,0.6468235811741232,0.685733603058959,0.7033651338206778,0.6679555769446942,0.6382304129840659,0.6696959571015063,0.7023057457354429,0.6645214712019447,0.6099319458007812,0.6690833002543278,0.6857203202281924,0.6389898396224427,0.6903421415699472,0.6143550735583408,0.6463199862473302,0.5910533109157206,0.7058351365782374,0.6764080129939017,0.6575743860478024,0.6797472727384498,0.6918813033069638,0.6770746793678338,0.6967536322504496,0.6489478461176371,0.6647544696176653,0.6440915992791704,0.6907591236581048,0.666550999922718,0.6960030974244042,0.639314116333886,0.6605293767915356,0.6257697455316996,0.659816440060842,0.6788129189031588,0.6541537826867412,0.6264919034011073,0.694450652856621,0.6859277409615276,0.699381547008487,0.6615465013243311,0.6714665803977912,0.6602605915755677,0.6762831434071492,0.6852292945916704,0.676258443928451,0.6518435032247639,0.6727471660367019,0.6847787761002135,0.6703363871402878,0.6428660111461612,0.6612738739672325,0.6831510804539962,0.6890772538219424,0.6851566781242975,0.6621191999037489,0.6737625341621234,0.670185445881576,0.6787637394966839
1,rouge1_precision,0.7896203240044684,0.780392269436404,0.7589008688069075,0.7773730051603248,0.6141430422556486,0.7785289956511353,0.8025457807582059,0.8076316229731059,0.7979420174797662,0.732779249012899,0.7951196354927776,0.7975301399505396,0.7949375180031756,0.6952712793144391,0.7960054136866288,0.8057345932336162,0.7045720052376068,0.7986287727630396,0.7183737994955598,0.7776053449232802,0.6853053689860612,0.8161250052692222,0.8061988336576832,0.7622502827815872,0.8056293185666311,0.8160618843792153,0.7711695938659229,0.8153912660886915,0.766062345436151,0.7968371823537264,0.7557440558783441,0.8121826391425921,0.753780941311404,0.808931693756323,0.7533664840588467,0.7929611206054688,0.7309293678338579,0.764065365139529,0.8047447479028496,0.7497500412755733,0.7437805066005789,0.8188601706525405,0.7883085621346673,0.8187476508051371,0.782893832638967,0.8035821708843862,0.7762249733904283,0.7908801071935421,0.8138039678120784,0.7856440372604261,0.776142477131576,0.7846412384252754,0.8118922830485612,0.7736082008416704,0.7647240727925472,0.7775972764269053,0.8013367138320594,0.8176659783013434,0.7983919870939186,0.7886789994274112,0.7956705436432104,0.7902819955949303,0.8025585695993986
2,rouge1_recall,0.6289088297233307,0.6283235069659117,0.6845235481536646,0.582797427829221,0.5613155776648213,0.5818299766924742,0.6343405744154677,0.6645842627655688,0.6054560160465378,0.6065923018421201,0.6126283055586781,0.6742235910978248,0.600410186987129,0.5892065583373145,0.6088519199289006,0.6331304646224427,0.6359998853944189,0.6523107624740052,0.5718221321380396,0.5817950132081835,0.5628615454804126,0.6625192765709308,0.613841653727799,0.6172546276943289,0.621694002220099,0.6358587141517255,0.647289413342373,0.6475287238470941,0.596070708130761,0.6007253523353192,0.5985766074640287,0.636868977718216,0.6454370073277316,0.652754419999157,0.5891229643238535,0.5953083175549404,0.5875769965082621,0.6196039872203799,0.6212749343981846,0.6265193472663275,0.5740475551687556,0.6379040505388658,0.6492216261170751,0.6490703006442502,0.6056630525657599,0.6073582052326888,0.6107120651135342,0.6272974906207847,0.6257426858805925,0.6342527540467626,0.5939863465672774,0.6267785271294684,0.6261832148051091,0.6353835510693008,0.5866478570073629,0.6117563590728979,0.6315032080780688,0.6293737836878934,0.6397370811846617,0.6025741357597516,0.6195034328982126,0.6176964739243761,0.622983479671341
3,rouge2_fmeasure,0.595723927449837,0.5855941223583633,0.6115098033877585,0.5494172350108195,0.434682914678999,0.5491137607492131,0.6074205576944695,0.6335241743128934,0.5824382974089478,0.5429857103087061,0.5854258914645627,0.6307032742946268,0.5747861793572954,0.5052228968778103,0.58122906581961,0.6093780737129046,0.546646173051793,0.6159399567748145,0.506737908013433,0.5488212091459644,0.4789591178619604,0.6374622043088186,0.594220223186685,0.5691624922718076,0.5991900327394335,0.6185447637983363,0.5978684459658835,0.6250530215476057,0.5557583047331666,0.5773082156833127,0.550417783449022,0.6159126775727856,0.5837747038697167,0.6230644939614715,0.5421576740072785,0.5693777070628653,0.5255345406292153,0.5730060055959139,0.599597903464338,0.5683337424298842,0.5230123396400067,0.6219063628491738,0.6098047160416198,0.6288890152526416,0.5737489659151584,0.5868970473035634,0.5722679302846785,0.5962898199506801,0.6087896772425809,0.5974409803212117,0.5593234823762084,0.5913535468012309,0.607273403689158,0.5898156474820144,0.5462638251215434,0.575035369653496,0.6058023576256183,0.6140907891362691,0.6092765862993199,0.5742168289294346,0.5928733331694019,0.5875279817649787,0.5997441792659622
4,rouge2_precision,0.7010971179111398,0.6864361660085994,0.6772425809352518,0.6685340936235387,0.4887539980222853,0.6689199543685365,0.7166935762913107,0.7324081530673898,0.7023115638348696,0.6304032030723078,0.7013881326579362,0.721424075339338,0.6949233459911758,0.5857019767486792,0.6985907245882981,0.7217863343602462,0.6088398995159341,0.7177408890758487,0.6010050602096448,0.668454286863478,0.5659630864644222,0.7420054922858588,0.7144705134330036,0.6667815832782993,0.7162559564165074,0.7348984642852124,0.686351913342373,0.7364295026381239,0.6626972225930193,0.6986788193956553,0.6529963651149393,0.7296191428205092,0.6666747717548618,0.7292252684668671,0.6472215172198179,0.6909774670497977,0.6234320770922325,0.6693523050212175,0.7166336937773999,0.6576487589225495,0.6297331336590883,0.7385010204726844,0.706240043365698,0.7412338256835938,0.6856716348112916,0.7088238832761915,0.6797783940816097,0.702705108862129,0.728392182494239,0.6994825404324978,0.6728775243964984,0.6958957919113927,0.7256676653306261,0.6869108351014501,0.6581299596553226,0.6824671793327057,0.7162371299249662,0.7340485826670695,0.7155137096377585,0.690816206897763,0.7057689968630564,0.6991887812991794,0.7148482507938961
5,rouge2_recall,0.5504531860351562,0.543036261908442,0.6030632952134386,0.4905777526416366,0.4313290273542884,0.4895582130487017,0.5588929979063624,0.5960135151156418,0.5246437127641637,0.5122942478536702,0.5324456743199191,0.6027497764971617,0.5153800909467738,0.4816083839471392,0.5251929193949528,0.5596713608117412,0.5404452865929912,0.5794919240388939,0.4668942458338017,0.4895627687303282,0.4494498273451551,0.5958060394945762,0.5360956535064917,0.5304654347810814,0.544990759101703,0.565843101885679,0.5687603298708689,0.578465688142845,0.5072389232168952,0.518318395820453,0.5078180985485049,0.5651715505037377,0.5613931889156644,0.5819047337813343,0.4948903365100888,0.5091245911961837,0.4875701245644109,0.535146040882138,0.5458836727005114,0.5408546941743481,0.4743110052973246,0.5687630193696606,0.5743954884920189,0.5811889977763882,0.5219797916549573,0.5275991426097403,0.5257213784636353,0.5505346943148606,0.5533597109129103,0.5576608781334308,0.5063485893414175,0.547813689965996,0.5524838125105385,0.5556189996733082,0.4939050468609487,0.5288873576431823,0.5572407125569075,0.5583033390182386,0.5661096367046987,0.51921860948741,0.5424646610836331,0.5383243698010342,0.5477089092885847
6,rougeL_fmeasure,0.4355013181837343,0.4280141652059212,0.4581949247730721,0.4030423061453181,0.3486059449559493,0.4041873739777709,0.4399275196541985,0.4662219809113646,0.4225048641506717,0.4009429876752894,0.4276328875864152,0.4646894605897313,0.4170327495327956,0.3787884060427439,0.4241505080847431,0.4519786971936123,0.4103122409299123,0.458428087851984,0.3815884487234431,0.4035527620384161,0.3685815660215968,0.466379344034538,0.4300578000734178,0.4167446438357127,0.4342079437036308,0.4509717817786786,0.4416496496406391,0.4593457558172212,0.4114090624473078,0.4202155243578575,0.4073699841396414,0.4539064091744182,0.4305200919830542,0.458945761481635,0.3994678524758318,0.4157152793390288,0.3918805293899646,0.4244373239201607,0.4440030159710122,0.4236799830155407,0.3899524606389107,0.45240940121438,0.446307504777428,0.4601182457354429,0.4198508502768098,0.4263245287559015,0.4182008976558987,0.4384989566940198,0.4465911920122105,0.4402712266222178,0.4117962404978361,0.434715435659285,0.4485077068960066,0.4341183394836865,0.4013613145128428,0.4249881222951326,0.4439693423483869,0.4477047817312556,0.446910501384049,0.4192704399712652,0.4349869652617749,0.4323530677411196,0.4401156199064186
7,rougeL_precision,0.5158735865311657,0.5039446714113085,0.5111055991632475,0.4917238633409678,0.3878896699534903,0.4938883061031643,0.5224973829530126,0.5437453016102742,0.5121637248306823,0.4656775495131239,0.5154914032641075,0.5366101162039119,0.5063288846461893,0.4368334159576635,0.5122822823284341,0.5396592942930811,0.4583213037724117,0.539124907349511,0.4514985667715827,0.4928039989883093,0.4321572008750421,0.5477288884224651,0.5201218419795414,0.4897959318092401,0.5224337131857014,0.5402727195684859,0.510621489380761,0.5460215506793784,0.4918279304778833,0.5109540541395009,0.4844377915636241,0.54255023105539,0.493959385714085,0.5419632616660578,0.4771268007566603,0.5064464541647932,0.4635734832544121,0.4991631267739714,0.5349371930678114,0.4931804739314017,0.4692756597944301,0.5419214921031924,0.5207116106431261,0.5469475615796425,0.5041338694181373,0.5176204434401698,0.49893375094846,0.5207583201017311,0.5385403530203181,0.5196551316076046,0.4975482748566771,0.5149598155947898,0.5402699202942334,0.508719190419149,0.4843856482197055,0.5081166329143716,0.5290870940942558,0.5395360713382419,0.52921964796327,0.5070880917336443,0.5217863672928844,0.5184530903109543,0.5287891086056936
8,rougeL_recall,0.4000715351790833,0.3956446750558537,0.4489247438718947,0.3593534291219368,0.348836967413374,0.3595940569321886,0.4025234798733279,0.4354920970450202,0.3789262016900152,0.3778313012431851,0.3868364018501995,0.4402656555175781,0.37279526964366,0.3631078322156728,0.3816640016843947,0.4121572371009442,0.4044491061203771,0.427619275429266,0.351991118287011,0.3594559045146695,0.3482218680621908,0.4328735955327535,0.3860912460217373,0.3871085352177242,0.3928690848590658,0.4095792701776079,0.4172145376960151,0.4220727879366429,0.374224107042491,0.3758016078592204,0.3748416214538135,0.4132371257534987,0.4121896208619042,0.4252479882549039,0.3643780989612606,0.3706987504478838,0.3645841475013349,0.3939443903861286,0.4012910582178788,0.4009119761075905,0.3536634925458071,0.4108948193008093,0.4176036917048392,0.4223917954259639,0.3801932575033723,0.3815680853754496,0.3825821361953406,0.4021274374543334,0.4032921276504187,0.4080036629875787,0.3710481931837343,0.4001198089380058,0.4051523002789174,0.4066002111640766,0.3623346013130901,0.3881291725652681,0.4054919729987494,0.4044362075037236,0.4122847961864883,0.3772992195842935,0.3952969887273774,0.3934359927829221,0.3990800432164034
9,rougeLsum_fmeasure,0.5996694770648325,0.5867648776486624,0.6101637915741626,0.5657297038345885,0.4814779706996122,0.5663473005775067,0.6055891736805867,0.6282647222066097,0.5872742357871515,0.5598459037945425,0.5927496711127191,0.620324333794683,0.5830721409200764,0.5290348958626068,0.5865829248222516,0.6111478736932329,0.5599193435778721,0.6134355394102686,0.5344457832171763,0.5655200327043053,0.5129651405828463,0.6276964146456272,0.5959974878983532,0.5764421970724202,0.5985841819708296,0.6175702321443627,0.5997310062106564,0.621180692165018,0.5719267481522594,0.5841080919444133,0.5659459614925247,0.6123024919907823,0.583205737655969,0.6170102675184072,0.5573773830057048,0.5795447809233082,0.5438096300303508,0.5828642810848977,0.6043831255796145,0.5760777425422943,0.5454581281264052,0.618810036199556,0.6073856490979092,0.6235058462019447,0.5837045573502135,0.5905890704916535,0.5799729052207453,0.6010392552657093,0.6102223018948123,0.598891278822645,0.5740248865360836,0.5940731240691041,0.6089613111756689,0.5904556384189523,0.5603071253934353,0.5851755485260229,0.606835564263433,0.6122217521393042,0.6069187191750506,0.5839297068204811,0.5983247825567671,0.5917242036448965,0.6025495460565141
