,luhn_algorithm summary
0,"The company said it was unable to estimate the amount it needed to set aside for legal reserves, which it previously set at $500m. It intends to adjust the way it accounts for a deal with German music publisher Bertelsmann's purchase of a stake in AOL Europe, which it had reported as advertising revenue.But its film division saw profits slump 27% to $284m, helped by box-office flops Alexander and Catwoman, a sharp contrast to year-earlier, when the third and final film in the Lord of the Rings trilogy boosted results.""Our financial performance was strong, meeting or exceeding all of our full-year objectives and greatly enhancing our flexibility,"" chairman and chief executive Richard Parsons said.It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.Ad sales boost Time Warner profit

Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (Â£600m) for the three months to December, from $639m year-earlier.

TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues."
1,"On Friday, Federal Reserve chairman Mr Greenspan's speech in London ahead of the meeting of G7 finance ministers sent the dollar higher after it had earlier tumbled on the back of worse-than-expected US jobs data.In the meantime, the US Federal Reserve's decision on 2 February to boost interest rates by a quarter of a point - the sixth such move in as many months - has opened up a differential with European rates.The recent falls have partly been the result of big budget deficits, as well as the US's yawning current account gap, both of which need to be funded by the buying of US bonds and assets by foreign firms and governments.China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive.""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York.Dollar gains on Greenspan speech

The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.

But calls for a shift in Beijing's policy have fallen on deaf ears, despite recent comments in a major Chinese newspaper that the ""time is ripe"" for a loosening of the peg."
2,"Menatep Group's managing director Tim Osborne told the Reuters news agency: ""If they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.""The pledged assets are with Rosneft, so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,"" said Moscow-based US lawyer Jamie Firestone, who is not connected to the case.Yukos claims its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky and has vowed to sue any participant in the sale.
State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos.Yukos had filed for bankruptcy protection in a US court in an attempt to prevent the forced sale of its main production arm.The owners of embattled Russian oil giant Yukos are to ask the buyer of its former production unit to pay back a $900m (Â£479m) loan.

The sale went ahead in December and Yugansk was sold to a little-known shell company which in turn was bought by Rosneft."
3,"Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - Â£160m - will still be way short of its additional fuel costs - a predicted extra Â£250m. Turnover for the quarter was up 4.3% to Â£1.97bn, further benefiting from a rise in cargo revenue.High fuel prices hit BA's profits

British Airways has blamed high fuel prices for a 40% drop in profits.

Reporting its results for the three months to 31 December 2004, the airline made a pre-tax profit of Â£75m ($141m) compared with Â£125m a year earlier.Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers.""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said.""It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said.""Our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" Mr Eddington said.In October, it increased this from Â£6 to Â£10 one-way for all long-haul flights, while the short-haul surcharge was raised from Â£2.50 to Â£4 a leg."
4,"Allied Domecq's big names include Malibu rum, Courvoisier brandy, Stolichnaya vodka and Ballantine's whisky - as well as snack food chains such as Dunkin' Donuts and Baskin-Robbins ice cream.Pernod takeover talk lifts Domecq

Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.

Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.
In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of Â£5.7bn ($10.7bn; 8.2bn euros).Reports in the Wall Street Journal and the Financial Times suggested that the French spirits firm is considering a bid, but has yet to contact its target.Pernod is home to brands including Chivas Regal Scotch whisky, Havana Club rum and Jacob's Creek wine.Last year Pernod tried to buy Glenmorangie, one of Scotland's premier whisky firms, but lost out to luxury goods firm LVMH."
5,"""I maintain the view that Japan's economy remains in a minor adjustment phase in an upward climb, and we will monitor developments carefully,"" said economy minister Heizo Takenaka.Japan narrowly escapes recession

Japan's economy teetered on the brink of a technical recession in the three months to September, figures show.

But in the face of the strengthening yen making exports less competitive and indications of weakening economic conditions ahead, observers were less sanguine.""It's painting a picture of a recovery... much patchier than previously thought,"" said Paul Sheard, economist at Lehman Brothers in Tokyo.Improvements in the job market apparently have yet to feed through to domestic demand, with private consumption up just 0.2% in the third quarter.
On an annual basis, the data suggests annual growth of just 0.2%, suggesting a much more hesitant recovery than had previously been thought.A common technical definition of a recession is two successive quarters of negative growth.

"
6,"""It suggests that employment is continuing to expand at a moderate pace,"" said Rick Egelton, deputy chief economist at BMO Financial Group.""The economy is producing a moderate but not a satisfying amount of job growth,"" said Ken Mayland, president of ClearView Economics.Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.

The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.However, when adding December and January's figures, the administration's first term jobs record ended in positive territory.

He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover.Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions."
7,"Palaniappan Chidambaram, India's finance minister, argued that these organisations need to take into account the changing world order, given India and China's integration into the global economy.At a conference on developing enterprise hosted by UK finance minister Gordon Brown on Friday, he said that he was in favour of floating exchange rates because they help countries cope with economic shocks.Separately, the IMF warned on Thursday that India's budget deficit was too large and would hamper the country's economic growth, which it forecast to be around 6.5% in the year to March 2005.India calls for fair trade rules

India, which attends the G7 meeting of seven leading industrialised nations on Friday, is unlikely to be cowed by its newcomer status.

China is expected to face renewed pressure to abandon its fixed exchange rate, which G7 nations, in particular the US, have blamed for a surge in cheap Chinese exports.India, along with China, Brazil, South Africa and Russia, has been invited to take part in the G7 meeting taking place in London on Friday and Saturday.In London on Thursday ahead of the meeting, India's finance minister, lashed out at the restrictive trade policies of the G7 nations."
8,"""Local purchase of cereals for food assistance programmes is recommended as far as possible, so as to assist domestic markets and farmers,"" said Henri Josserand, chief of FAO's Global Information and Early Warning System.On top of that, 89,000 tonnes of fortified blended food and vegetable oil for ""targeted supplementary food distributions for a survival programme for children under five and pregnant and lactating women"" will be needed.

Ethiopia's crop production up 24%

Ethiopia produced 14.27 million tonnes of crops in 2004, 24% higher than in 2003 and 21% more than the average of the past five years, a report says.

In 2003, crop production totalled 11.49 million tonnes, the joint report from the Food and Agriculture Organisation and the World Food Programme said.Agriculture is the main economic activity in Ethiopia, representing 45% of gross domestic product.The Food and Agriculture Organisation (FAO) recommend that the food assistance is bought locally.Good rains, increased use of fertilizers and improved seeds contributed to the rise in production."
9,"In its case, the government claimed tobacco firms manipulated nicotine levels to increase addiction, targeted teenagers with multi-billion dollar advertising campaigns, lied about the dangers of smoking and ignored research to the contrary.

Court rejects $280bn tobacco case

A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.

But the Court of Appeals for the District of Columbia ruled that the US government could not sue the firms under legislation drawn up to counteract Mafia infiltration of business.Prosecutors wanted the cigarette firms to surrender $280bn in profits accumulated over the past 50 years and impose tougher rules on marketing their products.Among the accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson.The demand for $280bn (Â£155bn) - filed by the Clinton administration in 1999 - was rejected in a 2-1 decision.Shares of tobacco companies closed higher after the ruling, with Altria rising 5% and Reynolds showing gains of 4.5%.
"
