,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.05647927375915613,0.062242008658493435,0.06883208677799015,0.022995246868561754,0.022249247238043234,0.025198132599953172,0.030135424758158127,0.03198152364428451,0.03845562216226029,0.04199729896752142,0.04616412167819452,0.051582898533324886
1,"'Lex', 'LDA'",0.06450387695204042,0.06751728118029282,0.08623336307834352,0.03838601806620118,0.03538275514572215,0.045497798588705805,0.035763802510855314,0.03741185094742115,0.049481064327178276,0.04650402288516066,0.048362986944621954,0.06395593770780869
2,"'Lex', 'Lsa'",0.06297986250122939,0.07305412082857107,0.07023054234458243,0.031007891926123056,0.03130415923864268,0.03187426733965373,0.031138136522587394,0.03453217837155812,0.037119691157540706,0.045638220760114395,0.05388585058822975,0.05200663146476665
3,"'Lex', 'Lsa', 'LDA'",0.06077674862773481,0.06842036756474665,0.06918805381552615,0.02888986599604615,0.029114171121747273,0.02978390068893306,0.03282847529041849,0.03561238721606501,0.0387643722488971,0.04473850138533558,0.04882812121205659,0.052820488851895255
4,"'Lex', 'Lsa', 'Tr'",0.0737557075565215,0.07892712948420855,0.09797489472087925,0.04984706357791224,0.04308373814918805,0.06346937260494426,0.047878417049323344,0.041338662719795284,0.07103016512207685,0.06082301131704808,0.060887472909207714,0.08281872753916032
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.07359091340281756,0.07704117117968541,0.09535106679904694,0.04427615221698747,0.03807665281194898,0.05538787392574466,0.04568960955293108,0.042026993552438864,0.061670526858287195,0.06020439354947091,0.05776120995864374,0.0800236073047437
6,"'Lex', 'Luhn'",0.08479823853633546,0.08051293231216676,0.10463310059559654,0.04654302516478019,0.03899793684304574,0.06141294532688857,0.04192575583885846,0.038964249617142,0.06367962573729963,0.06546204993940767,0.059879693215433794,0.09081984651647787
7,"'Lex', 'Luhn', 'LDA'",0.08629427137512154,0.07919005138013646,0.10911939177906942,0.05441338552987394,0.04879541674210254,0.06520845991649282,0.04877051759541642,0.043698250802829054,0.0662214252573936,0.06586636683575195,0.06048167557759754,0.08373006484450642
8,"'Lex', 'Luhn', 'Lsa'",0.07268632098865128,0.07462423214972581,0.09881386973023489,0.051631829781939795,0.04701635730902522,0.061132138555441536,0.04211404091720345,0.04110644842297075,0.05517876412750015,0.05144240996058789,0.05127556752835223,0.07308271217701855
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.0759582121959173,0.070743261181964,0.10506945016164072,0.05643156638262989,0.051767531677615344,0.06480107681773188,0.04097249071715529,0.03799087510589953,0.05675502024222205,0.05510936993961956,0.05105990623593716,0.07524385224409974
10,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.0863779393122034,0.08654501462671081,0.10651823236120007,0.05132368595734553,0.04546740312949955,0.0635727736437452,0.04590653620661617,0.04234680770999097,0.0634333793249946,0.06959086179386462,0.06570326181087703,0.08687334293536744
11,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.08156229961797075,0.07696052317688318,0.11077809971238234,0.0487531264227527,0.04031597869701135,0.06419840143913573,0.04662374173572641,0.03864117657994215,0.06973570267051415,0.06718963517141677,0.06028493689986974,0.09188948204479658
12,"'Lex', 'Luhn', 'Tr'",0.08681049385858619,0.07767016844638204,0.12022579989749665,0.050707460903816275,0.0397546087697982,0.07744730669762707,0.05556086927897602,0.04640151146199278,0.08521953834838615,0.06470575571535377,0.05531560508373873,0.10271694080860282
13,"'Lex', 'Luhn', 'Tr', 'LDA'",0.08047023226101589,0.07078409307497559,0.10679951736998157,0.048733597713479876,0.038306722589741035,0.06985655283715896,0.05270068999608857,0.04347382598874052,0.07624865465037994,0.06332961137113065,0.05303787181468733,0.0905916140019719
14,"'Lex', 'Tr'",0.08846280660026419,0.07142602767253695,0.13944645619198628,0.05271888106835435,0.03879437335819873,0.10121501199171133,0.0546218411618914,0.04313850836845566,0.10918756521309156,0.07291930787516368,0.057102673329875196,0.12372597666024672
15,"'Lex', 'Tr', 'LDA'",0.07797124936122515,0.06607863773753381,0.11447516870870522,0.049743793181726524,0.03750383236918444,0.0859970409147855,0.048825716795223566,0.039204267242679856,0.0900730574242868,0.06524904825261699,0.05169588336869294,0.1084350980020925
16,"'Lex',",0.0648946280382818,0.06842579132490699,0.08242721859463795,0.03604499693546962,0.03189825802842887,0.04675360678429447,0.03536488120572492,0.03632435874341854,0.04762629677503329,0.048729482998466876,0.04865819447106928,0.06723954742254482
17,"'Lsa', 'LDA'",0.054468286693443446,0.06448405487663857,0.06269340628398941,0.025957145533654486,0.026346421611626668,0.026629693339876942,0.028250728666934698,0.031686623517331064,0.03455222836416022,0.03972142266384371,0.04603590623763768,0.046512773354277455
18,"'Lsa', 'Tr'",0.07654346271496452,0.08210352375256894,0.09622398734332425,0.04393460787925103,0.03737842491245679,0.05816847043729261,0.04508087747797726,0.040445801172022885,0.06713282166482243,0.05942579480875693,0.062113358392379185,0.07874620825612058
19,"'Lsa', 'Tr', 'LDA'",0.07245830385726912,0.07554672113644698,0.09466295303030875,0.04212454600214137,0.03465746512923871,0.057210893298887906,0.04567878889943503,0.040167977911118265,0.06835760005243804,0.05590559287509893,0.053499022618168364,0.08014395555866115
20,"'Lsa',",0.05523124934541422,0.06715602159674237,0.06245735449343936,0.025126854664971696,0.02568733984264407,0.025879433700382284,0.027802200280293142,0.03081446875948177,0.03387643842958936,0.042078753367098196,0.051116496024083476,0.04754366409488625
21,"'Luhn', 'LDA'",0.08838489529502232,0.08180340817259682,0.11112378344993007,0.05519966365756046,0.049388182996348944,0.06665550673435905,0.04855157996968988,0.0442510066700415,0.06545545582833441,0.0702086010054455,0.06377929475712563,0.09114298786845125
22,"'Luhn', 'Lsa'",0.07402167160979142,0.07750181646807425,0.10134513442767305,0.05153672036615534,0.04683029338522341,0.061716386176566065,0.04138034767566441,0.03982386197080217,0.05835354082616028,0.05122498126572385,0.05300199175803819,0.07178304706984237
23,"'Luhn', 'Lsa', 'LDA'",0.07520649843540712,0.07315901545642335,0.10350371303769083,0.046614863661544666,0.04287431388115898,0.054630783284422196,0.03947537139544745,0.037735290920450894,0.0555768088720211,0.05232724832774213,0.050479351687680286,0.07281367457884376
24,"'Luhn', 'Lsa', 'Tr'",0.08582736504933643,0.07966038184800654,0.11259393995556027,0.05457989552543478,0.046206907421290556,0.07040733432011063,0.046892951881601704,0.04054893019856661,0.0674790211685998,0.06984624219497328,0.06346540675525471,0.09102210273915197
25,"'Luhn', 'Lsa', 'Tr', 'LDA'",0.08293369539847364,0.07600268460637352,0.11157736550442388,0.05085313002493881,0.0419003139851808,0.06674138600885494,0.047066858992560065,0.04013400243678351,0.06697936805226555,0.06799934761889811,0.059548901770961817,0.09224330567784247
26,"'Luhn', 'Tr'",0.09031026886860966,0.07643443674527454,0.12452240221133815,0.051031343752764004,0.03948902329753052,0.0794643637511997,0.054918765887729176,0.044997247945791484,0.08325599458216357,0.06926508870490149,0.056573984541928406,0.10682063079349685
27,"'Luhn', 'Tr', 'LDA'",0.0838586499638461,0.07362302914916834,0.10837197295092765,0.05002505963326837,0.03950377574197611,0.07116859811229602,0.051224416378650266,0.04309984074405752,0.07182298460117956,0.0645748846452733,0.05431904726959592,0.09023895442809937
28,"'Luhn',",0.08446468942028525,0.07984168419174578,0.10986839417284922,0.04606051287850804,0.03764111039129109,0.06408155873738376,0.043409730204395876,0.040185885237735225,0.061767673806630195,0.06023526007124949,0.05623874824423117,0.08382240598241529
29,"'Tm', 'LDA'",0.0708525007441666,0.07194618405324006,0.09717945067690621,0.04493750620197434,0.04020069857328529,0.054815327253883606,0.03880111722225322,0.03759991930493454,0.054584492340572464,0.047169615428587615,0.05124958934275882,0.06352323735765648
30,"'Tm', 'Lex'",0.07971914485703914,0.08240695459595714,0.10442444635030332,0.051820238206379925,0.04728819401753165,0.0620657558176227,0.04062565133138533,0.03810289627819956,0.05691367047137992,0.05526496872899705,0.058295341072680425,0.0713701836943648
31,"'Tm', 'Lex', 'LDA'",0.0751133306569206,0.07137722782850472,0.10559742146993595,0.050201532145814375,0.043956456331140814,0.062046119885999326,0.042177286615021514,0.03893775259472046,0.05966818766881436,0.05152782037077758,0.05031598663087406,0.0726635015922883
32,"'Tm', 'Lex', 'Lsa'",0.07638981670186597,0.08051380809177837,0.09740221027972563,0.043076670421174246,0.041123337233841165,0.04926037781721772,0.04122417432476805,0.03801507329826342,0.05587324651761735,0.052406647457121654,0.054801340083979695,0.06918318152833806
33,"'Tm', 'Lex', 'Lsa', 'LDA'",0.07642806005886649,0.07273218357427659,0.10221175399699314,0.04535195104571007,0.041248643863372965,0.053331061523533826,0.0424101350709661,0.03697814765852015,0.058833088672064764,0.05514302470629323,0.05175607782002087,0.07599556605090302
34,"'Tm', 'Lex', 'Lsa', 'Tr'",0.07122000861878335,0.07577536932107082,0.09665776852082575,0.04803264330322698,0.04386150511787841,0.05828869362130202,0.040867529844209764,0.03887042435045439,0.05745395284656257,0.057000290997141975,0.061228877056812805,0.07507234592862375
35,"'Tm', 'Lex', 'Lsa', 'Tr', 'LDA'",0.07089632526563146,0.07050492334174636,0.09934397508474431,0.04687346588506139,0.03978879257007427,0.05943780929474828,0.04349048272629263,0.0365231547560357,0.06347107619457758,0.0576911048353874,0.056212514538847506,0.07897851849065494
36,"'Tm', 'Lex', 'Luhn'",0.07847279105632864,0.07913745470754446,0.1057280880967241,0.054292160628158455,0.04816943936962935,0.06642063783432939,0.04755032999863117,0.04368152939902972,0.06436642389338323,0.059691113560735046,0.05801511262972534,0.0802467484317293
37,"'Tm', 'Lex', 'Luhn', 'LDA'",0.08306667395950698,0.07941998178170072,0.11205848490016528,0.051790325878584016,0.0456760928823045,0.06415120422522168,0.0472680375717728,0.041593897661736816,0.06584275581191755,0.061055988722362425,0.05684145827251531,0.08330209227340968
38,"'Tm', 'Lex', 'Luhn', 'Lsa'",0.08259627479450316,0.08428585035482208,0.10701289509359167,0.06050725939683859,0.05553676550443891,0.07069603018211587,0.05109194044608307,0.04695738599294876,0.06766149288687659,0.058590199450344986,0.06054423002973625,0.07556737163049833
39,"'Tm', 'Lex', 'Luhn', 'Lsa', 'LDA'",0.07490902839752357,0.07376139577181057,0.10126737719718606,0.05386631008062579,0.04884134173253272,0.06419914243340324,0.043979008330780556,0.03963333894401358,0.061370985590427224,0.056125627829813896,0.05532015715120522,0.07352385811942921
40,"'Tm', 'Lex', 'Luhn', 'Lsa', 'Tr'",0.07365933081995771,0.07746621913055379,0.10299340989728178,0.05052168970174245,0.0433535668119608,0.06559863884593732,0.039076900905741785,0.03646961713935012,0.0617072687521006,0.05719987849017496,0.05765257770743695,0.07913169458979431
41,"'Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.07304502060689005,0.07216040246222744,0.10305538344374635,0.052161965267495204,0.04529854396232161,0.06597000846478626,0.04076729754053934,0.03457678774678939,0.06448620048654974,0.05542971777475196,0.05316447365360865,0.07924680674037345
42,"'Tm', 'Lex', 'Luhn', 'Tr'",0.08417366419896934,0.08525330277394096,0.10764937889554098,0.05347859745391888,0.046513287204032604,0.06808981240385004,0.04187893090473304,0.04017584663055988,0.06023891142333238,0.06442273273393331,0.06176065299184201,0.08495712495531943
