,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.04971061250444794,0.10053786626536039,0.035995830075182575,0.026754618809834957,0.056806411608397646,0.017789836428192474,0.021618097123173224,0.04640438044864617,0.016017237916101292,0.03505739948805742,0.07454595029693939,0.02521407879545763
1,"'Lex', 'LDA'",0.05464841834545236,0.10211019357148274,0.04192684019906597,0.030970807505668812,0.059764384303744596,0.021549561875390335,0.030441138411718742,0.05601893957682578,0.023148709716198496,0.04156715834023622,0.07695507367524056,0.03159517845207461
2,"'Lex', 'Lsa'",0.051615240306666144,0.10190092912858796,0.03762229838796279,0.027858735515158366,0.06040454972648645,0.018441442209874526,0.023497340180696536,0.05628233916716379,0.016551774427599225,0.03678986885481667,0.07780437267789914,0.026639871649931476
3,"'Lex', 'Lsa', 'LDA'",0.050320182632238565,0.10139235881234797,0.03646056064118466,0.02583546676731633,0.05622361871507774,0.017036550065097317,0.020998712810939436,0.04941012024139896,0.015072304311866302,0.032435362277363725,0.07261624466578881,0.023437201061923353
4,"'Lex', 'Lsa', 'Tr'",0.05308003791946568,0.09922365452361286,0.04048825063788644,0.030326667980181105,0.05767432762829478,0.0209234839558584,0.023268755780388773,0.0465565540613116,0.018282381163100932,0.04090036885985676,0.08369204120778047,0.029962681798061983
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.053959468470219873,0.10569577325952575,0.04013215314821841,0.03204685392719862,0.06079618895384855,0.022067314409511343,0.023471679687240656,0.049368136563996606,0.01802474350846911,0.037844321833472735,0.07973848209918641,0.028079196430153063
6,"'Lex', 'Luhn'",0.06991792297411432,0.10826986959962853,0.05746139484178156,0.041263772630936064,0.06756342931929209,0.03046055691352785,0.03283493857904049,0.05379152362765343,0.026725666668303116,0.05058326289326419,0.08390060838734102,0.040491451630459536
7,"'Lex', 'Luhn', 'LDA'",0.06172997101739568,0.09858173517766006,0.04863506632480766,0.038224723199161065,0.06446279797445217,0.027882946502723827,0.031242461785840697,0.05089724834590174,0.02454914848807106,0.045388799066220724,0.07489040003127218,0.03538203749259869
8,"'Lex', 'Luhn', 'Lsa'",0.06384951969889939,0.11160197462521991,0.04896971690503086,0.03429457748992931,0.06706436294035562,0.02389256455379888,0.028557141221003057,0.05731574718946378,0.02161901241257416,0.04508829930306257,0.07842427695753437,0.03518760359570556
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.056439787629469114,0.10771939413281356,0.043007235083222295,0.03258503986026464,0.0670911452325642,0.02219763251304961,0.02539840525233232,0.05247651399699294,0.01944896930212225,0.043591899694457356,0.07885141896099981,0.03357715683307489
10,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.06255715227319666,0.1115542935426576,0.047365442064340055,0.03639597041203933,0.06569857422457388,0.025809722366136007,0.029662283224648953,0.05380506148084441,0.022751361797758003,0.047676563781826324,0.0872968193946288,0.036064427179721276
11,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.059871358400637516,0.10466673072794715,0.04622640628794187,0.03600335478606214,0.06644615361168195,0.025401258467595434,0.029990650729947055,0.05354522447268092,0.023396694525430556,0.044553152374717804,0.08080494233444982,0.03424992771903125
12,"'Lex', 'Luhn', 'Tr'",0.0804567412732585,0.1345380700788142,0.059660088549885186,0.04336284069354986,0.06727878157602596,0.03253230118770229,0.0382975389465394,0.06600934478761912,0.030049434447894322,0.05850404752773657,0.09847308194581807,0.04392813441187551
13,"'Lex', 'Luhn', 'Tr', 'LDA'",0.07482504176410462,0.11846451123057611,0.058188510562866474,0.0420826281100941,0.06353731072152333,0.031909154556389395,0.03435231108085371,0.05583162694544989,0.027635040455785617,0.05304663540209001,0.08327554577919435,0.04180219075115256
14,"'Lex', 'Tr'",0.07353024079966512,0.1160574726174692,0.06560832196041134,0.03769809750970284,0.054110360983642886,0.03289521484311158,0.03999708494475584,0.06374751726496342,0.03920810249704058,0.05945094109568931,0.09136078032094003,0.05382454747102843
15,"'Lex', 'Tr', 'LDA'",0.06528251122745754,0.10434856880694023,0.05119486326598299,0.033283584595804876,0.04971505825043325,0.025347450719524503,0.0337557234443024,0.05598501125237967,0.030583947662293845,0.05331313890723228,0.0856903736824853,0.04271050615472624
16,"'Lex',",0.05886122141550261,0.09877807166763222,0.04652237088657243,0.032608881374612445,0.05887361655329006,0.023123875092440283,0.02962744528615988,0.05251750603100182,0.023115094389867464,0.04395809880277592,0.0755931828327141,0.03440058448291188
17,"'Lsa', 'LDA'",0.0505863260036356,0.10106782163495691,0.03676330824794381,0.02509814635296021,0.05489512099003552,0.01653129366422259,0.023057907272039185,0.05171373635198166,0.016573681258579605,0.033639011291560855,0.07386022016773948,0.02427561270782728
18,"'Lsa', 'Tr'",0.05455268742039418,0.10935816391191103,0.041990589751271346,0.030940434365461067,0.05938007746113826,0.02127864735675962,0.028310584865479764,0.05649256584336895,0.021864361749575772,0.041290142245228534,0.09357548416493566,0.030517160545600528
19,"'Lsa', 'Tr', 'LDA'",0.05274728842481112,0.10797020321737576,0.03996325700516655,0.03119814271783744,0.05979603140962138,0.02138604594105483,0.02652676288083735,0.053324723775938505,0.021334695940803207,0.03631537337113728,0.08418122790269618,0.02644286016533394
20,"'Lsa',",0.04966429000929802,0.09941194890508075,0.03594184717771332,0.025425283389983934,0.05614960623318603,0.01671780594040357,0.022546561653074438,0.05365795330623583,0.015828986198680388,0.03420514398449449,0.07387517430467491,0.02465792026742916
21,"'Luhn', 'LDA'",0.0621830234052888,0.0987117949930234,0.04975147664332677,0.039970529702280044,0.0657180971869419,0.029593779221603674,0.03182769539487482,0.051456239756992324,0.02546761597897381,0.04555275466365133,0.07530723548446097,0.03604937487777027
22,"'Luhn', 'Lsa'",0.06434361184793948,0.11145768873678522,0.04923490908047988,0.035699007426057014,0.06874320998062075,0.02492026139893981,0.027060001297353368,0.05641564829318568,0.020376443842154653,0.04335673563384004,0.07665155591334184,0.03387784840553857
23,"'Luhn', 'Lsa', 'LDA'",0.05676819790551499,0.10739653603824559,0.042829558295992116,0.03309098969947529,0.0681301096723881,0.022451924604356667,0.024303194198025707,0.0502348943457541,0.0183515569082693,0.04169261371179033,0.07469048827073342,0.03196879732895147
24,"'Luhn', 'Lsa', 'Tr'",0.06492550559368594,0.11228376237657749,0.04907412647398216,0.03820141934164636,0.06700124112325634,0.027448655404420784,0.0339708604140299,0.05895314730468306,0.025742911904014905,0.05172705781927189,0.08814994559159647,0.039352846464044945
25,"'Luhn', 'Lsa', 'Tr', 'LDA'",0.06348092020134811,0.10967922714857085,0.049486189374711276,0.037359260662779496,0.06824107337772964,0.02651889698239956,0.031272065613994184,0.05585029746519131,0.024488444861558455,0.047460357057456666,0.08189960339013244,0.03733628370196689
