,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.04959095662238635,0.08989629160694479,0.036360749566566326,0.02776418931525524,0.05372872657524244,0.01886945529381032,0.022526709816168094,0.042643030701110904,0.016785137274783705,0.0337925898860338,0.06398783956806678,0.025005973399845064
1,"'Lex', 'LDA'",0.05461313453421697,0.09156944308993814,0.04214098845306572,0.030238952616106745,0.053217819497389574,0.02144981019192253,0.02853702304721295,0.048732220571286414,0.02184158623324774,0.03922586871690345,0.07212483845871015,0.029546205850190715
2,"'Lex', 'Lsa'",0.05198809699931254,0.09281677269459285,0.038453608413255576,0.029615830717337886,0.05616045776918108,0.020375762505855714,0.025138195345892015,0.04751239027464235,0.01865216461113431,0.036676257067029185,0.07326428959813334,0.026644205439656822
3,"'Lex', 'Lsa', 'LDA'",0.04938009907237088,0.08868740135765885,0.03647341497584234,0.026616184152978208,0.050617420849345104,0.018275588177318683,0.02316559251170666,0.04332024197025799,0.017358409983726057,0.03425214985228732,0.07008595925288577,0.024697204237790166
4,"'Lex', 'Lsa', 'Tr'",0.055705213222299446,0.0912570151777327,0.04329570085777521,0.02726903712341706,0.04816287742156632,0.019247878670994718,0.02452396967565574,0.04356115779091628,0.01938636180246748,0.03733795336550763,0.07032411879573866,0.0285476954858565
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.05360136049235323,0.09574436181388926,0.04070624832236778,0.02718174939182539,0.04874211442860918,0.01906479142721264,0.02445530869212144,0.04682930676009635,0.018576615242429078,0.036685000896553646,0.07194495947701227,0.027519582888842747
6,"'Lex', 'Luhn'",0.06901271541668533,0.10179713797809796,0.05807524981399087,0.04440176697453597,0.06717395483618135,0.03375597182522299,0.03820515449238799,0.05702717588916373,0.031191280079762428,0.055418452005582354,0.08214740599712651,0.046276533073447416
7,"'Lex', 'Luhn', 'LDA'",0.06587507112381266,0.09767751050982598,0.05252413287789213,0.04097953687361397,0.062302120223931085,0.030832088076253348,0.03797274848703441,0.05890411835834968,0.029703871503046594,0.04981516741169619,0.07705842212957187,0.038760135027833514
8,"'Lex', 'Luhn', 'Lsa'",0.06885394643530836,0.1065873754841006,0.05308653008455572,0.04400485446302552,0.07492425856340919,0.031493450785455165,0.034147429630275394,0.058891350856248484,0.02585431557526225,0.05428983095093271,0.08896620261837264,0.041103004799480286
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.06475550330538195,0.10476501921388898,0.04968715300516689,0.0386736974685189,0.0677548960571582,0.02744592329789178,0.03419479762181907,0.06210772713200464,0.025455323730129105,0.04883021387659532,0.08301839281809356,0.036992852901339496
10,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.06350932081031282,0.10688603586587245,0.049007218856001206,0.03546580456495688,0.061667783546048335,0.025318994548146616,0.03219768387060171,0.056141931294426316,0.02458756091188682,0.04542842116415763,0.08430525964658442,0.034236688604933826
11,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.05995771323096408,0.10096505715324212,0.04656644984198951,0.032427772373372965,0.05640303921285455,0.023190033530416553,0.03073182995430675,0.054320432104058514,0.023534004370317597,0.04480614148435806,0.0819388094428263,0.03404975962204651
12,"'Lex', 'Luhn', 'Tr'",0.07607688440272467,0.12210926212684736,0.06946319998734776,0.04037409502092728,0.058603710578913185,0.0312133015721737,0.037564589706566676,0.06332800336848066,0.03295056473434191,0.05042778168609186,0.08518455431262006,0.052105708839022824
13,"'Lex', 'Luhn', 'Tr', 'LDA'",0.07426479934059804,0.11238795744528594,0.05905578138265814,0.04489888240209824,0.06563573505577626,0.03454477918031929,0.037817630461979834,0.06016208746891203,0.02954334168845101,0.05439228799110956,0.08212413530315421,0.04398555084923501
14,"'Lex', 'Tr'",0.07349731938953154,0.11696013679579373,0.06885637685694222,0.04053590913101635,0.058619979256948784,0.03184283880213452,0.03902333175293072,0.06720945187322458,0.042439332586111794,0.049243730925479165,0.08270621926840666,0.04961459816489326
