,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.04959777345008216,0.07692296597918895,0.03977685759110057,0.027812872676601076,0.049895608577500576,0.0196320293911298,0.02705765023371787,0.04537937126044066,0.021187526438821137,0.036741105933929465,0.06860106456460544,0.028448331913356224
1,"'Lex', 'LDA'",0.04956466221259081,0.06893906803801712,0.0441666725043486,0.029747299776141548,0.04728272066790219,0.02239526915832357,0.02649943587985138,0.03894096914580047,0.022985739874727823,0.03867067441094302,0.06310795430273901,0.03268455394355813
2,"'Lex', 'Lsa'",0.055189632106232386,0.08012337461424393,0.04516396914624038,0.03077122141508014,0.053194449556814495,0.022140863908391855,0.03269158886119645,0.04919404690495106,0.02594716185507258,0.0419762090144757,0.07464321943976782,0.03299044322181245
3,"'Lex', 'Lsa', 'LDA'",0.054651042406986275,0.07811570931991331,0.04453498246458134,0.03503898107872803,0.058919887873762435,0.025229290977491825,0.03157238383618334,0.04692379214751879,0.025254680066241722,0.04357022374469886,0.07105399177625721,0.03448170337886168
4,"'Lex', 'Lsa', 'Tr'",0.0524377841415306,0.08556281380589922,0.04429781100006142,0.03464893001326058,0.055308152702103056,0.02607423526550397,0.026454245844985836,0.043837011953613766,0.02244003791036102,0.040620843267975354,0.07412073170110911,0.033391956008353714
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.05043027048163696,0.0767618066495727,0.04324437850360577,0.03321874944540074,0.05098554585884928,0.025230209486737935,0.028724464993875813,0.04296147375207646,0.024055975559232324,0.04099090665246975,0.0668123761932522,0.033899990324063975
6,"'Lex', 'Luhn'",0.053407707187790206,0.08600082343330019,0.05026179296888252,0.03960973708778083,0.05772748509558505,0.03135122244723753,0.03184712478811084,0.053059497540547056,0.028155380675688044,0.042145541848397625,0.07446326418285702,0.03621480536547966
7,"'Lex', 'Luhn', 'LDA'",0.05097168105432218,0.07770325209177734,0.044131633971803905,0.03783027319535852,0.056831635404952216,0.029068876083151007,0.03565054676900591,0.05522499911708709,0.028858318613382335,0.04112589082654133,0.06476641170472842,0.03433858316005068
8,"'Lex', 'Luhn', 'Lsa'",0.059461980485239055,0.08472776364178149,0.052040420562678255,0.039683384342918654,0.06544994297523103,0.029553099749218086,0.030600486063793585,0.04893064561881193,0.026069072189525557,0.03994903046959955,0.06964996980214505,0.0343028775311182
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.055184234911806275,0.07997535654901354,0.04744397587293044,0.038620338262142,0.06291886027832516,0.028514567634384473,0.034589525891784635,0.04803613869335644,0.028916144046619057,0.03933104971433137,0.06474067295018297,0.033180592184212675
10,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.05475455772181945,0.0835478318589617,0.04689153013502817,0.033804184177521596,0.05135047593300474,0.026216431423741575,0.032718254604993266,0.04766910919695485,0.027862724533679693,0.04165269136196406,0.07225495197636203,0.03433833324899665
11,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.05263873458344244,0.07946222696466791,0.04513721038705009,0.037720647258629184,0.05612917219798637,0.029102176854919903,0.03434612901062046,0.04897705493862399,0.028775080333979096,0.04531337202633637,0.07498156910059454,0.037022500286748194
12,"'Lex', 'Luhn', 'Tr'",0.07163300071042775,0.11110418627726559,0.05832468148858321,0.04137871536317171,0.05454496859739476,0.03546224218189504,0.037780033787890986,0.058552622268076816,0.029724536677192444,0.056370170886561474,0.08607370972721969,0.04648519663511894
13,"'Lex', 'Luhn', 'Tr', 'LDA'",0.06137835136955025,0.09010815605279049,0.05356698464513035,0.04005761669323131,0.0520528536204833,0.03328204396299317,0.037257219539324433,0.052101229719632075,0.031923045489635433,0.046623193022996334,0.06640149315670331,0.0408223381672304
14,"'Lex', 'Tr'",0.07180767148708529,0.09891149269182437,0.07295728226476773,0.04748842636156596,0.054103208436474155,0.04844224388803435,0.04452178923080312,0.058106662706496275,0.04758060122138698,0.05688041564894866,0.07804678084328655,0.058131275646878186
15,"'Lex', 'Tr', 'LDA'",0.06243476127041423,0.09391293894853017,0.05252190205081553,0.043630300842370365,0.05476719681188006,0.03710756641076154,0.03778011949528501,0.05388585239793913,0.03358177037349937,0.05128386646993753,0.0759365160094436,0.043602650903129064
16,"'Lex',",0.050864668126829285,0.07408919554345691,0.04579427613742087,0.03349024389535276,0.05198088910789049,0.025541316045862045,0.02736049520193367,0.03823330674530848,0.024944486503331625,0.03901280017029872,0.06507091463732155,0.03246898622515587
17,"'Lsa', 'LDA'",0.048978937432908216,0.0721151443356608,0.04046408567618857,0.02639039482140779,0.04704590937214927,0.018761762149958925,0.026652675074980415,0.04366426792515496,0.02121347079299157,0.03565434507454927,0.06679273633906291,0.02822940338415837
18,"'Lsa', 'Tr'",0.05600945394964665,0.09971758489648981,0.0459033518685287,0.03815875241197356,0.05909316106282658,0.028814986912103237,0.031101496437852615,0.05497263342365832,0.02581529283141354,0.04471278034369849,0.0865859471086511,0.03549992202318875
19,"'Lsa', 'Tr', 'LDA'",0.05251802320656046,0.09052758422826535,0.04360945505318155,0.03574405563583786,0.054833868977637694,0.026977416349750795,0.030419951634524475,0.05004527312046691,0.025354570698774392,0.044388988954756924,0.07843493980874479,0.03575147612634709
20,"'Lsa',",0.051251367738192714,0.08026166314022817,0.04149048596403656,0.027683587067210087,0.05028661993516313,0.01953789915897048,0.02715636753824672,0.0453531966059272,0.021286305656704228,0.039236379260156114,0.07337289088635719,0.030313565766889684
21,"'Luhn', 'LDA'",0.057152319654096034,0.08432288750552548,0.050102897268684096,0.04007820231162963,0.058452407407544725,0.031589144097659484,0.037397476874727054,0.05743882742776524,0.03063759156402428,0.041371751763390814,0.06995100412948627,0.03362883233717315
22,"'Luhn', 'Lsa'",0.05671026759198557,0.08158229232559779,0.049475172511426996,0.03992756467779234,0.0664035310185956,0.02953351474016937,0.03682580129416666,0.05557618497155871,0.03042085388452845,0.040972277807791765,0.070473716209793,0.03471524379283177
