,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.05446918214989109,0.04953502517382656,0.0894819837794139,0.022655555265699474,0.016722086803289165,0.03969597939517104,0.02695909948816477,0.02381579873746724,0.05085444794594201,0.04489835308704628,0.03945952410449461,0.07551408982120372
1,"'Lex', 'LDA'",0.058774900411993174,0.05159263307134113,0.10500751535076831,0.037839948495309285,0.026907129153642163,0.07148892477333972,0.04370289419469731,0.034964995413346175,0.0844607549765314,0.05496580848082155,0.044860281916379224,0.10620777156238721
2,"'Lex', 'Lsa'",0.06219555121800961,0.059934545710329246,0.08090853777525014,0.0255386065698956,0.020425296772065525,0.03679164741009753,0.03153892309849475,0.02912788924274446,0.04475930883012331,0.05184699256753348,0.04829733245941266,0.06878615941416089
3,"'Lex', 'Lsa', 'LDA'",0.058910423909633906,0.05590500360604128,0.08054155525706559,0.025428715461766074,0.01998749564776697,0.03725438518383483,0.030723758623769182,0.027840815234252775,0.045166122840933215,0.0489781685336212,0.045121349187300125,0.06762209288988703
4,"'Lex', 'Lsa', 'Tr'",0.06307483552009092,0.057306854724406706,0.1155121062819609,0.04465817195872481,0.030853828270923388,0.08647762959921652,0.039752702247682584,0.02994486866851261,0.08963050382716845,0.05318009908631035,0.04496075830359228,0.10503685420007698
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.06483249936791563,0.05694302642096505,0.11309446994086703,0.042122105304924495,0.028823133624137635,0.08306318663698606,0.04065629498378462,0.031394453295049356,0.08645068358023181,0.05646930378093523,0.04634216846473829,0.10577541491208009
6,"'Lex', 'Luhn'",0.07695138374969554,0.05625868817851493,0.14483635513745693,0.047598995757926664,0.03300810123803588,0.09252336447779436,0.053022353734697374,0.03808909953708672,0.11945245290995775,0.06109271522631323,0.04441602838084085,0.12706660674134201
7,"'Lex', 'Luhn', 'LDA'",0.06597152297750622,0.04807555330263616,0.1336895414989732,0.042465993852319625,0.02850056542614425,0.09036675979914155,0.04624395532667291,0.032213113423238675,0.10347732123822254,0.055823017571429635,0.03968285840116013,0.11633676017758542
8,"'Lex', 'Luhn', 'Lsa'",0.054966271411728496,0.052318243126368326,0.11296766654007967,0.039051765915247554,0.027343527765054346,0.07517936837376339,0.04076074669022491,0.030519577486083877,0.09669949494539791,0.04753689230817628,0.04175329243398673,0.09979335828235017
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.061524281626118386,0.05050422841471749,0.1253962652288071,0.04472175200000951,0.031001448075878946,0.08395780219109397,0.043122563247016146,0.031149679540261613,0.09089349146545171,0.05275353871193103,0.042239586823683076,0.10483991105659433
