,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.0554448161855008,0.04785005317293266,0.10092914231586943,0.02829894171078408,0.020558026227629114,0.05089342426940094,0.02847386975571196,0.02433614979935687,0.055159317247907624,0.044641425945650445,0.03716597423662465,0.08131171000782829
1,"'Lex', 'LDA'",0.05783955614732144,0.05073285319807099,0.09803488225268532,0.035707835758758445,0.025852809547993478,0.06450111206364437,0.03590290090563319,0.0295095825282722,0.06647867995970135,0.049261480463408815,0.039125468297562215,0.0937734205260911
2,"'Lex', 'Lsa'",0.07063773615783242,0.06608028962117554,0.09873682154636139,0.03956894193404901,0.03267833776166175,0.05790960731761917,0.032782803126808174,0.030548780242274486,0.0502335004756334,0.05660396948714928,0.05148298968543255,0.08059003246886884
3,"'Lex', 'Lsa', 'LDA'",0.0653915012804899,0.059471509210725595,0.09765578314356493,0.03277195700259815,0.024677548874224044,0.053577531644926686,0.030816256820015688,0.027480877942348738,0.0507110563556127,0.04891028546160991,0.042914912516653886,0.07672446207484128
4,"'Lex', 'Lsa', 'Tr'",0.06591363543298842,0.06175920205216845,0.10193817899095955,0.03213220446576592,0.023166655601048428,0.05695092695183951,0.03566166807701879,0.03111252056922121,0.06413801687247067,0.051664158255283234,0.04622313116406037,0.08476947871301671
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.06229538331852062,0.05619320521252314,0.09734607817560095,0.03072663378790736,0.022347055829690834,0.05373530538866198,0.03298595600311921,0.028233639507203017,0.06038127425072979,0.047264942428838504,0.0407692251129704,0.08145574895684507
6,"'Lex', 'Luhn'",0.08315939567272289,0.058856295985456476,0.18038411044360841,0.052052477228642036,0.03427288384971254,0.12304493125026718,0.05315411088096667,0.03674844113063729,0.16868077093216494,0.06858778887529046,0.04776789776343092,0.1778551210838324
7,"'Lex', 'Luhn', 'LDA'",0.0772955174434066,0.05523697818368822,0.14638096312447266,0.05011762264204858,0.03316429737786368,0.10665989287556475,0.0483075445996609,0.03353051219750379,0.10565395087734725,0.06505825291354757,0.04532617833411379,0.13371123059435486
8,"'Lex', 'Luhn', 'Lsa'",0.07348706343913738,0.06440452221909192,0.13792933164299126,0.053864638222924366,0.03895237402746957,0.1033278828707242,0.045721394188331814,0.03420281187893083,0.09952832999073521,0.05974204953187916,0.048466543214574456,0.12272139306052678
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.06180646580597803,0.05078180129815313,0.13639819013521817,0.04885148025625171,0.032673837797516835,0.1002833425345088,0.03917520649694159,0.0278184615692172,0.09310647185856821,0.0515464673655949,0.0369188384685278,0.1243464452234816
10,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.07492517754139745,0.057905264669272,0.1408297205671994,0.04489433570670246,0.030083749456857583,0.095273519810741,0.041266199430351376,0.030104328934015052,0.08777065917827354,0.05868762585995462,0.043278123312440527,0.12070123964105142
11,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.0688970343562414,0.057810680525326966,0.14009877006005594,0.04346122731978291,0.028869390093958742,0.09472821780349798,0.03881915511803437,0.028695957455550775,0.091354924495672,0.05530804194279616,0.04194888966315594,0.12406396941177432
12,"'Lex', 'Luhn', 'Tr'",0.07700688695368664,0.053382463851048605,0.14988362174196806,0.04173078612533315,0.026981632756482212,0.10018004959068899,0.04731715817171197,0.03169107085018122,0.11406618208863045,0.062386770304629115,0.041842078516422535,0.1415039968704741
13,"'Lex', 'Luhn', 'Tr', 'LDA'",0.07502980870393404,0.05233190719473444,0.15227486472885632,0.0418120502816935,0.027440062260205816,0.09784156915719333,0.04562984104308299,0.031148924981165393,0.10653274985083293,0.06240285127004379,0.042262529721252086,0.1431460851172576
14,"'Lex', 'Tr'",0.06593311054765551,0.044168390706348495,0.15078551236855692,0.03224513646047431,0.020466653274939597,0.08940542070191564,0.045444216447317456,0.030175194050625555,0.11762082960401864,0.053361778720274027,0.03529416176380917,0.14214100724181009
15,"'Lex', 'Tr', 'LDA'",0.06309495658211749,0.04302437453441961,0.13344070215982753,0.03290652757034064,0.02096207219586558,0.08602390645785335,0.044899586944663734,0.029844675847099423,0.11309023869355815,0.05226295760468071,0.03479163814922176,0.12971805881526835
16,"'Lex',",0.06509175833810375,0.048986304353200574,0.10994358506599247,0.03727439916797229,0.024764549416482796,0.07781736115864529,0.03795443090542407,0.02749056245216111,0.07535650585245297,0.05384144423231305,0.038632940552651186,0.09999504101179395
17,"'Lsa', 'LDA'",0.06182022319247461,0.05807849203192286,0.08163928811768083,0.024212435169638998,0.018263949298320755,0.03959950569216527,0.03034284211104633,0.027191800935586583,0.04869139685467623,0.04571269591017233,0.0416156535414362,0.06363435941136703
18,"'Lsa', 'Tr'",0.06785936803262489,0.06340508371540446,0.10774502596671169,0.032635408518730036,0.02328130689816456,0.06072543895411719,0.038267661059682274,0.03232601540807528,0.07453446769783761,0.05178010272412143,0.04647529352033635,0.08691330073108276
19,"'Lsa', 'Tr', 'LDA'",0.06280347256147657,0.05633823194373515,0.1065937804227934,0.03189149149240168,0.022770797134216876,0.059502416923019615,0.03569383495400017,0.02915090346579914,0.07389895412723574,0.04548929219923337,0.039611763959354694,0.08461707823529487
20,"'Lsa',",0.06566599506442751,0.06405539034238175,0.08164877687973927,0.033708304425379254,0.02886675552375232,0.046301457286013266,0.032336208584778425,0.03045660061918591,0.04849906996256776,0.05347326965293862,0.050606867079156126,0.06622797064492224
21,"'Luhn', 'LDA'",0.0856606338080519,0.06073407326321728,0.16227210029630623,0.053257648869627805,0.03505089757908192,0.12050887485343026,0.05133596263241942,0.03569606722631405,0.11364168391349644,0.07150861860965427,0.04977500650088476,0.1468311673238861
22,"'Luhn', 'Lsa'",0.07515956781318829,0.0659536812268723,0.1404636137609315,0.052129388559580714,0.03796534160416007,0.10065473478115795,0.04405885791748247,0.033768043771320894,0.09518501124257026,0.05928196862519002,0.04909404349188381,0.11912879434023266
23,"'Luhn', 'Lsa', 'LDA'",0.06634697305328506,0.05523278975237252,0.1370597072970817,0.047627191411022,0.031879460194136025,0.09845557317483046,0.04071244778019763,0.029689597182364465,0.09293233351524459,0.05083267485912317,0.03861228026233025,0.11514187917706367
24,"'Luhn', 'Lsa', 'Tr'",0.07336157826669312,0.05635042272994917,0.14300865456067796,0.04589021584674661,0.03063818250076781,0.09808774022680623,0.04203025880412639,0.02999428425160296,0.09335019477884461,0.05813691820921752,0.042473860077624416,0.12286122337146628
25,"'Luhn', 'Lsa', 'Tr', 'LDA'",0.06762278509370777,0.052198824025162946,0.14157474374822612,0.04522474683250123,0.03001178484545578,0.09838053633253893,0.04054339539876985,0.028489711655486544,0.09440475781374762,0.05487723371437233,0.0399053505628769,0.12276923972805345
26,"'Luhn', 'Tr'",0.08268747040226121,0.0559135302758447,0.18595541785352213,0.04177421320844232,0.026766683006098014,0.11895853140548152,0.05362978888005386,0.035684277422162326,0.16567130769734673,0.06795027486127929,0.0451359482602793,0.18324372078102363
27,"'Luhn', 'Tr', 'LDA'",0.07482170959654928,0.0515669110191481,0.14919236469872435,0.04013958071176519,0.025867565656902937,0.09688702201771397,0.04691696787943569,0.03174616970250335,0.10469242412998549,0.06238952445342746,0.041814936282106134,0.14127528768493444
28,"'Luhn',",0.08768155326407841,0.06204066385550049,0.17988181846031204,0.050379246648871216,0.033116820681592274,0.1167897410417056,0.05228912648177392,0.036499087171622556,0.15810020992568635,0.07069097417483532,0.049503047939689016,0.17112693554018865
29,"'Tm', 'LDA'",0.07643052145530002,0.06382666906169113,0.14129101549425274,0.05509600454036623,0.03890882390941911,0.10324466703981916,0.049772789961658535,0.03741803145562556,0.10209772833084559,0.0614850560968025,0.04737142841006517,0.12240969473191943
30,"'Tm', 'Lex'",0.07737577816151053,0.06698928767437796,0.13959761155405112,0.05494819158867058,0.04043195996392981,0.10084658798645911,0.04739908648721719,0.03595716121130652,0.09903334220305705,0.06242528796901288,0.05186566458766886,0.11890785245679329
31,"'Tm', 'Lex', 'LDA'",0.07222620835176342,0.060643896594372436,0.13839576895717667,0.05544640402200697,0.03920714401539561,0.1030191430258825,0.049217393713723114,0.0369444052329197,0.10005053827108246,0.05982935603841672,0.045794455787257306,0.12232519087536728
32,"'Tm', 'Lex', 'Lsa'",0.0738812250920306,0.06347561881854452,0.13845033975405832,0.052601666463300494,0.039342204793506225,0.0934643911172319,0.04431421048474772,0.03431105522478575,0.09232112203861088,0.06097833355480098,0.04939832167591489,0.11874098575342482
33,"'Tm', 'Lex', 'Lsa', 'LDA'",0.06572855362416569,0.05610309433666682,0.12872566696658794,0.0451458220461977,0.031461727777035896,0.08565855148422653,0.04015462136568189,0.030544280073571323,0.08840880020119142,0.055346836729779844,0.04325073278598667,0.11210484531493321
34,"'Tm', 'Lex', 'Lsa', 'Tr'",0.06577790147682606,0.06324258425817593,0.1051695629989161,0.03743890886715478,0.030373586926825392,0.06093437567004254,0.03297459686062238,0.030217944741447306,0.06281869523274644,0.05395184071949053,0.04862941277903778,0.09331159914273503
35,"'Tm', 'Lex', 'Lsa', 'Tr', 'LDA'",0.057289379245116456,0.055796148727004065,0.09520346108550663,0.03148661759805199,0.022563725261911773,0.058705030170981824,0.027692206366407793,0.026949844323159885,0.05430538741184298,0.04699393007243043,0.04101224497133329,0.08799418491022111
36,"'Tm', 'Lex', 'Luhn'",0.08468051305217832,0.06275340087842658,0.1587604067064224,0.053040165263747746,0.035111513778569775,0.11236575276131523,0.053360901396737485,0.03730341284559736,0.10816288806522285,0.06706104343133419,0.048243252569035146,0.13488179364902708
37,"'Tm', 'Lex', 'Luhn', 'LDA'",0.08346157031216003,0.06435286943158024,0.15904438560135362,0.05088827662335438,0.03367654963869333,0.10601854161315435,0.04900859125545206,0.035028759650601024,0.10840371432407342,0.06522211718455222,0.04746102544372817,0.13635052409543313
38,"'Tm', 'Lex', 'Luhn', 'Lsa'",0.07581974000410963,0.06429044795064844,0.15014371376385166,0.05725356627376001,0.04147083820106957,0.11014930864529046,0.04780076777440604,0.0350782205342726,0.10466423510411317,0.06159313390714541,0.048995679312691,0.12915703263087994
39,"'Tm', 'Lex', 'Luhn', 'Lsa', 'LDA'",0.07110310086778343,0.05858029450468237,0.14663564326247558,0.05673008695531364,0.03966272026155165,0.10969589829136893,0.047931364890311925,0.03562320444647647,0.10169519519654716,0.05988116064191387,0.046196106610378394,0.1272144071465111
