,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.06502413899839252,0.08555858005230906,0.060351121513256084,0.032327451117350414,0.041998342957433606,0.026772179030393865,0.02744996019516808,0.04024790179985511,0.024924034585114826,0.03854377996889745,0.05430832187938245,0.036457123363913824
1,"'Lex', 'LDA'",0.06993686058213584,0.08963681715323064,0.07260969028460974,0.0339327008511957,0.042858691147944473,0.029559511960457426,0.030436438827672305,0.04277658680336826,0.033225295773782346,0.04325633455025292,0.053099829539868776,0.05035690134726195
2,"'Lex', 'Lsa'",0.0609309767830583,0.08095109873027233,0.059685398026557986,0.03473208394470226,0.044940615613691684,0.029150408969431395,0.03142273529531947,0.04666135084021939,0.029067866220815135,0.041265853175450916,0.05826516509589999,0.0403723939720629
3,"'Lex', 'Lsa', 'LDA'",0.06134558278704563,0.0829238998947762,0.05913241901633489,0.03247356699211667,0.042589421103058175,0.027190353094773148,0.030865310234736418,0.046654790788793594,0.028002453983142512,0.03908570909094325,0.05392219621529571,0.03919994210445862
4,"'Lex', 'Lsa', 'Tr'",0.06869596338678349,0.09309215740062933,0.06722242480871335,0.038359451882930565,0.044454997515217726,0.03642590044740494,0.03314978151035686,0.0440748009714594,0.03559944710055548,0.04816906672711962,0.06602320188431289,0.0485200298169706
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.0679877629985955,0.09394735338652885,0.06823118941022012,0.03756646285193315,0.04353088162605766,0.03567601628962898,0.032262267170469025,0.046126080250280525,0.03587434279181544,0.047654246711179155,0.0668250632473639,0.04953030002500869
6,"'Lex', 'Luhn'",0.08574830798735934,0.09618796294456772,0.09537220702248861,0.045237999417658346,0.045067178726921155,0.04858050111569952,0.03984746309009285,0.04143756085326555,0.05290539780609609,0.05683158642362125,0.056749995743118536,0.07689365269874107
7,"'Lex', 'Luhn', 'LDA'",0.08692202604972259,0.09571097280205813,0.08982021619157977,0.0455879925691992,0.04589729703370341,0.047195054688566024,0.03810872597670219,0.04456427325060524,0.04034306935126343,0.06063207478643462,0.0629523654417871,0.06879858357517511
8,"'Lex', 'Luhn', 'Lsa'",0.08656582169037083,0.10285217642342559,0.08771546561354741,0.04503738276844255,0.05130100834727139,0.04222730532151338,0.03662610296550421,0.04627028977985827,0.03712874285643524,0.05845132723165355,0.06853745827689219,0.06268217701002664
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.08427685502817316,0.10234664065675729,0.08671644544410818,0.0443730386141299,0.05018946403909803,0.042584547889717356,0.03632480518366486,0.046476186564230845,0.037856738569795524,0.059330966426712275,0.06888350708811845,0.06341962901162093
10,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.09107257624830618,0.10701258095322018,0.09160471036465814,0.0481893553767967,0.053651475593252174,0.046638087500172634,0.042145299526318715,0.05082786693082436,0.042774878083233166,0.06320901410125364,0.07529235736789083,0.064251623837691
11,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.08715329241368967,0.09780857151719394,0.09155182462033215,0.04688269950949788,0.050511977329376095,0.04594540006610066,0.0412465008187026,0.04648578807450511,0.04585099474353453,0.06163503162347652,0.07035529963731757,0.0648686031432685
12,"'Lex', 'Luhn', 'Tr'",0.10171881350702335,0.10714887899321927,0.10106499664126689,0.050362456465869454,0.04873546769212555,0.05461552204480838,0.04815748765271374,0.05099232872356863,0.05586053999987839,0.07133408960956558,0.07198015385339812,0.0803733089395579
13,"'Lex', 'Luhn', 'Tr', 'LDA'",0.09182017614522651,0.09504078519806025,0.09996397167912673,0.045878833202174056,0.045046217351682655,0.0497260024003168,0.047420036416301964,0.04810113882994444,0.054476270941986114,0.06567541707367695,0.06639490065092958,0.07571596276112437
14,"'Lex', 'Tr'",0.09469548694751483,0.09263734484307323,0.10440496161887278,0.043435023616843406,0.04097513771131213,0.04846103721196622,0.05049133479305531,0.05071312289076007,0.06969064898428673,0.06890508928799988,0.06724838788966517,0.07076096333245886
15,"'Lex', 'Tr', 'LDA'",0.07631341299893551,0.07927814485018254,0.08217449864130816,0.03846882263231242,0.03866460987437464,0.041072690923730726,0.042416257922761325,0.04442005469228114,0.05028447425462287,0.05787664887438697,0.05947544098763589,0.06402608175192002
16,"'Lex',",0.07634569184387924,0.09157391907711411,0.07954853058964466,0.04155238426730616,0.04675469938833547,0.03897390920095462,0.03656963604059854,0.04494298629201192,0.04010748850109227,0.05142797996447994,0.061112062511399196,0.05731693136035264
17,"'Lsa', 'LDA'",0.060457591922762614,0.07994184652204758,0.059592774942560024,0.03314651489173613,0.04334711777824277,0.02761162515991464,0.02561620165508623,0.04158645650162685,0.023159823884820165,0.03892179414411883,0.054042576423495595,0.03867893477808529
18,"'Lsa', 'Tr'",0.06676420984563554,0.09462497756166761,0.06383636313939922,0.03978891088077197,0.04582392019714204,0.03779055357779656,0.034454302915045344,0.04149362080339442,0.04024029859737218,0.051283904846224374,0.07172707828195185,0.05084428721649258
19,"'Lsa', 'Tr', 'LDA'",0.06837643378895272,0.09503681087399393,0.066211606699295,0.03761341001011012,0.043472540805409736,0.03584684268271264,0.03346920298959725,0.04682369485445051,0.03693019861895493,0.04826375006187834,0.06703961036036458,0.05035611370088778
20,"'Lsa',",0.059994221796237764,0.08223353345699487,0.05769472943066822,0.03395190114429612,0.044617382785537806,0.028062117567565822,0.026673997219381546,0.044284261839068806,0.02318457765320401,0.037627616836027035,0.05723510986639616,0.03555978178608186
