,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.05413419197003154,0.08734051887126688,0.04339282218113927,0.029692868663503784,0.04641810450171264,0.022015136536077347,0.025223734935136275,0.041185504060055535,0.02063251926120099,0.03607536413070727,0.060167245594059615,0.02905797206014602
1,"'Lex', 'LDA'",0.06376779128740276,0.09170451768495262,0.0543792161078435,0.03258034578910403,0.046603131981241275,0.025598454075663045,0.031214675353858936,0.044974716104189946,0.027380981324595953,0.04295897551301311,0.06687920941878925,0.036041457548690266
2,"'Lex', 'Lsa'",0.05673205905678636,0.08649714749529429,0.04691058720043229,0.03134023928441287,0.04890585107636453,0.0235493317089078,0.029195711500757452,0.04472457953054894,0.024213638015743253,0.04145829293629309,0.07157884654116131,0.032714818618930226
3,"'Lex', 'Lsa', 'LDA'",0.05766960366654809,0.08992318934662796,0.047064989726746186,0.030609756518942387,0.04804900571660781,0.022879200191843238,0.026668887679006426,0.04124781339573139,0.022384342516447005,0.039503330499685414,0.06706210334300017,0.03152558541028212
4,"'Lex', 'Lsa', 'Tr'",0.060445831649748906,0.09264969447615477,0.051140211933426175,0.03069657845881222,0.043522378638763376,0.024247291926731567,0.027628704623071567,0.042872428070410036,0.024312497789385306,0.03674441820880481,0.06509678010579206,0.030866972568870044
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.06318986867802542,0.09613178175636028,0.05326231602653642,0.029756987378972696,0.04275950554808033,0.02323879734684348,0.024959351972487682,0.04117761212416556,0.02254578163434451,0.038154800351903516,0.06149744325971828,0.0329786293767248
6,"'Lex', 'Luhn'",0.07435231658383604,0.10301833391793398,0.07073092354903399,0.05112121442052983,0.06481151832661705,0.043532972290189875,0.04156490929133808,0.05613041042332383,0.03876450260527075,0.06063123565942437,0.08124762186917943,0.05865615274904372
7,"'Lex', 'Luhn', 'LDA'",0.07758606817135909,0.10075524509867274,0.06895751274393376,0.04841894626351862,0.060685004303702786,0.04109266248931788,0.04401072962140608,0.05809988643773768,0.038312015445317794,0.058629465155305344,0.07682888315753421,0.051369374336085225
8,"'Lex', 'Luhn', 'Lsa'",0.08174845564290496,0.10816284085509205,0.07203509533627607,0.05320270083263183,0.07076141801958073,0.04399204453386434,0.04077340683321955,0.054154110110350547,0.03621600680550204,0.0625740705764827,0.08403370395158538,0.05516727496397076
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.07322049834947929,0.10519558472720844,0.062031122043296576,0.0399195607414114,0.05821731055473922,0.0311171219629213,0.03710301304648532,0.05607047707860791,0.031065901054586093,0.05462979270404131,0.08075089725145407,0.04555017730461946
10,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.07276723114890392,0.10037048816069902,0.06378041420923924,0.03896321778839027,0.05560347164878434,0.03072378315025397,0.0347230654200219,0.048511648040108636,0.03051673648465312,0.04848773036106532,0.07425699193384977,0.041443618882757945
11,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.074360223366723,0.10080361568996526,0.06527180238860222,0.03764073073054079,0.05192605895313311,0.03017544414052615,0.036193244577050344,0.048887769821506145,0.03199321487241225,0.05070264267561189,0.07581744580670388,0.04338190111062021
12,"'Lex', 'Luhn', 'Tr'",0.08476081718765546,0.10956744927083184,0.08263665704616782,0.043059483638400425,0.05089291619115293,0.038365164493733186,0.04276737790172146,0.057942056491472514,0.04321034765543487,0.05925310832885652,0.0787797265463413,0.060468516953479115
13,"'Lex', 'Luhn', 'Tr', 'LDA'",0.08004559934369147,0.10469971236590644,0.06801929625569914,0.04225494536502702,0.051161036260084426,0.03671647744966906,0.03631848776025083,0.050119025704702724,0.030574961871435203,0.057383351923830525,0.0750841427526998,0.049122118055612216
14,"'Lex', 'Tr'",0.08452464512711809,0.10768094716791231,0.07641795906778134,0.043890700349022226,0.0506002184770884,0.039390938798119085,0.04957649133316921,0.06499201573985129,0.05483499798072486,0.05936874968968365,0.07627532703426709,0.05504611155352502
15,"'Lex', 'Tr', 'LDA'",0.07188856513989093,0.09497596987513948,0.0720905827638184,0.038091926358789004,0.045657554353070055,0.033123694675204485,0.03466965679020135,0.04682299834225554,0.03754986094165448,0.04653147470581469,0.06192820769085295,0.0514901186898519
16,"'Lex',",0.06535658274268491,0.08420890931369089,0.06007500715712881,0.034009891135307405,0.04507193300163136,0.02816138513263601,0.034743548242854326,0.0434224226728558,0.0326026626610259,0.05036748078440469,0.06921416334682823,0.045106029489155826
