Unnamed: 0,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
63,"'LDA',",0.0512938150364438,0.0905878684752744,0.0448583182806893,0.0278897690098991,0.0495391581181668,0.0201328644164194,0.029650969555267,0.0489387889765302,0.0255533664039489,0.0391922557120844,0.0846561825910342,0.0323386269155037
64,"'Lex', 'LDA'",0.0559209224712491,0.0912946911835396,0.057764892157412,0.0321515402827483,0.0530214277823411,0.0251055756571725,0.0299867121872575,0.0464803290963801,0.0299356294482176,0.0415391867773138,0.0831978752701538,0.0381631761543034
65,"'Lex', 'Lsa'",0.0569605340773406,0.0909613591875595,0.0515109571418912,0.0299787317488499,0.055523198102075,0.0217826200320575,0.0338558049303552,0.0536424568206832,0.0289014978507029,0.0385112998062381,0.0865916932683794,0.0326152653203203
66,"'Lex', 'Lsa', 'LDA'",0.0599569059189672,0.0885456269118512,0.0545315680176262,0.036513583829556,0.0611589685016963,0.0269528192975263,0.033110988941022,0.0526776144470285,0.0287749576377922,0.042141081384419,0.0850646912513942,0.0352505942809922
67,"'Lex', 'Lsa', 'Tr'",0.0505901379394995,0.1068398442655877,0.0479580606895898,0.0358860131488064,0.0631657550131634,0.0271393485107629,0.0278639577562838,0.047730157540383,0.0289812228278198,0.0387374701201828,0.0924578400183081,0.035067428399791
68,"'Lex', 'Lsa', 'Tr', 'LDA'",0.0485733586009876,0.099783685899205,0.0474529381923301,0.0325553080260924,0.0540200238271956,0.0251232843174139,0.0313954540431328,0.047123806868279,0.0308578472610882,0.0390701999928624,0.0840516406350269,0.0363845243556742
69,"'Lex', 'Luhn'",0.0515892976678811,0.1057139484471022,0.0663805694127986,0.0368522393995109,0.0610667369788842,0.0326333768898353,0.0292776292494471,0.0675870911430903,0.033558262028219,0.0407167327114423,0.1056114857274207,0.0378827116297861
70,"'Lex', 'Luhn', 'LDA'",0.0562348885927184,0.0964567815386105,0.0647203043983759,0.0379771454578626,0.0604715569679469,0.0314030208150753,0.0341397362513546,0.0624571909773985,0.0335443685753744,0.0404048165708948,0.0901256447631395,0.0385682254476971
71,"'Lex', 'Luhn', 'Lsa'",0.0595016865709471,0.1041136558446265,0.060217940140097,0.0380999734158802,0.0691059499804107,0.0296074260350074,0.0283387030007718,0.061957420605486,0.0267542910159465,0.0396620443437403,0.0881863030074431,0.0377227835640835
72,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.0622958758866288,0.1014730317385499,0.0631745267756976,0.0368858032618174,0.0652973785219894,0.0278737655166648,0.0333154235573932,0.0562583136488282,0.0330520441074504,0.0416491227781749,0.0823978335533816,0.0405895942277632
73,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.0536341315440957,0.1040393210027646,0.0543843232000645,0.0351976545977767,0.0592576738529364,0.0282637965275179,0.0352681264068312,0.0567365567777954,0.0347073652943256,0.0402759435793337,0.0926086197363295,0.0373426796969681
74,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.0535456962912245,0.1065264645139599,0.0534620193529749,0.036174387514604,0.0601758141830141,0.0289259931665925,0.0350733878526297,0.0593140977689869,0.0340612614941735,0.0387398812572095,0.0988330020819559,0.0349094720198133
75,"'Lex', 'Luhn', 'Tr'",0.0701670165272354,0.132573115649093,0.0678816427989041,0.0417453088522556,0.0633451200771508,0.0361148124239686,0.0405592115426008,0.0698383421776359,0.0402941839334816,0.0548981182421112,0.1153410557052677,0.0479743709282096
76,"'Lex', 'Luhn', 'Tr', 'LDA'",0.0617438643332389,0.1153773146998162,0.0628056033491975,0.0397277409353048,0.0583757809718894,0.0340457597780582,0.0401661641216612,0.0614862222573664,0.0404712847483792,0.0481414423417566,0.0970639511897562,0.0439065726654558
77,"'Lex', 'Tr'",0.0714748780135841,0.118834282501705,0.0772144343063408,0.0458495635995535,0.0582308159442396,0.0474520317705041,0.0420361520678779,0.063340485376779,0.0566525316642745,0.0556084167247935,0.096271929043769,0.0596907699245402
78,"'Lex', 'Tr', 'LDA'",0.0600219728900169,0.1039815961621359,0.0598160863346739,0.0400545310919115,0.0549942472410517,0.0348466396290907,0.0342043193324016,0.056585961563795,0.0371358393923698,0.0486492307764659,0.0871108424092444,0.0444548718799778
79,"'Lex',",0.0567333972573624,0.0906102067652174,0.0623876970831623,0.0344069682426755,0.0557615277255813,0.0280206356804439,0.0269649607647137,0.0457574835467589,0.029066975042487,0.0386410098450334,0.0810355812041802,0.0378908140568874
80,"'Lsa', 'LDA'",0.0511917598072494,0.0883504203080948,0.0460113029109954,0.0271772273125343,0.0484687204463056,0.0197190397200844,0.0272162182431908,0.0463041509711939,0.0243137762659784,0.0351132251029104,0.0828708530192723,0.0290531244886533
81,"'Lsa', 'Tr'",0.0508695048611906,0.1105349877016579,0.0482892768150357,0.0358593882679327,0.0603334945728812,0.0284697518186762,0.0304594856482746,0.0531102860307634,0.0309357460818112,0.0406627977464337,0.0973680694735917,0.0372508401066671
