,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.05098901420929278,0.11879191145423308,0.041976116510100164,0.03261102802636204,0.06522539426279912,0.02249589077921465,0.025276757117055383,0.05624389040894427,0.02194182740551974,0.03677957481030675,0.08912784384668387,0.030218071480020547
1,"'Lex', 'LDA'",0.0618923304406603,0.12011113227234468,0.05956463620744126,0.035710454930062946,0.0641166404073674,0.02880485139091126,0.03408121083144771,0.061156991004781,0.03511008769540064,0.04659456976663256,0.09184664600832587,0.04483130001453123
2,"'Lex', 'Lsa'",0.051616277876692845,0.11462168639881287,0.04520282144390283,0.02962637524114413,0.06459947617972638,0.020520486217678397,0.02527403848372072,0.0609928967786152,0.02248852573855425,0.03883159488773057,0.09970718243742488,0.032739935855506726
3,"'Lex', 'Lsa', 'LDA'",0.052089926291935665,0.11479080508358494,0.04624136875566253,0.03292046185141755,0.06702280967584075,0.02301770046235001,0.02446358480237471,0.05482765777176323,0.022884620307778884,0.04149028805226079,0.09803575082446359,0.03509010791888314
4,"'Lex', 'Lsa', 'Tr'",0.05689599503380291,0.13464634605590184,0.04703702178539492,0.035021656673695674,0.06891813817496484,0.02500737728030903,0.027417186639532333,0.06632643750463865,0.02493827237556792,0.04363695648909541,0.11056102962691293,0.03484949784430186
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.05579061523434699,0.13031905303947838,0.04846671593156988,0.03258418332043285,0.06335190802877626,0.02379639915173412,0.02703708962565187,0.06400077736673282,0.025211526320260007,0.03901848420850146,0.10116516196580409,0.03308044970193527
6,"'Lex', 'Luhn'",0.07292528793005107,0.13191040961872622,0.08155977999459021,0.04466796132147763,0.07712788125243271,0.03564977787075317,0.035311819691557646,0.07583833122023127,0.03774135733106971,0.056862093929645516,0.11768229830069318,0.05636944748646272
7,"'Lex', 'Luhn', 'LDA'",0.059619497939637736,0.12708340826064526,0.05836302871311063,0.03997775977460149,0.07309641148743504,0.029917496407822243,0.031141516097047923,0.0682479116338067,0.029701808813749217,0.05120020461887027,0.11420961994172839,0.045202461608423415
8,"'Lex', 'Luhn', 'Lsa'",0.0715344949771172,0.13769686403563527,0.0629042542943904,0.04647204905193127,0.08979935472509006,0.03311641619011024,0.032441455999629346,0.07506134698478446,0.029227689860985062,0.049526789799071554,0.11294038713453788,0.040889257062034105
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.07123652165037236,0.13614987205126,0.06378524192762741,0.04232459653240897,0.08254466099874154,0.03038603752705747,0.03570042606327396,0.07908090432077448,0.0313791543829217,0.04798908078927955,0.1110038344930621,0.040444298224412895
