,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.054125611350616755,0.11346032549306788,0.04536978483403382,0.025951755225625497,0.05133436491548908,0.01820397029701126,0.023927722134060792,0.05436915155635084,0.02112937184608026,0.03186319486581246,0.08968130273026348,0.025623295220925886
1,"'Lex', 'LDA'",0.05980928540425288,0.11681545297259044,0.0559562956357602,0.032243176129452475,0.06089853521483138,0.023049832598121368,0.028697682895071845,0.061747965732994965,0.02669239198523836,0.042441684438935555,0.08881860306763738,0.038522449013713864
2,"'Lex', 'Lsa'",0.05938844584597243,0.11635825151245383,0.050673220883582205,0.03132051696255058,0.058336018580545816,0.02278935600977846,0.029756625104145337,0.06239560472791094,0.025659013924299114,0.039536446904916075,0.09249531095552285,0.03327172455917853
3,"'Lex', 'Lsa', 'LDA'",0.05817553678887509,0.11308695761346445,0.05087924128904573,0.029098643600641648,0.053886460456847377,0.021448499674752833,0.02729103577853446,0.061920353748451194,0.024116507159064132,0.03663057669401576,0.08571024655925467,0.03234396010570055
4,"'Lex', 'Lsa', 'Tr'",0.05449479377664315,0.1182347897794232,0.048949065834796995,0.03211813570177209,0.05570356186168003,0.024585651321177657,0.029912311265568012,0.05417474676504485,0.03020765015123776,0.04146769036215583,0.10015577432782231,0.03428992987423774
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.054809006222705466,0.1189842667761088,0.04996857483203499,0.030759978416167993,0.05448038686712393,0.023550085452556112,0.027867998118790954,0.05615074173928908,0.028794744937104544,0.039030690779116826,0.09522143509802644,0.03430895085896031
6,"'Lex', 'Luhn'",0.07605389719965255,0.12237693594119199,0.08417726820388925,0.04198851534764347,0.062229300547500976,0.0373562278813697,0.03276785285689412,0.06419254858190097,0.0365815710855221,0.05249707387995494,0.09858921761423627,0.05324761756732169
7,"'Lex', 'Luhn', 'LDA'",0.06810997872652479,0.11233719139285733,0.07101807631244715,0.040246337164291664,0.06212577367984361,0.03367255021969486,0.031290462315454744,0.06288276491398061,0.031520307466796994,0.049534274570942324,0.09509439988340215,0.048491218587924184
8,"'Lex', 'Luhn', 'Lsa'",0.07580123922409053,0.12501083937045773,0.07207804563888069,0.0412897010753725,0.06955255446384992,0.03327530445427694,0.03539668789850821,0.06513259630899382,0.033542281391662175,0.05338790603346696,0.08818253290217147,0.052121720222682896
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.06471747752472373,0.11793195470149857,0.061788833799235145,0.034702720719773684,0.06256259500244309,0.027779019632405835,0.03094357761422192,0.06038724311645361,0.030000020981080133,0.04463056151648325,0.09228543515936408,0.042051330873011494
