,Model,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,"'LDA',",0.04908542881353396,0.10800586001635439,0.04188318925957277,0.02599071770680628,0.0565988681423931,0.017764188091384848,0.022569950268927136,0.05472764610529993,0.019783297633312477,0.03279891425940415,0.08448819252663912,0.027392246583154516
1,"'Lex', 'LDA'",0.05429077899156208,0.11695161453286557,0.04980474530746888,0.029064765049383875,0.05909538085265689,0.021140267364802158,0.027533774150516145,0.06068971131416893,0.026041942438256152,0.036683882241552036,0.08932367568635187,0.0322644749389341
2,"'Lex', 'Lsa'",0.053075509571854855,0.11183351558604125,0.04530988098325035,0.029324307928082344,0.06348696912144217,0.02018666612795937,0.024281057833289432,0.0612733886087243,0.020965965327827372,0.0376140044841457,0.09331056527163502,0.03091690275377734
3,"'Lex', 'Lsa', 'LDA'",0.051280778986280195,0.10901545924597084,0.04488876870500085,0.026932189275083753,0.058625301190836636,0.01861760670052193,0.024004300645261153,0.06097443773203316,0.021191045881029914,0.034471563918273725,0.0860717438457737,0.029495560129888812
4,"'Lex', 'Lsa', 'Tr'",0.055602667124087284,0.11539004880994592,0.04993929914697222,0.031832103592897155,0.05568629776583507,0.02461548516542134,0.02847924768597066,0.056021915671110284,0.028718093920727335,0.03760407679111478,0.09130312441248804,0.0341652460567836
5,"'Lex', 'Lsa', 'Tr', 'LDA'",0.05505187865978446,0.11794915373968479,0.050667245004164745,0.029089818644310338,0.05391120946710131,0.022519128098555437,0.027624811221716263,0.057393507769107066,0.027952308596090304,0.03454141208659788,0.08821918341159427,0.03280884000188826
6,"'Lex', 'Luhn'",0.07003019684924983,0.12503926005799565,0.0728633754703217,0.04586638661481075,0.06997504405700751,0.03870593628303156,0.03913816678500387,0.06951834516669907,0.041189328850689134,0.05715242590856527,0.10495325299730501,0.055607146429596195
7,"'Lex', 'Luhn', 'LDA'",0.06934839426572213,0.12546269853388398,0.06694360330857736,0.04316391686318135,0.06790813452041333,0.0358391966174522,0.04077345624352384,0.06869666235298275,0.039897364279090415,0.056745497525016925,0.09899901989270556,0.0534555462145818
8,"'Lex', 'Luhn', 'Lsa'",0.07654746473443455,0.12757954963444995,0.07150593931464368,0.04999609519326953,0.0785319104123552,0.04217518676361848,0.03696117805902077,0.07478401734920721,0.03435322127627535,0.060687594650830796,0.10251408932745926,0.05755237700817214
9,"'Lex', 'Luhn', 'Lsa', 'LDA'",0.06571256181387121,0.12677711524701377,0.05766470766975497,0.03724719889273031,0.06995724720263236,0.027421845099345196,0.033459060342030396,0.0747142841451295,0.028893476327551522,0.048912440041160715,0.10138174739899564,0.042433304362834344
10,"'Lex', 'Luhn', 'Lsa', 'Tr'",0.06364404781827626,0.1265606218098971,0.058864348052375524,0.03608578407152514,0.06834940864582548,0.026762008307533315,0.03345358586033632,0.06475241852461755,0.03245700238078217,0.0450982725212082,0.10137207604374314,0.03978421578157109
11,"'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA'",0.06313807058698269,0.12530916886412757,0.05864674977238934,0.03362220617727145,0.06377349292474653,0.02531087344830897,0.03373884659414939,0.06571887011494032,0.032723226766861804,0.04460557144064068,0.10296567285864763,0.0397925938772816
12,"'Lex', 'Luhn', 'Tr'",0.0771356865821751,0.14060538296584393,0.07456517057662088,0.0438702905577,0.06623638077595931,0.03655992694164915,0.04209747532902673,0.07703813711425958,0.04046346307437898,0.056552591751972324,0.10708196295726065,0.056979731216490886
13,"'Lex', 'Luhn', 'Tr', 'LDA'",0.07228497276221417,0.13478989475086905,0.0635305471493776,0.043619758519887905,0.07109682461787363,0.033823294461464724,0.04026203973933302,0.07313539069657334,0.036424991359880594,0.053098863867051156,0.09829748369830452,0.04761660193820894
14,"'Lex', 'Tr'",0.07453471057617223,0.13248029679209117,0.0782859855113434,0.03966520657438522,0.05835364307028712,0.03217081894064956,0.040496309042915145,0.0724230383574804,0.055411918316273456,0.05214356711342308,0.09524462867154317,0.059309587895314674
15,"'Lex', 'Tr', 'LDA'",0.06180044354772088,0.11776329740384112,0.06110833592049149,0.03451513980685179,0.05868640601439591,0.026302363173499037,0.033630398206245464,0.06461557841798508,0.03507976921721882,0.04349381141272484,0.08525574706091604,0.04276511672301776
16,"'Lex',",0.05552897253488616,0.11208052289576745,0.05443647218130598,0.034434946118505796,0.05986773982841778,0.028009840516863744,0.031405901046895245,0.060952721439543,0.03074541971307813,0.04553353096758351,0.09046673500156824,0.04305582884074025
17,"'Lsa', 'LDA'",0.04833252946262299,0.10665023846368887,0.04187861363681759,0.026024151954080615,0.058871051387667274,0.017542562097056347,0.022245856654619357,0.05846024164954678,0.019296231097664335,0.03224487314243353,0.07709674083129915,0.02812804617073462
