Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
"
Cambodian leader Hun Sen on Friday rejected opposition parties' demands 
for talks outside the country, accusing them of trying to ``internationalize'' 
the political crisis.",86.48,0.007123409783227323,102,-0.07343168717093904,0.004755077004096567,0.7576866892672625
"Government and opposition parties have asked 
King Norodom Sihanouk to host a summit meeting after a series of post-election 
negotiations between the two opposition groups and Hun Sen's party 
to form a new government failed.",230.0,0.010134684022735745,139,0.06998809518247225,0.0048972945681621145,0.7716090868995374
"Opposition leaders Prince Norodom 
Ranariddh and Sam Rainsy, citing Hun Sen's threats to arrest opposition 
figures after two alleged attempts on his life, said they could not 
negotiate freely in Cambodia and called for talks at Sihanouk's residence 
in Beijing.",68.08,0.0073103308426086255,158,-0.13659173126952232,0.004742502691538867,0.7762417797623337
"Hun Sen, however, rejected that.",0.0,0.005800282400518992,12,-0.0693730819084598,0.003591604107990986,0.6499663251161123
"``I would like to make 
it clear that all meetings related to Cambodian affairs must be conducted 
in the Kingdom of Cambodia,''",15.64,0.003378958370992266,59,0.004480247870693852,0.004543557741082571,0.7416188583339548
"Hun Sen told reporters after a Cabinet 
meeting on Friday.",7.36,0.0033674025797198553,38,-0.042072241952760346,0.004514034374571975,0.7213467566839615
"``No-one should internationalize Cambodian affairs. 
",2.7600000000000002,0.0021408920537176754,37,0.0008286482182050498,0.004306481019501434,0.6601875804910251
"It is detrimental to the sovereignty of Cambodia,'' he said.",1.84,0.0017831485032866602,30,-0.012178933806896903,0.0031940641106007997,0.6573554319182991
"Hun Sen's 
Cambodian People's Party won 64 of the 122 parliamentary seats in 
July's elections, short of the two-thirds majority needed to form 
a government on its own.",80.04,0.0061218633711205145,104,0.21064385632572133,0.004745054893422529,0.7669815755213317
"Ranariddh and Sam Rainsy have charged that 
Hun Sen's victory in the elections was achieved through widespread 
fraud.",11.96,0.006144063763768693,67,-0.09134211824566214,0.004455614216255649,0.7523672449196784
"They have demanded a thorough investigation into their election 
complaints as a precondition for their cooperation in getting the 
national assembly moving and a new government formed.",105.80000000000001,0.004914175337843416,93,0.09825340492632817,0.0046596230883801425,0.5469180000229396
"Hun Sen said 
on Friday that the opposition concerns over their safety in the country 
was ``just an excuse for them to stay abroad.''",65.32000000000001,0.005202720532840306,58,-0.08843957882961288,0.004749328205494518,0.7428533351223444
"Both Ranariddh and 
Sam Rainsy have been outside the country since parliament was ceremonially 
opened on Sep. 24.",35.88,0.0036173998248377214,56,-0.12061666982012074,0.004254862830227386,0.7413975643658621
"Sam Rainsy and a number of opposition figures have 
been under court investigation for a grenade attack on Hun Sen's Phnom 
Penh residence on Sep. 7.",57.04,0.0048420146189916404,91,-0.0976926651769042,0.0044399288811555965,0.7649799319680273
"Hun Sen was not home at the time of the 
attack, which was followed by a police crackdown on demonstrators 
contesting Hun Sen's election victory.",42.32,0.005129800722411376,75,-0.037666897880148244,0.004564240622088003,0.7595029406411936
