Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
"
Ariel Sharon, the hawkish former general tipped to be Israel's next 
foreign minister, said in an interview published Sunday that if he 
gets the job, he won't shake the hand of Palestinian leader Yasser 
Arafat.",118.68,0.007419188138854353,112,0.003610286497325497,0.004734565250631461,0.6787451715574638
"Sharon, who opposes ceding West Bank land to the Palestinians, 
is being considered for the government's No. 2 post.",32.2,0.005721803995435174,63,0.007353978763083472,0.004702033878563091,0.7439917973152702
"In it, he would 
be a pivotal figure in reaching a final peace settlement with the 
Palestinians.",54.28,0.005987992893264606,49,0.01722966586379915,0.004491837357454352,0.5944642247367078
"``Even if I will be appointed foreign minister and run 
the negotiations, I won't shake Yasser Arafat's hand,'' Sharon was 
quoted as saying in the Yediot Ahronot daily.",98.44,0.0042186108340782754,87,-0.013155236140096832,0.004398516615239137,0.7622519279228681
"The newspaper said Prime 
Minister Benjamin Netanyahu is close to making a decision on the appointment. 
",41.4,0.009322501655546267,67,-0.055374925128359606,0.004591940988873009,0.7435631570864468
"Netanyahu himself has been acting foreign minister since the post 
was vacated in January by David Levy, a moderate who opposed Netanyahu's 
hardline negotiating strategy with the Palestinians.",97.52000000000001,0.0034031020874217646,116,-0.01629407259752688,0.0047452409891010116,0.7636938669530537
"Sharon's appointment 
would signal a toughening of Israel's positions and could further 
strain relations with Arab neighbors.",25.76,0.0030897059788030385,73,0.015903688954341643,0.004496708672700421,0.7468621883736033
"Sharon is the general who led 
Israel's 1982 invasion of Lebanon, and a former housing minister who 
strengthened Jewish settlement in territories Israel captured from 
Syria, Jordan and Egypt in the 1967 Mideast war.",112.24000000000001,0.01147061705439253,135,0.1461103659315272,0.004658569183872477,0.5418057054644373
"Sharon told the Haaretz 
newspaper he would accept the foreign minister's job if he were allowed 
to ``act to strengthen the country.'' 
 
",109.48,0.004651527087406415,75,-0.024968013280717242,0.004712920938994456,0.7546633821380444
"Brief biography of Ariel Sharon, named Israel's foreign minister: 
___ 1928:",86.48,0.0060772247345530685,50,-0.03837844669101318,0.00419714293702038,0.7272381874177293
Born in Kfar Mallal in British-ruled Palestine.,1.84,0.0024713895569288824,35,0.0067865539345493536,0.004236198525776457,0.7195432743343204
"1948 Mideast 
war:",11.96,0.004153783465004171,14,0.01509187575937387,0.00382871712695486,0.6662135209589413
"Fights as junior officer, wounded three times.",3.68,0.0033813236314943944,27,0.001492734663071948,0.003859328837015323,0.7103717359229191
1953:,0.92,0.004583333333333333,4,1.9842883200801343e-05,0.0022524071908099803,0.5308361542546755
"Forms elite 
commando unit ``101'' and leads it on raids against Palestinian guerrillas 
who had been attacking Israeli border villages.",10.120000000000001,0.0021446001843458415,78,0.021683909383817604,0.0042234996563512706,0.7597964485572328
"1956 Sinai campaign: 
Commands a parachute brigade that is dropped behind enemy lines, captures 
a key pass and cuts off Egyptian army's retreat.",10.120000000000001,0.0025497406371515433,90,0.009794995257074288,0.004140941975023213,0.7648737025085185
