Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
"
Organizers of December's Asian Games have dismissed press reports 
that a sports complex would not be completed on time, saying preparations 
are well in hand, a local newspaper said Friday.",24.84,0.007449378100440069,103,-0.056290395839775555,0.004991553970010023,0.7635516453319862
"Santiparb Tejavanija, 
deputy secretary of the Bangkok Asian Games Organizing Committee, 
said construction of the sports complex at the Muang Thong Thani housing 
estate is 95 percent complete and will be finished this month, the 
Bangkok Post reported.",42.32,0.009522744203019646,166,0.00795746994662135,0.004670268734810833,0.7764755889259087
"Liquidity problems at Bangkok Land, the company 
that owns the housing estate, threatened to prevent the company from 
finishing the complex in time for the Dec. 6-20 games.",23.92,0.003936439064544922,100,-0.01952867559505486,0.004797853740116589,0.7664203676585728
"Deputy Prime 
Minister Bhichai Rattakul, who chairs the organizing committee, expressed 
doubt last month that the complex would be completed on time because 
of the financial problems.",37.72,0.005615112042090316,110,-0.0011893997606236798,0.004593232466438135,0.7657566109586202
"Santiparb told the Post the money problems 
had been overcome by shifting 200 million baht (dlrs 5 million) worth 
of credit guarantees from a project that had been scrapped to cover 
the construction cost of the complex.",49.68,0.0037813125929487537,128,0.016878488776498522,0.004421579829321672,0.7737456091780901
"Preparations for the games have 
been plagued by political interference by previous governments, alleged 
corruption and incompetence.",8.280000000000001,0.002004384350099892,88,-0.02679391522383475,0.0043009431767028275,0.7506028418779045
"The decision to award the contract for 
the sports complex was controversial, with critics calling it an attempt 
to bail out the property developer's failed housing estate.",24.84,0.002368456787585934,101,-0.0030472413876035053,0.004517030886662888,0.7618010981497209
"Doubts 
over Thailand's ability to stage the games increased over the past 
year-and-a-half after the country entered its worst economic downturn 
in decades.",21.16,0.0024222886142295248,93,-0.035198220519604966,0.0049242747238652336,0.7639508360269951
"The body governing the games threatened several times 
to award Asia's version of the Olympics to other countries, but Thailand 
argued that all would be ready by opening day.",15.64,0.005634360415903712,87,-0.050377110196187645,0.0050025481560616696,0.7634598490177322
"The Bangkok games are 
expected to attract more than 10,000 athletes from 43 nations. 
 
",6.44,0.005049346211653122,45,0.007270330936615127,0.004552661352976902,0.7413240676286893
"Thailand showed its nearly complete facilities for the Asian Games 
to a tough jury Thursday _",8.280000000000001,0.006839017558914779,54,-0.07746473190213501,0.0049259923603158715,0.7367182305854205
"the heads of the organizing committees 
from the 43 nations competing in the December event.",6.44,0.0052608421486730296,49,-0.01725601793333807,0.004727923309070509,0.735849882829683
"Thailand won 
host rights for the quadrennial games in 1995, but setbacks in preparations 
led officials of the Olympic Council of Asia late last year to threaten 
to move the games to another country.",36.800000000000004,0.0096369249360174,118,-0.07062968203317296,0.004973126765647983,0.7714956577954638
"They complained that the Thai 
organizers were behind in constructing facilities and had failed to 
keep them informed.",1.84,0.0026171272050981758,48,0.0006074384763501734,0.004174490521620605,0.7314684495776159
"It appeared that Thursday's tour was successful 
in reassuring everyone.",3.68,0.00213751347173181,38,-0.001383465074894715,0.004622471780010165,0.708748895946147
"``We have a strong of sense of relief,'' said 
Abdul Muttaleb al-Ahmad, director general of the Kuwait-based Olympic 
Council of Asia and a frequent critic of Thailand's organizing committee. 
",28.52,0.0035398072968270255,121,0.016429847523520443,0.004580792823039903,0.7722819171901036
``Everything is 99 percent completed.'',2.7600000000000002,0.002107581735743084,17,-0.012672579688151595,0.00369199003248463,0.6556212023878204
"In a welcoming speech, Thai 
Deputy Prime Minister Bhichai Rattakul, also chairman of the Thai 
organizing committee, told delegation members to cast aside any doubts 
over whether the Dec. 6-20 games will be a success.",29.44,0.0063760872547364835,129,-0.013766077942839109,0.004672069016444711,0.7741156808942068
"``I can hereby 
confirm that regardless of what Thailand has faced, we ... have tried 
to accommodate all requests for the 13th Asian Games,'' said Bhichai. 
",3.68,0.004219918748468252,57,-0.06039612285389735,0.004726587505066635,0.7431154644355433
"Since the Thai organizers began their preparations, they have faced 
many difficulties, most of them resulting from the country's financial 
crisis, he said.",17.48,0.004330977343807385,72,-0.010641075479186348,0.00462137270805964,0.748439946521799
"But the country was able to pull it through, he added. 
",15.64,0.0044572162997707455,14,-0.0113384191988954,0.0044412510226183805,0.6547071416639186
``This is an example of Asia's resiliency.,0.92,0.0028422856425051506,15,-0.005566471847041225,-0.000678711696178354,0.6149426177138436
"We have financial problems 
in all of Asia but still we are able to prepare commendably,'' said 
Manuel Veguillas, head of the Philippine delegation.",13.8,0.003276272585516447,77,-0.005584110157961049,0.004440341861373231,0.7505495378330539
"``I am impressed,'' 
said Tu Mingde, secretary-general of China's Olympic Committee.",0.92,0.003397899455790513,56,0.009100384137275135,0.0038615338311614074,0.7359226177379814
"``The 
games will be a success.''",5.5200000000000005,0.0032765587887614,11,-0.06545739118411871,0.004075920445639766,0.615760638128168
