Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
the commander of lebanon s army will become the country s next president after winning the crucial backing of syria the powerbroker in lebanon.,195,0.009589221336277865,76,-0.1410753292022694,0.006185052590554722,0.933742159084191
congratulations your excellency the general lebanese prime minister rafik hariri told army commander emile lahoud in a telephone conversation monday that was headlined on the front page of the leftist newspaper as safir.,284,0.0070327703978537185,156,-0.1613162971409956,0.006068752133539059,0.9657234412052013
lebanese media said the matter was settled monday at a meeting in damascus between outgoing president elias hrawi and syrian president hafez assad whose country dominates its weaker smaller neighbor.,190,0.005801681513606294,131,0.11076309290643968,0.006397817512892547,0.670947308592361
agriculture minister shawki fakhoury a hrawi confidant said tuesday that lahoud is expected to be elected by the member parliament at an extraordinary session on oct. .,168,0.005837793647666122,110,-0.03278960055879207,0.005922428449090674,0.9569378188148987
the election is a formality since other candidates have little chance now that syria has thrown its weight behind gen. lahoud.,89,0.00482161513934539,57,-0.07657812423220867,0.0060608560091634685,0.9298290044344102
in another formality before the election the parliament will amend the constitution which forbids senior public servants from running for president.,107,0.0069126338978687946,81,-0.011517453496709708,0.006252273567475546,0.9331581910200363
the new president must be sworn in on nov.,56,0.0033048858887616784,17,0.1462712779892451,0.004872251072758261,0.8219133977621481
the day hrawi leaves office at the end of his six year term.,73,0.00718252549940487,30,0.6602171110426631,0.00636572188843808,0.9039462826454686
the choice of lahoud a maronite catholic will continue a year old tradition under which the president is a maronite the prime minister a sunni muslim and the parliament speaker a shiite muslim.,289,0.006737681539934301,119,-0.07340307026939868,0.006094560008063777,0.9548399611747056
agreement among the three officials is essential for the smooth running of the government.,22,0.003383565503914905,45,0.014869681929146759,0.006223368630602357,0.9033374293663489
since lahoud has a good relationship with hariri and speaker nabih berri little change was expected in government policy.,156,0.004061321318755899,73,-0.0840721041003074,0.0062165017844204844,0.9334631062437995
lahoud s nomination ends weeks of suspense over the identity of the next head of state.,77,0.004246229716257195,48,-0.015756445662149527,0.006369678706954137,0.9213351242558552
lahoud a year old naval officer trained in britain and the united states enjoys wide public and political support at home and has good relations with syria.,143,0.0047780420297713596,98,-0.020746925543123948,0.006437207375046764,0.9605072395272378
but the choice could not have been sealed before a final say from assad who keeps troops in this country.,34,0.0026517339888677436,32,-0.002437007733179959,0.00603361153479025,0.8934515399651655
his word is referred to in the beirut media as the password.,4,0.006060606060606061,28,3.481964326027232e-05,0.0051186493827031125,0.8882657866587539
lahoud elevated from rear admiral to general and appointed army commander in amid a rebellion in the fractured military during the civil war is credited with rebuilding the strong lebanese army and in ending the reign of militias.,204,0.006926064594024446,134,-0.19358023158962462,0.006092248257067226,0.9667477774606931
in lebanon the army commander heads the air force navy and the ground forces.,79,0.003947649155483782,47,-0.08761242471130093,0.005393913123479639,0.9287254211773964
many hope he will copy his success with the military in government which is plagued by nepotism and waste of public funds.,55,0.00416905926715038,62,-0.03434321495397132,0.006013640964927824,0.9387094932312476
but some fear that a military man in the nation s highest office could mean a return to the use of intelligence services to track civilian life the case under fouad chehab the only other army commander to become president who ruled from to .,150,0.0054076432798515865,114,0.021525453001094565,0.006397856954112073,0.962257091868117
the election of a military man is a threat to democracy in lebanon raymond edde a christian politician living in self imposed exile in france told the an nahar newspaper.,83,0.004767585243076074,110,-0.04809885552454838,0.006355253786193823,0.9609363005980878
a cabinet minister and a close syria ally on wednesday criticized the syrian backed choice of the army commander as president and said he will boycott a vote to elect the military man for the executive post. walid jumblatt the minister for displaced persons said he and his party s three legislators will not vote when the member parliament elects the president likely sometime before oct. .,355,0.009176942140700252,214,-0.13395911557548265,0.0066303133300988654,0.978066450484302
although a boycott by jumblatt s progressive socialist party will hardly spoil the chances of gen. emile lahoud it could embolden others to express discontent at the choice and the process of his election.,117,0.0035645593304071185,111,-0.06877516637655226,0.005962331972679152,0.959125264826833
lahoud is virtually assured of the job the prime minister and the parliament speaker first approved lahoud who then won the all important backing of syria the main power broker in lebanon.,305,0.008848635862922961,110,-0.157779773832451,0.006645779885416384,0.9589821504370801
historically we do not approve that a military man takes control of the country jumblatt told reporters after a meeting with outgoing president elias hrawi.,141,0.005702624638355189,102,0.13249500391329794,0.0066526977442616445,0.9507246519922733
although opposition to syria s hold on lebanon s politics is common among anti syrian politicians it is rare for somebody like jumblatt to openly speak against a decision personally cleared by syrian president hafez assad who keeps troops in lebanon.,169,0.0032134336320249596,144,-0.05527139169793423,0.006346365441869206,0.9666148268263498
