,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.2702),tensor(0.2545),tensor(0.2502),tensor(0.2236),tensor(0.2924),tensor(0.2948),tensor(0.2548),tensor(0.2627),tensor(0.2549),tensor(0.2769),tensor(0.2566),tensor(0.2505),tensor(0.2777),tensor(0.2287),tensor(0.2815),tensor(0.2957),tensor(0.2562),tensor(0.2549),tensor(0.2701),tensor(0.2610),tensor(0.2815),tensor(0.2766),tensor(0.2585),tensor(0.2791),tensor(0.2768),tensor(0.2827),tensor(0.2802),tensor(0.2808),tensor(0.2707),tensor(0.2701),tensor(0.2562)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.1912),tensor(0.1793),tensor(0.1720),tensor(0.2160),tensor(0.2197),tensor(0.2206),tensor(0.1758),tensor(0.2006),tensor(0.1797),tensor(0.1976),tensor(0.1948),tensor(0.1721),tensor(0.1948),tensor(0.2146),tensor(0.2346),tensor(0.2211),tensor(0.1797),tensor(0.1758),tensor(0.1891),tensor(0.1970),tensor(0.2071),tensor(0.1976),tensor(0.1945),tensor(0.2036),tensor(0.1941),tensor(0.2333),tensor(0.2043),tensor(0.2062),tensor(0.1896),tensor(0.1913),tensor(0.1796)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4738),tensor(0.4491),tensor(0.4705),tensor(0.2487),tensor(0.4465),tensor(0.4576),tensor(0.4734),tensor(0.3985),tensor(0.4491),tensor(0.4733),tensor(0.3955),tensor(0.4708),tensor(0.4948),tensor(0.2601),tensor(0.3706),tensor(0.4591),tensor(0.4594),tensor(0.4738),tensor(0.4838),tensor(0.4034),tensor(0.4505),tensor(0.4722),tensor(0.4041),tensor(0.4598),tensor(0.4938),tensor(0.3770),tensor(0.4620),tensor(0.4512),tensor(0.4848),tensor(0.4729),tensor(0.4602)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0608),tensor(0.0555),tensor(0.0475),tensor(0.0441),tensor(0.0538),tensor(0.0661),tensor(0.0582),tensor(0.0553),tensor(0.0560),tensor(0.0622),tensor(0.0513),tensor(0.0491),tensor(0.0630),tensor(0.0439),tensor(0.0573),tensor(0.0668),tensor(0.0558),tensor(0.0584),tensor(0.0607),tensor(0.0541),tensor(0.0624),tensor(0.0623),tensor(0.0521),tensor(0.0626),tensor(0.0625),tensor(0.0590),tensor(0.0633),tensor(0.0615),tensor(0.0613),tensor(0.0607),tensor(0.0555)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0428),tensor(0.0389),tensor(0.0325),tensor(0.0419),tensor(0.0403),tensor(0.0491),tensor(0.0401),tensor(0.0418),tensor(0.0392),tensor(0.0442),tensor(0.0389),tensor(0.0336),tensor(0.0439),tensor(0.0402),tensor(0.0470),tensor(0.0496),tensor(0.0392),tensor(0.0402),tensor(0.0424),tensor(0.0405),tensor(0.0457),tensor(0.0443),tensor(0.0393),tensor(0.0455),tensor(0.0436),tensor(0.0478),tensor(0.0460),tensor(0.0449),tensor(0.0428),tensor(0.0428),tensor(0.0390)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.1079),tensor(0.0993),tensor(0.0902),tensor(0.0498),tensor(0.0825),tensor(0.1041),tensor(0.1089),tensor(0.0848),tensor(0.1001),tensor(0.1072),tensor(0.0789),tensor(0.0932),tensor(0.1136),tensor(0.0512),tensor(0.0772),tensor(0.1049),tensor(0.0992),tensor(0.1092),tensor(0.1094),tensor(0.0843),tensor(0.1011),tensor(0.1074),tensor(0.0811),tensor(0.1035),tensor(0.1129),tensor(0.0806),tensor(0.1047),tensor(0.1000),tensor(0.1107),tensor(0.1075),tensor(0.0990)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1429),tensor(0.1355),tensor(0.1255),tensor(0.1367),tensor(0.1447),tensor(0.1562),tensor(0.1320),tensor(0.1476),tensor(0.1359),tensor(0.1456),tensor(0.1370),tensor(0.1258),tensor(0.1439),tensor(0.1378),tensor(0.1515),tensor(0.1569),tensor(0.1383),tensor(0.1332),tensor(0.1408),tensor(0.1467),tensor(0.1478),tensor(0.1459),tensor(0.1405),tensor(0.1493),tensor(0.1436),tensor(0.1524),tensor(0.1509),tensor(0.1472),tensor(0.1412),tensor(0.1433),tensor(0.1385)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.1013),tensor(0.0956),tensor(0.0861),tensor(0.1336),tensor(0.1086),tensor(0.1169),tensor(0.0910),tensor(0.1126),tensor(0.0959),tensor(0.1040),tensor(0.1042),tensor(0.0863),tensor(0.1008),tensor(0.1300),tensor(0.1268),tensor(0.1173),tensor(0.0971),tensor(0.0919),tensor(0.0985),tensor(0.1107),tensor(0.1087),tensor(0.1043),tensor(0.1059),tensor(0.1089),tensor(0.1006),tensor(0.1261),tensor(0.1101),tensor(0.1081),tensor(0.0988),tensor(0.1016),tensor(0.0971)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2498),tensor(0.2384),tensor(0.2373),tensor(0.1508),tensor(0.2215),tensor(0.2426),tensor(0.2454),tensor(0.2240),tensor(0.2388),tensor(0.2485),tensor(0.2107),tensor(0.2374),tensor(0.2571),tensor(0.1562),tensor(0.1990),tensor(0.2438),tensor(0.2479),tensor(0.2477),tensor(0.2529),tensor(0.2269),tensor(0.2368),tensor(0.2485),tensor(0.2196),tensor(0.2458),tensor(0.2569),tensor(0.2030),tensor(0.2484),tensor(0.2367),tensor(0.2536),tensor(0.2502),tensor(0.2485)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2275),tensor(0.2139),tensor(0.2077),tensor(0.1992),tensor(0.2451),tensor(0.2509),tensor(0.2115),tensor(0.2287),tensor(0.2139),tensor(0.2330),tensor(0.2205),tensor(0.2082),tensor(0.2338),tensor(0.2044),tensor(0.2403),tensor(0.2523),tensor(0.2148),tensor(0.2109),tensor(0.2258),tensor(0.2263),tensor(0.2380),tensor(0.2327),tensor(0.2218),tensor(0.2352),tensor(0.2326),tensor(0.2410),tensor(0.2364),tensor(0.2378),tensor(0.2260),tensor(0.2285),tensor(0.2146)
