,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0363),tensor(0.3747),tensor(0.2667),tensor(0.2446),tensor(0.2452),tensor(0.2163),tensor(0.2961),tensor(0.2958),tensor(0.2485),tensor(0.2604),tensor(0.2465),tensor(0.2701),tensor(0.2545),tensor(0.2453),tensor(0.2725),tensor(0.2213),tensor(0.2765),tensor(0.2963),tensor(0.2490),tensor(0.2487),tensor(0.2607),tensor(0.2580),tensor(0.2801),tensor(0.2697),tensor(0.2539),tensor(0.2781),tensor(0.2725),tensor(0.2783),tensor(0.2786),tensor(0.2796),tensor(0.2608),tensor(0.2678),tensor(0.2486)
rouge1_precision,tensor(0.0186),tensor(0.3770),tensor(0.1894),tensor(0.1726),tensor(0.1686),tensor(0.2143),tensor(0.2230),tensor(0.2224),tensor(0.1717),tensor(0.2006),tensor(0.1741),tensor(0.1931),tensor(0.1936),tensor(0.1686),tensor(0.1916),tensor(0.2110),tensor(0.2327),tensor(0.2224),tensor(0.1749),tensor(0.1719),tensor(0.1826),tensor(0.1961),tensor(0.2072),tensor(0.1929),tensor(0.1918),tensor(0.2037),tensor(0.1915),tensor(0.2321),tensor(0.2040),tensor(0.2064),tensor(0.1827),tensor(0.1902),tensor(0.1744)
rouge1_recall,tensor(0.8969),tensor(0.3732),tensor(0.4647),tensor(0.4304),tensor(0.4604),tensor(0.2367),tensor(0.4494),tensor(0.4559),tensor(0.4600),tensor(0.3912),tensor(0.4323),tensor(0.4605),tensor(0.3913),tensor(0.4603),tensor(0.4834),tensor(0.2481),tensor(0.3603),tensor(0.4573),tensor(0.4453),tensor(0.4605),tensor(0.4663),tensor(0.3960),tensor(0.4448),tensor(0.4594),tensor(0.3957),tensor(0.4553),tensor(0.4838),tensor(0.3667),tensor(0.4565),tensor(0.4456),tensor(0.4661),tensor(0.4660),tensor(0.4457)
rouge2_fmeasure,tensor(0.0170),tensor(0.0842),tensor(0.0572),tensor(0.0471),tensor(0.0464),tensor(0.0386),tensor(0.0546),tensor(0.0627),tensor(0.0506),tensor(0.0512),tensor(0.0479),tensor(0.0578),tensor(0.0476),tensor(0.0469),tensor(0.0616),tensor(0.0390),tensor(0.0537),tensor(0.0626),tensor(0.0484),tensor(0.0506),tensor(0.0569),tensor(0.0497),tensor(0.0575),tensor(0.0580),tensor(0.0471),tensor(0.0606),tensor(0.0611),tensor(0.0533),tensor(0.0611),tensor(0.0570),tensor(0.0571),tensor(0.0573),tensor(0.0479)
rouge2_precision,tensor(0.0087),tensor(0.0847),tensor(0.0405),tensor(0.0330),tensor(0.0316),tensor(0.0366),tensor(0.0409),tensor(0.0469),tensor(0.0348),tensor(0.0395),tensor(0.0336),tensor(0.0411),tensor(0.0360),tensor(0.0320),tensor(0.0430),tensor(0.0362),tensor(0.0449),tensor(0.0468),tensor(0.0339),tensor(0.0348),tensor(0.0396),tensor(0.0377),tensor(0.0425),tensor(0.0412),tensor(0.0354),tensor(0.0442),tensor(0.0427),tensor(0.0439),tensor(0.0446),tensor(0.0421),tensor(0.0398),tensor(0.0405),tensor(0.0334)
rouge2_recall,tensor(0.4305),tensor(0.0839),tensor(0.1005),tensor(0.0845),tensor(0.0888),tensor(0.0429),tensor(0.0837),tensor(0.0977),tensor(0.0951),tensor(0.0768),tensor(0.0854),tensor(0.0999),tensor(0.0739),tensor(0.0897),tensor(0.1112),tensor(0.0446),tensor(0.0708),tensor(0.0977),tensor(0.0875),tensor(0.0951),tensor(0.1030),tensor(0.0764),tensor(0.0913),tensor(0.1001),tensor(0.0737),tensor(0.1005),tensor(0.1105),tensor(0.0714),tensor(0.1014),tensor(0.0909),tensor(0.1034),tensor(0.1007),tensor(0.0872)
rougeL_fmeasure,tensor(0.0260),tensor(0.1941),tensor(0.1411),tensor(0.1332),tensor(0.1268),tensor(0.1329),tensor(0.1455),tensor(0.1496),tensor(0.1317),tensor(0.1467),tensor(0.1354),tensor(0.1438),tensor(0.1379),tensor(0.1261),tensor(0.1412),tensor(0.1337),tensor(0.1514),tensor(0.1495),tensor(0.1318),tensor(0.1322),tensor(0.1398),tensor(0.1442),tensor(0.1470),tensor(0.1445),tensor(0.1368),tensor(0.1452),tensor(0.1419),tensor(0.1502),tensor(0.1457),tensor(0.1475),tensor(0.1402),tensor(0.1408),tensor(0.1322)
rougeL_precision,tensor(0.0133),tensor(0.1951),tensor(0.1002),tensor(0.0940),tensor(0.0871),tensor(0.1338),tensor(0.1094),tensor(0.1123),tensor(0.0910),tensor(0.1132),tensor(0.0957),tensor(0.1027),tensor(0.1049),tensor(0.0866),tensor(0.0992),tensor(0.1286),tensor(0.1278),tensor(0.1121),tensor(0.0924),tensor(0.0912),tensor(0.0979),tensor(0.1096),tensor(0.1088),tensor(0.1033),tensor(0.1032),tensor(0.1062),tensor(0.0996),tensor(0.1255),tensor(0.1065),tensor(0.1089),tensor(0.0982),tensor(0.1001),tensor(0.0926)
rougeL_recall,tensor(0.6479),tensor(0.1934),tensor(0.2458),tensor(0.2343),tensor(0.2389),tensor(0.1435),tensor(0.2219),tensor(0.2311),tensor(0.2445),tensor(0.2208),tensor(0.2374),tensor(0.2456),tensor(0.2123),tensor(0.2374),tensor(0.2515),tensor(0.1488),tensor(0.1972),tensor(0.2312),tensor(0.2369),tensor(0.2455),tensor(0.2504),tensor(0.2221),tensor(0.2335),tensor(0.2464),tensor(0.2137),tensor(0.2386),tensor(0.2530),tensor(0.1979),tensor(0.2398),tensor(0.2352),tensor(0.2509),tensor(0.2448),tensor(0.2380)
rougeLsum_fmeasure,tensor(0.0351),tensor(0.3368),tensor(0.2265),tensor(0.2072),tensor(0.2044),tensor(0.1907),tensor(0.2463),tensor(0.2453),tensor(0.2037),tensor(0.2258),tensor(0.2082),tensor(0.2257),tensor(0.2170),tensor(0.2047),tensor(0.2295),tensor(0.1974),tensor(0.2382),tensor(0.2455),tensor(0.2073),tensor(0.2040),tensor(0.2191),tensor(0.2234),tensor(0.2338),tensor(0.2253),tensor(0.2166),tensor(0.2341),tensor(0.2288),tensor(0.2391),tensor(0.2349),tensor(0.2338),tensor(0.2197),tensor(0.2284),tensor(0.2058)
