Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
tensor(0.0361),tensor(0.3812),tensor(0.2658),tensor(0.3065),tensor(0.2655),tensor(0.2065),tensor(0.3065),tensor(0.2577),tensor(0.2867),tensor(0.2632),tensor(0.2727),tensor(0.2675),tensor(0.2586),tensor(0.2889),tensor(0.2752),tensor(0.3069),tensor(0.3081),tensor(0.2612),tensor(0.2669),tensor(0.2628),tensor(0.2111),tensor(0.2280),tensor(0.2801),tensor(0.2810),tensor(0.2851),tensor(0.2871),tensor(0.2865),tensor(0.2693),tensor(0.2630),tensor(0.2588),tensor(0.2747),tensor(0.2697),tensor(0.2587),tensor(0.2933),tensor(0.2888),tensor(0.2901),tensor(0.2778),tensor(0.2832),tensor(0.3079),tensor(0.2669),tensor(0.2624),tensor(0.2621),tensor(0.2301),tensor(0.2866),tensor(0.2818),tensor(0.2753),tensor(0.2836),tensor(0.2864),tensor(0.2869),tensor(0.2692),tensor(0.2680),tensor(0.2589),tensor(0.2695),tensor(0.2938),tensor(0.2915),tensor(0.2897),tensor(0.2856),tensor(0.2630),tensor(0.2873),tensor(0.2838),tensor(0.2765),tensor(0.2864),tensor(0.2665),tensor(0.2907),tensor(0.2841)
tensor(0.0185),tensor(0.3814),tensor(0.1978),tensor(0.2440),tensor(0.1910),tensor(0.2232),tensor(0.2457),tensor(0.1890),tensor(0.2154),tensor(0.1906),tensor(0.2216),tensor(0.1991),tensor(0.1925),tensor(0.2130),tensor(0.2477),tensor(0.2439),tensor(0.2421),tensor(0.2100),tensor(0.1922),tensor(0.1898),tensor(0.2236),tensor(0.2316),tensor(0.2063),tensor(0.2074),tensor(0.2215),tensor(0.2160),tensor(0.2152),tensor(0.1989),tensor(0.1903),tensor(0.1875),tensor(0.2224),tensor(0.2165),tensor(0.1924),tensor(0.2261),tensor(0.2129),tensor(0.2144),tensor(0.2465),tensor(0.2489),tensor(0.2422),tensor(0.2128),tensor(0.2071),tensor(0.1892),tensor(0.2307),tensor(0.2145),tensor(0.2081),tensor(0.2027),tensor(0.2199),tensor(0.2227),tensor(0.2154),tensor(0.1984),tensor(0.1974),tensor(0.1875),tensor(0.2139),tensor(0.2260),tensor(0.2258),tensor(0.2140),tensor(0.2479),tensor(0.2071),tensor(0.2149),tensor(0.2121),tensor(0.2036),tensor(0.2225),tensor(0.1961),tensor(0.2249),tensor(0.2124)
tensor(0.9003),tensor(0.3819),tensor(0.4142),tensor(0.4231),tensor(0.4445),tensor(0.2089),tensor(0.4153),tensor(0.4132),tensor(0.4363),tensor(0.4337),tensor(0.3718),tensor(0.4163),tensor(0.4023),tensor(0.4581),tensor(0.3284),tensor(0.4231),tensor(0.4328),tensor(0.3645),tensor(0.4454),tensor(0.4354),tensor(0.2160),tensor(0.2390),tensor(0.4456),tensor(0.4447),tensor(0.4103),tensor(0.4362),tensor(0.4358),tensor(0.4286),tensor(0.4339),tensor(0.4256),tensor(0.3774),tensor(0.3747),tensor(0.4030),tensor(0.4286),tensor(0.4577),tensor(0.4572),tensor(0.3352),tensor(0.3477),tensor(0.4317),tensor(0.3768),tensor(0.3746),tensor(0.4349),tensor(0.2453),tensor(0.4428),tensor(0.4458),tensor(0.4372),tensor(0.4094),tensor(0.4116),tensor(0.4367),tensor(0.4297),tensor(0.4277),tensor(0.4256),tensor(0.3779),tensor(0.4309),tensor(0.4241),tensor(0.4567),tensor(0.3560),tensor(0.3781),tensor(0.4444),tensor(0.4397),tensor(0.4390),tensor(0.4120),tensor(0.4263),tensor(0.4241),tensor(0.4399)
tensor(0.0178),tensor(0.0961),tensor(0.0511),tensor(0.0635),tensor(0.0535),tensor(0.0306),tensor(0.0549),tensor(0.0473),tensor(0.0595),tensor(0.0512),tensor(0.0513),tensor(0.0521),tensor(0.0456),tensor(0.0631),tensor(0.0498),tensor(0.0634),tensor(0.0692),tensor(0.0459),tensor(0.0537),tensor(0.0503),tensor(0.0317),tensor(0.0345),tensor(0.0530),tensor(0.0590),tensor(0.0554),tensor(0.0597),tensor(0.0601),tensor(0.0534),tensor(0.0512),tensor(0.0476),tensor(0.0516),tensor(0.0477),tensor(0.0468),tensor(0.0628),tensor(0.0628),tensor(0.0633),tensor(0.0509),tensor(0.0533),tensor(0.0683),tensor(0.0478),tensor(0.0463),tensor(0.0505),tensor(0.0346),tensor(0.0597),tensor(0.0590),tensor(0.0558),tensor(0.0550),tensor(0.0575),tensor(0.0605),tensor(0.0529),tensor(0.0530),tensor(0.0476),tensor(0.0479),tensor(0.0633),tensor(0.0616),tensor(0.0632),tensor(0.0537),tensor(0.0460),tensor(0.0608),tensor(0.0588),tensor(0.0563),tensor(0.0575),tensor(0.0518),tensor(0.0617),tensor(0.0589)
tensor(0.0091),tensor(0.0961),tensor(0.0381),tensor(0.0506),tensor(0.0386),tensor(0.0313),tensor(0.0438),tensor(0.0346),tensor(0.0448),tensor(0.0372),tensor(0.0419),tensor(0.0388),tensor(0.0339),tensor(0.0465),tensor(0.0447),tensor(0.0504),tensor(0.0543),tensor(0.0373),tensor(0.0388),tensor(0.0363),tensor(0.0320),tensor(0.0342),tensor(0.0390),tensor(0.0437),tensor(0.0431),tensor(0.0450),tensor(0.0452),tensor(0.0397),tensor(0.0372),tensor(0.0345),tensor(0.0421),tensor(0.0384),tensor(0.0347),tensor(0.0488),tensor(0.0464),tensor(0.0469),tensor(0.0450),tensor(0.0468),tensor(0.0536),tensor(0.0386),tensor(0.0371),tensor(0.0364),tensor(0.0340),tensor(0.0449),tensor(0.0437),tensor(0.0412),tensor(0.0427),tensor(0.0448),tensor(0.0455),tensor(0.0393),tensor(0.0393),tensor(0.0345),tensor(0.0380),tensor(0.0491),tensor(0.0479),tensor(0.0468),tensor(0.0464),tensor(0.0367),tensor(0.0457),tensor(0.0442),tensor(0.0415),tensor(0.0448),tensor(0.0383),tensor(0.0479),tensor(0.0442)
tensor(0.4473),tensor(0.0962),tensor(0.0795),tensor(0.0875),tensor(0.0892),tensor(0.0319),tensor(0.0747),tensor(0.0761),tensor(0.0902),tensor(0.0838),tensor(0.0696),tensor(0.0811),tensor(0.0712),tensor(0.0997),tensor(0.0596),tensor(0.0872),tensor(0.0972),tensor(0.0634),tensor(0.0891),tensor(0.0834),tensor(0.0330),tensor(0.0369),tensor(0.0844),tensor(0.0924),tensor(0.0790),tensor(0.0902),tensor(0.0909),tensor(0.0838),tensor(0.0838),tensor(0.0783),tensor(0.0702),tensor(0.0662),tensor(0.0733),tensor(0.0906),tensor(0.0993),tensor(0.0992),tensor(0.0618),tensor(0.0657),tensor(0.0957),tensor(0.0663),tensor(0.0648),tensor(0.0839),tensor(0.0374),tensor(0.0916),tensor(0.0924),tensor(0.0882),tensor(0.0786),tensor(0.0819),tensor(0.0917),tensor(0.0831),tensor(0.0835),tensor(0.0781),tensor(0.0671),tensor(0.0915),tensor(0.0887),tensor(0.0990),tensor(0.0672),tensor(0.0648),tensor(0.0929),tensor(0.0903),tensor(0.0889),tensor(0.0821),tensor(0.0819),tensor(0.0891),tensor(0.0903)
tensor(0.0263),tensor(0.2060),tensor(0.1425),tensor(0.1588),tensor(0.1340),tensor(0.1309),tensor(0.1484),tensor(0.1332),tensor(0.1507),tensor(0.1378),tensor(0.1504),tensor(0.1438),tensor(0.1382),tensor(0.1513),tensor(0.1553),tensor(0.1586),tensor(0.1600),tensor(0.1415),tensor(0.1342),tensor(0.1349),tensor(0.1331),tensor(0.1390),tensor(0.1398),tensor(0.1460),tensor(0.1524),tensor(0.1511),tensor(0.1489),tensor(0.1426),tensor(0.1375),tensor(0.1341),tensor(0.1516),tensor(0.1481),tensor(0.1385),tensor(0.1552),tensor(0.1517),tensor(0.1501),tensor(0.1561),tensor(0.1598),tensor(0.1586),tensor(0.1411),tensor(0.1390),tensor(0.1339),tensor(0.1404),tensor(0.1510),tensor(0.1468),tensor(0.1448),tensor(0.1531),tensor(0.1536),tensor(0.1500),tensor(0.1414),tensor(0.1409),tensor(0.1336),tensor(0.1474),tensor(0.1552),tensor(0.1517),tensor(0.1510),tensor(0.1577),tensor(0.1386),tensor(0.1517),tensor(0.1506),tensor(0.1456),tensor(0.1543),tensor(0.1402),tensor(0.1516),tensor(0.1502)
tensor(0.0135),tensor(0.2060),tensor(0.1062),tensor(0.1269),tensor(0.0963),tensor(0.1446),tensor(0.1189),tensor(0.0976),tensor(0.1135),tensor(0.0998),tensor(0.1230),tensor(0.1071),tensor(0.1030),tensor(0.1115),tensor(0.1417),tensor(0.1263),tensor(0.1258),tensor(0.1147),tensor(0.0965),tensor(0.0974),tensor(0.1440),tensor(0.1439),tensor(0.1027),tensor(0.1079),tensor(0.1186),tensor(0.1140),tensor(0.1121),tensor(0.1054),tensor(0.0995),tensor(0.0971),tensor(0.1235),tensor(0.1196),tensor(0.1031),tensor(0.1198),tensor(0.1118),tensor(0.1108),tensor(0.1405),tensor(0.1416),tensor(0.1248),tensor(0.1134),tensor(0.1101),tensor(0.0966),tensor(0.1432),tensor(0.1130),tensor(0.1085),tensor(0.1068),tensor(0.1189),tensor(0.1195),tensor(0.1128),tensor(0.1043),tensor(0.1039),tensor(0.0968),tensor(0.1173),tensor(0.1195),tensor(0.1176),tensor(0.1115),tensor(0.1380),tensor(0.1094),tensor(0.1135),tensor(0.1126),tensor(0.1074),tensor(0.1200),tensor(0.1033),tensor(0.1174),tensor(0.1123)
tensor(0.6617),tensor(0.2063),tensor(0.2218),tensor(0.2182),tensor(0.2250),tensor(0.1305),tensor(0.2012),tensor(0.2145),tensor(0.2286),tensor(0.2270),tensor(0.2039),tensor(0.2233),tensor(0.2146),tensor(0.2404),tensor(0.1836),tensor(0.2180),tensor(0.2246),tensor(0.1960),tensor(0.2248),tensor(0.2239),tensor(0.1344),tensor(0.1433),tensor(0.2236),tensor(0.2307),tensor(0.2193),tensor(0.2287),tensor(0.2259),tensor(0.2268),tensor(0.2269),tensor(0.2205),tensor(0.2070),tensor(0.2050),tensor(0.2154),tensor(0.2265),tensor(0.2410),tensor(0.2373),tensor(0.1865),tensor(0.1947),tensor(0.2224),tensor(0.1979),tensor(0.1974),tensor(0.2228),tensor(0.1474),tensor(0.2336),tensor(0.2319),tensor(0.2295),tensor(0.2208),tensor(0.2207),tensor(0.2277),tensor(0.2257),tensor(0.2246),tensor(0.2198),tensor(0.2065),tensor(0.2276),tensor(0.2210),tensor(0.2386),tensor(0.1953),tensor(0.1987),tensor(0.2349),tensor(0.2333),tensor(0.2307),tensor(0.2221),tensor(0.2239),tensor(0.2211),tensor(0.2327)
