Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
tensor(0.0363),tensor(0.3747),tensor(0.3020),tensor(0.3371),tensor(0.2652),tensor(0.2304),tensor(0.3143),tensor(0.2568),tensor(0.3255),tensor(0.2945),tensor(0.2870),tensor(0.3019),tensor(0.2950),tensor(0.3187),tensor(0.2921),tensor(0.3437),tensor(0.3341),tensor(0.2642),tensor(0.2750),tensor(0.2592),tensor(0.2450),tensor(0.2410),tensor(0.3054),tensor(0.3167),tensor(0.3133),tensor(0.3247),tensor(0.3187),tensor(0.2939),tensor(0.2955),tensor(0.2928),tensor(0.2924),tensor(0.2852),tensor(0.2993),tensor(0.3013),tensor(0.3200),tensor(0.3083),tensor(0.2980),tensor(0.2911),tensor(0.3345),tensor(0.2674),tensor(0.2626),tensor(0.2664),tensor(0.2519),tensor(0.3041),tensor(0.3179),tensor(0.3148),tensor(0.3139),tensor(0.3116),tensor(0.3202),tensor(0.2959),tensor(0.2878),tensor(0.2945),tensor(0.2896),tensor(0.3079),tensor(0.2966),tensor(0.3089),tensor(0.2928),tensor(0.2664),tensor(0.3080),tensor(0.3063),tensor(0.3119),tensor(0.3140),tensor(0.2895),tensor(0.2987),tensor(0.3071)
tensor(0.0186),tensor(0.3770),tensor(0.2424),tensor(0.3022),tensor(0.1950),tensor(0.2500),tensor(0.2529),tensor(0.1894),tensor(0.2678),tensor(0.2256),tensor(0.2458),tensor(0.2412),tensor(0.2353),tensor(0.2487),tensor(0.2810),tensor(0.2966),tensor(0.2853),tensor(0.2123),tensor(0.2023),tensor(0.1911),tensor(0.2490),tensor(0.2494),tensor(0.2369),tensor(0.2486),tensor(0.2630),tensor(0.2650),tensor(0.2597),tensor(0.2303),tensor(0.2260),tensor(0.2247),tensor(0.2442),tensor(0.2400),tensor(0.2386),tensor(0.2461),tensor(0.2498),tensor(0.2391),tensor(0.2712),tensor(0.2692),tensor(0.2829),tensor(0.2117),tensor(0.2082),tensor(0.1963),tensor(0.2432),tensor(0.2401),tensor(0.2490),tensor(0.2464),tensor(0.2621),tensor(0.2608),tensor(0.2605),tensor(0.2309),tensor(0.2262),tensor(0.2260),tensor(0.2406),tensor(0.2481),tensor(0.2386),tensor(0.2388),tensor(0.2654),tensor(0.2105),tensor(0.2429),tensor(0.2425),tensor(0.2433),tensor(0.2607),tensor(0.2267),tensor(0.2379),tensor(0.2425)
tensor(0.8969),tensor(0.3732),tensor(0.4112),tensor(0.3875),tensor(0.4242),tensor(0.2281),tensor(0.4236),tensor(0.4077),tensor(0.4243),tensor(0.4351),tensor(0.3571),tensor(0.4134),tensor(0.4064),tensor(0.4544),tensor(0.3151),tensor(0.4150),tensor(0.4088),tensor(0.3635),tensor(0.4399),tensor(0.4118),tensor(0.2572),tensor(0.2483),tensor(0.4398),tensor(0.4473),tensor(0.3959),tensor(0.4287),tensor(0.4234),tensor(0.4194),tensor(0.4382),tensor(0.4307),tensor(0.3747),tensor(0.3607),tensor(0.4120),tensor(0.3977),tensor(0.4560),tensor(0.4457),tensor(0.3404),tensor(0.3265),tensor(0.4151),tensor(0.3763),tensor(0.3687),tensor(0.4242),tensor(0.2784),tensor(0.4243),tensor(0.4512),tensor(0.4471),tensor(0.3991),tensor(0.3950),tensor(0.4260),tensor(0.4238),tensor(0.4096),tensor(0.4344),tensor(0.3733),tensor(0.4143),tensor(0.4015),tensor(0.4480),tensor(0.3351),tensor(0.3765),tensor(0.4301),tensor(0.4254),tensor(0.4460),tensor(0.4026),tensor(0.4129),tensor(0.4103),tensor(0.4284)
tensor(0.0170),tensor(0.0842),tensor(0.0596),tensor(0.0745),tensor(0.0504),tensor(0.0393),tensor(0.0648),tensor(0.0460),tensor(0.0716),tensor(0.0587),tensor(0.0572),tensor(0.0591),tensor(0.0567),tensor(0.0751),tensor(0.0643),tensor(0.0791),tensor(0.0727),tensor(0.0503),tensor(0.0552),tensor(0.0486),tensor(0.0420),tensor(0.0386),tensor(0.0636),tensor(0.0729),tensor(0.0673),tensor(0.0716),tensor(0.0709),tensor(0.0620),tensor(0.0599),tensor(0.0571),tensor(0.0586),tensor(0.0521),tensor(0.0586),tensor(0.0722),tensor(0.0758),tensor(0.0687),tensor(0.0688),tensor(0.0642),tensor(0.0753),tensor(0.0517),tensor(0.0473),tensor(0.0524),tensor(0.0441),tensor(0.0695),tensor(0.0742),tensor(0.0703),tensor(0.0686),tensor(0.0659),tensor(0.0716),tensor(0.0641),tensor(0.0601),tensor(0.0582),tensor(0.0538),tensor(0.0735),tensor(0.0670),tensor(0.0703),tensor(0.0658),tensor(0.0511),tensor(0.0713),tensor(0.0697),tensor(0.0703),tensor(0.0668),tensor(0.0603),tensor(0.0662),tensor(0.0700)
tensor(0.0087),tensor(0.0847),tensor(0.0478),tensor(0.0667),tensor(0.0367),tensor(0.0410),tensor(0.0517),tensor(0.0335),tensor(0.0585),tensor(0.0448),tensor(0.0486),tensor(0.0472),tensor(0.0450),tensor(0.0584),tensor(0.0617),tensor(0.0681),tensor(0.0617),tensor(0.0399),tensor(0.0404),tensor(0.0355),tensor(0.0413),tensor(0.0382),tensor(0.0487),tensor(0.0570),tensor(0.0562),tensor(0.0580),tensor(0.0574),tensor(0.0481),tensor(0.0457),tensor(0.0436),tensor(0.0491),tensor(0.0437),tensor(0.0467),tensor(0.0589),tensor(0.0588),tensor(0.0529),tensor(0.0620),tensor(0.0587),tensor(0.0634),tensor(0.0405),tensor(0.0368),tensor(0.0383),tensor(0.0408),tensor(0.0547),tensor(0.0579),tensor(0.0547),tensor(0.0572),tensor(0.0549),tensor(0.0578),tensor(0.0496),tensor(0.0468),tensor(0.0443),tensor(0.0447),tensor(0.0593),tensor(0.0534),tensor(0.0538),tensor(0.0591),tensor(0.0397),tensor(0.0560),tensor(0.0549),tensor(0.0545),tensor(0.0552),tensor(0.0467),tensor(0.0522),tensor(0.0550)
tensor(0.4305),tensor(0.0839),tensor(0.0815),tensor(0.0860),tensor(0.0819),tensor(0.0393),tensor(0.0889),tensor(0.0749),tensor(0.0944),tensor(0.0872),tensor(0.0714),tensor(0.0811),tensor(0.0788),tensor(0.1083),tensor(0.0699),tensor(0.0962),tensor(0.0901),tensor(0.0704),tensor(0.0896),tensor(0.0788),tensor(0.0444),tensor(0.0404),tensor(0.0943),tensor(0.1037),tensor(0.0856),tensor(0.0960),tensor(0.0958),tensor(0.0898),tensor(0.0894),tensor(0.0848),tensor(0.0746),tensor(0.0662),tensor(0.0810),tensor(0.0955),tensor(0.1097),tensor(0.1008),tensor(0.0792),tensor(0.0731),tensor(0.0943),tensor(0.0740),tensor(0.0683),tensor(0.0852),tensor(0.0495),tensor(0.0978),tensor(0.1062),tensor(0.1014),tensor(0.0874),tensor(0.0840),tensor(0.0968),tensor(0.0930),tensor(0.0869),tensor(0.0873),tensor(0.0690),tensor(0.0989),tensor(0.0923),tensor(0.1042),tensor(0.0761),tensor(0.0743),tensor(0.1002),tensor(0.0977),tensor(0.1019),tensor(0.0864),tensor(0.0879),tensor(0.0924),tensor(0.0985)
tensor(0.0260),tensor(0.1941),tensor(0.1538),tensor(0.1717),tensor(0.1337),tensor(0.1442),tensor(0.1604),tensor(0.1309),tensor(0.1646),tensor(0.1508),tensor(0.1579),tensor(0.1533),tensor(0.1535),tensor(0.1555),tensor(0.1632),tensor(0.1742),tensor(0.1677),tensor(0.1482),tensor(0.1394),tensor(0.1328),tensor(0.1475),tensor(0.1489),tensor(0.1522),tensor(0.1585),tensor(0.1598),tensor(0.1630),tensor(0.1644),tensor(0.1562),tensor(0.1490),tensor(0.1504),tensor(0.1607),tensor(0.1515),tensor(0.1552),tensor(0.1616),tensor(0.1569),tensor(0.1556),tensor(0.1607),tensor(0.1600),tensor(0.1702),tensor(0.1477),tensor(0.1455),tensor(0.1362),tensor(0.1477),tensor(0.1579),tensor(0.1591),tensor(0.1600),tensor(0.1603),tensor(0.1590),tensor(0.1632),tensor(0.1554),tensor(0.1519),tensor(0.1515),tensor(0.1547),tensor(0.1625),tensor(0.1598),tensor(0.1573),tensor(0.1599),tensor(0.1477),tensor(0.1591),tensor(0.1577),tensor(0.1598),tensor(0.1593),tensor(0.1538),tensor(0.1582),tensor(0.1572)
tensor(0.0133),tensor(0.1951),tensor(0.1234),tensor(0.1541),tensor(0.0983),tensor(0.1592),tensor(0.1289),tensor(0.0965),tensor(0.1352),tensor(0.1153),tensor(0.1364),tensor(0.1225),tensor(0.1223),tensor(0.1210),tensor(0.1577),tensor(0.1510),tensor(0.1433),tensor(0.1196),tensor(0.1022),tensor(0.0978),tensor(0.1527),tensor(0.1570),tensor(0.1178),tensor(0.1240),tensor(0.1345),tensor(0.1328),tensor(0.1341),tensor(0.1225),tensor(0.1138),tensor(0.1152),tensor(0.1350),tensor(0.1277),tensor(0.1236),tensor(0.1326),tensor(0.1223),tensor(0.1202),tensor(0.1469),tensor(0.1488),tensor(0.1441),tensor(0.1174),tensor(0.1157),tensor(0.1003),tensor(0.1453),tensor(0.1245),tensor(0.1242),tensor(0.1250),tensor(0.1340),tensor(0.1333),tensor(0.1329),tensor(0.1212),tensor(0.1196),tensor(0.1161),tensor(0.1291),tensor(0.1311),tensor(0.1290),tensor(0.1214),tensor(0.1457),tensor(0.1171),tensor(0.1253),tensor(0.1248),tensor(0.1244),tensor(0.1324),tensor(0.1206),tensor(0.1262),tensor(0.1241)
tensor(0.6479),tensor(0.1934),tensor(0.2097),tensor(0.1968),tensor(0.2144),tensor(0.1417),tensor(0.2168),tensor(0.2083),tensor(0.2153),tensor(0.2238),tensor(0.1953),tensor(0.2102),tensor(0.2119),tensor(0.2228),tensor(0.1756),tensor(0.2093),tensor(0.2051),tensor(0.2027),tensor(0.2242),tensor(0.2113),tensor(0.1532),tensor(0.1519),tensor(0.2202),tensor(0.2252),tensor(0.2010),tensor(0.2160),tensor(0.2179),tensor(0.2229),tensor(0.2218),tensor(0.2222),tensor(0.2045),tensor(0.1913),tensor(0.2140),tensor(0.2121),tensor(0.2246),tensor(0.2265),tensor(0.1831),tensor(0.1787),tensor(0.2109),tensor(0.2064),tensor(0.2034),tensor(0.2174),tensor(0.1618),tensor(0.2212),tensor(0.2271),tensor(0.2282),tensor(0.2034),tensor(0.2011),tensor(0.2168),tensor(0.2228),tensor(0.2158),tensor(0.2244),tensor(0.1987),tensor(0.2184),tensor(0.2152),tensor(0.2293),tensor(0.1821),tensor(0.2076),tensor(0.2228),tensor(0.2196),tensor(0.2295),tensor(0.2041),tensor(0.2190),tensor(0.2168),tensor(0.2198)
