,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.3161),tensor(0.3362),tensor(0.2673),tensor(0.2498),tensor(0.3184),tensor(0.2635),tensor(0.3266),tensor(0.3023),tensor(0.2968),tensor(0.3208),tensor(0.3119),tensor(0.3262),tensor(0.2861),tensor(0.3375),tensor(0.3412),tensor(0.2677),tensor(0.2793),tensor(0.2678),tensor(0.2620),tensor(0.2566),tensor(0.3133),tensor(0.3195),tensor(0.3155),tensor(0.3276),tensor(0.3266),tensor(0.3018),tensor(0.3003),tensor(0.2976),tensor(0.2998),tensor(0.2991),tensor(0.3167),tensor(0.3047),tensor(0.3260),tensor(0.3246),tensor(0.3052),tensor(0.2902),tensor(0.3403),tensor(0.2742),tensor(0.2641),tensor(0.2792),tensor(0.2655),tensor(0.3229),tensor(0.3260),tensor(0.3197),tensor(0.3183),tensor(0.3153),tensor(0.3271),tensor(0.3042),tensor(0.2983),tensor(0.3006),tensor(0.3015),tensor(0.3108),tensor(0.3070),tensor(0.3254),tensor(0.3036),tensor(0.2729),tensor(0.3222),tensor(0.3207),tensor(0.3198),tensor(0.3142),tensor(0.3017),tensor(0.3078),tensor(0.3192)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.2521),tensor(0.3005),tensor(0.1962),tensor(0.2577),tensor(0.2546),tensor(0.1937),tensor(0.2662),tensor(0.2300),tensor(0.2508),tensor(0.2553),tensor(0.2478),tensor(0.2538),tensor(0.2757),tensor(0.2913),tensor(0.2941),tensor(0.2127),tensor(0.2049),tensor(0.1968),tensor(0.2572),tensor(0.2541),tensor(0.2420),tensor(0.2511),tensor(0.2686),tensor(0.2657),tensor(0.2651),tensor(0.2352),tensor(0.2282),tensor(0.2254),tensor(0.2506),tensor(0.2506),tensor(0.2513),tensor(0.2492),tensor(0.2536),tensor(0.2514),tensor(0.2872),tensor(0.2693),tensor(0.2897),tensor(0.2150),tensor(0.2084),tensor(0.2056),tensor(0.2473),tensor(0.2550),tensor(0.2565),tensor(0.2496),tensor(0.2663),tensor(0.2645),tensor(0.2642),tensor(0.2362),tensor(0.2325),tensor(0.2281),tensor(0.2515),tensor(0.2501),tensor(0.2485),tensor(0.2515),tensor(0.2744),tensor(0.2131),tensor(0.2530),tensor(0.2525),tensor(0.2490),tensor(0.2623),tensor(0.2331),tensor(0.2471),tensor(0.2506)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4323),tensor(0.3909),tensor(0.4293),tensor(0.2566),tensor(0.4341),tensor(0.4219),tensor(0.4308),tensor(0.4500),tensor(0.3726),tensor(0.4396),tensor(0.4299),tensor(0.4673),tensor(0.3081),tensor(0.4088),tensor(0.4139),tensor(0.3750),tensor(0.4490),tensor(0.4286),tensor(0.2798),tensor(0.2703),tensor(0.4550),tensor(0.4494),tensor(0.3931),tensor(0.4355),tensor(0.4331),tensor(0.4332),tensor(0.4484),tensor(0.4469),tensor(0.3850),tensor(0.3822),tensor(0.4372),tensor(0.4010),tensor(0.4674),tensor(0.4687),tensor(0.3377),tensor(0.3233),tensor(0.4211),tensor(0.3913),tensor(0.3744),tensor(0.4452),tensor(0.2963),tensor(0.4501),tensor(0.4573),tensor(0.4543),tensor(0.4053),tensor(0.3983),tensor(0.4368),tensor(0.4390),tensor(0.4281),tensor(0.4500),tensor(0.3879),tensor(0.4208),tensor(0.4127),tensor(0.4717),tensor(0.3486),tensor(0.3913),tensor(0.4532),tensor(0.4492),tensor(0.4564),tensor(0.4005),tensor(0.4393),tensor(0.4187),tensor(0.4496)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0733),tensor(0.0769),tensor(0.0491),tensor(0.0492),tensor(0.0736),tensor(0.0478),tensor(0.0767),tensor(0.0685),tensor(0.0630),tensor(0.0747),tensor(0.0689),tensor(0.0812),tensor(0.0602),tensor(0.0780),tensor(0.0787),tensor(0.0529),tensor(0.0587),tensor(0.0492),tensor(0.0531),tensor(0.0509),tensor(0.0698),tensor(0.0741),tensor(0.0715),tensor(0.0759),tensor(0.0777),tensor(0.0700),tensor(0.0663),tensor(0.0643),tensor(0.0634),tensor(0.0661),tensor(0.0724),tensor(0.0712),tensor(0.0822),tensor(0.0799),tensor(0.0665),tensor(0.0634),tensor(0.0803),tensor(0.0560),tensor(0.0507),tensor(0.0591),tensor(0.0554),tensor(0.0796),tensor(0.0807),tensor(0.0732),tensor(0.0750),tensor(0.0716),tensor(0.0773),tensor(0.0727),tensor(0.0688),tensor(0.0660),tensor(0.0665),tensor(0.0706),tensor(0.0718),tensor(0.0791),tensor(0.0688),tensor(0.0561),tensor(0.0807),tensor(0.0791),tensor(0.0754),tensor(0.0728),tensor(0.0703),tensor(0.0702),tensor(0.0780)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0584),tensor(0.0675),tensor(0.0362),tensor(0.0505),tensor(0.0587),tensor(0.0352),tensor(0.0621),tensor(0.0519),tensor(0.0526),tensor(0.0593),tensor(0.0547),tensor(0.0629),tensor(0.0575),tensor(0.0667),tensor(0.0670),tensor(0.0418),tensor(0.0432),tensor(0.0362),tensor(0.0522),tensor(0.0499),tensor(0.0539),tensor(0.0579),tensor(0.0607),tensor(0.0611),tensor(0.0628),tensor(0.0546),tensor(0.0502),tensor(0.0486),tensor(0.0524),tensor(0.0549),tensor(0.0574),tensor(0.0581),tensor(0.0637),tensor(0.0616),tensor(0.0631),tensor(0.0588),tensor(0.0674),tensor(0.0438),tensor(0.0399),tensor(0.0436),tensor(0.0513),tensor(0.0627),tensor(0.0631),tensor(0.0569),tensor(0.0628),tensor(0.0601),tensor(0.0621),tensor(0.0565),tensor(0.0538),tensor(0.0499),tensor(0.0550),tensor(0.0566),tensor(0.0579),tensor(0.0607),tensor(0.0623),tensor(0.0438),tensor(0.0631),tensor(0.0620),tensor(0.0583),tensor(0.0607),tensor(0.0543),tensor(0.0561),tensor(0.0609)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.1004),tensor(0.0909),tensor(0.0782),tensor(0.0510),tensor(0.1010),tensor(0.0763),tensor(0.1021),tensor(0.1024),tensor(0.0805),tensor(0.1024),tensor(0.0950),tensor(0.1170),tensor(0.0652),tensor(0.0956),tensor(0.0967),tensor(0.0741),tensor(0.0935),tensor(0.0780),tensor(0.0568),tensor(0.0541),tensor(0.1017),tensor(0.1052),tensor(0.0896),tensor(0.1020),tensor(0.1039),tensor(0.0997),tensor(0.0995),tensor(0.0968),tensor(0.0824),tensor(0.0853),tensor(0.1000),tensor(0.0940),tensor(0.1188),tensor(0.1166),tensor(0.0734),tensor(0.0704),tensor(0.1012),tensor(0.0799),tensor(0.0713),tensor(0.0937),tensor(0.0622),tensor(0.1112),tensor(0.1145),tensor(0.1047),tensor(0.0954),tensor(0.0904),tensor(0.1041),tensor(0.1042),tensor(0.0978),tensor(0.0990),tensor(0.0863),tensor(0.0959),tensor(0.0969),tensor(0.1160),tensor(0.0789),tensor(0.0800),tensor(0.1143),tensor(0.1114),tensor(0.1091),tensor(0.0929),tensor(0.1019),tensor(0.0958),tensor(0.1107)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1657),tensor(0.1751),tensor(0.1329),tensor(0.1512),tensor(0.1584),tensor(0.1374),tensor(0.1711),tensor(0.1578),tensor(0.1633),tensor(0.1668),tensor(0.1663),tensor(0.1645),tensor(0.1647),tensor(0.1746),tensor(0.1783),tensor(0.1470),tensor(0.1411),tensor(0.1369),tensor(0.1588),tensor(0.1562),tensor(0.1573),tensor(0.1656),tensor(0.1745),tensor(0.1738),tensor(0.1726),tensor(0.1634),tensor(0.1591),tensor(0.1568),tensor(0.1618),tensor(0.1656),tensor(0.1650),tensor(0.1669),tensor(0.1685),tensor(0.1690),tensor(0.1695),tensor(0.1644),tensor(0.1789),tensor(0.1499),tensor(0.1441),tensor(0.1423),tensor(0.1582),tensor(0.1721),tensor(0.1671),tensor(0.1658),tensor(0.1752),tensor(0.1726),tensor(0.1726),tensor(0.1637),tensor(0.1624),tensor(0.1581),tensor(0.1664),tensor(0.1688),tensor(0.1668),tensor(0.1701),tensor(0.1670),tensor(0.1483),tensor(0.1707),tensor(0.1698),tensor(0.1699),tensor(0.1736),tensor(0.1620),tensor(0.1682),tensor(0.1727)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.1321),tensor(0.1566),tensor(0.0975),tensor(0.1582),tensor(0.1266),tensor(0.1011),tensor(0.1396),tensor(0.1199),tensor(0.1383),tensor(0.1327),tensor(0.1321),tensor(0.1280),tensor(0.1598),tensor(0.1507),tensor(0.1535),tensor(0.1169),tensor(0.1033),tensor(0.1007),tensor(0.1581),tensor(0.1562),tensor(0.1213),tensor(0.1299),tensor(0.1491),tensor(0.1411),tensor(0.1399),tensor(0.1277),tensor(0.1209),tensor(0.1185),tensor(0.1357),tensor(0.1391),tensor(0.1309),tensor(0.1367),tensor(0.1311),tensor(0.1310),tensor(0.1602),tensor(0.1535),tensor(0.1520),tensor(0.1176),tensor(0.1137),tensor(0.1048),tensor(0.1487),tensor(0.1359),tensor(0.1313),tensor(0.1293),tensor(0.1471),tensor(0.1449),tensor(0.1393),tensor(0.1274),tensor(0.1269),tensor(0.1198),tensor(0.1392),tensor(0.1360),tensor(0.1351),tensor(0.1314),tensor(0.1514),tensor(0.1158),tensor(0.1341),tensor(0.1338),tensor(0.1322),tensor(0.1452),tensor(0.1253),tensor(0.1352),tensor(0.1357)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2269),tensor(0.2035),tensor(0.2136),tensor(0.1544),tensor(0.2165),tensor(0.2195),tensor(0.2257),tensor(0.2352),tensor(0.2046),tensor(0.2288),tensor(0.2294),tensor(0.2356),tensor(0.1765),tensor(0.2114),tensor(0.2165),tensor(0.2055),tensor(0.2272),tensor(0.2188),tensor(0.1681),tensor(0.1638),tensor(0.2290),tensor(0.2336),tensor(0.2168),tensor(0.2309),tensor(0.2292),tensor(0.2332),tensor(0.2375),tensor(0.2365),tensor(0.2068),tensor(0.2108),tensor(0.2281),tensor(0.2191),tensor(0.2415),tensor(0.2437),tensor(0.1867),tensor(0.1824),tensor(0.2220),tensor(0.2134),tensor(0.2041),tensor(0.2269),tensor(0.1754),tensor(0.2398),tensor(0.2352),tensor(0.2361),tensor(0.2224),tensor(0.2181),tensor(0.2307),tensor(0.2349),tensor(0.2320),tensor(0.2373),tensor(0.2127),tensor(0.2278),tensor(0.2240),tensor(0.2467),tensor(0.1912),tensor(0.2121),tensor(0.2400),tensor(0.2375),tensor(0.2428),tensor(0.2208),tensor(0.2352),tensor(0.2278),tensor(0.2427)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2677),tensor(0.2761),tensor(0.2200),tensor(0.2194),tensor(0.2671),tensor(0.2177),tensor(0.2710),tensor(0.2559),tensor(0.2569),tensor(0.2699),tensor(0.2646),tensor(0.2734),tensor(0.2464),tensor(0.2800),tensor(0.2790),tensor(0.2295),tensor(0.2300),tensor(0.2217),tensor(0.2308),tensor(0.2256),tensor(0.2623),tensor(0.2678),tensor(0.2676),tensor(0.2727),tensor(0.2768),tensor(0.2600),tensor(0.2531),tensor(0.2514),tensor(0.2558),tensor(0.2582),tensor(0.2683),tensor(0.2589),tensor(0.2745),tensor(0.2709),tensor(0.2600),tensor(0.2455),tensor(0.2831),tensor(0.2362),tensor(0.2288),tensor(0.2310),tensor(0.2341),tensor(0.2762),tensor(0.2731),tensor(0.2657),tensor(0.2685),tensor(0.2690),tensor(0.2742),tensor(0.2631),tensor(0.2577),tensor(0.2527),tensor(0.2606),tensor(0.2648),tensor(0.2585),tensor(0.2688),tensor(0.2600),tensor(0.2349),tensor(0.2758),tensor(0.2747),tensor(0.2692),tensor(0.2682),tensor(0.2619),tensor(0.2589),tensor(0.2724)
