,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.2732),tensor(0.3208),tensor(0.2677),tensor(0.2413),tensor(0.3042),tensor(0.2619),tensor(0.2978),tensor(0.2697),tensor(0.2779),tensor(0.2733),tensor(0.2709),tensor(0.2968),tensor(0.2919),tensor(0.3190),tensor(0.3141),tensor(0.2637),tensor(0.2698),tensor(0.2627),tensor(0.2417),tensor(0.2447),tensor(0.2765),tensor(0.2902),tensor(0.2964),tensor(0.2998),tensor(0.2996),tensor(0.2706),tensor(0.2683),tensor(0.2657),tensor(0.2770),tensor(0.2725),tensor(0.2709),tensor(0.2897),tensor(0.2992),tensor(0.2929),tensor(0.2909),tensor(0.2965),tensor(0.3151),tensor(0.2669),tensor(0.2646),tensor(0.2660),tensor(0.2508),tensor(0.2933),tensor(0.2890),tensor(0.2889),tensor(0.2952),tensor(0.2901),tensor(0.3002),tensor(0.2697),tensor(0.2658),tensor(0.2660),tensor(0.2715),tensor(0.2888),tensor(0.2869),tensor(0.2942),tensor(0.2992),tensor(0.2654),tensor(0.2933),tensor(0.2880),tensor(0.2889),tensor(0.2897),tensor(0.2665),tensor(0.2851),tensor(0.2888)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.2036),tensor(0.2566),tensor(0.1930),tensor(0.2502),tensor(0.2426),tensor(0.1917),tensor(0.2257),tensor(0.1954),tensor(0.2264),tensor(0.2032),tensor(0.2009),tensor(0.2194),tensor(0.2586),tensor(0.2546),tensor(0.2482),tensor(0.2109),tensor(0.1945),tensor(0.1897),tensor(0.2465),tensor(0.2451),tensor(0.2040),tensor(0.2139),tensor(0.2316),tensor(0.2274),tensor(0.2269),tensor(0.1993),tensor(0.1943),tensor(0.1926),tensor(0.2246),tensor(0.2190),tensor(0.2010),tensor(0.2243),tensor(0.2215),tensor(0.2164),tensor(0.2553),tensor(0.2593),tensor(0.2487),tensor(0.2122),tensor(0.2099),tensor(0.1922),tensor(0.2446),tensor(0.2199),tensor(0.2129),tensor(0.2128),tensor(0.2307),tensor(0.2257),tensor(0.2273),tensor(0.1983),tensor(0.1953),tensor(0.1927),tensor(0.2170),tensor(0.2231),tensor(0.2214),tensor(0.2175),tensor(0.2588),tensor(0.2073),tensor(0.2196),tensor(0.2151),tensor(0.2126),tensor(0.2248),tensor(0.1959),tensor(0.2197),tensor(0.2161)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4247),tensor(0.4389),tensor(0.4464),tensor(0.2451),tensor(0.4182),tensor(0.4227),tensor(0.4474),tensor(0.4441),tensor(0.3776),tensor(0.4267),tensor(0.4251),tensor(0.4684),tensor(0.3507),tensor(0.4381),tensor(0.4377),tensor(0.3714),tensor(0.4494),tensor(0.4366),tensor(0.2503),tensor(0.2553),tensor(0.4397),tensor(0.4596),tensor(0.4229),tensor(0.4507),tensor(0.4510),tensor(0.4321),tensor(0.4423),tensor(0.4375),tensor(0.3800),tensor(0.3780),tensor(0.4252),tensor(0.4232),tensor(0.4704),tensor(0.4623),tensor(0.3539),tensor(0.3615),tensor(0.4406),tensor(0.3793),tensor(0.3761),tensor(0.4409),tensor(0.2677),tensor(0.4513),tensor(0.4581),tensor(0.4592),tensor(0.4212),tensor(0.4173),tensor(0.4518),tensor(0.4316),tensor(0.4264),tensor(0.4386),tensor(0.3802),tensor(0.4230),tensor(0.4207),tensor(0.4638),tensor(0.3695),tensor(0.3827),tensor(0.4522),tensor(0.4466),tensor(0.4598),tensor(0.4182),tensor(0.4268),tensor(0.4186),tensor(0.4466)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0581),tensor(0.0725),tensor(0.0484),tensor(0.0466),tensor(0.0551),tensor(0.0470),tensor(0.0667),tensor(0.0580),tensor(0.0538),tensor(0.0577),tensor(0.0553),tensor(0.0650),tensor(0.0553),tensor(0.0718),tensor(0.0683),tensor(0.0460),tensor(0.0484),tensor(0.0443),tensor(0.0449),tensor(0.0451),tensor(0.0510),tensor(0.0637),tensor(0.0619),tensor(0.0672),tensor(0.0676),tensor(0.0542),tensor(0.0566),tensor(0.0526),tensor(0.0514),tensor(0.0506),tensor(0.0545),tensor(0.0575),tensor(0.0657),tensor(0.0612),tensor(0.0557),tensor(0.0598),tensor(0.0681),tensor(0.0466),tensor(0.0460),tensor(0.0450),tensor(0.0447),tensor(0.0618),tensor(0.0638),tensor(0.0623),tensor(0.0613),tensor(0.0587),tensor(0.0680),tensor(0.0520),tensor(0.0497),tensor(0.0517),tensor(0.0501),tensor(0.0576),tensor(0.0561),tensor(0.0625),tensor(0.0605),tensor(0.0465),tensor(0.0620),tensor(0.0590),tensor(0.0621),tensor(0.0589),tensor(0.0491),tensor(0.0533),tensor(0.0592)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0431),tensor(0.0576),tensor(0.0348),tensor(0.0489),tensor(0.0440),tensor(0.0343),tensor(0.0503),tensor(0.0418),tensor(0.0437),tensor(0.0427),tensor(0.0409),tensor(0.0478),tensor(0.0486),tensor(0.0569),tensor(0.0536),tensor(0.0370),tensor(0.0348),tensor(0.0319),tensor(0.0459),tensor(0.0449),tensor(0.0375),tensor(0.0468),tensor(0.0481),tensor(0.0507),tensor(0.0511),tensor(0.0398),tensor(0.0408),tensor(0.0379),tensor(0.0416),tensor(0.0408),tensor(0.0403),tensor(0.0443),tensor(0.0484),tensor(0.0450),tensor(0.0485),tensor(0.0519),tensor(0.0533),tensor(0.0373),tensor(0.0367),tensor(0.0324),tensor(0.0432),tensor(0.0462),tensor(0.0469),tensor(0.0458),tensor(0.0476),tensor(0.0455),tensor(0.0513),tensor(0.0380),tensor(0.0364),tensor(0.0372),tensor(0.0400),tensor(0.0443),tensor(0.0432),tensor(0.0460),tensor(0.0521),tensor(0.0363),tensor(0.0463),tensor(0.0439),tensor(0.0455),tensor(0.0456),tensor(0.0359),tensor(0.0409),tensor(0.0441)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.0910),tensor(0.1004),tensor(0.0809),tensor(0.0468),tensor(0.0758),tensor(0.0759),tensor(0.1009),tensor(0.0962),tensor(0.0736),tensor(0.0910),tensor(0.0874),tensor(0.1037),tensor(0.0676),tensor(0.0996),tensor(0.0962),tensor(0.0644),tensor(0.0810),tensor(0.0741),tensor(0.0464),tensor(0.0469),tensor(0.0817),tensor(0.1016),tensor(0.0890),tensor(0.1019),tensor(0.1021),tensor(0.0870),tensor(0.0941),tensor(0.0873),tensor(0.0708),tensor(0.0699),tensor(0.0863),tensor(0.0847),tensor(0.1044),tensor(0.0973),tensor(0.0688),tensor(0.0739),tensor(0.0966),tensor(0.0659),tensor(0.0649),tensor(0.0751),tensor(0.0479),tensor(0.0954),tensor(0.1017),tensor(0.0996),tensor(0.0881),tensor(0.0847),tensor(0.1027),tensor(0.0840),tensor(0.0798),tensor(0.0859),tensor(0.0703),tensor(0.0849),tensor(0.0824),tensor(0.0993),tensor(0.0756),tensor(0.0668),tensor(0.0958),tensor(0.0919),tensor(0.0994),tensor(0.0853),tensor(0.0791),tensor(0.0786),tensor(0.0919)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1459),tensor(0.1625),tensor(0.1314),tensor(0.1472),tensor(0.1506),tensor(0.1300),tensor(0.1568),tensor(0.1389),tensor(0.1560),tensor(0.1465),tensor(0.1430),tensor(0.1515),tensor(0.1624),tensor(0.1610),tensor(0.1592),tensor(0.1460),tensor(0.1334),tensor(0.1303),tensor(0.1484),tensor(0.1538),tensor(0.1421),tensor(0.1484),tensor(0.1588),tensor(0.1565),tensor(0.1559),tensor(0.1408),tensor(0.1381),tensor(0.1385),tensor(0.1553),tensor(0.1524),tensor(0.1429),tensor(0.1535),tensor(0.1516),tensor(0.1511),tensor(0.1619),tensor(0.1629),tensor(0.1603),tensor(0.1471),tensor(0.1429),tensor(0.1331),tensor(0.1536),tensor(0.1522),tensor(0.1471),tensor(0.1478),tensor(0.1590),tensor(0.1568),tensor(0.1554),tensor(0.1406),tensor(0.1375),tensor(0.1383),tensor(0.1519),tensor(0.1537),tensor(0.1554),tensor(0.1518),tensor(0.1618),tensor(0.1422),tensor(0.1518),tensor(0.1494),tensor(0.1470),tensor(0.1558),tensor(0.1387),tensor(0.1538),tensor(0.1498)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.1089),tensor(0.1298),tensor(0.0946),tensor(0.1553),tensor(0.1200),tensor(0.0952),tensor(0.1189),tensor(0.1006),tensor(0.1272),tensor(0.1091),tensor(0.1064),tensor(0.1118),tensor(0.1457),tensor(0.1282),tensor(0.1258),tensor(0.1172),tensor(0.0960),tensor(0.0940),tensor(0.1540),tensor(0.1564),tensor(0.1049),tensor(0.1093),tensor(0.1241),tensor(0.1188),tensor(0.1182),tensor(0.1036),tensor(0.1000),tensor(0.1003),tensor(0.1262),tensor(0.1229),tensor(0.1063),tensor(0.1186),tensor(0.1121),tensor(0.1115),tensor(0.1440),tensor(0.1433),tensor(0.1265),tensor(0.1173),tensor(0.1138),tensor(0.0961),tensor(0.1517),tensor(0.1139),tensor(0.1084),tensor(0.1088),tensor(0.1242),tensor(0.1222),tensor(0.1177),tensor(0.1033),tensor(0.1010),tensor(0.1001),tensor(0.1219),tensor(0.1187),tensor(0.1200),tensor(0.1121),tensor(0.1408),tensor(0.1111),tensor(0.1135),tensor(0.1115),tensor(0.1081),tensor(0.1211),tensor(0.1019),tensor(0.1185),tensor(0.1120)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2258),tensor(0.2228),tensor(0.2201),tensor(0.1478),tensor(0.2073),tensor(0.2096),tensor(0.2353),tensor(0.2289),tensor(0.2115),tensor(0.2281),tensor(0.2234),tensor(0.2397),tensor(0.1933),tensor(0.2218),tensor(0.2220),tensor(0.2045),tensor(0.2232),tensor(0.2170),tensor(0.1522),tensor(0.1589),tensor(0.2258),tensor(0.2352),tensor(0.2270),tensor(0.2347),tensor(0.2343),tensor(0.2250),tensor(0.2276),tensor(0.2282),tensor(0.2120),tensor(0.2103),tensor(0.2235),tensor(0.2250),tensor(0.2390),tensor(0.2390),tensor(0.1951),tensor(0.1978),tensor(0.2242),tensor(0.2079),tensor(0.2021),tensor(0.2213),tensor(0.1628),tensor(0.2347),tensor(0.2332),tensor(0.2351),tensor(0.2270),tensor(0.2250),tensor(0.2333),tensor(0.2251),tensor(0.2207),tensor(0.2284),tensor(0.2113),tensor(0.2253),tensor(0.2279),tensor(0.2398),tensor(0.1989),tensor(0.2047),tensor(0.2346),tensor(0.2323),tensor(0.2339),tensor(0.2245),tensor(0.2222),tensor(0.2261),tensor(0.2323)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2275),tensor(0.2677),tensor(0.2213),tensor(0.2130),tensor(0.2508),tensor(0.2143),tensor(0.2498),tensor(0.2240),tensor(0.2434),tensor(0.2279),tensor(0.2250),tensor(0.2463),tensor(0.2530),tensor(0.2669),tensor(0.2627),tensor(0.2283),tensor(0.2232),tensor(0.2169),tensor(0.2136),tensor(0.2193),tensor(0.2289),tensor(0.2393),tensor(0.2516),tensor(0.2495),tensor(0.2486),tensor(0.2275),tensor(0.2225),tensor(0.2198),tensor(0.2412),tensor(0.2363),tensor(0.2251),tensor(0.2441),tensor(0.2482),tensor(0.2444),tensor(0.2519),tensor(0.2566),tensor(0.2621),tensor(0.2314),tensor(0.2313),tensor(0.2198),tensor(0.2208),tensor(0.2465),tensor(0.2381),tensor(0.2383),tensor(0.2509),tensor(0.2476),tensor(0.2485),tensor(0.2271),tensor(0.2256),tensor(0.2201),tensor(0.2371),tensor(0.2444),tensor(0.2423),tensor(0.2447),tensor(0.2585),tensor(0.2324),tensor(0.2458),tensor(0.2415),tensor(0.2385),tensor(0.2467),tensor(0.2252),tensor(0.2410),tensor(0.2428)
rougeLsum_precision,tensor(0.0179),tensor(1.),tensor(0.1696),tensor(0.2143),tensor(0.1594),tensor(0.2224),tensor(0.2001),tensor(0.1568),tensor(0.1894),tensor(0.1623),tensor(0.1986),tensor(0.1696),tensor(0.1671),tensor(0.1821),tensor(0.2248),tensor(0.2132),tensor(0.2077),tensor(0.1832),tensor(0.1608),tensor(0.1566),tensor(0.2191),tensor(0.2209),tensor(0.1687),tensor(0.1765),tensor(0.1968),tensor(0.1893),tensor(0.1884),tensor(0.1674),tensor(0.1612),tensor(0.1593),tensor(0.1959),tensor(0.1902),tensor(0.1672),tensor(0.1891),tensor(0.1838),tensor(0.1806),tensor(0.2216),tensor(0.2248),tensor(0.2068),tensor(0.1844),tensor(0.1839),tensor(0.1588),tensor(0.2163),tensor(0.1848),tensor(0.1754),tensor(0.1756),tensor(0.1962),tensor(0.1928),tensor(0.1884),tensor(0.1670),tensor(0.1658),tensor(0.1594),tensor(0.1898),tensor(0.1887),tensor(0.1871),tensor(0.1809),tensor(0.2239),tensor(0.1817),tensor(0.1841),tensor(0.1806),tensor(0.1756),tensor(0.1916),tensor(0.1656),tensor(0.1858),tensor(0.1818)
rougeLsum_recall,tensor(0.8747),tensor(1.),tensor(0.3531),tensor(0.3656),tensor(0.3698),tensor(0.2153),tensor(0.3447),tensor(0.3463),tensor(0.3750),tensor(0.3688),tensor(0.3300),tensor(0.3554),tensor(0.3527),tensor(0.3885),tensor(0.3033),tensor(0.3660),tensor(0.3658),tensor(0.3202),tensor(0.3723),tensor(0.3610),tensor(0.2202),tensor(0.2279),tensor(0.3644),tensor(0.3787),tensor(0.3588),tensor(0.3745),tensor(0.3734),tensor(0.3636),tensor(0.3667),tensor(0.3620),tensor(0.3301),tensor(0.3273),tensor(0.3526),tensor(0.3570),tensor(0.3903),tensor(0.3856),tensor(0.3059),tensor(0.3126),tensor(0.3664),tensor(0.3277),tensor(0.3277),tensor(0.3646),tensor(0.2351),tensor(0.3788),tensor(0.3774),tensor(0.3784),tensor(0.3578),tensor(0.3558),tensor(0.3733),tensor(0.3635),tensor(0.3618),tensor(0.3628),tensor(0.3316),tensor(0.3582),tensor(0.3550),tensor(0.3858),tensor(0.3191),tensor(0.3346),tensor(0.3788),tensor(0.3741),tensor(0.3790),tensor(0.3557),tensor(0.3605),tensor(0.3535),tensor(0.3751)
