,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.2705),tensor(0.3076),tensor(0.2644),tensor(0.2200),tensor(0.3053),tensor(0.2646),tensor(0.2917),tensor(0.2698),tensor(0.2702),tensor(0.2733),tensor(0.2645),tensor(0.2933),tensor(0.2806),tensor(0.3067),tensor(0.3081),tensor(0.2619),tensor(0.2669),tensor(0.2651),tensor(0.2235),tensor(0.2361),tensor(0.2807),tensor(0.2871),tensor(0.2868),tensor(0.2916),tensor(0.2935),tensor(0.2714),tensor(0.2698),tensor(0.2660),tensor(0.2699),tensor(0.2691),tensor(0.2631),tensor(0.2934),tensor(0.2933),tensor(0.2923),tensor(0.2814),tensor(0.2886),tensor(0.3074),tensor(0.2668),tensor(0.2677),tensor(0.2648),tensor(0.2384),tensor(0.2859),tensor(0.2878),tensor(0.2817),tensor(0.2848),tensor(0.2878),tensor(0.2942),tensor(0.2713),tensor(0.2701),tensor(0.2662),tensor(0.2689),tensor(0.2937),tensor(0.2902),tensor(0.2916),tensor(0.2880),tensor(0.2688),tensor(0.2862),tensor(0.2828),tensor(0.2828),tensor(0.2878),tensor(0.2701),tensor(0.2903),tensor(0.2836)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.2013),tensor(0.2455),tensor(0.1906),tensor(0.2324),tensor(0.2454),tensor(0.1945),tensor(0.2194),tensor(0.1957),tensor(0.2185),tensor(0.2035),tensor(0.1970),tensor(0.2164),tensor(0.2516),tensor(0.2445),tensor(0.2422),tensor(0.2098),tensor(0.1927),tensor(0.1919),tensor(0.2309),tensor(0.2362),tensor(0.2070),tensor(0.2120),tensor(0.2229),tensor(0.2196),tensor(0.2206),tensor(0.2006),tensor(0.1956),tensor(0.1931),tensor(0.2175),tensor(0.2154),tensor(0.1959),tensor(0.2259),tensor(0.2165),tensor(0.2162),tensor(0.2486),tensor(0.2531),tensor(0.2420),tensor(0.2117),tensor(0.2109),tensor(0.1916),tensor(0.2349),tensor(0.2138),tensor(0.2127),tensor(0.2075),tensor(0.2209),tensor(0.2240),tensor(0.2211),tensor(0.1999),tensor(0.1993),tensor(0.1933),tensor(0.2132),tensor(0.2258),tensor(0.2243),tensor(0.2157),tensor(0.2492),tensor(0.2112),tensor(0.2138),tensor(0.2110),tensor(0.2084),tensor(0.2237),tensor(0.1990),tensor(0.2241),tensor(0.2117)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4217),tensor(0.4247),tensor(0.4412),tensor(0.2241),tensor(0.4132),tensor(0.4224),tensor(0.4440),tensor(0.4434),tensor(0.3696),tensor(0.4256),tensor(0.4117),tensor(0.4654),tensor(0.3360),tensor(0.4230),tensor(0.4333),tensor(0.3665),tensor(0.4440),tensor(0.4375),tensor(0.2312),tensor(0.2487),tensor(0.4467),tensor(0.4541),tensor(0.4136),tensor(0.4433),tensor(0.4461),tensor(0.4327),tensor(0.4439),tensor(0.4358),tensor(0.3720),tensor(0.3751),tensor(0.4100),tensor(0.4307),tensor(0.4652),tensor(0.4606),tensor(0.3411),tensor(0.3557),tensor(0.4317),tensor(0.3783),tensor(0.3829),tensor(0.4378),tensor(0.2569),tensor(0.4434),tensor(0.4549),tensor(0.4476),tensor(0.4120),tensor(0.4142),tensor(0.4475),tensor(0.4343),tensor(0.4310),tensor(0.4362),tensor(0.3781),tensor(0.4325),tensor(0.4243),tensor(0.4597),tensor(0.3604),tensor(0.3869),tensor(0.4449),tensor(0.4405),tensor(0.4491),tensor(0.4146),tensor(0.4319),tensor(0.4255),tensor(0.4415)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0586),tensor(0.0665),tensor(0.0474),tensor(0.0424),tensor(0.0539),tensor(0.0529),tensor(0.0634),tensor(0.0591),tensor(0.0532),tensor(0.0597),tensor(0.0533),tensor(0.0609),tensor(0.0537),tensor(0.0657),tensor(0.0661),tensor(0.0480),tensor(0.0488),tensor(0.0484),tensor(0.0425),tensor(0.0444),tensor(0.0584),tensor(0.0620),tensor(0.0579),tensor(0.0633),tensor(0.0611),tensor(0.0549),tensor(0.0584),tensor(0.0546),tensor(0.0530),tensor(0.0528),tensor(0.0537),tensor(0.0616),tensor(0.0611),tensor(0.0599),tensor(0.0525),tensor(0.0573),tensor(0.0650),tensor(0.0493),tensor(0.0505),tensor(0.0486),tensor(0.0443),tensor(0.0598),tensor(0.0622),tensor(0.0601),tensor(0.0563),tensor(0.0597),tensor(0.0614),tensor(0.0542),tensor(0.0533),tensor(0.0545),tensor(0.0522),tensor(0.0619),tensor(0.0610),tensor(0.0591),tensor(0.0565),tensor(0.0506),tensor(0.0599),tensor(0.0583),tensor(0.0600),tensor(0.0597),tensor(0.0528),tensor(0.0614),tensor(0.0580)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0434),tensor(0.0526),tensor(0.0341),tensor(0.0438),tensor(0.0432),tensor(0.0389),tensor(0.0474),tensor(0.0428),tensor(0.0428),tensor(0.0442),tensor(0.0395),tensor(0.0447),tensor(0.0472),tensor(0.0518),tensor(0.0515),tensor(0.0386),tensor(0.0352),tensor(0.0349),tensor(0.0428),tensor(0.0436),tensor(0.0431),tensor(0.0457),tensor(0.0447),tensor(0.0473),tensor(0.0457),tensor(0.0405),tensor(0.0422),tensor(0.0394),tensor(0.0425),tensor(0.0419),tensor(0.0397),tensor(0.0472),tensor(0.0448),tensor(0.0441),tensor(0.0459),tensor(0.0498),tensor(0.0507),tensor(0.0394),tensor(0.0402),tensor(0.0350),tensor(0.0429),tensor(0.0445),tensor(0.0459),tensor(0.0442),tensor(0.0434),tensor(0.0462),tensor(0.0460),tensor(0.0400),tensor(0.0393),tensor(0.0394),tensor(0.0410),tensor(0.0474),tensor(0.0468),tensor(0.0435),tensor(0.0486),tensor(0.0400),tensor(0.0445),tensor(0.0432),tensor(0.0441),tensor(0.0461),tensor(0.0389),tensor(0.0470),tensor(0.0430)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.0921),tensor(0.0933),tensor(0.0793),tensor(0.0441),tensor(0.0731),tensor(0.0841),tensor(0.0973),tensor(0.0975),tensor(0.0735),tensor(0.0940),tensor(0.0840),tensor(0.0977),tensor(0.0656),tensor(0.0922),tensor(0.0942),tensor(0.0667),tensor(0.0813),tensor(0.0805),tensor(0.0451),tensor(0.0473),tensor(0.0929),tensor(0.0985),tensor(0.0843),tensor(0.0972),tensor(0.0935),tensor(0.0874),tensor(0.0964),tensor(0.0901),tensor(0.0737),tensor(0.0745),tensor(0.0845),tensor(0.0912),tensor(0.0980),tensor(0.0950),tensor(0.0648),tensor(0.0717),tensor(0.0926),tensor(0.0695),tensor(0.0715),tensor(0.0810),tensor(0.0483),tensor(0.0934),tensor(0.0987),tensor(0.0956),tensor(0.0821),tensor(0.0868),tensor(0.0941),tensor(0.0865),tensor(0.0849),tensor(0.0900),tensor(0.0746),tensor(0.0920),tensor(0.0904),tensor(0.0939),tensor(0.0716),tensor(0.0723),tensor(0.0940),tensor(0.0918),tensor(0.0955),tensor(0.0868),tensor(0.0843),tensor(0.0912),tensor(0.0914)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1451),tensor(0.1604),tensor(0.1314),tensor(0.1382),tensor(0.1519),tensor(0.1359),tensor(0.1521),tensor(0.1399),tensor(0.1518),tensor(0.1462),tensor(0.1402),tensor(0.1497),tensor(0.1573),tensor(0.1601),tensor(0.1603),tensor(0.1409),tensor(0.1327),tensor(0.1316),tensor(0.1375),tensor(0.1416),tensor(0.1445),tensor(0.1484),tensor(0.1551),tensor(0.1516),tensor(0.1517),tensor(0.1429),tensor(0.1389),tensor(0.1382),tensor(0.1513),tensor(0.1491),tensor(0.1409),tensor(0.1529),tensor(0.1512),tensor(0.1473),tensor(0.1564),tensor(0.1593),tensor(0.1592),tensor(0.1427),tensor(0.1419),tensor(0.1331),tensor(0.1430),tensor(0.1490),tensor(0.1486),tensor(0.1472),tensor(0.1543),tensor(0.1570),tensor(0.1518),tensor(0.1419),tensor(0.1422),tensor(0.1380),tensor(0.1475),tensor(0.1519),tensor(0.1510),tensor(0.1478),tensor(0.1595),tensor(0.1439),tensor(0.1489),tensor(0.1487),tensor(0.1476),tensor(0.1566),tensor(0.1419),tensor(0.1503),tensor(0.1488)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.1081),tensor(0.1278),tensor(0.0946),tensor(0.1495),tensor(0.1221),tensor(0.0999),tensor(0.1146),tensor(0.1015),tensor(0.1232),tensor(0.1090),tensor(0.1045),tensor(0.1103),tensor(0.1424),tensor(0.1273),tensor(0.1261),tensor(0.1132),tensor(0.0957),tensor(0.0952),tensor(0.1451),tensor(0.1435),tensor(0.1065),tensor(0.1096),tensor(0.1208),tensor(0.1143),tensor(0.1142),tensor(0.1058),tensor(0.1007),tensor(0.1004),tensor(0.1223),tensor(0.1196),tensor(0.1050),tensor(0.1178),tensor(0.1115),tensor(0.1087),tensor(0.1399),tensor(0.1407),tensor(0.1252),tensor(0.1137),tensor(0.1121),tensor(0.0963),tensor(0.1428),tensor(0.1115),tensor(0.1099),tensor(0.1087),tensor(0.1200),tensor(0.1225),tensor(0.1144),tensor(0.1048),tensor(0.1050),tensor(0.1002),tensor(0.1170),tensor(0.1168),tensor(0.1166),tensor(0.1090),tensor(0.1391),tensor(0.1134),tensor(0.1113),tensor(0.1112),tensor(0.1090),tensor(0.1220),tensor(0.1047),tensor(0.1160),tensor(0.1112)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2257),tensor(0.2219),tensor(0.2197),tensor(0.1388),tensor(0.2057),tensor(0.2169),tensor(0.2310),tensor(0.2295),tensor(0.2069),tensor(0.2271),tensor(0.2178),tensor(0.2381),tensor(0.1870),tensor(0.2216),tensor(0.2257),tensor(0.1965),tensor(0.2213),tensor(0.2178),tensor(0.1407),tensor(0.1473),tensor(0.2299),tensor(0.2348),tensor(0.2231),tensor(0.2299),tensor(0.2298),tensor(0.2272),tensor(0.2281),tensor(0.2260),tensor(0.2077),tensor(0.2074),tensor(0.2192),tensor(0.2246),tensor(0.2401),tensor(0.2331),tensor(0.1878),tensor(0.1948),tensor(0.2238),tensor(0.2015),tensor(0.2020),tensor(0.2203),tensor(0.1520),tensor(0.2309),tensor(0.2349),tensor(0.2332),tensor(0.2226),tensor(0.2253),tensor(0.2302),tensor(0.2265),tensor(0.2267),tensor(0.2259),tensor(0.2071),tensor(0.2237),tensor(0.2213),tensor(0.2341),tensor(0.1981),tensor(0.2062),tensor(0.2315),tensor(0.2309),tensor(0.2337),tensor(0.2249),tensor(0.2265),tensor(0.2205),tensor(0.2310)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2279),tensor(0.2612),tensor(0.2192),tensor(0.1979),tensor(0.2561),tensor(0.2206),tensor(0.2452),tensor(0.2255),tensor(0.2350),tensor(0.2288),tensor(0.2214),tensor(0.2428),tensor(0.2407),tensor(0.2628),tensor(0.2609),tensor(0.2254),tensor(0.2211),tensor(0.2209),tensor(0.1974),tensor(0.2085),tensor(0.2372),tensor(0.2409),tensor(0.2427),tensor(0.2451),tensor(0.2437),tensor(0.2258),tensor(0.2250),tensor(0.2211),tensor(0.2339),tensor(0.2345),tensor(0.2200),tensor(0.2463),tensor(0.2453),tensor(0.2423),tensor(0.2417),tensor(0.2510),tensor(0.2582),tensor(0.2276),tensor(0.2285),tensor(0.2193),tensor(0.2131),tensor(0.2399),tensor(0.2411),tensor(0.2380),tensor(0.2421),tensor(0.2427),tensor(0.2438),tensor(0.2252),tensor(0.2266),tensor(0.2205),tensor(0.2342),tensor(0.2459),tensor(0.2427),tensor(0.2423),tensor(0.2501),tensor(0.2298),tensor(0.2395),tensor(0.2376),tensor(0.2390),tensor(0.2427),tensor(0.2258),tensor(0.2421),tensor(0.2376)
