,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.3150),tensor(0.3464),tensor(0.2699),tensor(0.2440),tensor(0.3163),tensor(0.2653),tensor(0.3325),tensor(0.3058),tensor(0.2964),tensor(0.3148),tensor(0.3058),tensor(0.3249),tensor(0.2955),tensor(0.3507),tensor(0.3393),tensor(0.2745),tensor(0.2782),tensor(0.2638),tensor(0.2564),tensor(0.2516),tensor(0.3105),tensor(0.3212),tensor(0.3221),tensor(0.3314),tensor(0.3241),tensor(0.3002),tensor(0.3093),tensor(0.3006),tensor(0.3009),tensor(0.2927),tensor(0.3100),tensor(0.3067),tensor(0.3263),tensor(0.3111),tensor(0.3051),tensor(0.2954),tensor(0.3395),tensor(0.2799),tensor(0.2719),tensor(0.2721),tensor(0.2581),tensor(0.3110),tensor(0.3221),tensor(0.3166),tensor(0.3243),tensor(0.3171),tensor(0.3274),tensor(0.3046),tensor(0.2920),tensor(0.3015),tensor(0.2946),tensor(0.3125),tensor(0.3007),tensor(0.3134),tensor(0.2997),tensor(0.2770),tensor(0.3131),tensor(0.3061),tensor(0.3167),tensor(0.3210),tensor(0.2952),tensor(0.3029),tensor(0.3071)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.2518),tensor(0.3085),tensor(0.1984),tensor(0.2608),tensor(0.2540),tensor(0.1956),tensor(0.2729),tensor(0.2334),tensor(0.2539),tensor(0.2505),tensor(0.2430),tensor(0.2526),tensor(0.2832),tensor(0.3015),tensor(0.2890),tensor(0.2197),tensor(0.2046),tensor(0.1943),tensor(0.2579),tensor(0.2569),tensor(0.2405),tensor(0.2514),tensor(0.2700),tensor(0.2697),tensor(0.2635),tensor(0.2341),tensor(0.2359),tensor(0.2298),tensor(0.2502),tensor(0.2461),tensor(0.2464),tensor(0.2494),tensor(0.2541),tensor(0.2404),tensor(0.2781),tensor(0.2735),tensor(0.2865),tensor(0.2208),tensor(0.2148),tensor(0.2005),tensor(0.2485),tensor(0.2449),tensor(0.2514),tensor(0.2469),tensor(0.2699),tensor(0.2648),tensor(0.2656),tensor(0.2368),tensor(0.2284),tensor(0.2305),tensor(0.2440),tensor(0.2506),tensor(0.2414),tensor(0.2418),tensor(0.2723),tensor(0.2186),tensor(0.2464),tensor(0.2416),tensor(0.2463),tensor(0.2659),tensor(0.2303),tensor(0.2407),tensor(0.2419)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4300),tensor(0.4020),tensor(0.4326),tensor(0.2426),tensor(0.4283),tensor(0.4213),tensor(0.4351),tensor(0.4532),tensor(0.3698),tensor(0.4325),tensor(0.4218),tensor(0.4658),tensor(0.3202),tensor(0.4264),tensor(0.4167),tensor(0.3795),tensor(0.4453),tensor(0.4199),tensor(0.2704),tensor(0.2607),tensor(0.4478),tensor(0.4553),tensor(0.4083),tensor(0.4390),tensor(0.4306),tensor(0.4306),tensor(0.4595),tensor(0.4438),tensor(0.3873),tensor(0.3709),tensor(0.4274),tensor(0.4070),tensor(0.4666),tensor(0.4520),tensor(0.3490),tensor(0.3308),tensor(0.4229),tensor(0.3951),tensor(0.3832),tensor(0.4332),tensor(0.2857),tensor(0.4355),tensor(0.4586),tensor(0.4508),tensor(0.4144),tensor(0.4031),tensor(0.4363),tensor(0.4383),tensor(0.4176),tensor(0.4457),tensor(0.3812),tensor(0.4231),tensor(0.4081),tensor(0.4561),tensor(0.3431),tensor(0.3918),tensor(0.4390),tensor(0.4269),tensor(0.4538),tensor(0.4126),tensor(0.4229),tensor(0.4173),tensor(0.4298)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0707),tensor(0.0827),tensor(0.0516),tensor(0.0486),tensor(0.0708),tensor(0.0518),tensor(0.0794),tensor(0.0692),tensor(0.0612),tensor(0.0717),tensor(0.0654),tensor(0.0802),tensor(0.0640),tensor(0.0892),tensor(0.0827),tensor(0.0540),tensor(0.0579),tensor(0.0488),tensor(0.0514),tensor(0.0488),tensor(0.0722),tensor(0.0738),tensor(0.0744),tensor(0.0785),tensor(0.0748),tensor(0.0668),tensor(0.0709),tensor(0.0685),tensor(0.0617),tensor(0.0561),tensor(0.0664),tensor(0.0721),tensor(0.0814),tensor(0.0722),tensor(0.0673),tensor(0.0651),tensor(0.0830),tensor(0.0566),tensor(0.0533),tensor(0.0557),tensor(0.0497),tensor(0.0735),tensor(0.0755),tensor(0.0699),tensor(0.0750),tensor(0.0716),tensor(0.0781),tensor(0.0702),tensor(0.0629),tensor(0.0690),tensor(0.0593),tensor(0.0751),tensor(0.0702),tensor(0.0754),tensor(0.0676),tensor(0.0548),tensor(0.0747),tensor(0.0695),tensor(0.0709),tensor(0.0718),tensor(0.0642),tensor(0.0713),tensor(0.0704)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0563),tensor(0.0734),tensor(0.0380),tensor(0.0521),tensor(0.0564),tensor(0.0382),tensor(0.0647),tensor(0.0527),tensor(0.0525),tensor(0.0570),tensor(0.0520),tensor(0.0620),tensor(0.0620),tensor(0.0762),tensor(0.0701),tensor(0.0428),tensor(0.0428),tensor(0.0359),tensor(0.0518),tensor(0.0505),tensor(0.0556),tensor(0.0574),tensor(0.0622),tensor(0.0634),tensor(0.0606),tensor(0.0520),tensor(0.0541),tensor(0.0523),tensor(0.0510),tensor(0.0469),tensor(0.0528),tensor(0.0582),tensor(0.0630),tensor(0.0555),tensor(0.0622),tensor(0.0608),tensor(0.0697),tensor(0.0444),tensor(0.0418),tensor(0.0410),tensor(0.0487),tensor(0.0577),tensor(0.0585),tensor(0.0542),tensor(0.0621),tensor(0.0596),tensor(0.0628),tensor(0.0547),tensor(0.0489),tensor(0.0527),tensor(0.0489),tensor(0.0600),tensor(0.0561),tensor(0.0577),tensor(0.0623),tensor(0.0432),tensor(0.0586),tensor(0.0546),tensor(0.0548),tensor(0.0593),tensor(0.0498),tensor(0.0563),tensor(0.0554)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.0966),tensor(0.0961),tensor(0.0819),tensor(0.0484),tensor(0.0970),tensor(0.0820),tensor(0.1050),tensor(0.1025),tensor(0.0767),tensor(0.0983),tensor(0.0899),tensor(0.1161),tensor(0.0693),tensor(0.1094),tensor(0.1022),tensor(0.0753),tensor(0.0917),tensor(0.0775),tensor(0.0546),tensor(0.0506),tensor(0.1054),tensor(0.1058),tensor(0.0946),tensor(0.1052),tensor(0.1000),tensor(0.0957),tensor(0.1049),tensor(0.1011),tensor(0.0797),tensor(0.0711),tensor(0.0914),tensor(0.0965),tensor(0.1174),tensor(0.1059),tensor(0.0765),tensor(0.0726),tensor(0.1043),tensor(0.0798),tensor(0.0755),tensor(0.0886),tensor(0.0551),tensor(0.1030),tensor(0.1086),tensor(0.1006),tensor(0.0961),tensor(0.0912),tensor(0.1055),tensor(0.1004),tensor(0.0902),tensor(0.1017),tensor(0.0768),tensor(0.1023),tensor(0.0961),tensor(0.1111),tensor(0.0766),tensor(0.0774),tensor(0.1048),tensor(0.0973),tensor(0.1026),tensor(0.0927),tensor(0.0922),tensor(0.0993),tensor(0.0987)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1659),tensor(0.1771),tensor(0.1365),tensor(0.1491),tensor(0.1596),tensor(0.1402),tensor(0.1689),tensor(0.1573),tensor(0.1617),tensor(0.1668),tensor(0.1609),tensor(0.1656),tensor(0.1667),tensor(0.1809),tensor(0.1747),tensor(0.1522),tensor(0.1414),tensor(0.1352),tensor(0.1521),tensor(0.1541),tensor(0.1599),tensor(0.1636),tensor(0.1706),tensor(0.1682),tensor(0.1667),tensor(0.1609),tensor(0.1597),tensor(0.1557),tensor(0.1644),tensor(0.1587),tensor(0.1631),tensor(0.1655),tensor(0.1658),tensor(0.1613),tensor(0.1665),tensor(0.1636),tensor(0.1756),tensor(0.1560),tensor(0.1516),tensor(0.1413),tensor(0.1526),tensor(0.1691),tensor(0.1641),tensor(0.1611),tensor(0.1703),tensor(0.1693),tensor(0.1684),tensor(0.1624),tensor(0.1562),tensor(0.1551),tensor(0.1620),tensor(0.1662),tensor(0.1637),tensor(0.1603),tensor(0.1665),tensor(0.1543),tensor(0.1676),tensor(0.1641),tensor(0.1623),tensor(0.1699),tensor(0.1568),tensor(0.1654),tensor(0.1659)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.1326),tensor(0.1576),tensor(0.1003),tensor(0.1624),tensor(0.1283),tensor(0.1036),tensor(0.1384),tensor(0.1200),tensor(0.1397),tensor(0.1327),tensor(0.1279),tensor(0.1284),tensor(0.1601),tensor(0.1554),tensor(0.1486),tensor(0.1219),tensor(0.1040),tensor(0.0996),tensor(0.1561),tensor(0.1599),tensor(0.1237),tensor(0.1279),tensor(0.1431),tensor(0.1368),tensor(0.1356),tensor(0.1256),tensor(0.1217),tensor(0.1189),tensor(0.1373),tensor(0.1338),tensor(0.1297),tensor(0.1348),tensor(0.1287),tensor(0.1244),tensor(0.1524),tensor(0.1516),tensor(0.1481),tensor(0.1234),tensor(0.1201),tensor(0.1040),tensor(0.1500),tensor(0.1332),tensor(0.1279),tensor(0.1256),tensor(0.1418),tensor(0.1411),tensor(0.1366),tensor(0.1264),tensor(0.1226),tensor(0.1185),tensor(0.1346),tensor(0.1333),tensor(0.1315),tensor(0.1233),tensor(0.1515),tensor(0.1221),tensor(0.1319),tensor(0.1297),tensor(0.1262),tensor(0.1406),tensor(0.1227),tensor(0.1315),tensor(0.1309)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2267),tensor(0.2056),tensor(0.2189),tensor(0.1474),tensor(0.2157),tensor(0.2215),tensor(0.2216),tensor(0.2335),tensor(0.2009),tensor(0.2289),tensor(0.2219),tensor(0.2383),tensor(0.1806),tensor(0.2202),tensor(0.2149),tensor(0.2100),tensor(0.2265),tensor(0.2151),tensor(0.1588),tensor(0.1585),tensor(0.2312),tensor(0.2325),tensor(0.2161),tensor(0.2231),tensor(0.2214),tensor(0.2302),tensor(0.2373),tensor(0.2304),tensor(0.2101),tensor(0.2006),tensor(0.2247),tensor(0.2192),tensor(0.2382),tensor(0.2353),tensor(0.1900),tensor(0.1832),tensor(0.2188),tensor(0.2191),tensor(0.2126),tensor(0.2251),tensor(0.1676),tensor(0.2367),tensor(0.2344),tensor(0.2295),tensor(0.2175),tensor(0.2156),tensor(0.2243),tensor(0.2331),tensor(0.2224),tensor(0.2297),tensor(0.2087),tensor(0.2250),tensor(0.2219),tensor(0.2346),tensor(0.1903),tensor(0.2169),tensor(0.2346),tensor(0.2285),tensor(0.2325),tensor(0.2187),tensor(0.2235),tensor(0.2275),tensor(0.2313)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2663),tensor(0.2864),tensor(0.2227),tensor(0.2194),tensor(0.2601),tensor(0.2207),tensor(0.2792),tensor(0.2580),tensor(0.2562),tensor(0.2683),tensor(0.2581),tensor(0.2682),tensor(0.2568),tensor(0.2912),tensor(0.2811),tensor(0.2378),tensor(0.2305),tensor(0.2189),tensor(0.2308),tensor(0.2251),tensor(0.2586),tensor(0.2649),tensor(0.2762),tensor(0.2771),tensor(0.2704),tensor(0.2585),tensor(0.2603),tensor(0.2541),tensor(0.2584),tensor(0.2571),tensor(0.2606),tensor(0.2637),tensor(0.2697),tensor(0.2577),tensor(0.2619),tensor(0.2589),tensor(0.2829),tensor(0.2428),tensor(0.2332),tensor(0.2256),tensor(0.2294),tensor(0.2667),tensor(0.2674),tensor(0.2636),tensor(0.2798),tensor(0.2730),tensor(0.2749),tensor(0.2614),tensor(0.2501),tensor(0.2546),tensor(0.2583),tensor(0.2681),tensor(0.2584),tensor(0.2608),tensor(0.2612),tensor(0.2374),tensor(0.2676),tensor(0.2588),tensor(0.2636),tensor(0.2759),tensor(0.2524),tensor(0.2592),tensor(0.2603)
