,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.3161),tensor(0.3362),tensor(0.2673),tensor(0.2486),tensor(0.3184),tensor(0.2635),tensor(0.3266),tensor(0.3025),tensor(0.3131),tensor(0.3210),tensor(0.3118),tensor(0.3243),tensor(0.3215),tensor(0.3382),tensor(0.3412),tensor(0.2786),tensor(0.2785),tensor(0.2673),tensor(0.2692),tensor(0.2658),tensor(0.3168),tensor(0.3219),tensor(0.3296),tensor(0.3265),tensor(0.3264),tensor(0.3042),tensor(0.3003),tensor(0.2978),tensor(0.3145),tensor(0.3128),tensor(0.3177),tensor(0.3146),tensor(0.3265),tensor(0.3233),tensor(0.3253),tensor(0.3189),tensor(0.3378),tensor(0.2816),tensor(0.2777),tensor(0.2773),tensor(0.2744),tensor(0.3238),tensor(0.3269),tensor(0.3185),tensor(0.3325),tensor(0.3250),tensor(0.3285),tensor(0.3035),tensor(0.3002),tensor(0.2994),tensor(0.3150),tensor(0.3161),tensor(0.3145),tensor(0.3262),tensor(0.3226),tensor(0.2777),tensor(0.3230),tensor(0.3161),tensor(0.3208),tensor(0.3293),tensor(0.2986),tensor(0.3154),tensor(0.3182)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.2521),tensor(0.3005),tensor(0.1962),tensor(0.2555),tensor(0.2546),tensor(0.1937),tensor(0.2662),tensor(0.2294),tensor(0.2518),tensor(0.2556),tensor(0.2476),tensor(0.2509),tensor(0.2977),tensor(0.2918),tensor(0.2941),tensor(0.2072),tensor(0.2042),tensor(0.1963),tensor(0.2490),tensor(0.2484),tensor(0.2459),tensor(0.2507),tensor(0.2695),tensor(0.2646),tensor(0.2648),tensor(0.2313),tensor(0.2274),tensor(0.2254),tensor(0.2533),tensor(0.2512),tensor(0.2522),tensor(0.2443),tensor(0.2523),tensor(0.2490),tensor(0.2892),tensor(0.2847),tensor(0.2875),tensor(0.2088),tensor(0.2064),tensor(0.2040),tensor(0.2423),tensor(0.2527),tensor(0.2551),tensor(0.2466),tensor(0.2708),tensor(0.2656),tensor(0.2652),tensor(0.2304),tensor(0.2286),tensor(0.2263),tensor(0.2526),tensor(0.2454),tensor(0.2440),tensor(0.2511),tensor(0.2805),tensor(0.2059),tensor(0.2522),tensor(0.2462),tensor(0.2489),tensor(0.2673),tensor(0.2271),tensor(0.2448),tensor(0.2481)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4323),tensor(0.3909),tensor(0.4293),tensor(0.2556),tensor(0.4341),tensor(0.4219),tensor(0.4308),tensor(0.4537),tensor(0.4228),tensor(0.4396),tensor(0.4297),tensor(0.4700),tensor(0.3591),tensor(0.4095),tensor(0.4139),tensor(0.4361),tensor(0.4476),tensor(0.4286),tensor(0.3030),tensor(0.2944),tensor(0.4567),tensor(0.4593),tensor(0.4322),tensor(0.4347),tensor(0.4331),tensor(0.4537),tensor(0.4517),tensor(0.4481),tensor(0.4239),tensor(0.4237),tensor(0.4379),tensor(0.4522),tensor(0.4732),tensor(0.4721),tensor(0.3818),tensor(0.3719),tensor(0.4180),tensor(0.4436),tensor(0.4354),tensor(0.4434),tensor(0.3238),tensor(0.4606),tensor(0.4646),tensor(0.4582),tensor(0.4388),tensor(0.4258),tensor(0.4392),tensor(0.4539),tensor(0.4478),tensor(0.4520),tensor(0.4272),tensor(0.4544),tensor(0.4518),tensor(0.4763),tensor(0.3883),tensor(0.4380),tensor(0.4592),tensor(0.4512),tensor(0.4597),tensor(0.4363),tensor(0.4463),tensor(0.4533),tensor(0.4534)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0733),tensor(0.0769),tensor(0.0491),tensor(0.0480),tensor(0.0736),tensor(0.0478),tensor(0.0768),tensor(0.0672),tensor(0.0714),tensor(0.0747),tensor(0.0686),tensor(0.0802),tensor(0.0731),tensor(0.0780),tensor(0.0787),tensor(0.0597),tensor(0.0579),tensor(0.0493),tensor(0.0563),tensor(0.0547),tensor(0.0706),tensor(0.0738),tensor(0.0789),tensor(0.0762),tensor(0.0775),tensor(0.0705),tensor(0.0654),tensor(0.0639),tensor(0.0720),tensor(0.0707),tensor(0.0721),tensor(0.0762),tensor(0.0822),tensor(0.0769),tensor(0.0755),tensor(0.0719),tensor(0.0790),tensor(0.0604),tensor(0.0579),tensor(0.0575),tensor(0.0563),tensor(0.0762),tensor(0.0796),tensor(0.0734),tensor(0.0818),tensor(0.0774),tensor(0.0778),tensor(0.0705),tensor(0.0670),tensor(0.0660),tensor(0.0709),tensor(0.0770),tensor(0.0741),tensor(0.0788),tensor(0.0731),tensor(0.0568),tensor(0.0783),tensor(0.0744),tensor(0.0761),tensor(0.0820),tensor(0.0675),tensor(0.0739),tensor(0.0745)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0584),tensor(0.0675),tensor(0.0362),tensor(0.0485),tensor(0.0587),tensor(0.0352),tensor(0.0622),tensor(0.0507),tensor(0.0574),tensor(0.0594),tensor(0.0545),tensor(0.0619),tensor(0.0671),tensor(0.0667),tensor(0.0670),tensor(0.0445),tensor(0.0425),tensor(0.0363),tensor(0.0518),tensor(0.0511),tensor(0.0547),tensor(0.0572),tensor(0.0643),tensor(0.0613),tensor(0.0626),tensor(0.0534),tensor(0.0493),tensor(0.0483),tensor(0.0580),tensor(0.0568),tensor(0.0572),tensor(0.0590),tensor(0.0632),tensor(0.0590),tensor(0.0666),tensor(0.0637),tensor(0.0663),tensor(0.0448),tensor(0.0431),tensor(0.0423),tensor(0.0496),tensor(0.0592),tensor(0.0618),tensor(0.0567),tensor(0.0663),tensor(0.0630),tensor(0.0625),tensor(0.0534),tensor(0.0510),tensor(0.0499),tensor(0.0569),tensor(0.0596),tensor(0.0572),tensor(0.0603),tensor(0.0632),tensor(0.0420),tensor(0.0610),tensor(0.0577),tensor(0.0587),tensor(0.0663),tensor(0.0514),tensor(0.0571),tensor(0.0578)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.1004),tensor(0.0909),tensor(0.0782),tensor(0.0499),tensor(0.1010),tensor(0.0763),tensor(0.1023),tensor(0.1012),tensor(0.0962),tensor(0.1024),tensor(0.0946),tensor(0.1165),tensor(0.0822),tensor(0.0956),tensor(0.0967),tensor(0.0924),tensor(0.0923),tensor(0.0784),tensor(0.0635),tensor(0.0606),tensor(0.1021),tensor(0.1059),tensor(0.1039),tensor(0.1027),tensor(0.1037),tensor(0.1055),tensor(0.0989),tensor(0.0962),tensor(0.0970),tensor(0.0955),tensor(0.0993),tensor(0.1100),tensor(0.1200),tensor(0.1132),tensor(0.0890),tensor(0.0844),tensor(0.0996),tensor(0.0947),tensor(0.0900),tensor(0.0915),tensor(0.0668),tensor(0.1092),tensor(0.1141),tensor(0.1060),tensor(0.1086),tensor(0.1018),tensor(0.1050),tensor(0.1055),tensor(0.0998),tensor(0.0995),tensor(0.0961),tensor(0.1110),tensor(0.1071),tensor(0.1162),tensor(0.0886),tensor(0.0895),tensor(0.1119),tensor(0.1070),tensor(0.1103),tensor(0.1092),tensor(0.1007),tensor(0.1068),tensor(0.1068)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1657),tensor(0.1751),tensor(0.1329),tensor(0.1511),tensor(0.1584),tensor(0.1374),tensor(0.1714),tensor(0.1577),tensor(0.1720),tensor(0.1669),tensor(0.1668),tensor(0.1646),tensor(0.1721),tensor(0.1750),tensor(0.1780),tensor(0.1424),tensor(0.1412),tensor(0.1367),tensor(0.1596),tensor(0.1603),tensor(0.1579),tensor(0.1655),tensor(0.1740),tensor(0.1727),tensor(0.1720),tensor(0.1586),tensor(0.1570),tensor(0.1567),tensor(0.1703),tensor(0.1685),tensor(0.1662),tensor(0.1673),tensor(0.1679),tensor(0.1639),tensor(0.1763),tensor(0.1736),tensor(0.1784),tensor(0.1453),tensor(0.1401),tensor(0.1427),tensor(0.1585),tensor(0.1656),tensor(0.1682),tensor(0.1659),tensor(0.1742),tensor(0.1742),tensor(0.1730),tensor(0.1605),tensor(0.1585),tensor(0.1591),tensor(0.1692),tensor(0.1659),tensor(0.1673),tensor(0.1680),tensor(0.1730),tensor(0.1417),tensor(0.1669),tensor(0.1649),tensor(0.1687),tensor(0.1726),tensor(0.1591),tensor(0.1663),tensor(0.1672)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.1321),tensor(0.1566),tensor(0.0975),tensor(0.1575),tensor(0.1266),tensor(0.1011),tensor(0.1398),tensor(0.1195),tensor(0.1385),tensor(0.1328),tensor(0.1324),tensor(0.1273),tensor(0.1598),tensor(0.1510),tensor(0.1533),tensor(0.1059),tensor(0.1034),tensor(0.1005),tensor(0.1491),tensor(0.1513),tensor(0.1222),tensor(0.1287),tensor(0.1424),tensor(0.1400),tensor(0.1394),tensor(0.1206),tensor(0.1189),tensor(0.1185),tensor(0.1373),tensor(0.1355),tensor(0.1318),tensor(0.1298),tensor(0.1297),tensor(0.1262),tensor(0.1571),tensor(0.1551),tensor(0.1516),tensor(0.1078),tensor(0.1041),tensor(0.1050),tensor(0.1404),tensor(0.1291),tensor(0.1311),tensor(0.1283),tensor(0.1419),tensor(0.1424),tensor(0.1396),tensor(0.1219),tensor(0.1208),tensor(0.1202),tensor(0.1359),tensor(0.1289),tensor(0.1298),tensor(0.1292),tensor(0.1505),tensor(0.1051),tensor(0.1303),tensor(0.1286),tensor(0.1308),tensor(0.1402),tensor(0.1211),tensor(0.1291),tensor(0.1304)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2269),tensor(0.2035),tensor(0.2136),tensor(0.1544),tensor(0.2165),tensor(0.2195),tensor(0.2260),tensor(0.2370),tensor(0.2320),tensor(0.2288),tensor(0.2299),tensor(0.2388),tensor(0.1917),tensor(0.2119),tensor(0.2162),tensor(0.2226),tensor(0.2271),tensor(0.2189),tensor(0.1785),tensor(0.1762),tensor(0.2286),tensor(0.2364),tensor(0.2278),tensor(0.2297),tensor(0.2286),tensor(0.2365),tensor(0.2361),tensor(0.2365),tensor(0.2292),tensor(0.2278),tensor(0.2295),tensor(0.2405),tensor(0.2435),tensor(0.2396),tensor(0.2063),tensor(0.2024),tensor(0.2212),tensor(0.2285),tensor(0.2197),tensor(0.2278),tensor(0.1864),tensor(0.2357),tensor(0.2395),tensor(0.2391),tensor(0.2297),tensor(0.2281),tensor(0.2315),tensor(0.2398),tensor(0.2359),tensor(0.2402),tensor(0.2289),tensor(0.2384),tensor(0.2405),tensor(0.2457),tensor(0.2079),tensor(0.2233),tensor(0.2373),tensor(0.2351),tensor(0.2421),tensor(0.2283),tensor(0.2372),tensor(0.2388),tensor(0.2377)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2677),tensor(0.2761),tensor(0.2200),tensor(0.2188),tensor(0.2671),tensor(0.2177),tensor(0.2718),tensor(0.2556),tensor(0.2677),tensor(0.2700),tensor(0.2631),tensor(0.2703),tensor(0.2682),tensor(0.2799),tensor(0.2795),tensor(0.2358),tensor(0.2303),tensor(0.2216),tensor(0.2364),tensor(0.2330),tensor(0.2643),tensor(0.2704),tensor(0.2761),tensor(0.2723),tensor(0.2764),tensor(0.2604),tensor(0.2517),tensor(0.2521),tensor(0.2691),tensor(0.2683),tensor(0.2686),tensor(0.2659),tensor(0.2726),tensor(0.2669),tensor(0.2755),tensor(0.2689),tensor(0.2797),tensor(0.2362),tensor(0.2334),tensor(0.2305),tensor(0.2411),tensor(0.2742),tensor(0.2734),tensor(0.2657),tensor(0.2779),tensor(0.2725),tensor(0.2752),tensor(0.2574),tensor(0.2551),tensor(0.2524),tensor(0.2683),tensor(0.2669),tensor(0.2652),tensor(0.2697),tensor(0.2738),tensor(0.2321),tensor(0.2727),tensor(0.2643),tensor(0.2688),tensor(0.2750),tensor(0.2535),tensor(0.2632),tensor(0.2667)
