,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0361),tensor(0.3812),tensor(0.3046),tensor(0.3440),tensor(0.2706),tensor(0.2217),tensor(0.3147),tensor(0.2583),tensor(0.3307),tensor(0.2969),tensor(0.3019),tensor(0.3042),tensor(0.2923),tensor(0.3210),tensor(0.3131),tensor(0.3497),tensor(0.3328),tensor(0.2656),tensor(0.2745),tensor(0.2651),tensor(0.2406),tensor(0.2317),tensor(0.3043),tensor(0.3224),tensor(0.3230),tensor(0.3311),tensor(0.3217),tensor(0.2911),tensor(0.2979),tensor(0.2903),tensor(0.3021),tensor(0.2916),tensor(0.2978),tensor(0.3174),tensor(0.3208),tensor(0.3080),tensor(0.3183),tensor(0.3125),tensor(0.3328),tensor(0.2671),tensor(0.2578),tensor(0.2707),tensor(0.2494),tensor(0.3126),tensor(0.3200),tensor(0.3134),tensor(0.3223),tensor(0.3188),tensor(0.3229),tensor(0.2906),tensor(0.2856),tensor(0.2911),tensor(0.2940),tensor(0.3190),tensor(0.3084),tensor(0.3084),tensor(0.3178),tensor(0.2601),tensor(0.3157),tensor(0.3098),tensor(0.3147),tensor(0.3226),tensor(0.2862),tensor(0.3090),tensor(0.3127)
rouge1_precision,tensor(0.0185),tensor(0.3814),tensor(0.2432),tensor(0.3062),tensor(0.1984),tensor(0.2367),tensor(0.2525),tensor(0.1898),tensor(0.2699),tensor(0.2258),tensor(0.2443),tensor(0.2421),tensor(0.2322),tensor(0.2469),tensor(0.2884),tensor(0.3000),tensor(0.2824),tensor(0.1966),tensor(0.2007),tensor(0.1950),tensor(0.2334),tensor(0.2255),tensor(0.2361),tensor(0.2511),tensor(0.2656),tensor(0.2689),tensor(0.2610),tensor(0.2205),tensor(0.2261),tensor(0.2211),tensor(0.2420),tensor(0.2337),tensor(0.2362),tensor(0.2461),tensor(0.2470),tensor(0.2356),tensor(0.2807),tensor(0.2783),tensor(0.2801),tensor(0.1972),tensor(0.1920),tensor(0.1991),tensor(0.2223),tensor(0.2433),tensor(0.2488),tensor(0.2436),tensor(0.2626),tensor(0.2591),tensor(0.2610),tensor(0.2203),tensor(0.2166),tensor(0.2211),tensor(0.2354),tensor(0.2474),tensor(0.2388),tensor(0.2356),tensor(0.2729),tensor(0.1935),tensor(0.2455),tensor(0.2411),tensor(0.2447),tensor(0.2605),tensor(0.2175),tensor(0.2391),tensor(0.2433)
rouge1_recall,tensor(0.9003),tensor(0.3819),tensor(0.4159),tensor(0.3983),tensor(0.4348),tensor(0.2226),tensor(0.4260),tensor(0.4128),tensor(0.4340),tensor(0.4429),tensor(0.4036),tensor(0.4176),tensor(0.4027),tensor(0.4686),tensor(0.3503),tensor(0.4257),tensor(0.4096),tensor(0.4193),tensor(0.4435),tensor(0.4228),tensor(0.2664),tensor(0.2533),tensor(0.4371),tensor(0.4608),tensor(0.4201),tensor(0.4373),tensor(0.4274),tensor(0.4386),tensor(0.4462),tensor(0.4318),tensor(0.4103),tensor(0.3962),tensor(0.4117),tensor(0.4564),tensor(0.4679),tensor(0.4556),tensor(0.3757),tensor(0.3643),tensor(0.4150),tensor(0.4232),tensor(0.4013),tensor(0.4323),tensor(0.2920),tensor(0.4468),tensor(0.4584),tensor(0.4489),tensor(0.4252),tensor(0.4222),tensor(0.4319),tensor(0.4368),tensor(0.4291),tensor(0.4357),tensor(0.4002),tensor(0.4586),tensor(0.4457),tensor(0.4558),tensor(0.3866),tensor(0.4060),tensor(0.4519),tensor(0.4430),tensor(0.4506),tensor(0.4317),tensor(0.4284),tensor(0.4476),tensor(0.4476)
rouge2_fmeasure,tensor(0.0178),tensor(0.0961),tensor(0.0641),tensor(0.0868),tensor(0.0539),tensor(0.0365),tensor(0.0745),tensor(0.0499),tensor(0.0832),tensor(0.0661),tensor(0.0634),tensor(0.0647),tensor(0.0587),tensor(0.0827),tensor(0.0772),tensor(0.0898),tensor(0.0835),tensor(0.0528),tensor(0.0569),tensor(0.0517),tensor(0.0393),tensor(0.0375),tensor(0.0705),tensor(0.0818),tensor(0.0759),tensor(0.0833),tensor(0.0786),tensor(0.0645),tensor(0.0663),tensor(0.0623),tensor(0.0632),tensor(0.0583),tensor(0.0627),tensor(0.0785),tensor(0.0842),tensor(0.0781),tensor(0.0800),tensor(0.0711),tensor(0.0843),tensor(0.0526),tensor(0.0462),tensor(0.0558),tensor(0.0407),tensor(0.0726),tensor(0.0802),tensor(0.0762),tensor(0.0763),tensor(0.0730),tensor(0.0801),tensor(0.0639),tensor(0.0614),tensor(0.0635),tensor(0.0593),tensor(0.0792),tensor(0.0728),tensor(0.0787),tensor(0.0746),tensor(0.0479),tensor(0.0765),tensor(0.0702),tensor(0.0770),tensor(0.0742),tensor(0.0614),tensor(0.0727),tensor(0.0730)
rouge2_precision,tensor(0.0091),tensor(0.0961),tensor(0.0515),tensor(0.0770),tensor(0.0395),tensor(0.0380),tensor(0.0600),tensor(0.0366),tensor(0.0678),tensor(0.0505),tensor(0.0516),tensor(0.0518),tensor(0.0470),tensor(0.0639),tensor(0.0701),tensor(0.0767),tensor(0.0704),tensor(0.0392),tensor(0.0417),tensor(0.0380),tensor(0.0363),tensor(0.0353),tensor(0.0547),tensor(0.0638),tensor(0.0625),tensor(0.0675),tensor(0.0637),tensor(0.0489),tensor(0.0504),tensor(0.0475),tensor(0.0508),tensor(0.0469),tensor(0.0501),tensor(0.0611),tensor(0.0652),tensor(0.0597),tensor(0.0703),tensor(0.0625),tensor(0.0706),tensor(0.0390),tensor(0.0344),tensor(0.0412),tensor(0.0358),tensor(0.0567),tensor(0.0625),tensor(0.0594),tensor(0.0624),tensor(0.0595),tensor(0.0646),tensor(0.0484),tensor(0.0466),tensor(0.0484),tensor(0.0477),tensor(0.0616),tensor(0.0566),tensor(0.0602),tensor(0.0638),tensor(0.0356),tensor(0.0596),tensor(0.0548),tensor(0.0600),tensor(0.0600),tensor(0.0467),tensor(0.0564),tensor(0.0569)
rouge2_recall,tensor(0.4473),tensor(0.0962),tensor(0.0866),tensor(0.1010),tensor(0.0865),tensor(0.0366),tensor(0.1004),tensor(0.0799),tensor(0.1092),tensor(0.0976),tensor(0.0838),tensor(0.0877),tensor(0.0798),tensor(0.1196),tensor(0.0879),tensor(0.1102),tensor(0.1036),tensor(0.0828),tensor(0.0917),tensor(0.0823),tensor(0.0446),tensor(0.0415),tensor(0.1010),tensor(0.1162),tensor(0.0982),tensor(0.1101),tensor(0.1046),tensor(0.0971),tensor(0.0984),tensor(0.0921),tensor(0.0848),tensor(0.0784),tensor(0.0854),tensor(0.1119),tensor(0.1216),tensor(0.1154),tensor(0.0950),tensor(0.0841),tensor(0.1057),tensor(0.0829),tensor(0.0720),tensor(0.0888),tensor(0.0486),tensor(0.1033),tensor(0.1142),tensor(0.1085),tensor(0.0998),tensor(0.0961),tensor(0.1074),tensor(0.0960),tensor(0.0920),tensor(0.0943),tensor(0.0800),tensor(0.1130),tensor(0.1046),tensor(0.1162),tensor(0.0913),tensor(0.0747),tensor(0.1089),tensor(0.0999),tensor(0.1094),tensor(0.0987),tensor(0.0919),tensor(0.1048),tensor(0.1040)
rougeL_fmeasure,tensor(0.0263),tensor(0.2060),tensor(0.1604),tensor(0.1745),tensor(0.1410),tensor(0.1366),tensor(0.1595),tensor(0.1336),tensor(0.1716),tensor(0.1560),tensor(0.1598),tensor(0.1609),tensor(0.1571),tensor(0.1651),tensor(0.1676),tensor(0.1787),tensor(0.1749),tensor(0.1396),tensor(0.1422),tensor(0.1374),tensor(0.1440),tensor(0.1436),tensor(0.1561),tensor(0.1678),tensor(0.1656),tensor(0.1698),tensor(0.1670),tensor(0.1551),tensor(0.1569),tensor(0.1528),tensor(0.1614),tensor(0.1579),tensor(0.1607),tensor(0.1611),tensor(0.1679),tensor(0.1642),tensor(0.1704),tensor(0.1665),tensor(0.1745),tensor(0.1414),tensor(0.1382),tensor(0.1409),tensor(0.1448),tensor(0.1620),tensor(0.1673),tensor(0.1659),tensor(0.1664),tensor(0.1660),tensor(0.1676),tensor(0.1568),tensor(0.1513),tensor(0.1528),tensor(0.1588),tensor(0.1627),tensor(0.1607),tensor(0.1636),tensor(0.1691),tensor(0.1391),tensor(0.1642),tensor(0.1614),tensor(0.1663),tensor(0.1666),tensor(0.1536),tensor(0.1620),tensor(0.1631)
rougeL_precision,tensor(0.0135),tensor(0.2060),tensor(0.1283),tensor(0.1553),tensor(0.1033),tensor(0.1482),tensor(0.1281),tensor(0.0982),tensor(0.1399),tensor(0.1187),tensor(0.1293),tensor(0.1283),tensor(0.1250),tensor(0.1269),tensor(0.1548),tensor(0.1532),tensor(0.1483),tensor(0.1033),tensor(0.1039),tensor(0.1009),tensor(0.1425),tensor(0.1414),tensor(0.1209),tensor(0.1307),tensor(0.1361),tensor(0.1378),tensor(0.1354),tensor(0.1175),tensor(0.1190),tensor(0.1163),tensor(0.1293),tensor(0.1267),tensor(0.1276),tensor(0.1248),tensor(0.1293),tensor(0.1257),tensor(0.1507),tensor(0.1485),tensor(0.1468),tensor(0.1044),tensor(0.1029),tensor(0.1035),tensor(0.1293),tensor(0.1263),tensor(0.1301),tensor(0.1291),tensor(0.1356),tensor(0.1349),tensor(0.1354),tensor(0.1189),tensor(0.1146),tensor(0.1160),tensor(0.1273),tensor(0.1262),tensor(0.1244),tensor(0.1249),tensor(0.1452),tensor(0.1034),tensor(0.1279),tensor(0.1258),tensor(0.1294),tensor(0.1343),tensor(0.1167),tensor(0.1254),tensor(0.1271)
rougeL_recall,tensor(0.6617),tensor(0.2063),tensor(0.2183),tensor(0.2020),tensor(0.2273),tensor(0.1364),tensor(0.2158),tensor(0.2137),tensor(0.2254),tensor(0.2326),tensor(0.2137),tensor(0.2201),tensor(0.2164),tensor(0.2414),tensor(0.1874),tensor(0.2177),tensor(0.2155),tensor(0.2207),tensor(0.2305),tensor(0.2201),tensor(0.1579),tensor(0.1565),tensor(0.2250),tensor(0.2399),tensor(0.2157),tensor(0.2246),tensor(0.2222),tensor(0.2336),tensor(0.2350),tensor(0.2276),tensor(0.2191),tensor(0.2141),tensor(0.2219),tensor(0.2322),tensor(0.2453),tensor(0.2429),tensor(0.2007),tensor(0.1940),tensor(0.2178),tensor(0.2245),tensor(0.2151),tensor(0.2255),tensor(0.1697),tensor(0.2313),tensor(0.2397),tensor(0.2373),tensor(0.2198),tensor(0.2201),tensor(0.2243),tensor(0.2354),tensor(0.2278),tensor(0.2289),tensor(0.2159),tensor(0.2340),tensor(0.2326),tensor(0.2422),tensor(0.2059),tensor(0.2174),tensor(0.2346),tensor(0.2305),tensor(0.2380),tensor(0.2235),tensor(0.2303),tensor(0.2347),tensor(0.2332)
rougeLsum_fmeasure,tensor(0.0352),tensor(0.3478),tensor(0.2618),tensor(0.2894),tensor(0.2266),tensor(0.2002),tensor(0.2624),tensor(0.2182),tensor(0.2848),tensor(0.2527),tensor(0.2567),tensor(0.2608),tensor(0.2520),tensor(0.2722),tensor(0.2695),tensor(0.2949),tensor(0.2828),tensor(0.2261),tensor(0.2301),tensor(0.2213),tensor(0.2139),tensor(0.2085),tensor(0.2566),tensor(0.2747),tensor(0.2763),tensor(0.2852),tensor(0.2769),tensor(0.2489),tensor(0.2535),tensor(0.2483),tensor(0.2561),tensor(0.2522),tensor(0.2550),tensor(0.2669),tensor(0.2709),tensor(0.2631),tensor(0.2731),tensor(0.2723),tensor(0.2846),tensor(0.2283),tensor(0.2197),tensor(0.2257),tensor(0.2187),tensor(0.2635),tensor(0.2743),tensor(0.2668),tensor(0.2732),tensor(0.2704),tensor(0.2766),tensor(0.2482),tensor(0.2446),tensor(0.2481),tensor(0.2530),tensor(0.2696),tensor(0.2626),tensor(0.2605),tensor(0.2725),tensor(0.2226),tensor(0.2682),tensor(0.2613),tensor(0.2685),tensor(0.2706),tensor(0.2455),tensor(0.2643),tensor(0.2636)
rougeLsum_precision,tensor(0.0180),tensor(0.3480),tensor(0.2092),tensor(0.2570),tensor(0.1661),tensor(0.2146),tensor(0.2107),tensor(0.1604),tensor(0.2326),tensor(0.1923),tensor(0.2080),tensor(0.2077),tensor(0.2003),tensor(0.2094),tensor(0.2484),tensor(0.2527),tensor(0.2397),tensor(0.1674),tensor(0.1682),tensor(0.1627),tensor(0.2091),tensor(0.2039),tensor(0.1991),tensor(0.2141),tensor(0.2273),tensor(0.2318),tensor(0.2247),tensor(0.1887),tensor(0.1924),tensor(0.1892),tensor(0.2053),tensor(0.2022),tensor(0.2024),tensor(0.2071),tensor(0.2086),tensor(0.2014),tensor(0.2411),tensor(0.2428),tensor(0.2395),tensor(0.1687),tensor(0.1636),tensor(0.1658),tensor(0.1950),tensor(0.2052),tensor(0.2135),tensor(0.2076),tensor(0.2226),tensor(0.2199),tensor(0.2238),tensor(0.1883),tensor(0.1856),tensor(0.1884),tensor(0.2029),tensor(0.2091),tensor(0.2036),tensor(0.1991),tensor(0.2341),tensor(0.1656),tensor(0.2088),tensor(0.2036),tensor(0.2090),tensor(0.2183),tensor(0.1867),tensor(0.2047),tensor(0.2053)
rougeLsum_recall,tensor(0.8768),tensor(0.3484),tensor(0.3571),tensor(0.3359),tensor(0.3643),tensor(0.2008),tensor(0.3550),tensor(0.3491),tensor(0.3729),tensor(0.3766),tensor(0.3426),tensor(0.3573),tensor(0.3472),tensor(0.3969),tensor(0.3016),tensor(0.3596),tensor(0.3485),tensor(0.3566),tensor(0.3717),tensor(0.3534),tensor(0.2360),tensor(0.2277),tensor(0.3684),tensor(0.3920),tensor(0.3593),tensor(0.3764),tensor(0.3675),tensor(0.3745),tensor(0.3796),tensor(0.3691),tensor(0.3475),tensor(0.3423),tensor(0.3522),tensor(0.3832),tensor(0.3952),tensor(0.3886),tensor(0.3222),tensor(0.3174),tensor(0.3551),tensor(0.3612),tensor(0.3423),tensor(0.3611),tensor(0.2561),tensor(0.3762),tensor(0.3923),tensor(0.3813),tensor(0.3602),tensor(0.3577),tensor(0.3694),tensor(0.3726),tensor(0.3670),tensor(0.3713),tensor(0.3436),tensor(0.3872),tensor(0.3789),tensor(0.3850),tensor(0.3314),tensor(0.3477),tensor(0.3831),tensor(0.3729),tensor(0.3836),tensor(0.3622),tensor(0.3670),tensor(0.3824),tensor(0.3770)
