,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0356),tensor(0.3811),tensor(0.2662),tensor(0.3151),tensor(0.2671),tensor(0.2207),tensor(0.2999),tensor(0.2614),tensor(0.2904),tensor(0.2647),tensor(0.2696),tensor(0.2649),tensor(0.2600),tensor(0.2875),tensor(0.3042),tensor(0.3137),tensor(0.3079),tensor(0.2639),tensor(0.2675),tensor(0.2596),tensor(0.2222),tensor(0.2331),tensor(0.2683),tensor(0.2792),tensor(0.2932),tensor(0.2889),tensor(0.2876),tensor(0.2662),tensor(0.2637),tensor(0.2617),tensor(0.2712),tensor(0.2648),tensor(0.2625),tensor(0.2942),tensor(0.2876),tensor(0.2821),tensor(0.3056),tensor(0.3012),tensor(0.3077),tensor(0.2652),tensor(0.2637),tensor(0.2602),tensor(0.2391),tensor(0.2806),tensor(0.2785),tensor(0.2780),tensor(0.2934),tensor(0.2915),tensor(0.2881),tensor(0.2678),tensor(0.2646),tensor(0.2621),tensor(0.2669),tensor(0.2923),tensor(0.2868),tensor(0.2837),tensor(0.3019),tensor(0.2656),tensor(0.2805),tensor(0.2779),tensor(0.2772),tensor(0.2912),tensor(0.2652),tensor(0.2859),tensor(0.2779)
rouge1_precision,tensor(0.0182),tensor(0.3809),tensor(0.1982),tensor(0.2525),tensor(0.1924),tensor(0.2272),tensor(0.2392),tensor(0.1914),tensor(0.2200),tensor(0.1915),tensor(0.2030),tensor(0.1969),tensor(0.1928),tensor(0.2120),tensor(0.2536),tensor(0.2509),tensor(0.2438),tensor(0.1929),tensor(0.1926),tensor(0.1873),tensor(0.2200),tensor(0.2239),tensor(0.1979),tensor(0.2051),tensor(0.2245),tensor(0.2188),tensor(0.2178),tensor(0.1929),tensor(0.1907),tensor(0.1894),tensor(0.2036),tensor(0.1979),tensor(0.1947),tensor(0.2198),tensor(0.2121),tensor(0.2079),tensor(0.2550),tensor(0.2486),tensor(0.2436),tensor(0.1936),tensor(0.1930),tensor(0.1878),tensor(0.2235),tensor(0.2065),tensor(0.2046),tensor(0.2040),tensor(0.2244),tensor(0.2223),tensor(0.2183),tensor(0.1941),tensor(0.1919),tensor(0.1896),tensor(0.1996),tensor(0.2181),tensor(0.2137),tensor(0.2092),tensor(0.2481),tensor(0.1939),tensor(0.2065),tensor(0.2045),tensor(0.2034),tensor(0.2220),tensor(0.1921),tensor(0.2127),tensor(0.2045)
rouge1_recall,tensor(0.8936),tensor(0.3817),tensor(0.4140),tensor(0.4297),tensor(0.4459),tensor(0.2258),tensor(0.4123),tensor(0.4221),tensor(0.4363),tensor(0.4373),tensor(0.4126),tensor(0.4136),tensor(0.4082),tensor(0.4559),tensor(0.3936),tensor(0.4292),tensor(0.4273),tensor(0.4281),tensor(0.4465),tensor(0.4327),tensor(0.2350),tensor(0.2553),tensor(0.4268),tensor(0.4459),tensor(0.4326),tensor(0.4344),tensor(0.4323),tensor(0.4386),tensor(0.4358),tensor(0.4324),tensor(0.4160),tensor(0.4098),tensor(0.4124),tensor(0.4545),tensor(0.4559),tensor(0.4479),tensor(0.3955),tensor(0.3936),tensor(0.4268),tensor(0.4319),tensor(0.4264),tensor(0.4327),tensor(0.2698),tensor(0.4468),tensor(0.4446),tensor(0.4451),tensor(0.4335),tensor(0.4328),tensor(0.4331),tensor(0.4414),tensor(0.4358),tensor(0.4330),tensor(0.4135),tensor(0.4527),tensor(0.4453),tensor(0.4500),tensor(0.3960),tensor(0.4319),tensor(0.4467),tensor(0.4438),tensor(0.4434),tensor(0.4326),tensor(0.4375),tensor(0.4456),tensor(0.4438)
rouge2_fmeasure,tensor(0.0173),tensor(0.0901),tensor(0.0497),tensor(0.0708),tensor(0.0462),tensor(0.0361),tensor(0.0497),tensor(0.0453),tensor(0.0633),tensor(0.0467),tensor(0.0478),tensor(0.0492),tensor(0.0457),tensor(0.0598),tensor(0.0637),tensor(0.0704),tensor(0.0690),tensor(0.0465),tensor(0.0467),tensor(0.0415),tensor(0.0344),tensor(0.0331),tensor(0.0458),tensor(0.0570),tensor(0.0590),tensor(0.0629),tensor(0.0607),tensor(0.0483),tensor(0.0464),tensor(0.0451),tensor(0.0479),tensor(0.0449),tensor(0.0465),tensor(0.0610),tensor(0.0592),tensor(0.0563),tensor(0.0634),tensor(0.0576),tensor(0.0688),tensor(0.0478),tensor(0.0450),tensor(0.0417),tensor(0.0331),tensor(0.0549),tensor(0.0571),tensor(0.0576),tensor(0.0591),tensor(0.0565),tensor(0.0608),tensor(0.0484),tensor(0.0461),tensor(0.0451),tensor(0.0464),tensor(0.0604),tensor(0.0574),tensor(0.0566),tensor(0.0586),tensor(0.0472),tensor(0.0549),tensor(0.0526),tensor(0.0568),tensor(0.0567),tensor(0.0463),tensor(0.0568),tensor(0.0526)
rouge2_precision,tensor(0.0089),tensor(0.0900),tensor(0.0370),tensor(0.0569),tensor(0.0333),tensor(0.0373),tensor(0.0398),tensor(0.0332),tensor(0.0480),tensor(0.0338),tensor(0.0359),tensor(0.0366),tensor(0.0339),tensor(0.0440),tensor(0.0536),tensor(0.0565),tensor(0.0548),tensor(0.0340),tensor(0.0336),tensor(0.0298),tensor(0.0342),tensor(0.0323),tensor(0.0340),tensor(0.0419),tensor(0.0453),tensor(0.0478),tensor(0.0462),tensor(0.0349),tensor(0.0335),tensor(0.0326),tensor(0.0359),tensor(0.0335),tensor(0.0345),tensor(0.0457),tensor(0.0436),tensor(0.0414),tensor(0.0531),tensor(0.0475),tensor(0.0545),tensor(0.0349),tensor(0.0330),tensor(0.0300),tensor(0.0315),tensor(0.0404),tensor(0.0420),tensor(0.0424),tensor(0.0452),tensor(0.0431),tensor(0.0462),tensor(0.0350),tensor(0.0334),tensor(0.0326),tensor(0.0346),tensor(0.0452),tensor(0.0427),tensor(0.0416),tensor(0.0481),tensor(0.0345),tensor(0.0404),tensor(0.0387),tensor(0.0418),tensor(0.0432),tensor(0.0335),tensor(0.0422),tensor(0.0387)
rouge2_recall,tensor(0.4404),tensor(0.0903),tensor(0.0771),tensor(0.0961),tensor(0.0769),tensor(0.0368),tensor(0.0678),tensor(0.0728),tensor(0.0945),tensor(0.0773),tensor(0.0732),tensor(0.0765),tensor(0.0717),tensor(0.0949),tensor(0.0819),tensor(0.0959),tensor(0.0952),tensor(0.0751),tensor(0.0777),tensor(0.0691),tensor(0.0364),tensor(0.0360),tensor(0.0720),tensor(0.0909),tensor(0.0867),tensor(0.0941),tensor(0.0903),tensor(0.0794),tensor(0.0767),tensor(0.0744),tensor(0.0734),tensor(0.0696),tensor(0.0729),tensor(0.0937),tensor(0.0940),tensor(0.0899),tensor(0.0817),tensor(0.0753),tensor(0.0950),tensor(0.0776),tensor(0.0723),tensor(0.0694),tensor(0.0367),tensor(0.0873),tensor(0.0909),tensor(0.0917),tensor(0.0869),tensor(0.0840),tensor(0.0905),tensor(0.0795),tensor(0.0757),tensor(0.0744),tensor(0.0717),tensor(0.0929),tensor(0.0891),tensor(0.0900),tensor(0.0768),tensor(0.0760),tensor(0.0873),tensor(0.0840),tensor(0.0903),tensor(0.0842),tensor(0.0761),tensor(0.0885),tensor(0.0840)
rougeL_fmeasure,tensor(0.0252),tensor(0.2019),tensor(0.1461),tensor(0.1642),tensor(0.1327),tensor(0.1365),tensor(0.1475),tensor(0.1342),tensor(0.1560),tensor(0.1381),tensor(0.1493),tensor(0.1450),tensor(0.1436),tensor(0.1506),tensor(0.1643),tensor(0.1637),tensor(0.1619),tensor(0.1368),tensor(0.1333),tensor(0.1320),tensor(0.1390),tensor(0.1430),tensor(0.1413),tensor(0.1493),tensor(0.1548),tensor(0.1548),tensor(0.1526),tensor(0.1402),tensor(0.1376),tensor(0.1367),tensor(0.1496),tensor(0.1445),tensor(0.1445),tensor(0.1516),tensor(0.1513),tensor(0.1479),tensor(0.1651),tensor(0.1607),tensor(0.1632),tensor(0.1366),tensor(0.1363),tensor(0.1323),tensor(0.1440),tensor(0.1495),tensor(0.1493),tensor(0.1449),tensor(0.1547),tensor(0.1539),tensor(0.1519),tensor(0.1404),tensor(0.1403),tensor(0.1368),tensor(0.1474),tensor(0.1507),tensor(0.1484),tensor(0.1479),tensor(0.1616),tensor(0.1355),tensor(0.1499),tensor(0.1470),tensor(0.1446),tensor(0.1544),tensor(0.1401),tensor(0.1465),tensor(0.1469)
rougeL_precision,tensor(0.0129),tensor(0.2016),tensor(0.1088),tensor(0.1314),tensor(0.0954),tensor(0.1428),tensor(0.1176),tensor(0.0980),tensor(0.1181),tensor(0.0999),tensor(0.1125),tensor(0.1078),tensor(0.1066),tensor(0.1108),tensor(0.1372),tensor(0.1307),tensor(0.1280),tensor(0.1000),tensor(0.0958),tensor(0.0951),tensor(0.1393),tensor(0.1396),tensor(0.1042),tensor(0.1096),tensor(0.1185),tensor(0.1172),tensor(0.1154),tensor(0.1015),tensor(0.0996),tensor(0.0988),tensor(0.1123),tensor(0.1080),tensor(0.1073),tensor(0.1129),tensor(0.1113),tensor(0.1088),tensor(0.1377),tensor(0.1322),tensor(0.1290),tensor(0.0997),tensor(0.0997),tensor(0.0953),tensor(0.1363),tensor(0.1101),tensor(0.1096),tensor(0.1062),tensor(0.1183),tensor(0.1173),tensor(0.1150),tensor(0.1016),tensor(0.1017),tensor(0.0989),tensor(0.1103),tensor(0.1121),tensor(0.1103),tensor(0.1088),tensor(0.1325),tensor(0.0989),tensor(0.1104),tensor(0.1082),tensor(0.1061),tensor(0.1176),tensor(0.1014),tensor(0.1087),tensor(0.1082)
rougeL_recall,tensor(0.6345),tensor(0.2025),tensor(0.2275),tensor(0.2246),tensor(0.2227),tensor(0.1383),tensor(0.2031),tensor(0.2180),tensor(0.2350),tensor(0.2286),tensor(0.2279),tensor(0.2267),tensor(0.2253),tensor(0.2402),tensor(0.2127),tensor(0.2247),tensor(0.2252),tensor(0.2221),tensor(0.2234),tensor(0.2208),tensor(0.1457),tensor(0.1549),tensor(0.2250),tensor(0.2387),tensor(0.2286),tensor(0.2331),tensor(0.2300),tensor(0.2314),tensor(0.2277),tensor(0.2264),tensor(0.2293),tensor(0.2237),tensor(0.2268),tensor(0.2357),tensor(0.2411),tensor(0.2359),tensor(0.2144),tensor(0.2112),tensor(0.2268),tensor(0.2227),tensor(0.2207),tensor(0.2210),tensor(0.1608),tensor(0.2382),tensor(0.2385),tensor(0.2322),tensor(0.2288),tensor(0.2288),tensor(0.2288),tensor(0.2318),tensor(0.2313),tensor(0.2264),tensor(0.2283),tensor(0.2349),tensor(0.2317),tensor(0.2354),tensor(0.2132),tensor(0.2207),tensor(0.2387),tensor(0.2348),tensor(0.2317),tensor(0.2295),tensor(0.2315),tensor(0.2297),tensor(0.2346)
rougeLsum_fmeasure,tensor(0.0346),tensor(0.3400),tensor(0.2225),tensor(0.2626),tensor(0.2162),tensor(0.1899),tensor(0.2404),tensor(0.2131),tensor(0.2413),tensor(0.2162),tensor(0.2267),tensor(0.2195),tensor(0.2143),tensor(0.2378),tensor(0.2533),tensor(0.2607),tensor(0.2533),tensor(0.2181),tensor(0.2158),tensor(0.2113),tensor(0.1914),tensor(0.1983),tensor(0.2218),tensor(0.2293),tensor(0.2411),tensor(0.2393),tensor(0.2349),tensor(0.2164),tensor(0.2151),tensor(0.2127),tensor(0.2276),tensor(0.2189),tensor(0.2149),tensor(0.2427),tensor(0.2365),tensor(0.2323),tensor(0.2549),tensor(0.2512),tensor(0.2531),tensor(0.2189),tensor(0.2187),tensor(0.2119),tensor(0.2044),tensor(0.2298),tensor(0.2286),tensor(0.2286),tensor(0.2419),tensor(0.2371),tensor(0.2355),tensor(0.2182),tensor(0.2159),tensor(0.2136),tensor(0.2197),tensor(0.2403),tensor(0.2349),tensor(0.2327),tensor(0.2493),tensor(0.2191),tensor(0.2294),tensor(0.2255),tensor(0.2278),tensor(0.2368),tensor(0.2164),tensor(0.2339),tensor(0.2251)
