,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.2819),tensor(0.2664),tensor(0.2614),tensor(0.2118),tensor(0.3003),tensor(0.3062),tensor(0.2666),tensor(0.2653),tensor(0.2681),tensor(0.2901),tensor(0.2607),tensor(0.2638),tensor(0.2918),tensor(0.2136),tensor(0.2750),tensor(0.3080),tensor(0.2644),tensor(0.2664),tensor(0.2839),tensor(0.2668),tensor(0.2872),tensor(0.2901),tensor(0.2616),tensor(0.2878),tensor(0.2892),tensor(0.2763),tensor(0.2888),tensor(0.2873),tensor(0.2848),tensor(0.2808),tensor(0.2645)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.2105),tensor(0.1978),tensor(0.1883),tensor(0.2240),tensor(0.2398),tensor(0.2439),tensor(0.1929),tensor(0.2168),tensor(0.1991),tensor(0.2186),tensor(0.2090),tensor(0.1903),tensor(0.2152),tensor(0.2230),tensor(0.2486),tensor(0.2462),tensor(0.1947),tensor(0.1927),tensor(0.2092),tensor(0.2144),tensor(0.2232),tensor(0.2186),tensor(0.2080),tensor(0.2213),tensor(0.2131),tensor(0.2448),tensor(0.2211),tensor(0.2230),tensor(0.2102),tensor(0.2095),tensor(0.1946)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4397),tensor(0.4185),tensor(0.4374),tensor(0.2152),tensor(0.4108),tensor(0.4235),tensor(0.4416),tensor(0.3609),tensor(0.4210),tensor(0.4420),tensor(0.3643),tensor(0.4404),tensor(0.4639),tensor(0.2197),tensor(0.3265),tensor(0.4242),tensor(0.4248),tensor(0.4414),tensor(0.4530),tensor(0.3699),tensor(0.4143),tensor(0.4420),tensor(0.3708),tensor(0.4267),tensor(0.4603),tensor(0.3359),tensor(0.4305),tensor(0.4151),tensor(0.4529),tensor(0.4386),tensor(0.4256)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0597),tensor(0.0574),tensor(0.0463),tensor(0.0395),tensor(0.0517),tensor(0.0682),tensor(0.0572),tensor(0.0504),tensor(0.0582),tensor(0.0622),tensor(0.0468),tensor(0.0477),tensor(0.0624),tensor(0.0385),tensor(0.0529),tensor(0.0676),tensor(0.0521),tensor(0.0562),tensor(0.0621),tensor(0.0498),tensor(0.0597),tensor(0.0622),tensor(0.0465),tensor(0.0596),tensor(0.0614),tensor(0.0524),tensor(0.0601),tensor(0.0578),tensor(0.0620),tensor(0.0593),tensor(0.0518)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0444),tensor(0.0423),tensor(0.0333),tensor(0.0409),tensor(0.0413),tensor(0.0540),tensor(0.0413),tensor(0.0411),tensor(0.0429),tensor(0.0465),tensor(0.0376),tensor(0.0343),tensor(0.0457),tensor(0.0393),tensor(0.0470),tensor(0.0536),tensor(0.0384),tensor(0.0406),tensor(0.0456),tensor(0.0399),tensor(0.0460),tensor(0.0465),tensor(0.0371),tensor(0.0455),tensor(0.0450),tensor(0.0458),tensor(0.0457),tensor(0.0445),tensor(0.0456),tensor(0.0441),tensor(0.0381)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.0939),tensor(0.0912),tensor(0.0781),tensor(0.0410),tensor(0.0709),tensor(0.0955),tensor(0.0952),tensor(0.0688),tensor(0.0925),tensor(0.0960),tensor(0.0653),tensor(0.0802),tensor(0.1005),tensor(0.0406),tensor(0.0642),tensor(0.0944),tensor(0.0835),tensor(0.0937),tensor(0.0997),tensor(0.0694),tensor(0.0872),tensor(0.0960),tensor(0.0657),tensor(0.0892),tensor(0.0991),tensor(0.0650),tensor(0.0904),tensor(0.0845),tensor(0.0994),tensor(0.0933),tensor(0.0832)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1477),tensor(0.1427),tensor(0.1310),tensor(0.1338),tensor(0.1478),tensor(0.1608),tensor(0.1382),tensor(0.1522),tensor(0.1441),tensor(0.1517),tensor(0.1396),tensor(0.1339),tensor(0.1503),tensor(0.1336),tensor(0.1528),tensor(0.1591),tensor(0.1409),tensor(0.1387),tensor(0.1478),tensor(0.1518),tensor(0.1552),tensor(0.1518),tensor(0.1409),tensor(0.1522),tensor(0.1503),tensor(0.1536),tensor(0.1522),tensor(0.1535),tensor(0.1486),tensor(0.1479),tensor(0.1411)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.1105),tensor(0.1061),tensor(0.0943),tensor(0.1448),tensor(0.1181),tensor(0.1280),tensor(0.1001),tensor(0.1246),tensor(0.1072),tensor(0.1145),tensor(0.1124),tensor(0.0964),tensor(0.1107),tensor(0.1428),tensor(0.1396),tensor(0.1270),tensor(0.1040),tensor(0.1004),tensor(0.1090),tensor(0.1222),tensor(0.1208),tensor(0.1146),tensor(0.1125),tensor(0.1172),tensor(0.1106),tensor(0.1374),tensor(0.1166),tensor(0.1195),tensor(0.1098),tensor(0.1105),tensor(0.1040)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2300),tensor(0.2233),tensor(0.2198),tensor(0.1340),tensor(0.2023),tensor(0.2228),tensor(0.2286),tensor(0.2068),tensor(0.2253),tensor(0.2303),tensor(0.1942),tensor(0.2242),tensor(0.2394),tensor(0.1358),tensor(0.1803),tensor(0.2200),tensor(0.2256),tensor(0.2295),tensor(0.2354),tensor(0.2099),tensor(0.2234),tensor(0.2305),tensor(0.1990),tensor(0.2255),tensor(0.2397),tensor(0.1855),tensor(0.2269),tensor(0.2212),tensor(0.2360),tensor(0.2305),tensor(0.2264)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2345),tensor(0.2249),tensor(0.2164),tensor(0.1886),tensor(0.2496),tensor(0.2593),tensor(0.2206),tensor(0.2321),tensor(0.2251),tensor(0.2434),tensor(0.2210),tensor(0.2184),tensor(0.2441),tensor(0.1916),tensor(0.2363),tensor(0.2613),tensor(0.2202),tensor(0.2200),tensor(0.2370),tensor(0.2324),tensor(0.2424),tensor(0.2430),tensor(0.2230),tensor(0.2414),tensor(0.2424),tensor(0.2380),tensor(0.2425),tensor(0.2421),tensor(0.2387),tensor(0.2339),tensor(0.2206)
rougeLsum_precision,tensor(0.0179),tensor(1.),tensor(0.1753),tensor(0.1670),tensor(0.1558),tensor(0.2003),tensor(0.1993),tensor(0.2069),tensor(0.1596),tensor(0.1902),tensor(0.1672),tensor(0.1835),tensor(0.1777),tensor(0.1574),tensor(0.1801),tensor(0.2010),tensor(0.2142),tensor(0.2090),tensor(0.1622),tensor(0.1590),tensor(0.1748),tensor(0.1871),tensor(0.1885),tensor(0.1832),tensor(0.1779),tensor(0.1858),tensor(0.1787),tensor(0.2113),tensor(0.1859),tensor(0.1882),tensor(0.1763),tensor(0.1746),tensor(0.1624)
rougeLsum_recall,tensor(0.8747),tensor(1.),tensor(0.3650),tensor(0.3530),tensor(0.3626),tensor(0.1913),tensor(0.3416),tensor(0.3578),tensor(0.3655),tensor(0.3149),tensor(0.3533),tensor(0.3708),tensor(0.3082),tensor(0.3652),tensor(0.3880),tensor(0.1967),tensor(0.2802),tensor(0.3591),tensor(0.3534),tensor(0.3648),tensor(0.3774),tensor(0.3215),tensor(0.3493),tensor(0.3702),tensor(0.3150),tensor(0.3573),tensor(0.3858),tensor(0.2890),tensor(0.3608),tensor(0.3493),tensor(0.3788),tensor(0.3646),tensor(0.3546)
