Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luhn lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
tensor(0.0359),tensor(1.),tensor(0.2798),tensor(0.2614),tensor(0.2539),tensor(0.2404),tensor(0.2952),tensor(0.3062),tensor(0.2559),tensor(0.2700),tensor(0.2595),tensor(0.2859),tensor(0.2604),tensor(0.2562),tensor(0.2822),tensor(0.2428),tensor(0.2881),tensor(0.3048),tensor(0.2608),tensor(0.2568),tensor(0.2763),tensor(0.2688),tensor(0.2877),tensor(0.2872),tensor(0.2640),tensor(0.2870),tensor(0.2844),tensor(0.2910),tensor(0.2858),tensor(0.2871),tensor(0.2760),tensor(0.2801),tensor(0.2617)
tensor(0.0184),tensor(1.),tensor(0.1986),tensor(0.1850),tensor(0.1746),tensor(0.2237),tensor(0.2211),tensor(0.2300),tensor(0.1768),tensor(0.2051),tensor(0.1836),tensor(0.2055),tensor(0.1963),tensor(0.1763),tensor(0.1986),tensor(0.2255),tensor(0.2400),tensor(0.2276),tensor(0.1829),tensor(0.1775),tensor(0.1938),tensor(0.2027),tensor(0.2123),tensor(0.2064),tensor(0.1980),tensor(0.2111),tensor(0.2003),tensor(0.2386),tensor(0.2088),tensor(0.2109),tensor(0.1937),tensor(0.1988),tensor(0.1834)
tensor(0.8958),tensor(1.),tensor(0.4848),tensor(0.4551),tensor(0.4753),tensor(0.2735),tensor(0.4543),tensor(0.4694),tensor(0.4728),tensor(0.4121),tensor(0.4529),tensor(0.4799),tensor(0.4059),tensor(0.4787),tensor(0.4975),tensor(0.2782),tensor(0.3780),tensor(0.4723),tensor(0.4654),tensor(0.4741),tensor(0.4907),tensor(0.4170),tensor(0.4578),tensor(0.4822),tensor(0.4162),tensor(0.4643),tensor(0.5010),tensor(0.3912),tensor(0.4671),tensor(0.4601),tensor(0.4894),tensor(0.4854),tensor(0.4673)
tensor(0.0180),tensor(1.),tensor(0.0656),tensor(0.0582),tensor(0.0491),tensor(0.0475),tensor(0.0573),tensor(0.0702),tensor(0.0579),tensor(0.0577),tensor(0.0566),tensor(0.0664),tensor(0.0505),tensor(0.0509),tensor(0.0641),tensor(0.0471),tensor(0.0589),tensor(0.0715),tensor(0.0590),tensor(0.0580),tensor(0.0633),tensor(0.0574),tensor(0.0662),tensor(0.0672),tensor(0.0522),tensor(0.0684),tensor(0.0655),tensor(0.0610),tensor(0.0676),tensor(0.0661),tensor(0.0639),tensor(0.0659),tensor(0.0585)
tensor(0.0092),tensor(1.),tensor(0.0465),tensor(0.0411),tensor(0.0337),tensor(0.0433),tensor(0.0429),tensor(0.0524),tensor(0.0399),tensor(0.0434),tensor(0.0399),tensor(0.0476),tensor(0.0382),tensor(0.0349),tensor(0.0449),tensor(0.0432),tensor(0.0485),tensor(0.0530),tensor(0.0414),tensor(0.0400),tensor(0.0442),tensor(0.0429),tensor(0.0486),tensor(0.0481),tensor(0.0392),tensor(0.0502),tensor(0.0459),tensor(0.0494),tensor(0.0493),tensor(0.0484),tensor(0.0447),tensor(0.0467),tensor(0.0409)
tensor(0.4555),tensor(1.),tensor(0.1138),tensor(0.1022),tensor(0.0924),tensor(0.0551),tensor(0.0880),tensor(0.1090),tensor(0.1075),tensor(0.0891),tensor(0.0996),tensor(0.1124),tensor(0.0784),tensor(0.0956),tensor(0.1141),tensor(0.0548),tensor(0.0789),tensor(0.1123),tensor(0.1049),tensor(0.1074),tensor(0.1133),tensor(0.0898),tensor(0.1061),tensor(0.1137),tensor(0.0817),tensor(0.1109),tensor(0.1165),tensor(0.0837),tensor(0.1108),tensor(0.1065),tensor(0.1141),tensor(0.1144),tensor(0.1045)
tensor(0.0263),tensor(1.),tensor(0.1471),tensor(0.1383),tensor(0.1266),tensor(0.1470),tensor(0.1474),tensor(0.1571),tensor(0.1337),tensor(0.1542),tensor(0.1389),tensor(0.1511),tensor(0.1446),tensor(0.1278),tensor(0.1452),tensor(0.1485),tensor(0.1609),tensor(0.1555),tensor(0.1412),tensor(0.1339),tensor(0.1420),tensor(0.1520),tensor(0.1532),tensor(0.1498),tensor(0.1463),tensor(0.1544),tensor(0.1458),tensor(0.1610),tensor(0.1522),tensor(0.1528),tensor(0.1406),tensor(0.1470),tensor(0.1412)
tensor(0.0135),tensor(1.),tensor(0.1044),tensor(0.0981),tensor(0.0869),tensor(0.1384),tensor(0.1104),tensor(0.1179),tensor(0.0924),tensor(0.1170),tensor(0.0984),tensor(0.1086),tensor(0.1093),tensor(0.0877),tensor(0.1020),tensor(0.1397),tensor(0.1345),tensor(0.1160),tensor(0.0990),tensor(0.0925),tensor(0.0995),tensor(0.1146),tensor(0.1130),tensor(0.1076),tensor(0.1099),tensor(0.1132),tensor(0.1025),tensor(0.1325),tensor(0.1110),tensor(0.1123),tensor(0.0986),tensor(0.1043),tensor(0.0990)
tensor(0.6640),tensor(1.),tensor(0.2548),tensor(0.2398),tensor(0.2380),tensor(0.1659),tensor(0.2274),tensor(0.2414),tensor(0.2471),tensor(0.2351),tensor(0.2415),tensor(0.2537),tensor(0.2240),tensor(0.2401),tensor(0.2571),tensor(0.1687),tensor(0.2104),tensor(0.2414),tensor(0.2520),tensor(0.2471),tensor(0.2524),tensor(0.2353),tensor(0.2437),tensor(0.2515),tensor(0.2298),tensor(0.2511),tensor(0.2578),tensor(0.2156),tensor(0.2499),tensor(0.2447),tensor(0.2497),tensor(0.2546),tensor(0.2523)
tensor(0.0350),tensor(1.),tensor(0.2355),tensor(0.2174),tensor(0.2112),tensor(0.2099),tensor(0.2444),tensor(0.2547),tensor(0.2168),tensor(0.2360),tensor(0.2164),tensor(0.2395),tensor(0.2263),tensor(0.2129),tensor(0.2381),tensor(0.2114),tensor(0.2477),tensor(0.2534),tensor(0.2208),tensor(0.2169),tensor(0.2308),tensor(0.2336),tensor(0.2447),tensor(0.2386),tensor(0.2279),tensor(0.2433),tensor(0.2397),tensor(0.2481),tensor(0.2422),tensor(0.2437),tensor(0.2318),tensor(0.2357),tensor(0.2213)
