,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0356),tensor(0.3811),tensor(0.2700),tensor(0.2511),tensor(0.2488),tensor(0.2091),tensor(0.2954),tensor(0.2944),tensor(0.2512),tensor(0.2661),tensor(0.2536),tensor(0.2737),tensor(0.2553),tensor(0.2502),tensor(0.2731),tensor(0.2159),tensor(0.2686),tensor(0.2942),tensor(0.2529),tensor(0.2512),tensor(0.2632),tensor(0.2662),tensor(0.2800),tensor(0.2751),tensor(0.2551),tensor(0.2731),tensor(0.2733),tensor(0.2719),tensor(0.2734),tensor(0.2790),tensor(0.2637),tensor(0.2696),tensor(0.2522)
rouge1_precision,tensor(0.0182),tensor(0.3809),tensor(0.1915),tensor(0.1768),tensor(0.1708),tensor(0.2034),tensor(0.2220),tensor(0.2212),tensor(0.1731),tensor(0.2038),tensor(0.1787),tensor(0.1953),tensor(0.1941),tensor(0.1718),tensor(0.1917),tensor(0.2034),tensor(0.2241),tensor(0.2207),tensor(0.1773),tensor(0.1731),tensor(0.1840),tensor(0.2017),tensor(0.2066),tensor(0.1966),tensor(0.1922),tensor(0.1997),tensor(0.1918),tensor(0.2246),tensor(0.1998),tensor(0.2055),tensor(0.1844),tensor(0.1913),tensor(0.1766)
rouge1_recall,tensor(0.8936),tensor(0.3817),tensor(0.4705),tensor(0.4430),tensor(0.4686),tensor(0.2325),tensor(0.4507),tensor(0.4526),tensor(0.4675),tensor(0.4016),tensor(0.4465),tensor(0.4671),tensor(0.3931),tensor(0.4706),tensor(0.4854),tensor(0.2458),tensor(0.3531),tensor(0.4533),tensor(0.4533),tensor(0.4677),tensor(0.4721),tensor(0.4091),tensor(0.4452),tensor(0.4686),tensor(0.3987),tensor(0.4474),tensor(0.4861),tensor(0.3617),tensor(0.4482),tensor(0.4454),tensor(0.4726),tensor(0.4689),tensor(0.4530)
rouge2_fmeasure,tensor(0.0173),tensor(0.0901),tensor(0.0556),tensor(0.0493),tensor(0.0456),tensor(0.0355),tensor(0.0541),tensor(0.0660),tensor(0.0495),tensor(0.0479),tensor(0.0498),tensor(0.0616),tensor(0.0431),tensor(0.0470),tensor(0.0611),tensor(0.0362),tensor(0.0499),tensor(0.0654),tensor(0.0473),tensor(0.0493),tensor(0.0564),tensor(0.0495),tensor(0.0570),tensor(0.0626),tensor(0.0444),tensor(0.0565),tensor(0.0609),tensor(0.0505),tensor(0.0559),tensor(0.0568),tensor(0.0566),tensor(0.0552),tensor(0.0467)
rouge2_precision,tensor(0.0089),tensor(0.0900),tensor(0.0395),tensor(0.0347),tensor(0.0312),tensor(0.0338),tensor(0.0407),tensor(0.0498),tensor(0.0341),tensor(0.0364),tensor(0.0351),tensor(0.0441),tensor(0.0329),tensor(0.0323),tensor(0.0429),tensor(0.0338),tensor(0.0415),tensor(0.0491),tensor(0.0332),tensor(0.0339),tensor(0.0394),tensor(0.0374),tensor(0.0421),tensor(0.0449),tensor(0.0336),tensor(0.0414),tensor(0.0427),tensor(0.0417),tensor(0.0410),tensor(0.0419),tensor(0.0395),tensor(0.0393),tensor(0.0327)
rouge2_recall,tensor(0.4404),tensor(0.0903),tensor(0.0962),tensor(0.0870),tensor(0.0858),tensor(0.0397),tensor(0.0823),tensor(0.1005),tensor(0.0922),tensor(0.0730),tensor(0.0878),tensor(0.1044),tensor(0.0657),tensor(0.0881),tensor(0.1084),tensor(0.0414),tensor(0.0662),tensor(0.1000),tensor(0.0842),tensor(0.0918),tensor(0.1014),tensor(0.0760),tensor(0.0904),tensor(0.1057),tensor(0.0690),tensor(0.0922),tensor(0.1081),tensor(0.0679),tensor(0.0913),tensor(0.0902),tensor(0.1016),tensor(0.0955),tensor(0.0834)
rougeL_fmeasure,tensor(0.0252),tensor(0.2019),tensor(0.1412),tensor(0.1345),tensor(0.1284),tensor(0.1306),tensor(0.1467),tensor(0.1588),tensor(0.1319),tensor(0.1457),tensor(0.1358),tensor(0.1476),tensor(0.1378),tensor(0.1303),tensor(0.1447),tensor(0.1327),tensor(0.1521),tensor(0.1576),tensor(0.1347),tensor(0.1317),tensor(0.1401),tensor(0.1444),tensor(0.1505),tensor(0.1478),tensor(0.1366),tensor(0.1485),tensor(0.1459),tensor(0.1524),tensor(0.1487),tensor(0.1500),tensor(0.1404),tensor(0.1414),tensor(0.1346)
rougeL_precision,tensor(0.0129),tensor(0.2016),tensor(0.1000),tensor(0.0948),tensor(0.0881),tensor(0.1289),tensor(0.1102),tensor(0.1192),tensor(0.0909),tensor(0.1116),tensor(0.0957),tensor(0.1053),tensor(0.1047),tensor(0.0894),tensor(0.1014),tensor(0.1259),tensor(0.1274),tensor(0.1180),tensor(0.0944),tensor(0.0907),tensor(0.0979),tensor(0.1093),tensor(0.1110),tensor(0.1055),tensor(0.1028),tensor(0.1085),tensor(0.1022),tensor(0.1263),tensor(0.1086),tensor(0.1104),tensor(0.0982),tensor(0.1002),tensor(0.0943)
rougeL_recall,tensor(0.6345),tensor(0.2025),tensor(0.2470),tensor(0.2374),tensor(0.2423),tensor(0.1436),tensor(0.2242),tensor(0.2448),tensor(0.2457),tensor(0.2201),tensor(0.2390),tensor(0.2523),tensor(0.2125),tensor(0.2454),tensor(0.2584),tensor(0.1500),tensor(0.1996),tensor(0.2436),tensor(0.2418),tensor(0.2456),tensor(0.2514),tensor(0.2225),tensor(0.2398),tensor(0.2521),tensor(0.2140),tensor(0.2435),tensor(0.2606),tensor(0.2027),tensor(0.2442),tensor(0.2400),tensor(0.2518),tensor(0.2468),tensor(0.2419)
rougeLsum_fmeasure,tensor(0.0346),tensor(0.3400),tensor(0.2221),tensor(0.2066),tensor(0.2011),tensor(0.1832),tensor(0.2429),tensor(0.2488),tensor(0.2051),tensor(0.2255),tensor(0.2082),tensor(0.2279),tensor(0.2124),tensor(0.2037),tensor(0.2275),tensor(0.1889),tensor(0.2263),tensor(0.2480),tensor(0.2088),tensor(0.2059),tensor(0.2168),tensor(0.2245),tensor(0.2318),tensor(0.2293),tensor(0.2138),tensor(0.2298),tensor(0.2278),tensor(0.2281),tensor(0.2309),tensor(0.2306),tensor(0.2174),tensor(0.2227),tensor(0.2074)
