,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0356),tensor(0.3811),tensor(0.2545),tensor(0.2408),tensor(0.2354),tensor(0.2106),tensor(0.2823),tensor(0.2838),tensor(0.2372),tensor(0.2528),tensor(0.2408),tensor(0.2598),tensor(0.2485),tensor(0.2371),tensor(0.2608),tensor(0.2146),tensor(0.2597),tensor(0.2837),tensor(0.2414),tensor(0.2370),tensor(0.2473),tensor(0.2525),tensor(0.2664),tensor(0.2597),tensor(0.2475),tensor(0.2623),tensor(0.2616),tensor(0.2627),tensor(0.2613),tensor(0.2659),tensor(0.2477),tensor(0.2553),tensor(0.2416)
rouge1_precision,tensor(0.0182),tensor(0.3809),tensor(0.1739),tensor(0.1632),tensor(0.1559),tensor(0.1922),tensor(0.2022),tensor(0.2037),tensor(0.1576),tensor(0.1850),tensor(0.1631),tensor(0.1780),tensor(0.1797),tensor(0.1571),tensor(0.1762),tensor(0.1915),tensor(0.2054),tensor(0.2026),tensor(0.1631),tensor(0.1574),tensor(0.1662),tensor(0.1822),tensor(0.1882),tensor(0.1780),tensor(0.1770),tensor(0.1837),tensor(0.1768),tensor(0.2061),tensor(0.1826),tensor(0.1874),tensor(0.1665),tensor(0.1745),tensor(0.1631)
rouge1_recall,tensor(0.8936),tensor(0.3817),tensor(0.4874),tensor(0.4704),tensor(0.4909),tensor(0.2548),tensor(0.4778),tensor(0.4817),tensor(0.4897),tensor(0.4180),tensor(0.4705),tensor(0.4909),tensor(0.4247),tensor(0.4935),tensor(0.5127),tensor(0.2622),tensor(0.3727),tensor(0.4844),tensor(0.4769),tensor(0.4895),tensor(0.4935),tensor(0.4297),tensor(0.4669),tensor(0.4910),tensor(0.4299),tensor(0.4754),tensor(0.5136),tensor(0.3819),tensor(0.4749),tensor(0.4684),tensor(0.4940),tensor(0.4887),tensor(0.4786)
rouge2_fmeasure,tensor(0.0173),tensor(0.0901),tensor(0.0542),tensor(0.0497),tensor(0.0453),tensor(0.0383),tensor(0.0548),tensor(0.0678),tensor(0.0479),tensor(0.0469),tensor(0.0501),tensor(0.0603),tensor(0.0445),tensor(0.0465),tensor(0.0621),tensor(0.0373),tensor(0.0503),tensor(0.0669),tensor(0.0471),tensor(0.0479),tensor(0.0547),tensor(0.0486),tensor(0.0566),tensor(0.0608),tensor(0.0443),tensor(0.0569),tensor(0.0627),tensor(0.0514),tensor(0.0567),tensor(0.0568),tensor(0.0546),tensor(0.0549),tensor(0.0476)
rouge2_precision,tensor(0.0089),tensor(0.0900),tensor(0.0371),tensor(0.0337),tensor(0.0300),tensor(0.0346),tensor(0.0394),tensor(0.0487),tensor(0.0318),tensor(0.0342),tensor(0.0339),tensor(0.0413),tensor(0.0323),tensor(0.0308),tensor(0.0420),tensor(0.0336),tensor(0.0398),tensor(0.0478),tensor(0.0319),tensor(0.0318),tensor(0.0367),tensor(0.0352),tensor(0.0400),tensor(0.0417),tensor(0.0318),tensor(0.0399),tensor(0.0425),tensor(0.0404),tensor(0.0397),tensor(0.0400),tensor(0.0366),tensor(0.0376),tensor(0.0321)
rouge2_recall,tensor(0.4404),tensor(0.0903),tensor(0.1029),tensor(0.0967),tensor(0.0943),tensor(0.0469),tensor(0.0923),tensor(0.1142),tensor(0.0986),tensor(0.0782),tensor(0.0975),tensor(0.1134),tensor(0.0754),tensor(0.0963),tensor(0.1209),tensor(0.0456),tensor(0.0725),tensor(0.1134),tensor(0.0925),tensor(0.0988),tensor(0.1093),tensor(0.0820),tensor(0.0989),tensor(0.1144),tensor(0.0765),tensor(0.1027),tensor(0.1220),tensor(0.0750),tensor(0.1027),tensor(0.0996),tensor(0.1091),tensor(0.1042),tensor(0.0939)
rougeL_fmeasure,tensor(0.0252),tensor(0.2019),tensor(0.1350),tensor(0.1295),tensor(0.1243),tensor(0.1295),tensor(0.1406),tensor(0.1515),tensor(0.1260),tensor(0.1403),tensor(0.1297),tensor(0.1402),tensor(0.1320),tensor(0.1254),tensor(0.1402),tensor(0.1311),tensor(0.1453),tensor(0.1509),tensor(0.1293),tensor(0.1266),tensor(0.1331),tensor(0.1395),tensor(0.1436),tensor(0.1398),tensor(0.1314),tensor(0.1407),tensor(0.1425),tensor(0.1457),tensor(0.1406),tensor(0.1436),tensor(0.1335),tensor(0.1356),tensor(0.1301)
rougeL_precision,tensor(0.0129),tensor(0.2016),tensor(0.0921),tensor(0.0877),tensor(0.0823),tensor(0.1199),tensor(0.1006),tensor(0.1085),tensor(0.0837),tensor(0.1027),tensor(0.0879),tensor(0.0961),tensor(0.0954),tensor(0.0830),tensor(0.0945),tensor(0.1185),tensor(0.1153),tensor(0.1076),tensor(0.0874),tensor(0.0840),tensor(0.0894),tensor(0.1006),tensor(0.1013),tensor(0.0958),tensor(0.0941),tensor(0.0984),tensor(0.0961),tensor(0.1147),tensor(0.0982),tensor(0.1011),tensor(0.0897),tensor(0.0925),tensor(0.0878)
rougeL_recall,tensor(0.6345),tensor(0.2025),tensor(0.2599),tensor(0.2533),tensor(0.2598),tensor(0.1551),tensor(0.2383),tensor(0.2584),tensor(0.2604),tensor(0.2324),tensor(0.2537),tensor(0.2654),tensor(0.2260),tensor(0.2617),tensor(0.2769),tensor(0.1584),tensor(0.2082),tensor(0.2591),tensor(0.2556),tensor(0.2620),tensor(0.2659),tensor(0.2379),tensor(0.2529),tensor(0.2647),tensor(0.2280),tensor(0.2556),tensor(0.2809),tensor(0.2114),tensor(0.2564),tensor(0.2543),tensor(0.2667),tensor(0.2606),tensor(0.2577)
rougeLsum_fmeasure,tensor(0.0346),tensor(0.3400),tensor(0.2102),tensor(0.1974),tensor(0.1907),tensor(0.1868),tensor(0.2321),tensor(0.2426),tensor(0.1943),tensor(0.2137),tensor(0.1963),tensor(0.2144),tensor(0.2076),tensor(0.1929),tensor(0.2173),tensor(0.1878),tensor(0.2195),tensor(0.2410),tensor(0.1998),tensor(0.1948),tensor(0.2042),tensor(0.2119),tensor(0.2206),tensor(0.2147),tensor(0.2068),tensor(0.2209),tensor(0.2187),tensor(0.2218),tensor(0.2205),tensor(0.2215),tensor(0.2047),tensor(0.2122),tensor(0.2015)
rougeLsum_precision,tensor(0.0177),tensor(0.3398),tensor(0.1435),tensor(0.1337),tensor(0.1263),tensor(0.1712),tensor(0.1663),tensor(0.1742),tensor(0.1291),tensor(0.1567),tensor(0.1329),tensor(0.1469),tensor(0.1502),tensor(0.1277),tensor(0.1468),tensor(0.1678),tensor(0.1739),tensor(0.1720),tensor(0.1351),tensor(0.1294),tensor(0.1371),tensor(0.1530),tensor(0.1558),tensor(0.1470),tensor(0.1480),tensor(0.1546),tensor(0.1478),tensor(0.1743),tensor(0.1542),tensor(0.1561),tensor(0.1375),tensor(0.1450),tensor(0.1360)
rougeLsum_recall,tensor(0.8664),tensor(0.3406),tensor(0.4030),tensor(0.3860),tensor(0.3982),tensor(0.2251),tensor(0.3929),tensor(0.4120),tensor(0.4010),tensor(0.3524),tensor(0.3842),tensor(0.4057),tensor(0.3544),tensor(0.4023),tensor(0.4279),tensor(0.2288),tensor(0.3144),tensor(0.4119),tensor(0.3947),tensor(0.4026),tensor(0.4082),tensor(0.3600),tensor(0.3871),tensor(0.4064),tensor(0.3591),tensor(0.4004),tensor(0.4299),tensor(0.3216),tensor(0.4007),tensor(0.3906),tensor(0.4089),tensor(0.4063),tensor(0.3991)
