,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0361),tensor(0.3812),tensor(0.2746),tensor(0.2518),tensor(0.2515),tensor(0.2135),tensor(0.2980),tensor(0.2971),tensor(0.2509),tensor(0.2658),tensor(0.2534),tensor(0.2734),tensor(0.2574),tensor(0.2520),tensor(0.2753),tensor(0.2179),tensor(0.2846),tensor(0.2968),tensor(0.2567),tensor(0.2506),tensor(0.2668),tensor(0.2652),tensor(0.2811),tensor(0.2725),tensor(0.2601),tensor(0.2814),tensor(0.2740),tensor(0.2843),tensor(0.2818),tensor(0.2805),tensor(0.2671),tensor(0.2741),tensor(0.2568)
rouge1_precision,tensor(0.0185),tensor(0.3814),tensor(0.1945),tensor(0.1774),tensor(0.1726),tensor(0.2100),tensor(0.2237),tensor(0.2221),tensor(0.1730),tensor(0.2042),tensor(0.1787),tensor(0.1951),tensor(0.1954),tensor(0.1730),tensor(0.1931),tensor(0.2084),tensor(0.2372),tensor(0.2216),tensor(0.1800),tensor(0.1727),tensor(0.1867),tensor(0.2008),tensor(0.2069),tensor(0.1946),tensor(0.1961),tensor(0.2054),tensor(0.1921),tensor(0.2350),tensor(0.2055),tensor(0.2059),tensor(0.1870),tensor(0.1943),tensor(0.1799)
rouge1_recall,tensor(0.9003),tensor(0.3819),tensor(0.4800),tensor(0.4437),tensor(0.4742),tensor(0.2361),tensor(0.4545),tensor(0.4604),tensor(0.4665),tensor(0.4011),tensor(0.4458),tensor(0.4663),tensor(0.3968),tensor(0.4747),tensor(0.4898),tensor(0.2452),tensor(0.3738),tensor(0.4603),tensor(0.4601),tensor(0.4661),tensor(0.4772),tensor(0.4082),tensor(0.4492),tensor(0.4644),tensor(0.4063),tensor(0.4618),tensor(0.4880),tensor(0.3783),tensor(0.4632),tensor(0.4502),tensor(0.4776),tensor(0.4784),tensor(0.4612)
rouge2_fmeasure,tensor(0.0178),tensor(0.0961),tensor(0.0627),tensor(0.0513),tensor(0.0532),tensor(0.0341),tensor(0.0579),tensor(0.0674),tensor(0.0536),tensor(0.0543),tensor(0.0521),tensor(0.0616),tensor(0.0499),tensor(0.0539),tensor(0.0646),tensor(0.0357),tensor(0.0574),tensor(0.0666),tensor(0.0550),tensor(0.0534),tensor(0.0606),tensor(0.0549),tensor(0.0608),tensor(0.0617),tensor(0.0510),tensor(0.0662),tensor(0.0642),tensor(0.0575),tensor(0.0665),tensor(0.0602),tensor(0.0608),tensor(0.0622),tensor(0.0553)
rouge2_precision,tensor(0.0091),tensor(0.0961),tensor(0.0445),tensor(0.0361),tensor(0.0365),tensor(0.0320),tensor(0.0434),tensor(0.0502),tensor(0.0370),tensor(0.0420),tensor(0.0367),tensor(0.0440),tensor(0.0380),tensor(0.0370),tensor(0.0453),tensor(0.0334),tensor(0.0472),tensor(0.0496),tensor(0.0388),tensor(0.0368),tensor(0.0424),tensor(0.0416),tensor(0.0448),tensor(0.0441),tensor(0.0386),tensor(0.0485),tensor(0.0450),tensor(0.0469),tensor(0.0487),tensor(0.0443),tensor(0.0426),tensor(0.0442),tensor(0.0390)
rouge2_recall,tensor(0.4473),tensor(0.0962),tensor(0.1091),tensor(0.0908),tensor(0.1006),tensor(0.0387),tensor(0.0883),tensor(0.1052),tensor(0.0994),tensor(0.0814),tensor(0.0920),tensor(0.1047),tensor(0.0769),tensor(0.1019),tensor(0.1151),tensor(0.0409),tensor(0.0765),tensor(0.1039),tensor(0.0973),tensor(0.0990),tensor(0.1082),tensor(0.0842),tensor(0.0969),tensor(0.1047),tensor(0.0794),tensor(0.1079),tensor(0.1144),tensor(0.0776),tensor(0.1087),tensor(0.0966),tensor(0.1086),tensor(0.1081),tensor(0.0980)
rougeL_fmeasure,tensor(0.0263),tensor(0.2060),tensor(0.1418),tensor(0.1346),tensor(0.1301),tensor(0.1319),tensor(0.1481),tensor(0.1548),tensor(0.1319),tensor(0.1474),tensor(0.1351),tensor(0.1436),tensor(0.1387),tensor(0.1306),tensor(0.1465),tensor(0.1338),tensor(0.1581),tensor(0.1541),tensor(0.1361),tensor(0.1315),tensor(0.1381),tensor(0.1472),tensor(0.1498),tensor(0.1436),tensor(0.1409),tensor(0.1503),tensor(0.1457),tensor(0.1575),tensor(0.1495),tensor(0.1486),tensor(0.1384),tensor(0.1418),tensor(0.1358)
rougeL_precision,tensor(0.0135),tensor(0.2060),tensor(0.1005),tensor(0.0949),tensor(0.0891),tensor(0.1311),tensor(0.1111),tensor(0.1158),tensor(0.0909),tensor(0.1137),tensor(0.0953),tensor(0.1025),tensor(0.1056),tensor(0.0895),tensor(0.1027),tensor(0.1286),tensor(0.1323),tensor(0.1152),tensor(0.0955),tensor(0.0906),tensor(0.0967),tensor(0.1118),tensor(0.1104),tensor(0.1026),tensor(0.1065),tensor(0.1098),tensor(0.1021),tensor(0.1306),tensor(0.1091),tensor(0.1092),tensor(0.0969),tensor(0.1005),tensor(0.0952)
rougeL_recall,tensor(0.6617),tensor(0.2063),tensor(0.2478),tensor(0.2371),tensor(0.2462),tensor(0.1444),tensor(0.2265),tensor(0.2397),tensor(0.2456),tensor(0.2210),tensor(0.2376),tensor(0.2453),tensor(0.2129),tensor(0.2468),tensor(0.2612),tensor(0.1497),tensor(0.2070),tensor(0.2390),tensor(0.2440),tensor(0.2449),tensor(0.2470),tensor(0.2259),tensor(0.2392),tensor(0.2450),tensor(0.2195),tensor(0.2467),tensor(0.2601),tensor(0.2090),tensor(0.2456),tensor(0.2384),tensor(0.2473),tensor(0.2474),tensor(0.2439)
rougeLsum_fmeasure,tensor(0.0352),tensor(0.3478),tensor(0.2374),tensor(0.2137),tensor(0.2128),tensor(0.1939),tensor(0.2518),tensor(0.2571),tensor(0.2128),tensor(0.2320),tensor(0.2148),tensor(0.2351),tensor(0.2215),tensor(0.2141),tensor(0.2358),tensor(0.1964),tensor(0.2481),tensor(0.2569),tensor(0.2199),tensor(0.2131),tensor(0.2276),tensor(0.2321),tensor(0.2420),tensor(0.2358),tensor(0.2251),tensor(0.2454),tensor(0.2354),tensor(0.2460),tensor(0.2464),tensor(0.2413),tensor(0.2277),tensor(0.2378),tensor(0.2202)
