,Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(0.0361),tensor(0.3812),tensor(0.2846),tensor(0.2630),tensor(0.2624),tensor(0.2066),tensor(0.3026),tensor(0.3032),tensor(0.2625),tensor(0.2685),tensor(0.2647),tensor(0.2875),tensor(0.2611),tensor(0.2646),tensor(0.2891),tensor(0.2070),tensor(0.2797),tensor(0.3039),tensor(0.2651),tensor(0.2626),tensor(0.2810),tensor(0.2712),tensor(0.2901),tensor(0.2875),tensor(0.2636),tensor(0.2957),tensor(0.2898),tensor(0.2826),tensor(0.2961),tensor(0.2887),tensor(0.2807),tensor(0.2855),tensor(0.2671)
rouge1_precision,tensor(0.0185),tensor(0.3814),tensor(0.2127),tensor(0.1952),tensor(0.1888),tensor(0.2223),tensor(0.2412),tensor(0.2411),tensor(0.1897),tensor(0.2215),tensor(0.1965),tensor(0.2166),tensor(0.2098),tensor(0.1905),tensor(0.2131),tensor(0.2203),tensor(0.2537),tensor(0.2423),tensor(0.1951),tensor(0.1897),tensor(0.2069),tensor(0.2189),tensor(0.2253),tensor(0.2166),tensor(0.2105),tensor(0.2279),tensor(0.2134),tensor(0.2505),tensor(0.2272),tensor(0.2238),tensor(0.2070),tensor(0.2131),tensor(0.1964)
rouge1_recall,tensor(0.9003),tensor(0.3819),tensor(0.4423),tensor(0.4127),tensor(0.4401),tensor(0.2088),tensor(0.4136),tensor(0.4192),tensor(0.4355),tensor(0.3637),tensor(0.4153),tensor(0.4373),tensor(0.3649),tensor(0.4427),tensor(0.4591),tensor(0.2115),tensor(0.3312),tensor(0.4188),tensor(0.4258),tensor(0.4359),tensor(0.4477),tensor(0.3746),tensor(0.4178),tensor(0.4373),tensor(0.3726),tensor(0.4354),tensor(0.4607),tensor(0.3430),tensor(0.4387),tensor(0.4169),tensor(0.4460),tensor(0.4444),tensor(0.4291)
rouge2_fmeasure,tensor(0.0178),tensor(0.0961),tensor(0.0615),tensor(0.0510),tensor(0.0533),tensor(0.0315),tensor(0.0546),tensor(0.0648),tensor(0.0525),tensor(0.0499),tensor(0.0518),tensor(0.0628),tensor(0.0470),tensor(0.0554),tensor(0.0646),tensor(0.0312),tensor(0.0529),tensor(0.0637),tensor(0.0542),tensor(0.0522),tensor(0.0616),tensor(0.0509),tensor(0.0582),tensor(0.0628),tensor(0.0484),tensor(0.0677),tensor(0.0649),tensor(0.0531),tensor(0.0686),tensor(0.0575),tensor(0.0613),tensor(0.0617),tensor(0.0545)
rouge2_precision,tensor(0.0091),tensor(0.0961),tensor(0.0462),tensor(0.0379),tensor(0.0383),tensor(0.0320),tensor(0.0435),tensor(0.0513),tensor(0.0379),tensor(0.0420),tensor(0.0384),tensor(0.0475),tensor(0.0377),tensor(0.0399),tensor(0.0476),tensor(0.0314),tensor(0.0474),tensor(0.0504),tensor(0.0401),tensor(0.0377),tensor(0.0455),tensor(0.0413),tensor(0.0452),tensor(0.0475),tensor(0.0387),tensor(0.0526),tensor(0.0478),tensor(0.0468),tensor(0.0530),tensor(0.0445),tensor(0.0453),tensor(0.0463),tensor(0.0404)
rouge2_recall,tensor(0.4473),tensor(0.0962),tensor(0.0948),tensor(0.0805),tensor(0.0892),tensor(0.0327),tensor(0.0748),tensor(0.0901),tensor(0.0871),tensor(0.0669),tensor(0.0817),tensor(0.0951),tensor(0.0661),tensor(0.0925),tensor(0.1029),tensor(0.0328),tensor(0.0637),tensor(0.0887),tensor(0.0859),tensor(0.0867),tensor(0.0978),tensor(0.0700),tensor(0.0835),tensor(0.0951),tensor(0.0684),tensor(0.0984),tensor(0.1034),tensor(0.0652),tensor(0.1002),tensor(0.0828),tensor(0.0971),tensor(0.0951),tensor(0.0865)
rougeL_fmeasure,tensor(0.0263),tensor(0.2060),tensor(0.1483),tensor(0.1407),tensor(0.1345),tensor(0.1314),tensor(0.1508),tensor(0.1601),tensor(0.1377),tensor(0.1529),tensor(0.1420),tensor(0.1512),tensor(0.1420),tensor(0.1358),tensor(0.1522),tensor(0.1318),tensor(0.1563),tensor(0.1592),tensor(0.1421),tensor(0.1374),tensor(0.1451),tensor(0.1519),tensor(0.1545),tensor(0.1508),tensor(0.1440),tensor(0.1589),tensor(0.1521),tensor(0.1580),tensor(0.1584),tensor(0.1537),tensor(0.1455),tensor(0.1492),tensor(0.1418)
rougeL_precision,tensor(0.0135),tensor(0.2060),tensor(0.1110),tensor(0.1046),tensor(0.0966),tensor(0.1442),tensor(0.1201),tensor(0.1275),tensor(0.0995),tensor(0.1271),tensor(0.1056),tensor(0.1142),tensor(0.1150),tensor(0.0976),tensor(0.1121),tensor(0.1433),tensor(0.1436),tensor(0.1270),tensor(0.1047),tensor(0.0992),tensor(0.1070),tensor(0.1233),tensor(0.1203),tensor(0.1138),tensor(0.1158),tensor(0.1227),tensor(0.1119),tensor(0.1418),tensor(0.1217),tensor(0.1194),tensor(0.1075),tensor(0.1116),tensor(0.1044)
rougeL_recall,tensor(0.6617),tensor(0.2063),tensor(0.2300),tensor(0.2204),tensor(0.2262),tensor(0.1309),tensor(0.2064),tensor(0.2213),tensor(0.2284),tensor(0.2057),tensor(0.2221),tensor(0.2294),tensor(0.1972),tensor(0.2280),tensor(0.2425),tensor(0.1328),tensor(0.1836),tensor(0.2195),tensor(0.2278),tensor(0.2281),tensor(0.2309),tensor(0.2088),tensor(0.2221),tensor(0.2288),tensor(0.2022),tensor(0.2337),tensor(0.2428),tensor(0.1903),tensor(0.2343),tensor(0.2214),tensor(0.2309),tensor(0.2319),tensor(0.2278)
rougeLsum_fmeasure,tensor(0.0352),tensor(0.3478),tensor(0.2431),tensor(0.2241),tensor(0.2233),tensor(0.1855),tensor(0.2547),tensor(0.2616),tensor(0.2212),tensor(0.2332),tensor(0.2256),tensor(0.2475),tensor(0.2247),tensor(0.2248),tensor(0.2448),tensor(0.1875),tensor(0.2420),tensor(0.2616),tensor(0.2257),tensor(0.2216),tensor(0.2389),tensor(0.2335),tensor(0.2498),tensor(0.2477),tensor(0.2263),tensor(0.2590),tensor(0.2455),tensor(0.2439),tensor(0.2600),tensor(0.2477),tensor(0.2395),tensor(0.2433),tensor(0.2280)
