,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0363),tensor(0.3747),tensor(0.2597),tensor(0.3115),tensor(0.2621),tensor(0.2266),tensor(0.3038),tensor(0.2574),tensor(0.2874),tensor(0.2608),tensor(0.2646),tensor(0.2591),tensor(0.2565),tensor(0.2824),tensor(0.3074),tensor(0.3116),tensor(0.3012),tensor(0.2602),tensor(0.2639),tensor(0.2560),tensor(0.2325),tensor(0.2347),tensor(0.2688),tensor(0.2754),tensor(0.2936),tensor(0.2852),tensor(0.2830),tensor(0.2597),tensor(0.2606),tensor(0.2588),tensor(0.2662),tensor(0.2609),tensor(0.2565),tensor(0.2913),tensor(0.2832),tensor(0.2786),tensor(0.3078),tensor(0.3046),tensor(0.3032),tensor(0.2606),tensor(0.2616),tensor(0.2590),tensor(0.2428),tensor(0.2746),tensor(0.2739),tensor(0.2726),tensor(0.2934),tensor(0.2901),tensor(0.2839),tensor(0.2602),tensor(0.2582),tensor(0.2601),tensor(0.2624),tensor(0.2899),tensor(0.2848),tensor(0.2804),tensor(0.3053),tensor(0.2611),tensor(0.2743),tensor(0.2717),tensor(0.2725),tensor(0.2890),tensor(0.2600),tensor(0.2837),tensor(0.2717)
rouge1_precision,tensor(0.0186),tensor(0.3770),tensor(0.1938),tensor(0.2497),tensor(0.1892),tensor(0.2362),tensor(0.2429),tensor(0.1891),tensor(0.2182),tensor(0.1893),tensor(0.1997),tensor(0.1931),tensor(0.1907),tensor(0.2088),tensor(0.2569),tensor(0.2492),tensor(0.2385),tensor(0.1905),tensor(0.1905),tensor(0.1850),tensor(0.2335),tensor(0.2272),tensor(0.1987),tensor(0.2027),tensor(0.2254),tensor(0.2164),tensor(0.2146),tensor(0.1887),tensor(0.1891),tensor(0.1879),tensor(0.2003),tensor(0.1955),tensor(0.1906),tensor(0.2178),tensor(0.2093),tensor(0.2059),tensor(0.2575),tensor(0.2519),tensor(0.2400),tensor(0.1905),tensor(0.1917),tensor(0.1874),tensor(0.2282),tensor(0.2023),tensor(0.2017),tensor(0.2005),tensor(0.2249),tensor(0.2217),tensor(0.2154),tensor(0.1889),tensor(0.1877),tensor(0.1887),tensor(0.1966),tensor(0.2165),tensor(0.2125),tensor(0.2072),tensor(0.2514),tensor(0.1909),tensor(0.2022),tensor(0.2002),tensor(0.2004),tensor(0.2207),tensor(0.1889),tensor(0.2113),tensor(0.2002)
rouge1_recall,tensor(0.8969),tensor(0.3732),tensor(0.4024),tensor(0.4256),tensor(0.4357),tensor(0.2292),tensor(0.4157),tensor(0.4129),tensor(0.4312),tensor(0.4283),tensor(0.4043),tensor(0.4029),tensor(0.4012),tensor(0.4464),tensor(0.3977),tensor(0.4272),tensor(0.4196),tensor(0.4209),tensor(0.4381),tensor(0.4251),tensor(0.2428),tensor(0.2543),tensor(0.4265),tensor(0.4381),tensor(0.4326),tensor(0.4283),tensor(0.4253),tensor(0.4259),tensor(0.4282),tensor(0.4248),tensor(0.4077),tensor(0.4030),tensor(0.4011),tensor(0.4500),tensor(0.4477),tensor(0.4410),tensor(0.3986),tensor(0.3991),tensor(0.4220),tensor(0.4230),tensor(0.4221),tensor(0.4287),tensor(0.2715),tensor(0.4365),tensor(0.4357),tensor(0.4351),tensor(0.4330),tensor(0.4309),tensor(0.4264),tensor(0.4268),tensor(0.4232),tensor(0.4272),tensor(0.4057),tensor(0.4488),tensor(0.4416),tensor(0.4433),tensor(0.4011),tensor(0.4239),tensor(0.4361),tensor(0.4328),tensor(0.4346),tensor(0.4296),tensor(0.4267),tensor(0.4420),tensor(0.4328)
rouge2_fmeasure,tensor(0.0170),tensor(0.0842),tensor(0.0504),tensor(0.0648),tensor(0.0496),tensor(0.0417),tensor(0.0525),tensor(0.0474),tensor(0.0606),tensor(0.0496),tensor(0.0498),tensor(0.0501),tensor(0.0482),tensor(0.0589),tensor(0.0623),tensor(0.0647),tensor(0.0613),tensor(0.0473),tensor(0.0500),tensor(0.0456),tensor(0.0412),tensor(0.0413),tensor(0.0473),tensor(0.0575),tensor(0.0628),tensor(0.0605),tensor(0.0578),tensor(0.0491),tensor(0.0496),tensor(0.0489),tensor(0.0499),tensor(0.0465),tensor(0.0475),tensor(0.0658),tensor(0.0587),tensor(0.0570),tensor(0.0639),tensor(0.0604),tensor(0.0610),tensor(0.0478),tensor(0.0456),tensor(0.0464),tensor(0.0408),tensor(0.0588),tensor(0.0569),tensor(0.0572),tensor(0.0629),tensor(0.0605),tensor(0.0579),tensor(0.0498),tensor(0.0494),tensor(0.0502),tensor(0.0476),tensor(0.0643),tensor(0.0605),tensor(0.0570),tensor(0.0617),tensor(0.0460),tensor(0.0587),tensor(0.0572),tensor(0.0569),tensor(0.0601),tensor(0.0504),tensor(0.0595),tensor(0.0572)
rouge2_precision,tensor(0.0087),tensor(0.0847),tensor(0.0374),tensor(0.0516),tensor(0.0355),tensor(0.0432),tensor(0.0415),tensor(0.0345),tensor(0.0458),tensor(0.0357),tensor(0.0372),tensor(0.0371),tensor(0.0356),tensor(0.0432),tensor(0.0516),tensor(0.0514),tensor(0.0480),tensor(0.0345),tensor(0.0358),tensor(0.0326),tensor(0.0412),tensor(0.0402),tensor(0.0345),tensor(0.0421),tensor(0.0480),tensor(0.0456),tensor(0.0436),tensor(0.0354),tensor(0.0357),tensor(0.0353),tensor(0.0372),tensor(0.0345),tensor(0.0351),tensor(0.0490),tensor(0.0430),tensor(0.0417),tensor(0.0533),tensor(0.0496),tensor(0.0478),tensor(0.0347),tensor(0.0332),tensor(0.0332),tensor(0.0387),tensor(0.0430),tensor(0.0417),tensor(0.0419),tensor(0.0480),tensor(0.0459),tensor(0.0437),tensor(0.0359),tensor(0.0356),tensor(0.0362),tensor(0.0353),tensor(0.0477),tensor(0.0447),tensor(0.0417),tensor(0.0504),tensor(0.0334),tensor(0.0430),tensor(0.0418),tensor(0.0416),tensor(0.0455),tensor(0.0364),tensor(0.0439),tensor(0.0418)
rouge2_recall,tensor(0.4305),tensor(0.0839),tensor(0.0790),tensor(0.0899),tensor(0.0839),tensor(0.0421),tensor(0.0730),tensor(0.0776),tensor(0.0924),tensor(0.0828),tensor(0.0776),tensor(0.0788),tensor(0.0764),tensor(0.0951),tensor(0.0820),tensor(0.0902),tensor(0.0872),tensor(0.0775),tensor(0.0843),tensor(0.0774),tensor(0.0430),tensor(0.0440),tensor(0.0769),tensor(0.0929),tensor(0.0936),tensor(0.0924),tensor(0.0881),tensor(0.0817),tensor(0.0828),tensor(0.0814),tensor(0.0778),tensor(0.0735),tensor(0.0752),tensor(0.1031),tensor(0.0948),tensor(0.0922),tensor(0.0839),tensor(0.0805),tensor(0.0868),tensor(0.0785),tensor(0.0747),tensor(0.0784),tensor(0.0448),tensor(0.0948),tensor(0.0919),tensor(0.0925),tensor(0.0941),tensor(0.0912),tensor(0.0882),tensor(0.0830),tensor(0.0821),tensor(0.0836),tensor(0.0750),tensor(0.1013),tensor(0.0958),tensor(0.0922),tensor(0.0823),tensor(0.0756),tensor(0.0946),tensor(0.0926),tensor(0.0920),tensor(0.0906),tensor(0.0840),tensor(0.0951),tensor(0.0926)
rougeL_fmeasure,tensor(0.0260),tensor(0.1941),tensor(0.1436),tensor(0.1605),tensor(0.1330),tensor(0.1424),tensor(0.1498),tensor(0.1267),tensor(0.1520),tensor(0.1367),tensor(0.1469),tensor(0.1432),tensor(0.1412),tensor(0.1471),tensor(0.1623),tensor(0.1600),tensor(0.1572),tensor(0.1342),tensor(0.1343),tensor(0.1311),tensor(0.1423),tensor(0.1432),tensor(0.1439),tensor(0.1482),tensor(0.1556),tensor(0.1517),tensor(0.1505),tensor(0.1362),tensor(0.1371),tensor(0.1381),tensor(0.1471),tensor(0.1451),tensor(0.1414),tensor(0.1485),tensor(0.1483),tensor(0.1455),tensor(0.1640),tensor(0.1634),tensor(0.1573),tensor(0.1347),tensor(0.1354),tensor(0.1321),tensor(0.1464),tensor(0.1479),tensor(0.1479),tensor(0.1465),tensor(0.1554),tensor(0.1544),tensor(0.1505),tensor(0.1366),tensor(0.1365),tensor(0.1385),tensor(0.1467),tensor(0.1492),tensor(0.1486),tensor(0.1460),tensor(0.1648),tensor(0.1354),tensor(0.1473),tensor(0.1465),tensor(0.1465),tensor(0.1545),tensor(0.1377),tensor(0.1484),tensor(0.1458)
rougeL_precision,tensor(0.0133),tensor(0.1951),tensor(0.1072),tensor(0.1284),tensor(0.0958),tensor(0.1504),tensor(0.1195),tensor(0.0928),tensor(0.1152),tensor(0.0990),tensor(0.1109),tensor(0.1067),tensor(0.1051),tensor(0.1084),tensor(0.1358),tensor(0.1278),tensor(0.1242),tensor(0.0982),tensor(0.0968),tensor(0.0946),tensor(0.1449),tensor(0.1414),tensor(0.1061),tensor(0.1091),tensor(0.1193),tensor(0.1150),tensor(0.1140),tensor(0.0987),tensor(0.0994),tensor(0.1001),tensor(0.1106),tensor(0.1086),tensor(0.1053),tensor(0.1108),tensor(0.1093),tensor(0.1072),tensor(0.1374),tensor(0.1351),tensor(0.1243),tensor(0.0984),tensor(0.0991),tensor(0.0954),tensor(0.1397),tensor(0.1090),tensor(0.1089),tensor(0.1077),tensor(0.1190),tensor(0.1178),tensor(0.1141),tensor(0.0989),tensor(0.0990),tensor(0.1004),tensor(0.1099),tensor(0.1113),tensor(0.1107),tensor(0.1076),tensor(0.1358),tensor(0.0989),tensor(0.1086),tensor(0.1080),tensor(0.1077),tensor(0.1179),tensor(0.0998),tensor(0.1102),tensor(0.1075)
rougeL_recall,tensor(0.6479),tensor(0.1934),tensor(0.2224),tensor(0.2201),tensor(0.2222),tensor(0.1427),tensor(0.2060),tensor(0.2044),tensor(0.2289),tensor(0.2255),tensor(0.2244),tensor(0.2226),tensor(0.2202),tensor(0.2344),tensor(0.2100),tensor(0.2201),tensor(0.2202),tensor(0.2176),tensor(0.2243),tensor(0.2184),tensor(0.1470),tensor(0.1527),tensor(0.2294),tensor(0.2362),tensor(0.2302),tensor(0.2287),tensor(0.2267),tensor(0.2247),tensor(0.2260),tensor(0.2278),tensor(0.2258),tensor(0.2245),tensor(0.2208),tensor(0.2299),tensor(0.2360),tensor(0.2316),tensor(0.2124),tensor(0.2143),tensor(0.2198),tensor(0.2191),tensor(0.2193),tensor(0.2198),tensor(0.1617),tensor(0.2355),tensor(0.2356),tensor(0.2339),tensor(0.2302),tensor(0.2301),tensor(0.2266),tensor(0.2255),tensor(0.2250),tensor(0.2284),tensor(0.2268),tensor(0.2314),tensor(0.2313),tensor(0.2324),tensor(0.2167),tensor(0.2204),tensor(0.2346),tensor(0.2334),tensor(0.2339),tensor(0.2303),tensor(0.2274),tensor(0.2322),tensor(0.2323)
rougeLsum_fmeasure,tensor(0.0351),tensor(0.3368),tensor(0.2181),tensor(0.2552),tensor(0.2178),tensor(0.1984),tensor(0.2513),tensor(0.2136),tensor(0.2400),tensor(0.2150),tensor(0.2226),tensor(0.2186),tensor(0.2128),tensor(0.2321),tensor(0.2547),tensor(0.2551),tensor(0.2486),tensor(0.2147),tensor(0.2180),tensor(0.2133),tensor(0.2071),tensor(0.2056),tensor(0.2244),tensor(0.2306),tensor(0.2464),tensor(0.2397),tensor(0.2350),tensor(0.2133),tensor(0.2135),tensor(0.2135),tensor(0.2236),tensor(0.2189),tensor(0.2136),tensor(0.2421),tensor(0.2338),tensor(0.2296),tensor(0.2567),tensor(0.2557),tensor(0.2509),tensor(0.2155),tensor(0.2172),tensor(0.2138),tensor(0.2122),tensor(0.2282),tensor(0.2292),tensor(0.2271),tensor(0.2467),tensor(0.2412),tensor(0.2357),tensor(0.2131),tensor(0.2133),tensor(0.2151),tensor(0.2195),tensor(0.2412),tensor(0.2393),tensor(0.2311),tensor(0.2555),tensor(0.2163),tensor(0.2291),tensor(0.2258),tensor(0.2270),tensor(0.2403),tensor(0.2139),tensor(0.2379),tensor(0.2257)
