,rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall
0,tensor(0.2533),tensor(0.3816),tensor(0.1895),tensor(0.0264),tensor(0.0400),tensor(0.0197),tensor(0.1397),tensor(0.2105),tensor(0.1046),tensor(0.1572),tensor(0.2368),tensor(0.1176)
1,tensor(0.1892),tensor(0.4038),tensor(0.1235),tensor(0.0273),tensor(0.0588),tensor(0.0178),tensor(0.1081),tensor(0.2308),tensor(0.0706),tensor(0.1351),tensor(0.2885),tensor(0.0882)
2,tensor(0.2697),tensor(0.5000),tensor(0.1846),tensor(0.0227),tensor(0.0426),tensor(0.0155),tensor(0.1573),tensor(0.2917),tensor(0.1077),tensor(0.1573),tensor(0.2917),tensor(0.1077)
3,tensor(0.1652),tensor(0.8261),tensor(0.0918),tensor(0.1140),tensor(0.5909),tensor(0.0631),tensor(0.1217),tensor(0.6087),tensor(0.0676),tensor(0.1478),tensor(0.7391),tensor(0.0821)
4,tensor(0.2308),tensor(0.4615),tensor(0.1538),tensor(0.),tensor(0.),tensor(0.),tensor(0.1026),tensor(0.2051),tensor(0.0684),tensor(0.1026),tensor(0.2051),tensor(0.0684)
5,tensor(0.4833),tensor(0.6304),tensor(0.3919),tensor(0.4068),tensor(0.5333),tensor(0.3288),tensor(0.4667),tensor(0.6087),tensor(0.3784),tensor(0.4167),tensor(0.5435),tensor(0.3378)
6,tensor(0.2955),tensor(0.7429),tensor(0.1844),tensor(0.2529),tensor(0.6471),tensor(0.1571),tensor(0.2841),tensor(0.7143),tensor(0.1773),tensor(0.2841),tensor(0.7143),tensor(0.1773)
7,tensor(0.3619),tensor(0.8837),tensor(0.2275),tensor(0.3269),tensor(0.8095),tensor(0.2048),tensor(0.3238),tensor(0.7907),tensor(0.2036),tensor(0.3238),tensor(0.7907),tensor(0.2036)
8,tensor(0.4172),tensor(0.5763),tensor(0.3269),tensor(0.2981),tensor(0.4138),tensor(0.2330),tensor(0.2945),tensor(0.4068),tensor(0.2308),tensor(0.3313),tensor(0.4576),tensor(0.2596)
9,tensor(0.3788),tensor(0.6757),tensor(0.2632),tensor(0.2923),tensor(0.5278),tensor(0.2021),tensor(0.3030),tensor(0.5405),tensor(0.2105),tensor(0.3788),tensor(0.6757),tensor(0.2632)
10,tensor(0.3667),tensor(0.6111),tensor(0.2619),tensor(0.3051),tensor(0.5143),tensor(0.2169),tensor(0.3500),tensor(0.5833),tensor(0.2500),tensor(0.3500),tensor(0.5833),tensor(0.2500)
11,tensor(0.1326),tensor(0.2667),tensor(0.0882),tensor(0.0112),tensor(0.0227),tensor(0.0074),tensor(0.0884),tensor(0.1778),tensor(0.0588),tensor(0.0884),tensor(0.1778),tensor(0.0588)
12,tensor(0.3396),tensor(0.8182),tensor(0.2143),tensor(0.2930),tensor(0.7188),tensor(0.1840),tensor(0.3270),tensor(0.7879),tensor(0.2063),tensor(0.3270),tensor(0.7879),tensor(0.2063)
13,tensor(0.2661),tensor(0.6591),tensor(0.1667),tensor(0.1759),tensor(0.4419),tensor(0.1098),tensor(0.2202),tensor(0.5455),tensor(0.1379),tensor(0.2202),tensor(0.5455),tensor(0.1379)
14,tensor(0.3342),tensor(0.7722),tensor(0.2133),tensor(0.2314),tensor(0.5385),tensor(0.1474),tensor(0.2466),tensor(0.5696),tensor(0.1573),tensor(0.3014),tensor(0.6962),tensor(0.1923)
15,tensor(0.1161),tensor(0.2308),tensor(0.0776),tensor(0.0131),tensor(0.0263),tensor(0.0087),tensor(0.0903),tensor(0.1795),tensor(0.0603),tensor(0.0903),tensor(0.1795),tensor(0.0603)
16,tensor(0.1538),tensor(0.2632),tensor(0.1087),tensor(0.),tensor(0.),tensor(0.),tensor(0.1077),tensor(0.1842),tensor(0.0761),tensor(0.1077),tensor(0.1842),tensor(0.0761)
17,tensor(0.1849),tensor(0.2000),tensor(0.1719),tensor(0.0171),tensor(0.0185),tensor(0.0159),tensor(0.0840),tensor(0.0909),tensor(0.0781),tensor(0.1345),tensor(0.1455),tensor(0.1250)
18,tensor(0.3279),tensor(0.7692),tensor(0.2083),tensor(0.2833),tensor(0.6800),tensor(0.1789),tensor(0.3115),tensor(0.7308),tensor(0.1979),tensor(0.3115),tensor(0.7308),tensor(0.1979)
19,tensor(0.1981),tensor(0.7209),tensor(0.1148),tensor(0.1350),tensor(0.5000),tensor(0.0781),tensor(0.1406),tensor(0.5116),tensor(0.0815),tensor(0.1406),tensor(0.5116),tensor(0.0815)
20,tensor(0.2370),tensor(0.4386),tensor(0.1623),tensor(0.0287),tensor(0.0536),tensor(0.0196),tensor(0.1043),tensor(0.1930),tensor(0.0714),tensor(0.1043),tensor(0.1930),tensor(0.0714)
21,tensor(0.5175),tensor(1.),tensor(0.3491),tensor(0.4965),tensor(0.9722),tensor(0.3333),tensor(0.5175),tensor(1.),tensor(0.3491),tensor(0.5175),tensor(1.),tensor(0.3491)
22,tensor(0.3281),tensor(0.5000),tensor(0.2442),tensor(0.2540),tensor(0.3902),tensor(0.1882),tensor(0.2969),tensor(0.4524),tensor(0.2209),tensor(0.2969),tensor(0.4524),tensor(0.2209)
23,tensor(0.3948),tensor(0.6765),tensor(0.2788),tensor(0.3203),tensor(0.5522),tensor(0.2256),tensor(0.3519),tensor(0.6029),tensor(0.2485),tensor(0.3519),tensor(0.6029),tensor(0.2485)
24,tensor(0.2545),tensor(0.6731),tensor(0.1570),tensor(0.1758),tensor(0.4706),tensor(0.1081),tensor(0.2109),tensor(0.5577),tensor(0.1300),tensor(0.2255),tensor(0.5962),tensor(0.1390)
25,tensor(0.1279),tensor(0.4074),tensor(0.0759),tensor(0.0235),tensor(0.0769),tensor(0.0139),tensor(0.1163),tensor(0.3704),tensor(0.0690),tensor(0.1163),tensor(0.3704),tensor(0.0690)
26,tensor(0.1854),tensor(0.3684),tensor(0.1239),tensor(0.0268),tensor(0.0541),tensor(0.0179),tensor(0.1192),tensor(0.2368),tensor(0.0796),tensor(0.1192),tensor(0.2368),tensor(0.0796)
27,tensor(0.2016),tensor(0.2653),tensor(0.1625),tensor(0.0157),tensor(0.0208),tensor(0.0127),tensor(0.1395),tensor(0.1837),tensor(0.1125),tensor(0.1395),tensor(0.1837),tensor(0.1125)
28,tensor(0.2621),tensor(0.5870),tensor(0.1688),tensor(0.1765),tensor(0.4000),tensor(0.1132),tensor(0.2039),tensor(0.4565),tensor(0.1312),tensor(0.2039),tensor(0.4565),tensor(0.1312)
29,tensor(0.1673),tensor(0.4118),tensor(0.1050),tensor(0.0321),tensor(0.0800),tensor(0.0201),tensor(0.1036),tensor(0.2549),tensor(0.0650),tensor(0.1275),tensor(0.3137),tensor(0.0800)
30,tensor(0.0769),tensor(0.2258),tensor(0.0464),tensor(0.),tensor(0.),tensor(0.),tensor(0.0440),tensor(0.1290),tensor(0.0265),tensor(0.0659),tensor(0.1935),tensor(0.0397)
31,tensor(0.3626),tensor(0.7333),tensor(0.2409),tensor(0.2778),tensor(0.5682),tensor(0.1838),tensor(0.3077),tensor(0.6222),tensor(0.2044),tensor(0.3077),tensor(0.6222),tensor(0.2044)
32,tensor(0.6232),tensor(1.),tensor(0.4526),tensor(0.6176),tensor(1.),tensor(0.4468),tensor(0.3913),tensor(0.6279),tensor(0.2842),tensor(0.6232),tensor(1.),tensor(0.4526)
33,tensor(0.4181),tensor(0.6981),tensor(0.2984),tensor(0.3314),tensor(0.5577),tensor(0.2358),tensor(0.3955),tensor(0.6604),tensor(0.2823),tensor(0.3955),tensor(0.6604),tensor(0.2823)
34,tensor(0.3111),tensor(0.5676),tensor(0.2143),tensor(0.2105),tensor(0.3889),tensor(0.1443),tensor(0.2667),tensor(0.4865),tensor(0.1837),tensor(0.3111),tensor(0.5676),tensor(0.2143)
35,tensor(0.5787),tensor(0.9500),tensor(0.4161),tensor(0.5538),tensor(0.9153),tensor(0.3971),tensor(0.5685),tensor(0.9333),tensor(0.4088),tensor(0.5685),tensor(0.9333),tensor(0.4088)
36,tensor(0.1852),tensor(0.5263),tensor(0.1124),tensor(0.0841),tensor(0.2432),tensor(0.0508),tensor(0.1389),tensor(0.3947),tensor(0.0843),tensor(0.1667),tensor(0.4737),tensor(0.1011)
37,tensor(0.6849),tensor(1.),tensor(0.5208),tensor(0.6761),tensor(1.),tensor(0.5106),tensor(0.6849),tensor(1.),tensor(0.5208),tensor(0.6849),tensor(1.),tensor(0.5208)
38,tensor(0.6222),tensor(1.),tensor(0.4516),tensor(0.6165),tensor(1.),tensor(0.4457),tensor(0.3407),tensor(0.5476),tensor(0.2473),tensor(0.5630),tensor(0.9048),tensor(0.4086)
39,tensor(0.5989),tensor(1.),tensor(0.4274),tensor(0.5829),tensor(0.9808),tensor(0.4146),tensor(0.3503),tensor(0.5849),tensor(0.2500),tensor(0.3503),tensor(0.5849),tensor(0.2500)
40,tensor(0.1828),tensor(0.3617),tensor(0.1223),tensor(0.0326),tensor(0.0652),tensor(0.0217),tensor(0.1075),tensor(0.2128),tensor(0.0719),tensor(0.1075),tensor(0.2128),tensor(0.0719)
41,tensor(0.3404),tensor(0.6857),tensor(0.2264),tensor(0.2734),tensor(0.5588),tensor(0.1810),tensor(0.2979),tensor(0.6000),tensor(0.1981),tensor(0.2979),tensor(0.6000),tensor(0.1981)
42,tensor(0.1626),tensor(0.4167),tensor(0.1010),tensor(0.0165),tensor(0.0435),tensor(0.0102),tensor(0.0976),tensor(0.2500),tensor(0.0606),tensor(0.0976),tensor(0.2500),tensor(0.0606)
43,tensor(0.1887),tensor(0.6897),tensor(0.1093),tensor(0.1333),tensor(0.5000),tensor(0.0769),tensor(0.1604),tensor(0.5862),tensor(0.0929),tensor(0.1604),tensor(0.5862),tensor(0.0929)
