,Gpt-2
0,opposition parties led by ranariddh and former finance minister sam ram rainsy have refused to enter into a coalition with hun sen until their allegations of election fraud have been thoroughly investigated it could also hasten cambodias entry into the association of southeast asian nations put on hold last year after hun sen deposed ranariddh as co-prime minister in a bloody coup sam rainsy a virulent critic of hun sen and his partys 14 other members of parliament have remained outside cambodia since september amid fears for their security he said it contained indirect language and loopholes that suggest he and his sam rainsy party members are still under threat of arrest from hun sens ruling party the prince also said that his top general nhek bunchhay would not be given back his previous position as the second-ranking general in the cambodian militarys general staff
1,la ceiba officials appealed for pure water for those in shelters and some residents set out plastic buckets to collect rainwater more than 20 000 tourists had abandoned cancun and nearby resort areas leaving hotels at about 20 percent of capacity guatemala reported 100 storm-related deaths six people died in southern mexico and seven in costa rica the estimated number of homeless dropped from 580 000 to 569 000 thursday
2,the arrest warrant however referred only to questioning about allegations that he killed spaniards in chile between 1973 and 1983 the appeals argue that crimes committed during pinochets 1973-1990 dictatorship are none of spains business and should be left to the chilean or international courts the reporter said he talked briefly to pinochets wife lucia hiriart and daughter veronica they also maintained that as a former head of state the general had diplomatic immunity for actions taken while in office his lawyer clive nicholls said that if a bid to extradite the general succeeded by the same token queen elizabeth ii could be extradited to argentina to face trial for the death of argentine soldiers in the falklands war in 1982
3,the taliban have refused to turn over bin laden to the united states but they say if there is evidence they will try him under islamic law but intelligence agents previously obtained evidence that the manager of the shifa plant made frequent trips to iraq where he visited the head of the chemical weapons program the criticism is also based on the suspicion that the united states has poor data on sudan as the cia station there has been closed since 1995 and the entire u s embassy since 1996 officials say u s intelligence has received reports that idris launders money for international islamic groups and that he also has a stake in a company in sudan that is 40 percent owned by the military industrial corporation a government entity that the united states says controls sudanese chemical weapons development bin laden a saudi exile is thought to be living in afghanistan
4,if the players win the owners will be liable for about dlrs 800 million in guaranteed salaries although they have vowed to appeal if they lose if the players win the owners will be liable for about dlrs 800 million in guaranteed salaries although they have vowed to appeal if they lose the main sticking point has been the owners insistence on a salary cap without exceptions the implementation of which they believe would bring player salaries in line with revenue growth but neither the players nor the owners are counting on the ruling by the arbitrator john feerick to speed up negotiations especially if feerick finds in favor of the players an award that could approach 800 million in salaries last year more players than ever before received the union minimum then 242 000 for rookies or 272 000 for veterans
5,the rebels have targeted kindu since late august when they were forced to retreat from the outskirts of the capital kinshasa after troops from angola and zimbabwe came to kabilas aid rebel commanders say their 2 000 fighters face an estimated 5 000 government troops apparently reinforced by sudanese soldiers the rebels say they now control one-third of kindu and are poised to overrun the rest of the town on saturday the rebels shot down a congolese boeing 727 over the kindu airport rebels who began their insurgency more than two months ago accuse president laurent kabila of corruption failing to carry out promised democratic reforms and stirring up hatred among congos 400 tribes
6,the two had differed over economic policy and anwar has said mahathir feared he was a threat to his 17-year rule clinton is scheduled to go to malaysia for the meeting of the asia-pacific economic cooperation forum the trial will be interrupted during the nov 12-18 apec meetings but mahathirs treatment of anwar and his reform movement already have been criticized by apec members such as australia indonesia the philippines and the united states so far indonesian officials have said they would stick to the recovery plan devised by the international monetary fund which stresses economic austerity and open markets the governments rescue of renong a major conglomerate with close ties to mahathir is going ahead though some analysts predict the government will eventually scrap the much-criticized plan
7,netanyahu told a crowd of political supporters in jerusalem by 2000 there will be homes at har homa palestinian security sources and the families of the dead bombers had already identified them as islamic jihad activists netanyahu told a crowd of political supporters in jerusalem by 2000 there will be homes at har homa the palestinians said they could ban activity by hamas or islamic jihad that endangered either israelis or palestinians but could not outlaw them outright as political movements a palestinian security official said several islamic holy war members were arrested in the west bank on friday night
8,shortly after anwars arrest one of the former leaders aides bragged that they had set up dozens of sites offshore beyond the reach of the malaysian government last week philippine president joseph estrada said he was considering not going to the asia-pacific economic cooperation forum because of anwar ibrahims arrest the two had differed over economic policy and anwar has said mahathir feared he was a threat to his 17-year rule clinton is scheduled to go to malaysia for the meeting of the asia-pacific economic cooperation forum at least two asean leaders philippine president joseph estrada and indonesian president b j habibie have spoken out against anwars treatment
9,on sunday milosevic met with russian foreign minister igor ivanov and defense minister igor sergeyev serbian president milan milutinovic and yugoslavias top defense officials but nato secretary-general javier solana told reporters that the alliance believed yugoslavia had not yet met the conditions demanded by the u n security council before boarding a plane for the yugoslav capital belgrade however holbrooke said conditions in the southern serbian province had not improved since the alliance started two weeks ago to finalize plans for air raids to force milosevic to halt his offensive against kosovo albanian separatists this weekend foreign diplomatic observers in kosovo reported that a military stand-down had taken place in the province where milosevics forces have waged a fierce offensive against albanian rebels clinton administration officials said at the time that they were concerned that nato intervention would bolster the separatist forces
10,it blamed the deaths on stress caused by the long shipment by truck to the north a survey carried out in september and october also showed that 16 percent of children in north korea are acutely malnourished with a body weight too low for their height it sent only 18 athletes and officials to the winter olympics in nagano japan in february nicholas eberstadt an american specialist on north korean population figures says that there simply is not enough hard information for him to estimate the death toll from the famine he said that even in hospitals sanitation and water purification systems were virtually nonexistent because the country lacks chlorine for purification and fuel to run water pumps
11,liquidity problems at bangkok land the company that owns the housing estate threatened to prevent the company from finishing the complex in time for the dec 6-20 games saudi sports authorities said the games conflicted with national centenary celebrations and the muslim holy month of ramadan thai newspapers reported saturday that attempts to convince saudi arabia to participate in the upcoming 13th asian games have failed the pakistanis say all their athletes and officials for the games opening sunday have been told not to even think of the wonder drug and night life ideas in all 377 gold medals are at stake in 36 sports including asian specialities such as kabaddi and sepak takraw
12,groups of dissidents in cities across china have attempted to register the group as required by law but authorities have rejected those applications under chinas vague state security law such links may also be punishable by up to life in prison in fact the by-laws of the china democratic party are fairly tame they carefully acknowledge the central role of the communist party but also support free speech and free elections for public officials monday wangs wife hu jiangxia was handed the bill of prosecution according to the information center of human rights and democratic movement in hong kong last week the chinese government arrested 10 members and sympathizers of the china democracy party one of whom wang youcai is to go on trial dec 17
13,they showed that the republicans are no longer identified with issues that were once their electoral bread and butter such as low taxes and law and order some republicans said privately that there should be no hearings at all in the clinton matter and some democrats began talking about a deal the equivalent of a plea bargain that would bring the matter to an early close in the past no more than a couple of dozen members have openly expressed their dissatisfaction with him and a coup attempt last year fizzled for lack of support but mann and others said that anger has been building at gingrich for several reasons including his signing on to a budget deal last month that seemed to capitulate to president clinton not offering a clear legislative agenda for republicans and not communicating a clear political message he said that because of the deep rifts in the party gingrich would not have been able to implement his plans
14,executives representing netscape aol and sun microsystems are government witnesses at the microsoft trial an estimated 25 percent of american households had access to the internet last year and 5 percent of households bought merchandise on line as is the case with any software company netscapes key asset is its talented programmers and many of these code hackers may be reluctant to work for america online which still has a reputation as a middle-brow service catering to online newcomers known derisively as newbies nor have internet service providers and other telecommunications-oriented companies shown much evidence ms gere of international data said that they are capable of offering the highly specific customized services that big corporate clients demand nor have internet service providers and other telecommunications-oriented companies shown much evidence ms gere of international data said that they are capable of offering the highly specific customized services that big corporate clients demand
15,or he may simply be trying to keep his distance from maslyukovs plan while russia tries to wrangle its next disbursement 4 3 billion from the international monetary fund historically experts in politics and security have gravitated to the united nations development experts to the world bank and economists to the imf creating dangerous gaps in a crisis like this one in recent months he noted the imf has allowed more spending to sustain subsidies for basic goods for longer periods in indonesia korea and elsewhere now inside the imf and on capitol hill there are recriminations over who lost russia the americans say the answer is more disclosure so that investors are better warned and tougher regulation
16,but egyptian foreign minister amr moussa who accompanied him on the trip said before their departure that mubarak backs dialogue for solving disputes and not military power and threats al-sharaa said he hoped mubaraks trip to turkey would achieve results editorials in the arab world called on both sides to show restraint al-sharaa said he hoped mubaraks trip to turkey this week would be fruitful the lebanese press also accused israel of inflaming the tensions
17,a total of 37 yachts have been forced to retire from the 630-nautical-mile race many having been dismasted or suffering injuries to crew a total of 37 yachts have been forced to retire from the 630-nautical-mile race many having been dismasted or suffering injuries to crew although the two were forced to reduce sail and cut speed they were still well inside the race record for the 630-nautical-mile race of 2 days 14 hours seven minutes and 10 seconds set by german maxi morning glory in 1996 a total of 37 yachts have been forced to retire from the 630-nautical-mile race many having been dismasted or suffering injuries to crew although the two were forced to reduce sail and cut speed they were still well inside the race record for the 630-nautical-mile race of 2 days 14 hours seven minutes and 10 seconds set by german maxi morning glory in 1996 the yacht which has a crew of 11 was halfway across bass strait when it overturned
18,in all three spacewalks were planned for endeavours 12-day flight it was the first time that the russian-built zarya control module and the made-in-america unity chamber had ever touched it was the first time that the russian-built zarya control module and the made-in-america unity chamber had ever touched it was the first time that the russian-built zarya control module and the made-in-america unity chamber had ever touched it was the first time that the russian-built zarya control module and the made-in-america unity chamber had ever touched
19,chinese officials have said the government may convert a proportion of its dlrs 145 billion worth of foreign exchange reserves into the euro after the currencys jan 1 debut they do not share their parents memories of world war ii or their parents sense of national identity like hundreds of thousands of other europeans he chose london and its busy financial markets as the best place to work there are 15 countries within what is now the european union but only a small percentage of their citizens have moved to other countries according to estimates prepared by eurostat these europeans form an advance guard that is still relatively small in numbers but experts say they carry a disproportionate influence on their societies
