,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luh lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
rouge1_fmeasure,tensor(1.),tensor(0.2679),tensor(0.2514),tensor(0.2527),tensor(0.2147),tensor(0.2875),tensor(0.2899),tensor(0.2523),tensor(0.2548),tensor(0.2553),tensor(0.2704),tensor(0.2481),tensor(0.2540),tensor(0.2760),tensor(0.2190),tensor(0.2738),tensor(0.2912),tensor(0.2541),tensor(0.2518),tensor(0.2658),tensor(0.2539),tensor(0.2708),tensor(0.2703),tensor(0.2505),tensor(0.2786),tensor(0.2767),tensor(0.2687),tensor(0.2784),tensor(0.2703),tensor(0.2660),tensor(0.2677),tensor(0.2557)
rouge1_precision,tensor(1.),tensor(0.2041),tensor(0.1896),tensor(0.1864),tensor(0.2318),tensor(0.2341),tensor(0.2342),tensor(0.1861),tensor(0.2115),tensor(0.1930),tensor(0.2068),tensor(0.2046),tensor(0.1873),tensor(0.2079),tensor(0.2323),tensor(0.2455),tensor(0.2353),tensor(0.1914),tensor(0.1858),tensor(0.1998),tensor(0.2099),tensor(0.2164),tensor(0.2067),tensor(0.2041),tensor(0.2202),tensor(0.2084),tensor(0.2383),tensor(0.2200),tensor(0.2152),tensor(0.2000),tensor(0.2040),tensor(0.1926)
rouge1_recall,tensor(1.),tensor(0.4573),tensor(0.4383),tensor(0.4618),tensor(0.2317),tensor(0.4347),tensor(0.4463),tensor(0.4594),tensor(0.3818),tensor(0.4428),tensor(0.4555),tensor(0.3860),tensor(0.4637),tensor(0.4833),tensor(0.2401),tensor(0.3562),tensor(0.4473),tensor(0.4465),tensor(0.4586),tensor(0.4670),tensor(0.3860),tensor(0.4252),tensor(0.4556),tensor(0.3959),tensor(0.4450),tensor(0.4841),tensor(0.3584),tensor(0.4454),tensor(0.4268),tensor(0.4675),tensor(0.4568),tensor(0.4498)
rouge2_fmeasure,tensor(1.),tensor(0.0579),tensor(0.0529),tensor(0.0496),tensor(0.0402),tensor(0.0544),tensor(0.0631),tensor(0.0545),tensor(0.0488),tensor(0.0543),tensor(0.0591),tensor(0.0467),tensor(0.0506),tensor(0.0600),tensor(0.0411),tensor(0.0540),tensor(0.0636),tensor(0.0516),tensor(0.0540),tensor(0.0580),tensor(0.0498),tensor(0.0568),tensor(0.0591),tensor(0.0484),tensor(0.0608),tensor(0.0600),tensor(0.0514),tensor(0.0611),tensor(0.0559),tensor(0.0581),tensor(0.0578),tensor(0.0517)
rouge2_precision,tensor(1.),tensor(0.0432),tensor(0.0393),tensor(0.0361),tensor(0.0451),tensor(0.0438),tensor(0.0493),tensor(0.0395),tensor(0.0413),tensor(0.0405),tensor(0.0440),tensor(0.0393),tensor(0.0369),tensor(0.0437),tensor(0.0448),tensor(0.0487),tensor(0.0496),tensor(0.0382),tensor(0.0391),tensor(0.0425),tensor(0.0420),tensor(0.0446),tensor(0.0440),tensor(0.0401),tensor(0.0478),tensor(0.0436),tensor(0.0458),tensor(0.0480),tensor(0.0437),tensor(0.0425),tensor(0.0432),tensor(0.0383)
rouge2_recall,tensor(1.),tensor(0.1043),tensor(0.0960),tensor(0.0945),tensor(0.0426),tensor(0.0848),tensor(0.1036),tensor(0.1036),tensor(0.0740),tensor(0.0976),tensor(0.1054),tensor(0.0728),tensor(0.0959),tensor(0.1140),tensor(0.0449),tensor(0.0705),tensor(0.1040),tensor(0.0949),tensor(0.1029),tensor(0.1090),tensor(0.0766),tensor(0.0928),tensor(0.1052),tensor(0.0763),tensor(0.0981),tensor(0.1141),tensor(0.0692),tensor(0.0987),tensor(0.0925),tensor(0.1092),tensor(0.1041),tensor(0.0952)
rougeL_fmeasure,tensor(1.),tensor(0.1406),tensor(0.1369),tensor(0.1280),tensor(0.1359),tensor(0.1476),tensor(0.1509),tensor(0.1335),tensor(0.1457),tensor(0.1373),tensor(0.1446),tensor(0.1346),tensor(0.1282),tensor(0.1428),tensor(0.1342),tensor(0.1527),tensor(0.1509),tensor(0.1369),tensor(0.1331),tensor(0.1398),tensor(0.1454),tensor(0.1473),tensor(0.1442),tensor(0.1366),tensor(0.1463),tensor(0.1441),tensor(0.1504),tensor(0.1468),tensor(0.1455),tensor(0.1396),tensor(0.1411),tensor(0.1377)
rougeL_precision,tensor(1.),tensor(0.1068),tensor(0.1034),tensor(0.0939),tensor(0.1495),tensor(0.1208),tensor(0.1207),tensor(0.0987),tensor(0.1219),tensor(0.1039),tensor(0.1102),tensor(0.1121),tensor(0.0941),tensor(0.1069),tensor(0.1452),tensor(0.1387),tensor(0.1206),tensor(0.1033),tensor(0.0983),tensor(0.1044),tensor(0.1213),tensor(0.1176),tensor(0.1100),tensor(0.1122),tensor(0.1153),tensor(0.1079),tensor(0.1349),tensor(0.1155),tensor(0.1160),tensor(0.1043),tensor(0.1074),tensor(0.1038)
rougeL_recall,tensor(1.),tensor(0.2429),tensor(0.2383),tensor(0.2383),tensor(0.1457),tensor(0.2231),tensor(0.2358),tensor(0.2430),tensor(0.2182),tensor(0.2382),tensor(0.2464),tensor(0.2083),tensor(0.2381),tensor(0.2543),tensor(0.1464),tensor(0.1981),tensor(0.2361),tensor(0.2405),tensor(0.2436),tensor(0.2500),tensor(0.2201),tensor(0.2322),tensor(0.2452),tensor(0.2148),tensor(0.2360),tensor(0.2566),tensor(0.2006),tensor(0.2374),tensor(0.2301),tensor(0.2500),tensor(0.2429),tensor(0.2426)
rougeLsum_fmeasure,tensor(1.),tensor(0.2273),tensor(0.2122),tensor(0.2081),tensor(0.1951),tensor(0.2424),tensor(0.2467),tensor(0.2128),tensor(0.2233),tensor(0.2135),tensor(0.2262),tensor(0.2142),tensor(0.2085),tensor(0.2321),tensor(0.1969),tensor(0.2369),tensor(0.2468),tensor(0.2172),tensor(0.2114),tensor(0.2250),tensor(0.2222),tensor(0.2327),tensor(0.2272),tensor(0.2170),tensor(0.2352),tensor(0.2333),tensor(0.2338),tensor(0.2350),tensor(0.2310),tensor(0.2252),tensor(0.2270),tensor(0.2186)
