Original Article,Original Summary,ensemble,tm,luhn,lsa,tr,lex,tm luhn,tm lsa,tm tr,tm lex,luhn lsa,luhn tr,luhn lex,lsa tr,lsa lex,tr lex,tm luhn lsa,tm luhn tr,tm luhn lex,tm lsa tr,tm lsa lex,tm tr lex,luhn lsa tr,luhn lsa lex,luhn tr lex,lsa tr lex,luhn lsa tr lex,tm lsa tr lex,tm luhn tr lex,tm luhn lsa lex,tm luhn lsa tr
tensor(0.0359),tensor(1.),tensor(0.2627),tensor(0.2515),tensor(0.2438),tensor(0.2391),tensor(0.2828),tensor(0.2956),tensor(0.2452),tensor(0.2590),tensor(0.2510),tensor(0.2714),tensor(0.2490),tensor(0.2432),tensor(0.2702),tensor(0.2418),tensor(0.2786),tensor(0.2940),tensor(0.2466),tensor(0.2454),tensor(0.2637),tensor(0.2605),tensor(0.2723),tensor(0.2717),tensor(0.2514),tensor(0.2718),tensor(0.2701),tensor(0.2793),tensor(0.2712),tensor(0.2717),tensor(0.2645),tensor(0.2626),tensor(0.2471)
tensor(0.0184),tensor(1.),tensor(0.1794),tensor(0.1709),tensor(0.1619),tensor(0.2111),tensor(0.2026),tensor(0.2126),tensor(0.1634),tensor(0.1888),tensor(0.1706),tensor(0.1870),tensor(0.1783),tensor(0.1615),tensor(0.1832),tensor(0.2099),tensor(0.2197),tensor(0.2106),tensor(0.1668),tensor(0.1634),tensor(0.1780),tensor(0.1881),tensor(0.1925),tensor(0.1874),tensor(0.1789),tensor(0.1912),tensor(0.1832),tensor(0.2169),tensor(0.1898),tensor(0.1919),tensor(0.1787),tensor(0.1793),tensor(0.1671)
tensor(0.8958),tensor(1.),tensor(0.5021),tensor(0.4858),tensor(0.5037),tensor(0.2907),tensor(0.4787),tensor(0.4985),tensor(0.5014),tensor(0.4297),tensor(0.4851),tensor(0.5047),tensor(0.4291),tensor(0.5024),tensor(0.5258),tensor(0.3017),tensor(0.4013),tensor(0.5000),tensor(0.4859),tensor(0.5026),tensor(0.5183),tensor(0.4408),tensor(0.4779),tensor(0.5051),tensor(0.4402),tensor(0.4858),tensor(0.5248),tensor(0.4110),tensor(0.4888),tensor(0.4779),tensor(0.5193),tensor(0.5021),tensor(0.4868)
tensor(0.0180),tensor(1.),tensor(0.0639),tensor(0.0592),tensor(0.0515),tensor(0.0468),tensor(0.0563),tensor(0.0720),tensor(0.0562),tensor(0.0554),tensor(0.0598),tensor(0.0645),tensor(0.0486),tensor(0.0517),tensor(0.0656),tensor(0.0456),tensor(0.0579),tensor(0.0719),tensor(0.0554),tensor(0.0565),tensor(0.0644),tensor(0.0561),tensor(0.0636),tensor(0.0658),tensor(0.0493),tensor(0.0652),tensor(0.0647),tensor(0.0592),tensor(0.0647),tensor(0.0637),tensor(0.0645),tensor(0.0641),tensor(0.0561)
tensor(0.0092),tensor(1.),tensor(0.0435),tensor(0.0401),tensor(0.0341),tensor(0.0407),tensor(0.0403),tensor(0.0514),tensor(0.0374),tensor(0.0401),tensor(0.0405),tensor(0.0443),tensor(0.0347),tensor(0.0343),tensor(0.0443),tensor(0.0391),tensor(0.0449),tensor(0.0511),tensor(0.0375),tensor(0.0375),tensor(0.0433),tensor(0.0404),tensor(0.0447),tensor(0.0453),tensor(0.0350),tensor(0.0456),tensor(0.0437),tensor(0.0454),tensor(0.0451),tensor(0.0448),tensor(0.0434),tensor(0.0436),tensor(0.0379)
tensor(0.4555),tensor(1.),tensor(0.1227),tensor(0.1154),tensor(0.1070),tensor(0.0580),tensor(0.0954),tensor(0.1231),tensor(0.1155),tensor(0.0926),tensor(0.1163),tensor(0.1210),tensor(0.0841),tensor(0.1075),tensor(0.1286),tensor(0.0579),tensor(0.0863),tensor(0.1243),tensor(0.1089),tensor(0.1163),tensor(0.1278),tensor(0.0953),tensor(0.1125),tensor(0.1233),tensor(0.0863),tensor(0.1180),tensor(0.1268),tensor(0.0896),tensor(0.1176),tensor(0.1129),tensor(0.1280),tensor(0.1231),tensor(0.1102)
tensor(0.0263),tensor(1.),tensor(0.1399),tensor(0.1325),tensor(0.1211),tensor(0.1470),tensor(0.1428),tensor(0.1532),tensor(0.1285),tensor(0.1469),tensor(0.1321),tensor(0.1438),tensor(0.1378),tensor(0.1214),tensor(0.1405),tensor(0.1448),tensor(0.1532),tensor(0.1523),tensor(0.1345),tensor(0.1281),tensor(0.1368),tensor(0.1464),tensor(0.1468),tensor(0.1440),tensor(0.1386),tensor(0.1471),tensor(0.1409),tensor(0.1529),tensor(0.1470),tensor(0.1465),tensor(0.1356),tensor(0.1399),tensor(0.1352)
tensor(0.0135),tensor(1.),tensor(0.0955),tensor(0.0901),tensor(0.0802),tensor(0.1307),tensor(0.1021),tensor(0.1101),tensor(0.0856),tensor(0.1070),tensor(0.0899),tensor(0.0991),tensor(0.0987),tensor(0.0805),tensor(0.0951),tensor(0.1268),tensor(0.1207),tensor(0.1090),tensor(0.0909),tensor(0.0853),tensor(0.0923),tensor(0.1057),tensor(0.1037),tensor(0.0992),tensor(0.0986),tensor(0.1032),tensor(0.0954),tensor(0.1188),tensor(0.1027),tensor(0.1034),tensor(0.0914),tensor(0.0955),tensor(0.0913)
tensor(0.6640),tensor(1.),tensor(0.2675),tensor(0.2553),tensor(0.2514),tensor(0.1776),tensor(0.2427),tensor(0.2592),tensor(0.2626),tensor(0.2439),tensor(0.2546),tensor(0.2677),tensor(0.2371),tensor(0.2522),tensor(0.2748),tensor(0.1791),tensor(0.2210),tensor(0.2598),tensor(0.2655),tensor(0.2621),tensor(0.2695),tensor(0.2477),tensor(0.2578),tensor(0.2679),tensor(0.2428),tensor(0.2642),tensor(0.2749),tensor(0.2245),tensor(0.2654),tensor(0.2577),tensor(0.2672),tensor(0.2674),tensor(0.2668)
tensor(0.0350),tensor(1.),tensor(0.2241),tensor(0.2114),tensor(0.2030),tensor(0.2091),tensor(0.2365),tensor(0.2467),tensor(0.2061),tensor(0.2248),tensor(0.2117),tensor(0.2270),tensor(0.2139),tensor(0.2029),tensor(0.2294),tensor(0.2106),tensor(0.2391),tensor(0.2461),tensor(0.2082),tensor(0.2067),tensor(0.2218),tensor(0.2236),tensor(0.2330),tensor(0.2266),tensor(0.2156),tensor(0.2313),tensor(0.2295),tensor(0.2379),tensor(0.2313),tensor(0.2318),tensor(0.2222),tensor(0.2239),tensor(0.2103)
tensor(0.0179),tensor(1.),tensor(0.1531),tensor(0.1438),tensor(0.1347),tensor(0.1853),tensor(0.1693),tensor(0.1776),tensor(0.1373),tensor(0.1639),tensor(0.1440),tensor(0.1565),tensor(0.1533),tensor(0.1347),tensor(0.1555),tensor(0.1834),tensor(0.1883),tensor(0.1763),tensor(0.1408),tensor(0.1377),tensor(0.1498),tensor(0.1615),tensor(0.1648),tensor(0.1563),tensor(0.1536),tensor(0.1627),tensor(0.1557),tensor(0.1846),tensor(0.1620),tensor(0.1638),tensor(0.1501),tensor(0.1529),tensor(0.1422)
tensor(0.8747),tensor(1.),tensor(0.4279),tensor(0.4074),tensor(0.4202),tensor(0.2531),tensor(0.4008),tensor(0.4156),tensor(0.4217),tensor(0.3724),tensor(0.4083),tensor(0.4218),tensor(0.3685),tensor(0.4199),tensor(0.4461),tensor(0.2618),tensor(0.3446),tensor(0.4186),tensor(0.4106),tensor(0.4231),tensor(0.4357),tensor(0.3786),tensor(0.4084),tensor(0.4208),tensor(0.3772),tensor(0.4138),tensor(0.4457),tensor(0.3506),tensor(0.4171),tensor(0.4073),tensor(0.4363),tensor(0.4278),tensor(0.4143)
