,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0361),tensor(0.3812),tensor(0.2658),tensor(0.3065),tensor(0.2655),tensor(0.2058),tensor(0.3065),tensor(0.2577),tensor(0.2848),tensor(0.2631),tensor(0.2747),tensor(0.2675),tensor(0.2590),tensor(0.2880),tensor(0.3047),tensor(0.3063),tensor(0.3080),tensor(0.2660),tensor(0.2657),tensor(0.2628),tensor(0.2162),tensor(0.2351),tensor(0.2813),tensor(0.2775),tensor(0.2906),tensor(0.2848),tensor(0.2850),tensor(0.2679),tensor(0.2628),tensor(0.2590),tensor(0.2749),tensor(0.2654),tensor(0.2588),tensor(0.2916),tensor(0.2881),tensor(0.2872),tensor(0.3040),tensor(0.3010),tensor(0.3092),tensor(0.2671),tensor(0.2611),tensor(0.2620),tensor(0.2391),tensor(0.2820),tensor(0.2778),tensor(0.2742),tensor(0.2900),tensor(0.2905),tensor(0.2858),tensor(0.2662),tensor(0.2632),tensor(0.2593),tensor(0.2687),tensor(0.2924),tensor(0.2926),tensor(0.2880),tensor(0.2995),tensor(0.2630),tensor(0.2830),tensor(0.2769),tensor(0.2747),tensor(0.2894),tensor(0.2628),tensor(0.2925),tensor(0.2768)
rouge1_precision,tensor(0.0185),tensor(0.3814),tensor(0.1978),tensor(0.2440),tensor(0.1910),tensor(0.2217),tensor(0.2457),tensor(0.1890),tensor(0.2137),tensor(0.1904),tensor(0.2072),tensor(0.1991),tensor(0.1926),tensor(0.2117),tensor(0.2538),tensor(0.2435),tensor(0.2425),tensor(0.1940),tensor(0.1913),tensor(0.1898),tensor(0.2268),tensor(0.2303),tensor(0.2073),tensor(0.2041),tensor(0.2218),tensor(0.2137),tensor(0.2139),tensor(0.1945),tensor(0.1901),tensor(0.1874),tensor(0.2074),tensor(0.1996),tensor(0.1922),tensor(0.2169),tensor(0.2119),tensor(0.2115),tensor(0.2526),tensor(0.2457),tensor(0.2439),tensor(0.1948),tensor(0.1908),tensor(0.1891),tensor(0.2236),tensor(0.2080),tensor(0.2046),tensor(0.2017),tensor(0.2211),tensor(0.2208),tensor(0.2144),tensor(0.1931),tensor(0.1911),tensor(0.1875),tensor(0.2020),tensor(0.2177),tensor(0.2176),tensor(0.2123),tensor(0.2433),tensor(0.1919),tensor(0.2089),tensor(0.2040),tensor(0.2020),tensor(0.2197),tensor(0.1903),tensor(0.2175),tensor(0.2039)
rouge1_recall,tensor(0.9003),tensor(0.3819),tensor(0.4142),tensor(0.4231),tensor(0.4445),tensor(0.2087),tensor(0.4153),tensor(0.4132),tensor(0.4346),tensor(0.4341),tensor(0.4177),tensor(0.4163),tensor(0.4036),tensor(0.4597),tensor(0.3938),tensor(0.4224),tensor(0.4314),tensor(0.4342),tensor(0.4435),tensor(0.4354),tensor(0.2233),tensor(0.2549),tensor(0.4469),tensor(0.4423),tensor(0.4292),tensor(0.4346),tensor(0.4345),tensor(0.4396),tensor(0.4341),tensor(0.4273),tensor(0.4185),tensor(0.4050),tensor(0.4042),tensor(0.4561),tensor(0.4593),tensor(0.4556),tensor(0.3939),tensor(0.4016),tensor(0.4316),tensor(0.4356),tensor(0.4250),tensor(0.4351),tensor(0.2691),tensor(0.4470),tensor(0.4421),tensor(0.4361),tensor(0.4294),tensor(0.4318),tensor(0.4358),tensor(0.4379),tensor(0.4325),tensor(0.4278),tensor(0.4105),tensor(0.4566),tensor(0.4569),tensor(0.4560),tensor(0.4020),tensor(0.4286),tensor(0.4479),tensor(0.4397),tensor(0.4373),tensor(0.4318),tensor(0.4337),tensor(0.4569),tensor(0.4395)
rouge2_fmeasure,tensor(0.0178),tensor(0.0961),tensor(0.0511),tensor(0.0635),tensor(0.0535),tensor(0.0314),tensor(0.0549),tensor(0.0473),tensor(0.0591),tensor(0.0512),tensor(0.0556),tensor(0.0521),tensor(0.0459),tensor(0.0627),tensor(0.0653),tensor(0.0634),tensor(0.0683),tensor(0.0511),tensor(0.0535),tensor(0.0503),tensor(0.0336),tensor(0.0368),tensor(0.0534),tensor(0.0573),tensor(0.0603),tensor(0.0591),tensor(0.0596),tensor(0.0542),tensor(0.0516),tensor(0.0485),tensor(0.0554),tensor(0.0493),tensor(0.0466),tensor(0.0634),tensor(0.0629),tensor(0.0625),tensor(0.0652),tensor(0.0642),tensor(0.0685),tensor(0.0521),tensor(0.0474),tensor(0.0507),tensor(0.0375),tensor(0.0599),tensor(0.0573),tensor(0.0558),tensor(0.0600),tensor(0.0607),tensor(0.0596),tensor(0.0530),tensor(0.0495),tensor(0.0481),tensor(0.0497),tensor(0.0637),tensor(0.0644),tensor(0.0629),tensor(0.0636),tensor(0.0484),tensor(0.0601),tensor(0.0570),tensor(0.0559),tensor(0.0601),tensor(0.0485),tensor(0.0647),tensor(0.0570)
rouge2_precision,tensor(0.0091),tensor(0.0961),tensor(0.0381),tensor(0.0506),tensor(0.0386),tensor(0.0318),tensor(0.0438),tensor(0.0346),tensor(0.0445),tensor(0.0372),tensor(0.0420),tensor(0.0388),tensor(0.0341),tensor(0.0462),tensor(0.0541),tensor(0.0504),tensor(0.0537),tensor(0.0375),tensor(0.0386),tensor(0.0363),tensor(0.0334),tensor(0.0352),tensor(0.0394),tensor(0.0422),tensor(0.0462),tensor(0.0445),tensor(0.0448),tensor(0.0396),tensor(0.0375),tensor(0.0351),tensor(0.0419),tensor(0.0371),tensor(0.0346),tensor(0.0474),tensor(0.0463),tensor(0.0461),tensor(0.0540),tensor(0.0520),tensor(0.0540),tensor(0.0383),tensor(0.0348),tensor(0.0366),tensor(0.0350),tensor(0.0443),tensor(0.0423),tensor(0.0412),tensor(0.0459),tensor(0.0463),tensor(0.0448),tensor(0.0387),tensor(0.0360),tensor(0.0348),tensor(0.0374),tensor(0.0476),tensor(0.0481),tensor(0.0465),tensor(0.0513),tensor(0.0354),tensor(0.0444),tensor(0.0420),tensor(0.0412),tensor(0.0458),tensor(0.0351),tensor(0.0483),tensor(0.0420)
rouge2_recall,tensor(0.4473),tensor(0.0962),tensor(0.0795),tensor(0.0875),tensor(0.0892),tensor(0.0327),tensor(0.0747),tensor(0.0761),tensor(0.0898),tensor(0.0838),tensor(0.0842),tensor(0.0811),tensor(0.0720),tensor(0.0996),tensor(0.0849),tensor(0.0872),tensor(0.0956),tensor(0.0823),tensor(0.0887),tensor(0.0834),tensor(0.0356),tensor(0.0409),tensor(0.0849),tensor(0.0907),tensor(0.0882),tensor(0.0898),tensor(0.0903),tensor(0.0878),tensor(0.0846),tensor(0.0798),tensor(0.0838),tensor(0.0752),tensor(0.0732),tensor(0.0982),tensor(0.0998),tensor(0.0986),tensor(0.0847),tensor(0.0861),tensor(0.0955),tensor(0.0838),tensor(0.0765),tensor(0.0843),tensor(0.0426),tensor(0.0945),tensor(0.0905),tensor(0.0883),tensor(0.0880),tensor(0.0894),tensor(0.0903),tensor(0.0863),tensor(0.0811),tensor(0.0792),tensor(0.0758),tensor(0.0986),tensor(0.0998),tensor(0.0989),tensor(0.0859),tensor(0.0783),tensor(0.0947),tensor(0.0903),tensor(0.0885),tensor(0.0890),tensor(0.0800),tensor(0.1002),tensor(0.0903)
rougeL_fmeasure,tensor(0.0263),tensor(0.2060),tensor(0.1425),tensor(0.1588),tensor(0.1340),tensor(0.1318),tensor(0.1484),tensor(0.1332),tensor(0.1491),tensor(0.1378),tensor(0.1456),tensor(0.1438),tensor(0.1383),tensor(0.1511),tensor(0.1610),tensor(0.1586),tensor(0.1597),tensor(0.1367),tensor(0.1341),tensor(0.1352),tensor(0.1363),tensor(0.1422),tensor(0.1414),tensor(0.1451),tensor(0.1533),tensor(0.1498),tensor(0.1479),tensor(0.1410),tensor(0.1377),tensor(0.1337),tensor(0.1448),tensor(0.1424),tensor(0.1389),tensor(0.1513),tensor(0.1513),tensor(0.1493),tensor(0.1599),tensor(0.1605),tensor(0.1597),tensor(0.1362),tensor(0.1338),tensor(0.1343),tensor(0.1455),tensor(0.1467),tensor(0.1449),tensor(0.1434),tensor(0.1531),tensor(0.1534),tensor(0.1491),tensor(0.1386),tensor(0.1377),tensor(0.1336),tensor(0.1425),tensor(0.1520),tensor(0.1500),tensor(0.1505),tensor(0.1609),tensor(0.1336),tensor(0.1468),tensor(0.1439),tensor(0.1431),tensor(0.1532),tensor(0.1374),tensor(0.1497),tensor(0.1442)
rougeL_precision,tensor(0.0135),tensor(0.2060),tensor(0.1062),tensor(0.1269),tensor(0.0963),tensor(0.1455),tensor(0.1189),tensor(0.0976),tensor(0.1121),tensor(0.0998),tensor(0.1100),tensor(0.1071),tensor(0.1029),tensor(0.1110),tensor(0.1345),tensor(0.1264),tensor(0.1258),tensor(0.0997),tensor(0.0965),tensor(0.0976),tensor(0.1456),tensor(0.1411),tensor(0.1040),tensor(0.1069),tensor(0.1172),tensor(0.1127),tensor(0.1111),tensor(0.1025),tensor(0.0996),tensor(0.0967),tensor(0.1094),tensor(0.1072),tensor(0.1033),tensor(0.1125),tensor(0.1112),tensor(0.1097),tensor(0.1332),tensor(0.1313),tensor(0.1260),tensor(0.0993),tensor(0.0978),tensor(0.0968),tensor(0.1381),tensor(0.1082),tensor(0.1069),tensor(0.1057),tensor(0.1168),tensor(0.1168),tensor(0.1121),tensor(0.1006),tensor(0.1001),tensor(0.0967),tensor(0.1072),tensor(0.1131),tensor(0.1115),tensor(0.1109),tensor(0.1312),tensor(0.0974),tensor(0.1084),tensor(0.1061),tensor(0.1054),tensor(0.1165),tensor(0.0996),tensor(0.1111),tensor(0.1063)
rougeL_recall,tensor(0.6617),tensor(0.2063),tensor(0.2218),tensor(0.2182),tensor(0.2250),tensor(0.1313),tensor(0.2012),tensor(0.2145),tensor(0.2267),tensor(0.2274),tensor(0.2210),tensor(0.2233),tensor(0.2152),tensor(0.2415),tensor(0.2070),tensor(0.2180),tensor(0.2234),tensor(0.2235),tensor(0.2246),tensor(0.2245),tensor(0.1391),tensor(0.1526),tensor(0.2260),tensor(0.2309),tensor(0.2259),tensor(0.2278),tensor(0.2250),tensor(0.2313),tensor(0.2274),tensor(0.2206),tensor(0.2200),tensor(0.2171),tensor(0.2167),tensor(0.2371),tensor(0.2415),tensor(0.2378),tensor(0.2065),tensor(0.2133),tensor(0.2229),tensor(0.2226),tensor(0.2179),tensor(0.2235),tensor(0.1617),tensor(0.2329),tensor(0.2300),tensor(0.2278),tensor(0.2263),tensor(0.2273),tensor(0.2268),tensor(0.2279),tensor(0.2259),tensor(0.2205),tensor(0.2177),tensor(0.2378),tensor(0.2349),tensor(0.2388),tensor(0.2149),tensor(0.2185),tensor(0.2327),tensor(0.2284),tensor(0.2274),tensor(0.2279),tensor(0.2265),tensor(0.2346),tensor(0.2288)
rougeLsum_fmeasure,tensor(0.0352),tensor(0.3478),tensor(0.2267),tensor(0.2582),tensor(0.2263),tensor(0.1865),tensor(0.2586),tensor(0.2180),tensor(0.2427),tensor(0.2219),tensor(0.2352),tensor(0.2275),tensor(0.2209),tensor(0.2425),tensor(0.2596),tensor(0.2592),tensor(0.2658),tensor(0.2263),tensor(0.2265),tensor(0.2232),tensor(0.1955),tensor(0.2090),tensor(0.2364),tensor(0.2355),tensor(0.2477),tensor(0.2440),tensor(0.2424),tensor(0.2286),tensor(0.2219),tensor(0.2213),tensor(0.2341),tensor(0.2300),tensor(0.2213),tensor(0.2497),tensor(0.2433),tensor(0.2438),tensor(0.2600),tensor(0.2588),tensor(0.2654),tensor(0.2265),tensor(0.2205),tensor(0.2236),tensor(0.2143),tensor(0.2412),tensor(0.2362),tensor(0.2347),tensor(0.2478),tensor(0.2474),tensor(0.2430),tensor(0.2273),tensor(0.2249),tensor(0.2213),tensor(0.2320),tensor(0.2504),tensor(0.2475),tensor(0.2443),tensor(0.2575),tensor(0.2233),tensor(0.2422),tensor(0.2357),tensor(0.2350),tensor(0.2466),tensor(0.2234),tensor(0.2485),tensor(0.2357)
