,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0356),tensor(0.3811),tensor(0.3023),tensor(0.3291),tensor(0.2654),tensor(0.2317),tensor(0.3134),tensor(0.2594),tensor(0.3142),tensor(0.2896),tensor(0.2970),tensor(0.3072),tensor(0.2986),tensor(0.3193),tensor(0.3063),tensor(0.3265),tensor(0.3316),tensor(0.2704),tensor(0.2748),tensor(0.2624),tensor(0.2532),tensor(0.2499),tensor(0.3021),tensor(0.3113),tensor(0.3126),tensor(0.3195),tensor(0.3146),tensor(0.2918),tensor(0.2877),tensor(0.2862),tensor(0.2970),tensor(0.2953),tensor(0.3049),tensor(0.3113),tensor(0.3219),tensor(0.3161),tensor(0.3109),tensor(0.3048),tensor(0.3302),tensor(0.2779),tensor(0.2708),tensor(0.2720),tensor(0.2628),tensor(0.3102),tensor(0.3134),tensor(0.3067),tensor(0.3207),tensor(0.3116),tensor(0.3200),tensor(0.2894),tensor(0.2903),tensor(0.2873),tensor(0.2976),tensor(0.3134),tensor(0.3100),tensor(0.3201),tensor(0.3123),tensor(0.2731),tensor(0.3088),tensor(0.3057),tensor(0.3104),tensor(0.3181),tensor(0.2880),tensor(0.3119),tensor(0.3068)
rouge1_precision,tensor(0.0182),tensor(0.3809),tensor(0.2409),tensor(0.2958),tensor(0.1944),tensor(0.2377),tensor(0.2506),tensor(0.1906),tensor(0.2564),tensor(0.2195),tensor(0.2389),tensor(0.2443),tensor(0.2369),tensor(0.2474),tensor(0.2838),tensor(0.2828),tensor(0.2868),tensor(0.2005),tensor(0.2011),tensor(0.1924),tensor(0.2335),tensor(0.2331),tensor(0.2340),tensor(0.2423),tensor(0.2555),tensor(0.2592),tensor(0.2554),tensor(0.2219),tensor(0.2178),tensor(0.2163),tensor(0.2394),tensor(0.2373),tensor(0.2418),tensor(0.2423),tensor(0.2493),tensor(0.2438),tensor(0.2759),tensor(0.2730),tensor(0.2822),tensor(0.2057),tensor(0.2008),tensor(0.1996),tensor(0.2322),tensor(0.2422),tensor(0.2444),tensor(0.2375),tensor(0.2612),tensor(0.2547),tensor(0.2585),tensor(0.2195),tensor(0.2210),tensor(0.2168),tensor(0.2388),tensor(0.2439),tensor(0.2410),tensor(0.2469),tensor(0.2719),tensor(0.2020),tensor(0.2414),tensor(0.2384),tensor(0.2409),tensor(0.2581),tensor(0.2190),tensor(0.2423),tensor(0.2395)
rouge1_recall,tensor(0.8936),tensor(0.3817),tensor(0.4145),tensor(0.3821),tensor(0.4278),tensor(0.2402),tensor(0.4276),tensor(0.4161),tensor(0.4139),tensor(0.4348),tensor(0.4013),tensor(0.4217),tensor(0.4126),tensor(0.4616),tensor(0.3428),tensor(0.3948),tensor(0.4008),tensor(0.4254),tensor(0.4434),tensor(0.4226),tensor(0.2863),tensor(0.2777),tensor(0.4367),tensor(0.4446),tensor(0.4100),tensor(0.4250),tensor(0.4173),tensor(0.4354),tensor(0.4333),tensor(0.4316),tensor(0.4007),tensor(0.4005),tensor(0.4213),tensor(0.4450),tensor(0.4643),tensor(0.4606),tensor(0.3651),tensor(0.3544),tensor(0.4066),tensor(0.4389),tensor(0.4265),tensor(0.4367),tensor(0.3099),tensor(0.4407),tensor(0.4462),tensor(0.4415),tensor(0.4234),tensor(0.4082),tensor(0.4276),tensor(0.4334),tensor(0.4333),tensor(0.4345),tensor(0.4039),tensor(0.4483),tensor(0.4437),tensor(0.4652),tensor(0.3753),tensor(0.4321),tensor(0.4382),tensor(0.4357),tensor(0.4450),tensor(0.4219),tensor(0.4306),tensor(0.4470),tensor(0.4359)
rouge2_fmeasure,tensor(0.0173),tensor(0.0901),tensor(0.0646),tensor(0.0780),tensor(0.0469),tensor(0.0387),tensor(0.0601),tensor(0.0473),tensor(0.0738),tensor(0.0626),tensor(0.0660),tensor(0.0657),tensor(0.0633),tensor(0.0829),tensor(0.0712),tensor(0.0799),tensor(0.0792),tensor(0.0533),tensor(0.0499),tensor(0.0476),tensor(0.0472),tensor(0.0428),tensor(0.0592),tensor(0.0742),tensor(0.0761),tensor(0.0778),tensor(0.0753),tensor(0.0660),tensor(0.0608),tensor(0.0620),tensor(0.0644),tensor(0.0640),tensor(0.0668),tensor(0.0788),tensor(0.0830),tensor(0.0804),tensor(0.0752),tensor(0.0697),tensor(0.0809),tensor(0.0548),tensor(0.0535),tensor(0.0525),tensor(0.0477),tensor(0.0754),tensor(0.0756),tensor(0.0722),tensor(0.0801),tensor(0.0780),tensor(0.0799),tensor(0.0634),tensor(0.0656),tensor(0.0638),tensor(0.0637),tensor(0.0810),tensor(0.0789),tensor(0.0814),tensor(0.0743),tensor(0.0524),tensor(0.0743),tensor(0.0744),tensor(0.0756),tensor(0.0818),tensor(0.0646),tensor(0.0795),tensor(0.0740)
rouge2_precision,tensor(0.0089),tensor(0.0900),tensor(0.0517),tensor(0.0701),tensor(0.0343),tensor(0.0388),tensor(0.0483),tensor(0.0346),tensor(0.0605),tensor(0.0475),tensor(0.0533),tensor(0.0526),tensor(0.0505),tensor(0.0648),tensor(0.0651),tensor(0.0693),tensor(0.0683),tensor(0.0394),tensor(0.0365),tensor(0.0348),tensor(0.0433),tensor(0.0405),tensor(0.0458),tensor(0.0579),tensor(0.0624),tensor(0.0634),tensor(0.0612),tensor(0.0503),tensor(0.0462),tensor(0.0471),tensor(0.0522),tensor(0.0515),tensor(0.0533),tensor(0.0616),tensor(0.0646),tensor(0.0624),tensor(0.0665),tensor(0.0625),tensor(0.0691),tensor(0.0405),tensor(0.0396),tensor(0.0385),tensor(0.0419),tensor(0.0591),tensor(0.0591),tensor(0.0561),tensor(0.0654),tensor(0.0639),tensor(0.0648),tensor(0.0482),tensor(0.0502),tensor(0.0483),tensor(0.0512),tensor(0.0633),tensor(0.0614),tensor(0.0631),tensor(0.0648),tensor(0.0387),tensor(0.0583),tensor(0.0582),tensor(0.0589),tensor(0.0665),tensor(0.0494),tensor(0.0619),tensor(0.0580)
rouge2_recall,tensor(0.4404),tensor(0.0903),tensor(0.0874),tensor(0.0907),tensor(0.0755),tensor(0.0409),tensor(0.0812),tensor(0.0757),tensor(0.0966),tensor(0.0931),tensor(0.0881),tensor(0.0889),tensor(0.0865),tensor(0.1176),tensor(0.0803),tensor(0.0962),tensor(0.0961),tensor(0.0837),tensor(0.0803),tensor(0.0766),tensor(0.0537),tensor(0.0473),tensor(0.0856),tensor(0.1054),tensor(0.0995),tensor(0.1026),tensor(0.0996),tensor(0.0974),tensor(0.0907),tensor(0.0924),tensor(0.0857),tensor(0.0862),tensor(0.0909),tensor(0.1115),tensor(0.1180),tensor(0.1155),tensor(0.0885),tensor(0.0808),tensor(0.0995),tensor(0.0865),tensor(0.0839),tensor(0.0840),tensor(0.0565),tensor(0.1061),tensor(0.1070),tensor(0.1031),tensor(0.1051),tensor(0.1018),tensor(0.1061),tensor(0.0940),tensor(0.0964),tensor(0.0955),tensor(0.0859),tensor(0.1146),tensor(0.1123),tensor(0.1167),tensor(0.0891),tensor(0.0831),tensor(0.1045),tensor(0.1051),tensor(0.1076),tensor(0.1080),tensor(0.0953),tensor(0.1131),tensor(0.1041)
rougeL_fmeasure,tensor(0.0252),tensor(0.2019),tensor(0.1590),tensor(0.1734),tensor(0.1378),tensor(0.1405),tensor(0.1591),tensor(0.1377),tensor(0.1661),tensor(0.1529),tensor(0.1603),tensor(0.1599),tensor(0.1597),tensor(0.1691),tensor(0.1667),tensor(0.1728),tensor(0.1736),tensor(0.1406),tensor(0.1408),tensor(0.1386),tensor(0.1525),tensor(0.1470),tensor(0.1544),tensor(0.1619),tensor(0.1680),tensor(0.1683),tensor(0.1670),tensor(0.1535),tensor(0.1519),tensor(0.1545),tensor(0.1620),tensor(0.1615),tensor(0.1627),tensor(0.1654),tensor(0.1682),tensor(0.1669),tensor(0.1700),tensor(0.1675),tensor(0.1755),tensor(0.1432),tensor(0.1391),tensor(0.1425),tensor(0.1515),tensor(0.1645),tensor(0.1632),tensor(0.1608),tensor(0.1691),tensor(0.1709),tensor(0.1685),tensor(0.1541),tensor(0.1537),tensor(0.1546),tensor(0.1623),tensor(0.1667),tensor(0.1664),tensor(0.1667),tensor(0.1688),tensor(0.1403),tensor(0.1650),tensor(0.1640),tensor(0.1629),tensor(0.1740),tensor(0.1537),tensor(0.1689),tensor(0.1622)
rougeL_precision,tensor(0.0129),tensor(0.2016),tensor(0.1267),tensor(0.1566),tensor(0.1009),tensor(0.1462),tensor(0.1272),tensor(0.1010),tensor(0.1355),tensor(0.1157),tensor(0.1289),tensor(0.1272),tensor(0.1266),tensor(0.1310),tensor(0.1551),tensor(0.1500),tensor(0.1503),tensor(0.1042),tensor(0.1029),tensor(0.1016),tensor(0.1416),tensor(0.1379),tensor(0.1192),tensor(0.1259),tensor(0.1374),tensor(0.1365),tensor(0.1354),tensor(0.1166),tensor(0.1148),tensor(0.1166),tensor(0.1305),tensor(0.1298),tensor(0.1290),tensor(0.1287),tensor(0.1302),tensor(0.1286),tensor(0.1514),tensor(0.1509),tensor(0.1502),tensor(0.1058),tensor(0.1030),tensor(0.1045),tensor(0.1336),tensor(0.1283),tensor(0.1272),tensor(0.1244),tensor(0.1376),tensor(0.1396),tensor(0.1360),tensor(0.1168),tensor(0.1170),tensor(0.1165),tensor(0.1304),tensor(0.1297),tensor(0.1294),tensor(0.1284),tensor(0.1475),tensor(0.1037),tensor(0.1287),tensor(0.1277),tensor(0.1263),tensor(0.1412),tensor(0.1167),tensor(0.1312),tensor(0.1265)
rougeL_recall,tensor(0.6345),tensor(0.2025),tensor(0.2181),tensor(0.2006),tensor(0.2224),tensor(0.1449),tensor(0.2172),tensor(0.2215),tensor(0.2191),tensor(0.2303),tensor(0.2170),tensor(0.2197),tensor(0.2209),tensor(0.2447),tensor(0.1859),tensor(0.2084),tensor(0.2098),tensor(0.2215),tensor(0.2281),tensor(0.2234),tensor(0.1722),tensor(0.1631),tensor(0.2245),tensor(0.2316),tensor(0.2205),tensor(0.2241),tensor(0.2216),tensor(0.2292),tensor(0.2292),tensor(0.2335),tensor(0.2186),tensor(0.2188),tensor(0.2249),tensor(0.2366),tensor(0.2430),tensor(0.2436),tensor(0.1988),tensor(0.1934),tensor(0.2158),tensor(0.2271),tensor(0.2196),tensor(0.2293),tensor(0.1792),tensor(0.2344),tensor(0.2327),tensor(0.2320),tensor(0.2235),tensor(0.2243),tensor(0.2257),tensor(0.2309),tensor(0.2297),tensor(0.2345),tensor(0.2200),tensor(0.2384),tensor(0.2382),tensor(0.2430),tensor(0.2020),tensor(0.2226),tensor(0.2348),tensor(0.2340),tensor(0.2339),tensor(0.2309),tensor(0.2302),tensor(0.2421),tensor(0.2310)
rougeLsum_fmeasure,tensor(0.0346),tensor(0.3400),tensor(0.2564),tensor(0.2732),tensor(0.2159),tensor(0.2043),tensor(0.2596),tensor(0.2127),tensor(0.2662),tensor(0.2429),tensor(0.2532),tensor(0.2574),tensor(0.2539),tensor(0.2671),tensor(0.2560),tensor(0.2695),tensor(0.2716),tensor(0.2222),tensor(0.2224),tensor(0.2157),tensor(0.2176),tensor(0.2176),tensor(0.2484),tensor(0.2625),tensor(0.2630),tensor(0.2699),tensor(0.2678),tensor(0.2424),tensor(0.2427),tensor(0.2423),tensor(0.2534),tensor(0.2519),tensor(0.2594),tensor(0.2586),tensor(0.2709),tensor(0.2645),tensor(0.2617),tensor(0.2553),tensor(0.2695),tensor(0.2276),tensor(0.2233),tensor(0.2232),tensor(0.2245),tensor(0.2618),tensor(0.2644),tensor(0.2555),tensor(0.2700),tensor(0.2622),tensor(0.2738),tensor(0.2404),tensor(0.2447),tensor(0.2431),tensor(0.2564),tensor(0.2610),tensor(0.2580),tensor(0.2688),tensor(0.2596),tensor(0.2219),tensor(0.2600),tensor(0.2569),tensor(0.2594),tensor(0.2701),tensor(0.2422),tensor(0.2590),tensor(0.2565)
rougeLsum_precision,tensor(0.0177),tensor(0.3398),tensor(0.2045),tensor(0.2459),tensor(0.1582),tensor(0.2102),tensor(0.2076),tensor(0.1562),tensor(0.2176),tensor(0.1841),tensor(0.2038),tensor(0.2049),tensor(0.2016),tensor(0.2072),tensor(0.2377),tensor(0.2338),tensor(0.2355),tensor(0.1648),tensor(0.1626),tensor(0.1582),tensor(0.2009),tensor(0.2031),tensor(0.1923),tensor(0.2046),tensor(0.2152),tensor(0.2193),tensor(0.2176),tensor(0.1844),tensor(0.1838),tensor(0.1831),tensor(0.2043),tensor(0.2026),tensor(0.2060),tensor(0.2014),tensor(0.2099),tensor(0.2042),tensor(0.2328),tensor(0.2293),tensor(0.2303),tensor(0.1685),tensor(0.1656),tensor(0.1638),tensor(0.1983),tensor(0.2047),tensor(0.2065),tensor(0.1980),tensor(0.2200),tensor(0.2144),tensor(0.2214),tensor(0.1824),tensor(0.1863),tensor(0.1835),tensor(0.2059),tensor(0.2033),tensor(0.2007),tensor(0.2074),tensor(0.2265),tensor(0.1642),tensor(0.2034),tensor(0.2004),tensor(0.2014),tensor(0.2192),tensor(0.1841),tensor(0.2013),tensor(0.2003)
rougeLsum_recall,tensor(0.8664),tensor(0.3406),tensor(0.3509),tensor(0.3162),tensor(0.3477),tensor(0.2117),tensor(0.3540),tensor(0.3414),tensor(0.3497),tensor(0.3646),tensor(0.3418),tensor(0.3527),tensor(0.3507),tensor(0.3855),tensor(0.2859),tensor(0.3252),tensor(0.3272),tensor(0.3494),tensor(0.3593),tensor(0.3468),tensor(0.2462),tensor(0.2418),tensor(0.3591),tensor(0.3739),tensor(0.3443),tensor(0.3578),tensor(0.3545),tensor(0.3613),tensor(0.3652),tensor(0.3656),tensor(0.3414),tensor(0.3414),tensor(0.3576),tensor(0.3695),tensor(0.3905),tensor(0.3845),tensor(0.3068),tensor(0.2961),tensor(0.3317),tensor(0.3593),tensor(0.3514),tensor(0.3583),tensor(0.2650),tensor(0.3713),tensor(0.3757),tensor(0.3674),tensor(0.3560),tensor(0.3432),tensor(0.3651),tensor(0.3598),tensor(0.3650),tensor(0.3677),tensor(0.3476),tensor(0.3728),tensor(0.3688),tensor(0.3904),tensor(0.3110),tensor(0.3509),tensor(0.3684),tensor(0.3657),tensor(0.3719),tensor(0.3578),tensor(0.3622),tensor(0.3707),tensor(0.3642)
