,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0363),tensor(0.3747),tensor(0.2591),tensor(0.3038),tensor(0.2563),tensor(0.2102),tensor(0.3084),tensor(0.2556),tensor(0.2830),tensor(0.2621),tensor(0.2636),tensor(0.2610),tensor(0.2536),tensor(0.2808),tensor(0.3026),tensor(0.3019),tensor(0.3047),tensor(0.2583),tensor(0.2576),tensor(0.2578),tensor(0.2189),tensor(0.2336),tensor(0.2749),tensor(0.2708),tensor(0.2851),tensor(0.2830),tensor(0.2840),tensor(0.2607),tensor(0.2616),tensor(0.2594),tensor(0.2629),tensor(0.2562),tensor(0.2529),tensor(0.2823),tensor(0.2811),tensor(0.2802),tensor(0.3025),tensor(0.2974),tensor(0.3058),tensor(0.2587),tensor(0.2560),tensor(0.2569),tensor(0.2405),tensor(0.2716),tensor(0.2718),tensor(0.2685),tensor(0.2842),tensor(0.2838),tensor(0.2851),tensor(0.2612),tensor(0.2567),tensor(0.2595),tensor(0.2579),tensor(0.2808),tensor(0.2862),tensor(0.2817),tensor(0.2968),tensor(0.2574),tensor(0.2720),tensor(0.2711),tensor(0.2689),tensor(0.2837),tensor(0.2581),tensor(0.2866),tensor(0.2712)
rouge1_precision,tensor(0.0186),tensor(0.3770),tensor(0.1931),tensor(0.2429),tensor(0.1848),tensor(0.2283),tensor(0.2486),tensor(0.1880),tensor(0.2130),tensor(0.1903),tensor(0.1994),tensor(0.1947),tensor(0.1888),tensor(0.2070),tensor(0.2542),tensor(0.2406),tensor(0.2410),tensor(0.1889),tensor(0.1860),tensor(0.1868),tensor(0.2307),tensor(0.2300),tensor(0.2031),tensor(0.1994),tensor(0.2182),tensor(0.2130),tensor(0.2136),tensor(0.1897),tensor(0.1899),tensor(0.1883),tensor(0.1990),tensor(0.1933),tensor(0.1882),tensor(0.2104),tensor(0.2073),tensor(0.2071),tensor(0.2536),tensor(0.2449),tensor(0.2423),tensor(0.1892),tensor(0.1877),tensor(0.1859),tensor(0.2270),tensor(0.2004),tensor(0.2004),tensor(0.1977),tensor(0.2172),tensor(0.2165),tensor(0.2144),tensor(0.1899),tensor(0.1867),tensor(0.1884),tensor(0.1943),tensor(0.2093),tensor(0.2134),tensor(0.2085),tensor(0.2433),tensor(0.1884),tensor(0.2009),tensor(0.2000),tensor(0.1979),tensor(0.2161),tensor(0.1874),tensor(0.2137),tensor(0.2000)
rouge1_recall,tensor(0.8969),tensor(0.3732),tensor(0.4025),tensor(0.4183),tensor(0.4271),tensor(0.2108),tensor(0.4153),tensor(0.4078),tensor(0.4305),tensor(0.4299),tensor(0.3994),tensor(0.4048),tensor(0.3945),tensor(0.4466),tensor(0.3873),tensor(0.4159),tensor(0.4252),tensor(0.4194),tensor(0.4280),tensor(0.4247),tensor(0.2240),tensor(0.2512),tensor(0.4356),tensor(0.4313),tensor(0.4205),tensor(0.4305),tensor(0.4321),tensor(0.4260),tensor(0.4295),tensor(0.4250),tensor(0.3986),tensor(0.3900),tensor(0.3942),tensor(0.4412),tensor(0.4466),tensor(0.4427),tensor(0.3883),tensor(0.3937),tensor(0.4257),tensor(0.4195),tensor(0.4140),tensor(0.4242),tensor(0.2680),tensor(0.4304),tensor(0.4319),tensor(0.4268),tensor(0.4200),tensor(0.4204),tensor(0.4337),tensor(0.4276),tensor(0.4197),tensor(0.4254),tensor(0.3930),tensor(0.4387),tensor(0.4455),tensor(0.4439),tensor(0.3955),tensor(0.4170),tensor(0.4304),tensor(0.4302),tensor(0.4278),tensor(0.4220),tensor(0.4232),tensor(0.4463),tensor(0.4302)
rouge2_fmeasure,tensor(0.0170),tensor(0.0842),tensor(0.0487),tensor(0.0606),tensor(0.0476),tensor(0.0363),tensor(0.0539),tensor(0.0456),tensor(0.0579),tensor(0.0507),tensor(0.0492),tensor(0.0501),tensor(0.0453),tensor(0.0599),tensor(0.0590),tensor(0.0597),tensor(0.0626),tensor(0.0474),tensor(0.0483),tensor(0.0471),tensor(0.0373),tensor(0.0405),tensor(0.0489),tensor(0.0562),tensor(0.0563),tensor(0.0579),tensor(0.0585),tensor(0.0504),tensor(0.0512),tensor(0.0491),tensor(0.0490),tensor(0.0444),tensor(0.0452),tensor(0.0577),tensor(0.0599),tensor(0.0576),tensor(0.0588),tensor(0.0570),tensor(0.0628),tensor(0.0478),tensor(0.0462),tensor(0.0470),tensor(0.0405),tensor(0.0569),tensor(0.0562),tensor(0.0531),tensor(0.0559),tensor(0.0554),tensor(0.0589),tensor(0.0501),tensor(0.0466),tensor(0.0492),tensor(0.0452),tensor(0.0572),tensor(0.0581),tensor(0.0577),tensor(0.0573),tensor(0.0464),tensor(0.0570),tensor(0.0555),tensor(0.0531),tensor(0.0561),tensor(0.0462),tensor(0.0582),tensor(0.0555)
rouge2_precision,tensor(0.0087),tensor(0.0847),tensor(0.0361),tensor(0.0480),tensor(0.0340),tensor(0.0374),tensor(0.0432),tensor(0.0332),tensor(0.0432),tensor(0.0365),tensor(0.0370),tensor(0.0372),tensor(0.0333),tensor(0.0438),tensor(0.0493),tensor(0.0471),tensor(0.0492),tensor(0.0344),tensor(0.0345),tensor(0.0338),tensor(0.0376),tensor(0.0394),tensor(0.0358),tensor(0.0411),tensor(0.0430),tensor(0.0432),tensor(0.0438),tensor(0.0364),tensor(0.0369),tensor(0.0353),tensor(0.0369),tensor(0.0332),tensor(0.0333),tensor(0.0427),tensor(0.0438),tensor(0.0423),tensor(0.0491),tensor(0.0463),tensor(0.0494),tensor(0.0347),tensor(0.0336),tensor(0.0336),tensor(0.0384),tensor(0.0417),tensor(0.0412),tensor(0.0389),tensor(0.0426),tensor(0.0421),tensor(0.0441),tensor(0.0362),tensor(0.0336),tensor(0.0354),tensor(0.0337),tensor(0.0423),tensor(0.0431),tensor(0.0424),tensor(0.0465),tensor(0.0337),tensor(0.0418),tensor(0.0407),tensor(0.0389),tensor(0.0424),tensor(0.0332),tensor(0.0431),tensor(0.0407)
rouge2_recall,tensor(0.4305),tensor(0.0839),tensor(0.0767),tensor(0.0847),tensor(0.0813),tensor(0.0367),tensor(0.0734),tensor(0.0744),tensor(0.0894),tensor(0.0848),tensor(0.0751),tensor(0.0787),tensor(0.0720),tensor(0.0968),tensor(0.0760),tensor(0.0835),tensor(0.0884),tensor(0.0783),tensor(0.0822),tensor(0.0795),tensor(0.0387),tensor(0.0436),tensor(0.0794),tensor(0.0909),tensor(0.0834),tensor(0.0894),tensor(0.0900),tensor(0.0834),tensor(0.0855),tensor(0.0820),tensor(0.0747),tensor(0.0685),tensor(0.0719),tensor(0.0918),tensor(0.0968),tensor(0.0920),tensor(0.0757),tensor(0.0768),tensor(0.0884),tensor(0.0787),tensor(0.0760),tensor(0.0794),tensor(0.0448),tensor(0.0915),tensor(0.0909),tensor(0.0854),tensor(0.0830),tensor(0.0827),tensor(0.0906),tensor(0.0832),tensor(0.0777),tensor(0.0822),tensor(0.0701),tensor(0.0909),tensor(0.0919),tensor(0.0920),tensor(0.0775),tensor(0.0766),tensor(0.0915),tensor(0.0891),tensor(0.0856),tensor(0.0845),tensor(0.0774),tensor(0.0921),tensor(0.0891)
rougeL_fmeasure,tensor(0.0260),tensor(0.1941),tensor(0.1414),tensor(0.1534),tensor(0.1306),tensor(0.1334),tensor(0.1524),tensor(0.1298),tensor(0.1530),tensor(0.1379),tensor(0.1461),tensor(0.1429),tensor(0.1394),tensor(0.1473),tensor(0.1571),tensor(0.1526),tensor(0.1551),tensor(0.1349),tensor(0.1311),tensor(0.1318),tensor(0.1357),tensor(0.1396),tensor(0.1400),tensor(0.1455),tensor(0.1513),tensor(0.1539),tensor(0.1507),tensor(0.1392),tensor(0.1380),tensor(0.1376),tensor(0.1461),tensor(0.1437),tensor(0.1389),tensor(0.1473),tensor(0.1465),tensor(0.1451),tensor(0.1571),tensor(0.1536),tensor(0.1550),tensor(0.1345),tensor(0.1349),tensor(0.1307),tensor(0.1427),tensor(0.1446),tensor(0.1465),tensor(0.1445),tensor(0.1509),tensor(0.1502),tensor(0.1515),tensor(0.1390),tensor(0.1366),tensor(0.1368),tensor(0.1438),tensor(0.1467),tensor(0.1475),tensor(0.1451),tensor(0.1540),tensor(0.1340),tensor(0.1453),tensor(0.1442),tensor(0.1443),tensor(0.1504),tensor(0.1379),tensor(0.1471),tensor(0.1439)
rougeL_precision,tensor(0.0133),tensor(0.1951),tensor(0.1054),tensor(0.1226),tensor(0.0941),tensor(0.1487),tensor(0.1228),tensor(0.0953),tensor(0.1151),tensor(0.1000),tensor(0.1107),tensor(0.1066),tensor(0.1039),tensor(0.1084),tensor(0.1323),tensor(0.1216),tensor(0.1225),tensor(0.0984),tensor(0.0946),tensor(0.0954),tensor(0.1461),tensor(0.1398),tensor(0.1033),tensor(0.1069),tensor(0.1156),tensor(0.1158),tensor(0.1132),tensor(0.1011),tensor(0.1001),tensor(0.0998),tensor(0.1106),tensor(0.1083),tensor(0.1034),tensor(0.1095),tensor(0.1078),tensor(0.1069),tensor(0.1321),tensor(0.1265),tensor(0.1227),tensor(0.0982),tensor(0.0988),tensor(0.0946),tensor(0.1367),tensor(0.1066),tensor(0.1078),tensor(0.1063),tensor(0.1152),tensor(0.1145),tensor(0.1139),tensor(0.1008),tensor(0.0992),tensor(0.0992),tensor(0.1082),tensor(0.1092),tensor(0.1096),tensor(0.1071),tensor(0.1265),tensor(0.0979),tensor(0.1071),tensor(0.1062),tensor(0.1061),tensor(0.1145),tensor(0.0999),tensor(0.1093),tensor(0.1060)
rougeL_recall,tensor(0.6479),tensor(0.1934),tensor(0.2196),tensor(0.2117),tensor(0.2184),tensor(0.1314),tensor(0.2053),tensor(0.2079),tensor(0.2332),tensor(0.2268),tensor(0.2215),tensor(0.2217),tensor(0.2170),tensor(0.2356),tensor(0.2006),tensor(0.2107),tensor(0.2172),tensor(0.2202),tensor(0.2187),tensor(0.2179),tensor(0.1369),tensor(0.1477),tensor(0.2231),tensor(0.2327),tensor(0.2237),tensor(0.2345),tensor(0.2297),tensor(0.2288),tensor(0.2272),tensor(0.2262),tensor(0.2218),tensor(0.2196),tensor(0.2164),tensor(0.2312),tensor(0.2339),tensor(0.2306),tensor(0.2008),tensor(0.2033),tensor(0.2165),tensor(0.2194),tensor(0.2191),tensor(0.2164),tensor(0.1570),tensor(0.2302),tensor(0.2336),tensor(0.2304),tensor(0.2235),tensor(0.2229),tensor(0.2308),tensor(0.2290),tensor(0.2248),tensor(0.2250),tensor(0.2200),tensor(0.2301),tensor(0.2311),tensor(0.2301),tensor(0.2050),tensor(0.2184),tensor(0.2307),tensor(0.2297),tensor(0.2304),tensor(0.2242),tensor(0.2275),tensor(0.2308),tensor(0.2291)
rougeLsum_fmeasure,tensor(0.0351),tensor(0.3368),tensor(0.2180),tensor(0.2526),tensor(0.2149),tensor(0.1868),tensor(0.2555),tensor(0.2145),tensor(0.2349),tensor(0.2137),tensor(0.2210),tensor(0.2196),tensor(0.2107),tensor(0.2326),tensor(0.2503),tensor(0.2512),tensor(0.2559),tensor(0.2153),tensor(0.2147),tensor(0.2140),tensor(0.1967),tensor(0.2060),tensor(0.2251),tensor(0.2253),tensor(0.2367),tensor(0.2353),tensor(0.2345),tensor(0.2174),tensor(0.2148),tensor(0.2144),tensor(0.2209),tensor(0.2140),tensor(0.2100),tensor(0.2342),tensor(0.2326),tensor(0.2306),tensor(0.2504),tensor(0.2474),tensor(0.2551),tensor(0.2159),tensor(0.2119),tensor(0.2122),tensor(0.2109),tensor(0.2268),tensor(0.2274),tensor(0.2240),tensor(0.2356),tensor(0.2371),tensor(0.2356),tensor(0.2161),tensor(0.2141),tensor(0.2149),tensor(0.2162),tensor(0.2346),tensor(0.2373),tensor(0.2314),tensor(0.2483),tensor(0.2136),tensor(0.2275),tensor(0.2250),tensor(0.2251),tensor(0.2374),tensor(0.2150),tensor(0.2373),tensor(0.2253)
