,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0359),tensor(1.),tensor(0.3150),tensor(0.3464),tensor(0.2699),tensor(0.2464),tensor(0.3163),tensor(0.2653),tensor(0.3316),tensor(0.3047),tensor(0.3159),tensor(0.3151),tensor(0.3057),tensor(0.3200),tensor(0.3278),tensor(0.3507),tensor(0.3404),tensor(0.2756),tensor(0.2768),tensor(0.2638),tensor(0.2629),tensor(0.2563),tensor(0.3107),tensor(0.3207),tensor(0.3278),tensor(0.3322),tensor(0.3242),tensor(0.3018),tensor(0.3067),tensor(0.2993),tensor(0.3149),tensor(0.3066),tensor(0.3104),tensor(0.3213),tensor(0.3219),tensor(0.3084),tensor(0.3321),tensor(0.3260),tensor(0.3400),tensor(0.2783),tensor(0.2714),tensor(0.2704),tensor(0.2693),tensor(0.3168),tensor(0.3199),tensor(0.3165),tensor(0.3268),tensor(0.3240),tensor(0.3262),tensor(0.3026),tensor(0.2937),tensor(0.2995),tensor(0.3072),tensor(0.3212),tensor(0.3128),tensor(0.3087),tensor(0.3296),tensor(0.2746),tensor(0.3189),tensor(0.3176),tensor(0.3163),tensor(0.3264),tensor(0.2953),tensor(0.3131),tensor(0.3167)
rouge1_precision,tensor(0.0184),tensor(1.),tensor(0.2518),tensor(0.3085),tensor(0.1984),tensor(0.2616),tensor(0.2540),tensor(0.1956),tensor(0.2711),tensor(0.2320),tensor(0.2560),tensor(0.2506),tensor(0.2432),tensor(0.2461),tensor(0.3022),tensor(0.3015),tensor(0.2896),tensor(0.2048),tensor(0.2030),tensor(0.1943),tensor(0.2544),tensor(0.2485),tensor(0.2411),tensor(0.2500),tensor(0.2699),tensor(0.2701),tensor(0.2639),tensor(0.2292),tensor(0.2331),tensor(0.2283),tensor(0.2524),tensor(0.2464),tensor(0.2466),tensor(0.2490),tensor(0.2480),tensor(0.2361),tensor(0.2938),tensor(0.2915),tensor(0.2871),tensor(0.2061),tensor(0.2027),tensor(0.1993),tensor(0.2407),tensor(0.2468),tensor(0.2489),tensor(0.2461),tensor(0.2666),tensor(0.2638),tensor(0.2644),tensor(0.2301),tensor(0.2233),tensor(0.2279),tensor(0.2466),tensor(0.2489),tensor(0.2423),tensor(0.2360),tensor(0.2837),tensor(0.2048),tensor(0.2481),tensor(0.2473),tensor(0.2459),tensor(0.2636),tensor(0.2249),tensor(0.2422),tensor(0.2467)
rouge1_recall,tensor(0.8958),tensor(1.),tensor(0.4300),tensor(0.4020),tensor(0.4326),tensor(0.2476),tensor(0.4283),tensor(0.4213),tensor(0.4357),tensor(0.4539),tensor(0.4216),tensor(0.4333),tensor(0.4211),tensor(0.4683),tensor(0.3668),tensor(0.4264),tensor(0.4184),tensor(0.4330),tensor(0.4451),tensor(0.4201),tensor(0.2895),tensor(0.2796),tensor(0.4466),tensor(0.4589),tensor(0.4265),tensor(0.4398),tensor(0.4303),tensor(0.4529),tensor(0.4585),tensor(0.4440),tensor(0.4271),tensor(0.4152),tensor(0.4287),tensor(0.4640),tensor(0.4704),tensor(0.4563),tensor(0.3912),tensor(0.3798),tensor(0.4229),tensor(0.4393),tensor(0.4208),tensor(0.4303),tensor(0.3145),tensor(0.4531),tensor(0.4588),tensor(0.4540),tensor(0.4313),tensor(0.4288),tensor(0.4358),tensor(0.4526),tensor(0.4390),tensor(0.4467),tensor(0.4174),tensor(0.4634),tensor(0.4534),tensor(0.4567),tensor(0.4007),tensor(0.4272),tensor(0.4570),tensor(0.4546),tensor(0.4536),tensor(0.4368),tensor(0.4399),tensor(0.4548),tensor(0.4535)
rouge2_fmeasure,tensor(0.0180),tensor(1.),tensor(0.0707),tensor(0.0827),tensor(0.0516),tensor(0.0483),tensor(0.0708),tensor(0.0518),tensor(0.0788),tensor(0.0693),tensor(0.0717),tensor(0.0719),tensor(0.0650),tensor(0.0803),tensor(0.0737),tensor(0.0892),tensor(0.0827),tensor(0.0585),tensor(0.0574),tensor(0.0490),tensor(0.0495),tensor(0.0480),tensor(0.0712),tensor(0.0755),tensor(0.0735),tensor(0.0792),tensor(0.0750),tensor(0.0699),tensor(0.0692),tensor(0.0687),tensor(0.0697),tensor(0.0634),tensor(0.0668),tensor(0.0800),tensor(0.0818),tensor(0.0737),tensor(0.0778),tensor(0.0755),tensor(0.0832),tensor(0.0596),tensor(0.0543),tensor(0.0539),tensor(0.0482),tensor(0.0744),tensor(0.0743),tensor(0.0705),tensor(0.0748),tensor(0.0731),tensor(0.0770),tensor(0.0710),tensor(0.0658),tensor(0.0687),tensor(0.0621),tensor(0.0813),tensor(0.0757),tensor(0.0734),tensor(0.0798),tensor(0.0563),tensor(0.0761),tensor(0.0708),tensor(0.0706),tensor(0.0730),tensor(0.0675),tensor(0.0761),tensor(0.0716)
rouge2_precision,tensor(0.0092),tensor(1.),tensor(0.0563),tensor(0.0734),tensor(0.0380),tensor(0.0521),tensor(0.0564),tensor(0.0382),tensor(0.0640),tensor(0.0527),tensor(0.0579),tensor(0.0572),tensor(0.0517),tensor(0.0615),tensor(0.0675),tensor(0.0762),tensor(0.0701),tensor(0.0435),tensor(0.0422),tensor(0.0361),tensor(0.0484),tensor(0.0477),tensor(0.0549),tensor(0.0585),tensor(0.0602),tensor(0.0639),tensor(0.0607),tensor(0.0530),tensor(0.0526),tensor(0.0524),tensor(0.0557),tensor(0.0509),tensor(0.0530),tensor(0.0617),tensor(0.0627),tensor(0.0561),tensor(0.0684),tensor(0.0680),tensor(0.0698),tensor(0.0441),tensor(0.0406),tensor(0.0397),tensor(0.0429),tensor(0.0577),tensor(0.0574),tensor(0.0545),tensor(0.0607),tensor(0.0593),tensor(0.0620),tensor(0.0540),tensor(0.0500),tensor(0.0523),tensor(0.0499),tensor(0.0626),tensor(0.0583),tensor(0.0558),tensor(0.0683),tensor(0.0420),tensor(0.0589),tensor(0.0549),tensor(0.0546),tensor(0.0587),tensor(0.0514),tensor(0.0584),tensor(0.0555)
rouge2_recall,tensor(0.4555),tensor(1.),tensor(0.0966),tensor(0.0961),tensor(0.0819),tensor(0.0483),tensor(0.0970),tensor(0.0820),tensor(0.1047),tensor(0.1031),tensor(0.0959),tensor(0.0986),tensor(0.0894),tensor(0.1186),tensor(0.0832),tensor(0.1094),tensor(0.1023),tensor(0.0913),tensor(0.0915),tensor(0.0779),tensor(0.0546),tensor(0.0521),tensor(0.1037),tensor(0.1089),tensor(0.0965),tensor(0.1060),tensor(0.1002),tensor(0.1050),tensor(0.1033),tensor(0.1017),tensor(0.0949),tensor(0.0858),tensor(0.0922),tensor(0.1163),tensor(0.1205),tensor(0.1102),tensor(0.0924),tensor(0.0880),tensor(0.1043),tensor(0.0937),tensor(0.0841),tensor(0.0856),tensor(0.0567),tensor(0.1068),tensor(0.1077),tensor(0.1019),tensor(0.0994),tensor(0.0972),tensor(0.1037),tensor(0.1060),tensor(0.0982),tensor(0.1022),tensor(0.0841),tensor(0.1184),tensor(0.1107),tensor(0.1100),tensor(0.0976),tensor(0.0876),tensor(0.1095),tensor(0.1020),tensor(0.1021),tensor(0.0980),tensor(0.1002),tensor(0.1122),tensor(0.1033)
rougeL_fmeasure,tensor(0.0263),tensor(1.),tensor(0.1659),tensor(0.1771),tensor(0.1365),tensor(0.1517),tensor(0.1596),tensor(0.1402),tensor(0.1683),tensor(0.1573),tensor(0.1683),tensor(0.1681),tensor(0.1601),tensor(0.1651),tensor(0.1722),tensor(0.1809),tensor(0.1739),tensor(0.1443),tensor(0.1405),tensor(0.1348),tensor(0.1534),tensor(0.1540),tensor(0.1594),tensor(0.1643),tensor(0.1697),tensor(0.1673),tensor(0.1668),tensor(0.1580),tensor(0.1585),tensor(0.1549),tensor(0.1694),tensor(0.1626),tensor(0.1634),tensor(0.1669),tensor(0.1659),tensor(0.1594),tensor(0.1723),tensor(0.1746),tensor(0.1752),tensor(0.1456),tensor(0.1427),tensor(0.1408),tensor(0.1525),tensor(0.1649),tensor(0.1636),tensor(0.1634),tensor(0.1679),tensor(0.1697),tensor(0.1670),tensor(0.1604),tensor(0.1532),tensor(0.1546),tensor(0.1658),tensor(0.1659),tensor(0.1621),tensor(0.1588),tensor(0.1747),tensor(0.1429),tensor(0.1671),tensor(0.1643),tensor(0.1618),tensor(0.1683),tensor(0.1555),tensor(0.1612),tensor(0.1643)
rougeL_precision,tensor(0.0135),tensor(1.),tensor(0.1326),tensor(0.1576),tensor(0.1003),tensor(0.1635),tensor(0.1283),tensor(0.1036),tensor(0.1374),tensor(0.1197),tensor(0.1367),tensor(0.1337),tensor(0.1274),tensor(0.1267),tensor(0.1591),tensor(0.1554),tensor(0.1478),tensor(0.1072),tensor(0.1030),tensor(0.0993),tensor(0.1518),tensor(0.1518),tensor(0.1236),tensor(0.1280),tensor(0.1398),tensor(0.1358),tensor(0.1357),tensor(0.1199),tensor(0.1204),tensor(0.1181),tensor(0.1360),tensor(0.1308),tensor(0.1299),tensor(0.1291),tensor(0.1274),tensor(0.1219),tensor(0.1529),tensor(0.1563),tensor(0.1479),tensor(0.1078),tensor(0.1066),tensor(0.1037),tensor(0.1367),tensor(0.1286),tensor(0.1271),tensor(0.1270),tensor(0.1370),tensor(0.1384),tensor(0.1353),tensor(0.1219),tensor(0.1164),tensor(0.1175),tensor(0.1333),tensor(0.1284),tensor(0.1255),tensor(0.1211),tensor(0.1505),tensor(0.1065),tensor(0.1301),tensor(0.1280),tensor(0.1257),tensor(0.1361),tensor(0.1183),tensor(0.1246),tensor(0.1280)
rougeL_recall,tensor(0.6640),tensor(1.),tensor(0.2267),tensor(0.2056),tensor(0.2189),tensor(0.1521),tensor(0.2157),tensor(0.2215),tensor(0.2216),tensor(0.2344),tensor(0.2238),tensor(0.2310),tensor(0.2205),tensor(0.2426),tensor(0.1927),tensor(0.2202),tensor(0.2142),tensor(0.2265),tensor(0.2259),tensor(0.2145),tensor(0.1674),tensor(0.1673),tensor(0.2295),tensor(0.2354),tensor(0.2205),tensor(0.2220),tensor(0.2215),tensor(0.2371),tensor(0.2371),tensor(0.2302),tensor(0.2291),tensor(0.2197),tensor(0.2253),tensor(0.2418),tensor(0.2440),tensor(0.2364),tensor(0.2027),tensor(0.2034),tensor(0.2183),tensor(0.2295),tensor(0.2212),tensor(0.2242),tensor(0.1779),tensor(0.2355),tensor(0.2351),tensor(0.2347),tensor(0.2215),tensor(0.2237),tensor(0.2231),tensor(0.2401),tensor(0.2295),tensor(0.2308),tensor(0.2246),tensor(0.2400),tensor(0.2351),tensor(0.2360),tensor(0.2121),tensor(0.2224),tensor(0.2389),tensor(0.2351),tensor(0.2323),tensor(0.2249),tensor(0.2319),tensor(0.2345),tensor(0.2352)
rougeLsum_fmeasure,tensor(0.0350),tensor(1.),tensor(0.2663),tensor(0.2864),tensor(0.2227),tensor(0.2206),tensor(0.2601),tensor(0.2207),tensor(0.2787),tensor(0.2569),tensor(0.2668),tensor(0.2690),tensor(0.2572),tensor(0.2655),tensor(0.2768),tensor(0.2912),tensor(0.2817),tensor(0.2340),tensor(0.2296),tensor(0.2185),tensor(0.2308),tensor(0.2260),tensor(0.2590),tensor(0.2653),tensor(0.2742),tensor(0.2786),tensor(0.2719),tensor(0.2544),tensor(0.2559),tensor(0.2525),tensor(0.2668),tensor(0.2609),tensor(0.2613),tensor(0.2664),tensor(0.2657),tensor(0.2572),tensor(0.2826),tensor(0.2791),tensor(0.2845),tensor(0.2359),tensor(0.2300),tensor(0.2241),tensor(0.2353),tensor(0.2683),tensor(0.2645),tensor(0.2639),tensor(0.2727),tensor(0.2715),tensor(0.2737),tensor(0.2554),tensor(0.2494),tensor(0.2526),tensor(0.2603),tensor(0.2664),tensor(0.2615),tensor(0.2554),tensor(0.2796),tensor(0.2329),tensor(0.2685),tensor(0.2651),tensor(0.2624),tensor(0.2729),tensor(0.2511),tensor(0.2618),tensor(0.2657)
