,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0361),tensor(0.3812),tensor(0.2704),tensor(0.3141),tensor(0.2701),tensor(0.2226),tensor(0.2991),tensor(0.2650),tensor(0.2927),tensor(0.2597),tensor(0.2722),tensor(0.2686),tensor(0.2677),tensor(0.2858),tensor(0.3034),tensor(0.3113),tensor(0.3152),tensor(0.2582),tensor(0.2711),tensor(0.2632),tensor(0.2253),tensor(0.2368),tensor(0.2762),tensor(0.2833),tensor(0.2929),tensor(0.2911),tensor(0.2926),tensor(0.2639),tensor(0.2595),tensor(0.2610),tensor(0.2721),tensor(0.2720),tensor(0.2687),tensor(0.2972),tensor(0.2870),tensor(0.2843),tensor(0.3052),tensor(0.3031),tensor(0.3133),tensor(0.2593),tensor(0.2609),tensor(0.2653),tensor(0.2403),tensor(0.2798),tensor(0.2817),tensor(0.2823),tensor(0.2941),tensor(0.2920),tensor(0.2930),tensor(0.2647),tensor(0.2646),tensor(0.2632),tensor(0.2718),tensor(0.2954),tensor(0.2913),tensor(0.2855),tensor(0.3015),tensor(0.2609),tensor(0.2794),tensor(0.2786),tensor(0.2827),tensor(0.2905),tensor(0.2659),tensor(0.2911),tensor(0.2786)
rouge1_precision,tensor(0.0185),tensor(0.3814),tensor(0.2014),tensor(0.2506),tensor(0.1945),tensor(0.2331),tensor(0.2382),tensor(0.1937),tensor(0.2218),tensor(0.1878),tensor(0.2048),tensor(0.1997),tensor(0.1989),tensor(0.2107),tensor(0.2520),tensor(0.2480),tensor(0.2487),tensor(0.1883),tensor(0.1952),tensor(0.1897),tensor(0.2262),tensor(0.2298),tensor(0.2035),tensor(0.2082),tensor(0.2239),tensor(0.2206),tensor(0.2216),tensor(0.1912),tensor(0.1876),tensor(0.1890),tensor(0.2043),tensor(0.2034),tensor(0.1995),tensor(0.2218),tensor(0.2116),tensor(0.2097),tensor(0.2538),tensor(0.2489),tensor(0.2470),tensor(0.1889),tensor(0.1905),tensor(0.1915),tensor(0.2258),tensor(0.2060),tensor(0.2070),tensor(0.2073),tensor(0.2247),tensor(0.2226),tensor(0.2219),tensor(0.1917),tensor(0.1919),tensor(0.1905),tensor(0.2032),tensor(0.2202),tensor(0.2169),tensor(0.2106),tensor(0.2465),tensor(0.1901),tensor(0.2057),tensor(0.2054),tensor(0.2077),tensor(0.2213),tensor(0.1926),tensor(0.2164),tensor(0.2054)
rouge1_recall,tensor(0.9003),tensor(0.3819),tensor(0.4202),tensor(0.4302),tensor(0.4511),tensor(0.2255),tensor(0.4110),tensor(0.4285),tensor(0.4396),tensor(0.4292),tensor(0.4167),tensor(0.4190),tensor(0.4186),tensor(0.4532),tensor(0.3939),tensor(0.4277),tensor(0.4392),tensor(0.4206),tensor(0.4525),tensor(0.4391),tensor(0.2361),tensor(0.2574),tensor(0.4398),tensor(0.4514),tensor(0.4330),tensor(0.4373),tensor(0.4397),tensor(0.4347),tensor(0.4293),tensor(0.4304),tensor(0.4174),tensor(0.4208),tensor(0.4202),tensor(0.4595),tensor(0.4548),tensor(0.4502),tensor(0.3962),tensor(0.3986),tensor(0.4368),tensor(0.4239),tensor(0.4232),tensor(0.4413),tensor(0.2700),tensor(0.4453),tensor(0.4489),tensor(0.4506),tensor(0.4353),tensor(0.4340),tensor(0.4404),tensor(0.4364),tensor(0.4355),tensor(0.4345),tensor(0.4209),tensor(0.4578),tensor(0.4521),tensor(0.4518),tensor(0.3985),tensor(0.4258),tensor(0.4445),tensor(0.4433),tensor(0.4509),tensor(0.4323),tensor(0.4383),tensor(0.4537),tensor(0.4433)
rouge2_fmeasure,tensor(0.0178),tensor(0.0961),tensor(0.0535),tensor(0.0715),tensor(0.0545),tensor(0.0381),tensor(0.0524),tensor(0.0518),tensor(0.0632),tensor(0.0478),tensor(0.0543),tensor(0.0522),tensor(0.0524),tensor(0.0614),tensor(0.0656),tensor(0.0697),tensor(0.0735),tensor(0.0487),tensor(0.0564),tensor(0.0511),tensor(0.0369),tensor(0.0376),tensor(0.0542),tensor(0.0606),tensor(0.0625),tensor(0.0630),tensor(0.0626),tensor(0.0524),tensor(0.0474),tensor(0.0512),tensor(0.0537),tensor(0.0540),tensor(0.0520),tensor(0.0700),tensor(0.0623),tensor(0.0620),tensor(0.0665),tensor(0.0665),tensor(0.0717),tensor(0.0492),tensor(0.0486),tensor(0.0521),tensor(0.0385),tensor(0.0585),tensor(0.0602),tensor(0.0621),tensor(0.0624),tensor(0.0606),tensor(0.0623),tensor(0.0527),tensor(0.0523),tensor(0.0523),tensor(0.0537),tensor(0.0692),tensor(0.0659),tensor(0.0621),tensor(0.0647),tensor(0.0492),tensor(0.0580),tensor(0.0585),tensor(0.0621),tensor(0.0595),tensor(0.0535),tensor(0.0660),tensor(0.0585)
rouge2_precision,tensor(0.0091),tensor(0.0961),tensor(0.0400),tensor(0.0571),tensor(0.0394),tensor(0.0398),tensor(0.0417),tensor(0.0379),tensor(0.0481),tensor(0.0346),tensor(0.0410),tensor(0.0389),tensor(0.0391),tensor(0.0453),tensor(0.0546),tensor(0.0557),tensor(0.0579),tensor(0.0357),tensor(0.0408),tensor(0.0369),tensor(0.0366),tensor(0.0366),tensor(0.0401),tensor(0.0447),tensor(0.0480),tensor(0.0479),tensor(0.0476),tensor(0.0381),tensor(0.0343),tensor(0.0373),tensor(0.0404),tensor(0.0404),tensor(0.0387),tensor(0.0524),tensor(0.0460),tensor(0.0458),tensor(0.0552),tensor(0.0546),tensor(0.0564),tensor(0.0360),tensor(0.0357),tensor(0.0377),tensor(0.0363),tensor(0.0431),tensor(0.0444),tensor(0.0458),tensor(0.0479),tensor(0.0463),tensor(0.0473),tensor(0.0384),tensor(0.0381),tensor(0.0380),tensor(0.0402),tensor(0.0517),tensor(0.0492),tensor(0.0459),tensor(0.0527),tensor(0.0361),tensor(0.0428),tensor(0.0433),tensor(0.0459),tensor(0.0455),tensor(0.0390),tensor(0.0492),tensor(0.0433)
rouge2_recall,tensor(0.4473),tensor(0.0962),tensor(0.0827),tensor(0.0979),tensor(0.0904),tensor(0.0390),tensor(0.0720),tensor(0.0835),tensor(0.0944),tensor(0.0786),tensor(0.0828),tensor(0.0812),tensor(0.0815),tensor(0.0973),tensor(0.0855),tensor(0.0955),tensor(0.1029),tensor(0.0786),tensor(0.0934),tensor(0.0849),tensor(0.0394),tensor(0.0411),tensor(0.0855),tensor(0.0957),tensor(0.0916),tensor(0.0941),tensor(0.0935),tensor(0.0854),tensor(0.0780),tensor(0.0833),tensor(0.0820),tensor(0.0832),tensor(0.0808),tensor(0.1076),tensor(0.0984),tensor(0.0976),tensor(0.0867),tensor(0.0879),tensor(0.1005),tensor(0.0796),tensor(0.0782),tensor(0.0862),tensor(0.0433),tensor(0.0926),tensor(0.0951),tensor(0.0979),tensor(0.0917),tensor(0.0896),tensor(0.0931),tensor(0.0861),tensor(0.0852),tensor(0.0853),tensor(0.0826),tensor(0.1065),tensor(0.1018),tensor(0.0978),tensor(0.0863),tensor(0.0793),tensor(0.0918),tensor(0.0923),tensor(0.0979),tensor(0.0883),tensor(0.0871),tensor(0.1023),tensor(0.0923)
rougeL_fmeasure,tensor(0.0263),tensor(0.2060),tensor(0.1437),tensor(0.1620),tensor(0.1358),tensor(0.1412),tensor(0.1501),tensor(0.1343),tensor(0.1529),tensor(0.1348),tensor(0.1456),tensor(0.1448),tensor(0.1424),tensor(0.1508),tensor(0.1635),tensor(0.1618),tensor(0.1650),tensor(0.1361),tensor(0.1376),tensor(0.1331),tensor(0.1399),tensor(0.1449),tensor(0.1421),tensor(0.1449),tensor(0.1527),tensor(0.1524),tensor(0.1515),tensor(0.1390),tensor(0.1344),tensor(0.1361),tensor(0.1454),tensor(0.1448),tensor(0.1438),tensor(0.1545),tensor(0.1528),tensor(0.1480),tensor(0.1639),tensor(0.1603),tensor(0.1618),tensor(0.1365),tensor(0.1365),tensor(0.1341),tensor(0.1461),tensor(0.1487),tensor(0.1446),tensor(0.1444),tensor(0.1536),tensor(0.1525),tensor(0.1519),tensor(0.1396),tensor(0.1386),tensor(0.1365),tensor(0.1447),tensor(0.1531),tensor(0.1521),tensor(0.1480),tensor(0.1595),tensor(0.1352),tensor(0.1477),tensor(0.1475),tensor(0.1445),tensor(0.1522),tensor(0.1384),tensor(0.1513),tensor(0.1476)
rougeL_precision,tensor(0.0135),tensor(0.2060),tensor(0.1072),tensor(0.1293),tensor(0.0977),tensor(0.1498),tensor(0.1195),tensor(0.0981),tensor(0.1160),tensor(0.0975),tensor(0.1097),tensor(0.1078),tensor(0.1060),tensor(0.1112),tensor(0.1359),tensor(0.1289),tensor(0.1301),tensor(0.0994),tensor(0.0990),tensor(0.0959),tensor(0.1423),tensor(0.1427),tensor(0.1047),tensor(0.1065),tensor(0.1170),tensor(0.1156),tensor(0.1149),tensor(0.1007),tensor(0.0972),tensor(0.0985),tensor(0.1093),tensor(0.1084),tensor(0.1070),tensor(0.1153),tensor(0.1126),tensor(0.1090),tensor(0.1363),tensor(0.1317),tensor(0.1275),tensor(0.0995),tensor(0.0997),tensor(0.0967),tensor(0.1394),tensor(0.1097),tensor(0.1063),tensor(0.1060),tensor(0.1176),tensor(0.1163),tensor(0.1151),tensor(0.1011),tensor(0.1005),tensor(0.0988),tensor(0.1083),tensor(0.1141),tensor(0.1133),tensor(0.1091),tensor(0.1306),tensor(0.0985),tensor(0.1090),tensor(0.1089),tensor(0.1061),tensor(0.1160),tensor(0.1002),tensor(0.1125),tensor(0.1089)
rougeL_recall,tensor(0.6617),tensor(0.2063),tensor(0.2229),tensor(0.2221),tensor(0.2275),tensor(0.1419),tensor(0.2063),tensor(0.2180),tensor(0.2293),tensor(0.2230),tensor(0.2223),tensor(0.2253),tensor(0.2220),tensor(0.2392),tensor(0.2122),tensor(0.2224),tensor(0.2304),tensor(0.2218),tensor(0.2307),tensor(0.2225),tensor(0.1451),tensor(0.1558),tensor(0.2268),tensor(0.2305),tensor(0.2253),tensor(0.2286),tensor(0.2275),tensor(0.2294),tensor(0.2225),tensor(0.2250),tensor(0.2228),tensor(0.2235),tensor(0.2243),tensor(0.2393),tensor(0.2421),tensor(0.2350),tensor(0.2129),tensor(0.2106),tensor(0.2259),tensor(0.2230),tensor(0.2222),tensor(0.2239),tensor(0.1621),tensor(0.2359),tensor(0.2301),tensor(0.2303),tensor(0.2267),tensor(0.2269),tensor(0.2281),tensor(0.2303),tensor(0.2285),tensor(0.2257),tensor(0.2237),tensor(0.2377),tensor(0.2364),tensor(0.2349),tensor(0.2103),tensor(0.2212),tensor(0.2341),tensor(0.2340),tensor(0.2303),tensor(0.2264),tensor(0.2287),tensor(0.2363),tensor(0.2342)
rougeLsum_fmeasure,tensor(0.0352),tensor(0.3478),tensor(0.2309),tensor(0.2673),tensor(0.2268),tensor(0.2007),tensor(0.2521),tensor(0.2222),tensor(0.2500),tensor(0.2192),tensor(0.2342),tensor(0.2299),tensor(0.2275),tensor(0.2449),tensor(0.2623),tensor(0.2658),tensor(0.2669),tensor(0.2184),tensor(0.2280),tensor(0.2228),tensor(0.2014),tensor(0.2135),tensor(0.2336),tensor(0.2415),tensor(0.2503),tensor(0.2485),tensor(0.2465),tensor(0.2219),tensor(0.2182),tensor(0.2204),tensor(0.2334),tensor(0.2327),tensor(0.2272),tensor(0.2532),tensor(0.2447),tensor(0.2430),tensor(0.2635),tensor(0.2618),tensor(0.2655),tensor(0.2185),tensor(0.2196),tensor(0.2240),tensor(0.2140),tensor(0.2384),tensor(0.2401),tensor(0.2412),tensor(0.2516),tensor(0.2481),tensor(0.2465),tensor(0.2228),tensor(0.2233),tensor(0.2214),tensor(0.2304),tensor(0.2510),tensor(0.2496),tensor(0.2432),tensor(0.2598),tensor(0.2182),tensor(0.2384),tensor(0.2357),tensor(0.2411),tensor(0.2472),tensor(0.2240),tensor(0.2497),tensor(0.2348)
