,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0361),tensor(0.3812),tensor(0.3068),tensor(0.3367),tensor(0.2722),tensor(0.2289),tensor(0.3252),tensor(0.2613),tensor(0.3263),tensor(0.2945),tensor(0.2983),tensor(0.3109),tensor(0.3012),tensor(0.3204),tensor(0.3087),tensor(0.3377),tensor(0.3401),tensor(0.2681),tensor(0.2812),tensor(0.2692),tensor(0.2492),tensor(0.2484),tensor(0.3168),tensor(0.3160),tensor(0.3166),tensor(0.3256),tensor(0.3224),tensor(0.2930),tensor(0.2927),tensor(0.2889),tensor(0.2966),tensor(0.2940),tensor(0.3072),tensor(0.3077),tensor(0.3232),tensor(0.3195),tensor(0.3134),tensor(0.3057),tensor(0.3385),tensor(0.2727),tensor(0.2672),tensor(0.2772),tensor(0.2587),tensor(0.3119),tensor(0.3181),tensor(0.3104),tensor(0.3226),tensor(0.3129),tensor(0.3244),tensor(0.2938),tensor(0.2886),tensor(0.2888),tensor(0.2965),tensor(0.3105),tensor(0.3109),tensor(0.3248),tensor(0.3136),tensor(0.2697),tensor(0.3136),tensor(0.3079),tensor(0.3136),tensor(0.3181),tensor(0.2878),tensor(0.3129),tensor(0.3125)
rouge1_precision,tensor(0.0185),tensor(0.3814),tensor(0.2443),tensor(0.3013),tensor(0.1993),tensor(0.2381),tensor(0.2596),tensor(0.1917),tensor(0.2660),tensor(0.2230),tensor(0.2400),tensor(0.2472),tensor(0.2386),tensor(0.2481),tensor(0.2856),tensor(0.2913),tensor(0.2927),tensor(0.1988),tensor(0.2057),tensor(0.1975),tensor(0.2304),tensor(0.2320),tensor(0.2456),tensor(0.2461),tensor(0.2587),tensor(0.2639),tensor(0.2612),tensor(0.2224),tensor(0.2214),tensor(0.2184),tensor(0.2389),tensor(0.2362),tensor(0.2433),tensor(0.2392),tensor(0.2502),tensor(0.2463),tensor(0.2779),tensor(0.2730),tensor(0.2881),tensor(0.2016),tensor(0.1981),tensor(0.2035),tensor(0.2288),tensor(0.2434),tensor(0.2481),tensor(0.2402),tensor(0.2624),tensor(0.2555),tensor(0.2615),tensor(0.2227),tensor(0.2193),tensor(0.2180),tensor(0.2376),tensor(0.2412),tensor(0.2416),tensor(0.2505),tensor(0.2727),tensor(0.1995),tensor(0.2449),tensor(0.2397),tensor(0.2433),tensor(0.2578),tensor(0.2184),tensor(0.2429),tensor(0.2437)
rouge1_recall,tensor(0.9003),tensor(0.3819),tensor(0.4203),tensor(0.3917),tensor(0.4383),tensor(0.2345),tensor(0.4437),tensor(0.4194),tensor(0.4293),tensor(0.4423),tensor(0.4028),tensor(0.4264),tensor(0.4162),tensor(0.4631),tensor(0.3454),tensor(0.4090),tensor(0.4120),tensor(0.4218),tensor(0.4537),tensor(0.4322),tensor(0.2810),tensor(0.2759),tensor(0.4563),tensor(0.4504),tensor(0.4150),tensor(0.4323),tensor(0.4275),tensor(0.4379),tensor(0.4405),tensor(0.4356),tensor(0.4001),tensor(0.3990),tensor(0.4246),tensor(0.4407),tensor(0.4662),tensor(0.4650),tensor(0.3684),tensor(0.3558),tensor(0.4177),tensor(0.4316),tensor(0.4207),tensor(0.4445),tensor(0.3054),tensor(0.4434),tensor(0.4524),tensor(0.4468),tensor(0.4261),tensor(0.4104),tensor(0.4337),tensor(0.4401),tensor(0.4318),tensor(0.4364),tensor(0.4030),tensor(0.4454),tensor(0.4451),tensor(0.4717),tensor(0.3775),tensor(0.4267),tensor(0.4455),tensor(0.4393),tensor(0.4495),tensor(0.4220),tensor(0.4311),tensor(0.4491),tensor(0.4447)
rouge2_fmeasure,tensor(0.0178),tensor(0.0961),tensor(0.0683),tensor(0.0829),tensor(0.0544),tensor(0.0400),tensor(0.0768),tensor(0.0532),tensor(0.0817),tensor(0.0674),tensor(0.0665),tensor(0.0697),tensor(0.0655),tensor(0.0833),tensor(0.0716),tensor(0.0842),tensor(0.0829),tensor(0.0542),tensor(0.0599),tensor(0.0542),tensor(0.0469),tensor(0.0441),tensor(0.0747),tensor(0.0770),tensor(0.0760),tensor(0.0831),tensor(0.0803),tensor(0.0656),tensor(0.0654),tensor(0.0642),tensor(0.0654),tensor(0.0649),tensor(0.0687),tensor(0.0767),tensor(0.0844),tensor(0.0842),tensor(0.0746),tensor(0.0708),tensor(0.0818),tensor(0.0565),tensor(0.0544),tensor(0.0587),tensor(0.0478),tensor(0.0769),tensor(0.0794),tensor(0.0759),tensor(0.0811),tensor(0.0740),tensor(0.0819),tensor(0.0651),tensor(0.0636),tensor(0.0645),tensor(0.0647),tensor(0.0783),tensor(0.0781),tensor(0.0850),tensor(0.0724),tensor(0.0548),tensor(0.0787),tensor(0.0741),tensor(0.0786),tensor(0.0760),tensor(0.0642),tensor(0.0784),tensor(0.0767)
rouge2_precision,tensor(0.0091),tensor(0.0961),tensor(0.0547),tensor(0.0738),tensor(0.0399),tensor(0.0415),tensor(0.0615),tensor(0.0392),tensor(0.0668),tensor(0.0510),tensor(0.0539),tensor(0.0557),tensor(0.0522),tensor(0.0649),tensor(0.0659),tensor(0.0725),tensor(0.0710),tensor(0.0404),tensor(0.0439),tensor(0.0399),tensor(0.0432),tensor(0.0413),tensor(0.0584),tensor(0.0602),tensor(0.0622),tensor(0.0677),tensor(0.0652),tensor(0.0499),tensor(0.0496),tensor(0.0487),tensor(0.0530),tensor(0.0524),tensor(0.0547),tensor(0.0601),tensor(0.0658),tensor(0.0653),tensor(0.0662),tensor(0.0630),tensor(0.0696),tensor(0.0420),tensor(0.0405),tensor(0.0433),tensor(0.0425),tensor(0.0602),tensor(0.0621),tensor(0.0590),tensor(0.0660),tensor(0.0604),tensor(0.0662),tensor(0.0495),tensor(0.0486),tensor(0.0489),tensor(0.0522),tensor(0.0612),tensor(0.0611),tensor(0.0659),tensor(0.0628),tensor(0.0407),tensor(0.0616),tensor(0.0579),tensor(0.0611),tensor(0.0616),tensor(0.0490),tensor(0.0613),tensor(0.0601)
rouge2_recall,tensor(0.4473),tensor(0.0962),tensor(0.0925),tensor(0.0973),tensor(0.0872),tensor(0.0410),tensor(0.1039),tensor(0.0849),tensor(0.1068),tensor(0.1010),tensor(0.0887),tensor(0.0946),tensor(0.0895),tensor(0.1191),tensor(0.0810),tensor(0.1023),tensor(0.1010),tensor(0.0841),tensor(0.0962),tensor(0.0865),tensor(0.0531),tensor(0.0490),tensor(0.1059),tensor(0.1090),tensor(0.0994),tensor(0.1093),tensor(0.1061),tensor(0.0976),tensor(0.0977),tensor(0.0963),tensor(0.0872),tensor(0.0872),tensor(0.0939),tensor(0.1082),tensor(0.1201),tensor(0.1213),tensor(0.0880),tensor(0.0828),tensor(0.1011),tensor(0.0883),tensor(0.0843),tensor(0.0935),tensor(0.0561),tensor(0.1086),tensor(0.1123),tensor(0.1087),tensor(0.1068),tensor(0.0967),tensor(0.1088),tensor(0.0968),tensor(0.0941),tensor(0.0966),tensor(0.0871),tensor(0.1110),tensor(0.1104),tensor(0.1223),tensor(0.0874),tensor(0.0859),tensor(0.1109),tensor(0.1051),tensor(0.1121),tensor(0.1005),tensor(0.0951),tensor(0.1110),tensor(0.1084)
rougeL_fmeasure,tensor(0.0263),tensor(0.2060),tensor(0.1632),tensor(0.1718),tensor(0.1416),tensor(0.1421),tensor(0.1656),tensor(0.1372),tensor(0.1696),tensor(0.1549),tensor(0.1627),tensor(0.1641),tensor(0.1626),tensor(0.1643),tensor(0.1665),tensor(0.1729),tensor(0.1736),tensor(0.1410),tensor(0.1428),tensor(0.1387),tensor(0.1489),tensor(0.1486),tensor(0.1591),tensor(0.1679),tensor(0.1714),tensor(0.1720),tensor(0.1688),tensor(0.1554),tensor(0.1551),tensor(0.1548),tensor(0.1628),tensor(0.1603),tensor(0.1665),tensor(0.1632),tensor(0.1668),tensor(0.1653),tensor(0.1680),tensor(0.1640),tensor(0.1731),tensor(0.1423),tensor(0.1392),tensor(0.1421),tensor(0.1539),tensor(0.1644),tensor(0.1679),tensor(0.1621),tensor(0.1733),tensor(0.1696),tensor(0.1682),tensor(0.1563),tensor(0.1552),tensor(0.1545),tensor(0.1600),tensor(0.1633),tensor(0.1650),tensor(0.1654),tensor(0.1675),tensor(0.1427),tensor(0.1653),tensor(0.1619),tensor(0.1661),tensor(0.1714),tensor(0.1534),tensor(0.1672),tensor(0.1663)
rougeL_precision,tensor(0.0135),tensor(0.2060),tensor(0.1303),tensor(0.1535),tensor(0.1036),tensor(0.1515),tensor(0.1320),tensor(0.1006),tensor(0.1381),tensor(0.1172),tensor(0.1311),tensor(0.1307),tensor(0.1290),tensor(0.1272),tensor(0.1547),tensor(0.1490),tensor(0.1493),tensor(0.1045),tensor(0.1044),tensor(0.1016),tensor(0.1395),tensor(0.1407),tensor(0.1232),tensor(0.1309),tensor(0.1400),tensor(0.1394),tensor(0.1367),tensor(0.1181),tensor(0.1174),tensor(0.1170),tensor(0.1312),tensor(0.1290),tensor(0.1321),tensor(0.1270),tensor(0.1292),tensor(0.1274),tensor(0.1500),tensor(0.1470),tensor(0.1471),tensor(0.1052),tensor(0.1032),tensor(0.1042),tensor(0.1368),tensor(0.1283),tensor(0.1311),tensor(0.1255),tensor(0.1411),tensor(0.1385),tensor(0.1356),tensor(0.1186),tensor(0.1181),tensor(0.1167),tensor(0.1284),tensor(0.1269),tensor(0.1283),tensor(0.1275),tensor(0.1458),tensor(0.1056),tensor(0.1292),tensor(0.1261),tensor(0.1290),tensor(0.1391),tensor(0.1167),tensor(0.1301),tensor(0.1298)
rougeL_recall,tensor(0.6617),tensor(0.2063),tensor(0.2230),tensor(0.2000),tensor(0.2286),tensor(0.1438),tensor(0.2264),tensor(0.2208),tensor(0.2237),tensor(0.2328),tensor(0.2193),tensor(0.2245),tensor(0.2244),tensor(0.2376),tensor(0.1855),tensor(0.2098),tensor(0.2108),tensor(0.2220),tensor(0.2313),tensor(0.2237),tensor(0.1665),tensor(0.1635),tensor(0.2298),tensor(0.2390),tensor(0.2249),tensor(0.2288),tensor(0.2242),tensor(0.2320),tensor(0.2333),tensor(0.2336),tensor(0.2195),tensor(0.2170),tensor(0.2297),tensor(0.2335),tensor(0.2405),tensor(0.2411),tensor(0.1963),tensor(0.1901),tensor(0.2141),tensor(0.2252),tensor(0.2194),tensor(0.2288),tensor(0.1806),tensor(0.2336),tensor(0.2383),tensor(0.2331),tensor(0.2287),tensor(0.2225),tensor(0.2253),tensor(0.2340),tensor(0.2315),tensor(0.2334),tensor(0.2171),tensor(0.2342),tensor(0.2363),tensor(0.2409),tensor(0.2013),tensor(0.2256),tensor(0.2348),tensor(0.2307),tensor(0.2376),tensor(0.2271),tensor(0.2292),tensor(0.2391),tensor(0.2364)
rougeLsum_fmeasure,tensor(0.0352),tensor(0.3478),tensor(0.2630),tensor(0.2850),tensor(0.2266),tensor(0.2050),tensor(0.2770),tensor(0.2192),tensor(0.2811),tensor(0.2500),tensor(0.2585),tensor(0.2668),tensor(0.2583),tensor(0.2715),tensor(0.2653),tensor(0.2853),tensor(0.2854),tensor(0.2284),tensor(0.2322),tensor(0.2265),tensor(0.2191),tensor(0.2222),tensor(0.2646),tensor(0.2711),tensor(0.2748),tensor(0.2807),tensor(0.2769),tensor(0.2486),tensor(0.2477),tensor(0.2461),tensor(0.2554),tensor(0.2556),tensor(0.2629),tensor(0.2613),tensor(0.2732),tensor(0.2703),tensor(0.2702),tensor(0.2618),tensor(0.2832),tensor(0.2300),tensor(0.2278),tensor(0.2304),tensor(0.2288),tensor(0.2718),tensor(0.2723),tensor(0.2631),tensor(0.2767),tensor(0.2670),tensor(0.2788),tensor(0.2512),tensor(0.2441),tensor(0.2459),tensor(0.2556),tensor(0.2627),tensor(0.2623),tensor(0.2739),tensor(0.2668),tensor(0.2274),tensor(0.2722),tensor(0.2628),tensor(0.2677),tensor(0.2707),tensor(0.2470),tensor(0.2644),tensor(0.2678)
