,Original Article,Original Summary,"('Tm',)","('Lex',)","('Luhn',)","('Lsa',)","('Tr',)","('LDA',)","('Tm', 'Lex')","('Tm', 'Luhn')","('Tm', 'Lsa')","('Tm', 'Tr')","('Tm', 'LDA')","('Lex', 'Luhn')","('Lex', 'Lsa')","('Lex', 'Tr')","('Lex', 'LDA')","('Luhn', 'Lsa')","('Luhn', 'Tr')","('Luhn', 'LDA')","('Lsa', 'Tr')","('Lsa', 'LDA')","('Tr', 'LDA')","('Tm', 'Lex', 'Luhn')","('Tm', 'Lex', 'Lsa')","('Tm', 'Lex', 'Tr')","('Tm', 'Lex', 'LDA')","('Tm', 'Luhn', 'Lsa')","('Tm', 'Luhn', 'Tr')","('Tm', 'Luhn', 'LDA')","('Tm', 'Lsa', 'Tr')","('Tm', 'Lsa', 'LDA')","('Tm', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa')","('Lex', 'Luhn', 'Tr')","('Lex', 'Luhn', 'LDA')","('Lex', 'Lsa', 'Tr')","('Lex', 'Lsa', 'LDA')","('Lex', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr')","('Luhn', 'Lsa', 'LDA')","('Luhn', 'Tr', 'LDA')","('Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa')","('Tm', 'Lex', 'Luhn', 'Tr')","('Tm', 'Lex', 'Luhn', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr')","('Tm', 'Lex', 'Lsa', 'LDA')","('Tm', 'Lex', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr')","('Lex', 'Luhn', 'Lsa', 'LDA')","('Lex', 'Luhn', 'Tr', 'LDA')","('Lex', 'Lsa', 'Tr', 'LDA')","('Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')","('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')","('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')","('Tm', 'Lex', 'Lsa', 'Tr', 'LDA')","('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')","('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')"
rouge1_fmeasure,tensor(0.0356),tensor(0.3811),tensor(0.2656),tensor(0.3113),tensor(0.2618),tensor(0.2009),tensor(0.3048),tensor(0.2583),tensor(0.2869),tensor(0.2672),tensor(0.2701),tensor(0.2682),tensor(0.2638),tensor(0.2839),tensor(0.2972),tensor(0.3078),tensor(0.3065),tensor(0.2629),tensor(0.2619),tensor(0.2631),tensor(0.2122),tensor(0.2286),tensor(0.2753),tensor(0.2789),tensor(0.2888),tensor(0.2869),tensor(0.2853),tensor(0.2650),tensor(0.2664),tensor(0.2634),tensor(0.2700),tensor(0.2638),tensor(0.2638),tensor(0.2876),tensor(0.2842),tensor(0.2821),tensor(0.2997),tensor(0.2931),tensor(0.3082),tensor(0.2659),tensor(0.2624),tensor(0.2631),tensor(0.2339),tensor(0.2800),tensor(0.2798),tensor(0.2764),tensor(0.2879),tensor(0.2889),tensor(0.2858),tensor(0.2648),tensor(0.2613),tensor(0.2640),tensor(0.2657),tensor(0.2871),tensor(0.2861),tensor(0.2831),tensor(0.2932),tensor(0.2648),tensor(0.2803),tensor(0.2759),tensor(0.2766),tensor(0.2894),tensor(0.2613),tensor(0.2858),tensor(0.2757)
rouge1_precision,tensor(0.0182),tensor(0.3809),tensor(0.1976),tensor(0.2492),tensor(0.1885),tensor(0.2131),tensor(0.2447),tensor(0.1896),tensor(0.2154),tensor(0.1935),tensor(0.2039),tensor(0.1996),tensor(0.1962),tensor(0.2088),tensor(0.2482),tensor(0.2457),tensor(0.2421),tensor(0.1918),tensor(0.1888),tensor(0.1903),tensor(0.2190),tensor(0.2240),tensor(0.2029),tensor(0.2050),tensor(0.2205),tensor(0.2154),tensor(0.2142),tensor(0.1923),tensor(0.1928),tensor(0.1907),tensor(0.2039),tensor(0.1985),tensor(0.1960),tensor(0.2142),tensor(0.2092),tensor(0.2080),tensor(0.2497),tensor(0.2405),tensor(0.2440),tensor(0.1941),tensor(0.1920),tensor(0.1901),tensor(0.2188),tensor(0.2062),tensor(0.2059),tensor(0.2033),tensor(0.2195),tensor(0.2201),tensor(0.2146),tensor(0.1920),tensor(0.1896),tensor(0.1911),tensor(0.1998),tensor(0.2140),tensor(0.2132),tensor(0.2090),tensor(0.2397),tensor(0.1935),tensor(0.2067),tensor(0.2031),tensor(0.2033),tensor(0.2201),tensor(0.1892),tensor(0.2129),tensor(0.2030)
rouge1_recall,tensor(0.8936),tensor(0.3817),tensor(0.4138),tensor(0.4275),tensor(0.4377),tensor(0.2047),tensor(0.4123),tensor(0.4140),tensor(0.4370),tensor(0.4405),tensor(0.4103),tensor(0.4173),tensor(0.4110),tensor(0.4526),tensor(0.3826),tensor(0.4226),tensor(0.4274),tensor(0.4288),tensor(0.4368),tensor(0.4350),tensor(0.2209),tensor(0.2469),tensor(0.4382),tensor(0.4453),tensor(0.4270),tensor(0.4370),tensor(0.4344),tensor(0.4353),tensor(0.4395),tensor(0.4341),tensor(0.4105),tensor(0.4028),tensor(0.4120),tensor(0.4490),tensor(0.4528),tensor(0.4468),tensor(0.3872),tensor(0.3890),tensor(0.4285),tensor(0.4328),tensor(0.4258),tensor(0.4357),tensor(0.2632),tensor(0.4448),tensor(0.4459),tensor(0.4402),tensor(0.4266),tensor(0.4285),tensor(0.4351),tensor(0.4359),tensor(0.4295),tensor(0.4355),tensor(0.4061),tensor(0.4478),tensor(0.4454),tensor(0.4474),tensor(0.3912),tensor(0.4299),tensor(0.4444),tensor(0.4390),tensor(0.4408),tensor(0.4309),tensor(0.4310),tensor(0.4450),tensor(0.4387)
rouge2_fmeasure,tensor(0.0173),tensor(0.0901),tensor(0.0489),tensor(0.0661),tensor(0.0447),tensor(0.0320),tensor(0.0528),tensor(0.0431),tensor(0.0599),tensor(0.0492),tensor(0.0476),tensor(0.0503),tensor(0.0466),tensor(0.0571),tensor(0.0522),tensor(0.0649),tensor(0.0671),tensor(0.0428),tensor(0.0445),tensor(0.0439),tensor(0.0329),tensor(0.0350),tensor(0.0506),tensor(0.0560),tensor(0.0572),tensor(0.0599),tensor(0.0592),tensor(0.0470),tensor(0.0480),tensor(0.0464),tensor(0.0474),tensor(0.0459),tensor(0.0472),tensor(0.0570),tensor(0.0571),tensor(0.0596),tensor(0.0532),tensor(0.0534),tensor(0.0678),tensor(0.0450),tensor(0.0442),tensor(0.0439),tensor(0.0357),tensor(0.0561),tensor(0.0563),tensor(0.0559),tensor(0.0568),tensor(0.0559),tensor(0.0593),tensor(0.0479),tensor(0.0449),tensor(0.0469),tensor(0.0462),tensor(0.0567),tensor(0.0563),tensor(0.0595),tensor(0.0526),tensor(0.0453),tensor(0.0558),tensor(0.0568),tensor(0.0561),tensor(0.0561),tensor(0.0450),tensor(0.0564),tensor(0.0567)
rouge2_precision,tensor(0.0089),tensor(0.0900),tensor(0.0364),tensor(0.0531),tensor(0.0322),tensor(0.0329),tensor(0.0424),tensor(0.0316),tensor(0.0450),tensor(0.0356),tensor(0.0359),tensor(0.0374),tensor(0.0346),tensor(0.0419),tensor(0.0433),tensor(0.0519),tensor(0.0533),tensor(0.0312),tensor(0.0320),tensor(0.0317),tensor(0.0328),tensor(0.0346),tensor(0.0375),tensor(0.0412),tensor(0.0438),tensor(0.0450),tensor(0.0445),tensor(0.0341),tensor(0.0347),tensor(0.0335),tensor(0.0358),tensor(0.0345),tensor(0.0350),tensor(0.0425),tensor(0.0419),tensor(0.0440),tensor(0.0440),tensor(0.0435),tensor(0.0539),tensor(0.0329),tensor(0.0324),tensor(0.0317),tensor(0.0338),tensor(0.0413),tensor(0.0414),tensor(0.0411),tensor(0.0434),tensor(0.0427),tensor(0.0446),tensor(0.0347),tensor(0.0325),tensor(0.0338),tensor(0.0347),tensor(0.0423),tensor(0.0420),tensor(0.0441),tensor(0.0427),tensor(0.0332),tensor(0.0411),tensor(0.0419),tensor(0.0413),tensor(0.0428),tensor(0.0324),tensor(0.0421),tensor(0.0418)
rouge2_recall,tensor(0.4404),tensor(0.0903),tensor(0.0760),tensor(0.0902),tensor(0.0748),tensor(0.0328),tensor(0.0710),tensor(0.0689),tensor(0.0910),tensor(0.0809),tensor(0.0721),tensor(0.0781),tensor(0.0727),tensor(0.0910),tensor(0.0679),tensor(0.0886),tensor(0.0926),tensor(0.0696),tensor(0.0743),tensor(0.0725),tensor(0.0347),tensor(0.0376),tensor(0.0792),tensor(0.0894),tensor(0.0839),tensor(0.0910),tensor(0.0898),tensor(0.0772),tensor(0.0791),tensor(0.0767),tensor(0.0719),tensor(0.0700),tensor(0.0738),tensor(0.0887),tensor(0.0910),tensor(0.0938),tensor(0.0693),tensor(0.0714),tensor(0.0933),tensor(0.0728),tensor(0.0715),tensor(0.0727),tensor(0.0398),tensor(0.0893),tensor(0.0896),tensor(0.0887),tensor(0.0835),tensor(0.0823),tensor(0.0900),tensor(0.0788),tensor(0.0741),tensor(0.0777),tensor(0.0705),tensor(0.0882),tensor(0.0872),tensor(0.0934),tensor(0.0707),tensor(0.0730),tensor(0.0885),tensor(0.0902),tensor(0.0891),tensor(0.0831),tensor(0.0745),tensor(0.0874),tensor(0.0900)
rougeL_fmeasure,tensor(0.0252),tensor(0.2019),tensor(0.1439),tensor(0.1636),tensor(0.1337),tensor(0.1268),tensor(0.1517),tensor(0.1365),tensor(0.1546),tensor(0.1394),tensor(0.1479),tensor(0.1443),tensor(0.1444),tensor(0.1467),tensor(0.1591),tensor(0.1615),tensor(0.1586),tensor(0.1348),tensor(0.1347),tensor(0.1359),tensor(0.1327),tensor(0.1376),tensor(0.1461),tensor(0.1495),tensor(0.1544),tensor(0.1541),tensor(0.1541),tensor(0.1396),tensor(0.1384),tensor(0.1384),tensor(0.1489),tensor(0.1449),tensor(0.1454),tensor(0.1472),tensor(0.1464),tensor(0.1471),tensor(0.1593),tensor(0.1578),tensor(0.1601),tensor(0.1365),tensor(0.1355),tensor(0.1359),tensor(0.1391),tensor(0.1479),tensor(0.1500),tensor(0.1478),tensor(0.1540),tensor(0.1548),tensor(0.1537),tensor(0.1399),tensor(0.1381),tensor(0.1379),tensor(0.1450),tensor(0.1466),tensor(0.1484),tensor(0.1491),tensor(0.1553),tensor(0.1351),tensor(0.1487),tensor(0.1475),tensor(0.1484),tensor(0.1544),tensor(0.1378),tensor(0.1484),tensor(0.1481)
rougeL_precision,tensor(0.0129),tensor(0.2016),tensor(0.1070),tensor(0.1308),tensor(0.0962),tensor(0.1377),tensor(0.1218),tensor(0.1000),tensor(0.1161),tensor(0.1009),tensor(0.1117),tensor(0.1073),tensor(0.1075),tensor(0.1077),tensor(0.1332),tensor(0.1288),tensor(0.1254),tensor(0.0983),tensor(0.0971),tensor(0.0982),tensor(0.1393),tensor(0.1364),tensor(0.1076),tensor(0.1099),tensor(0.1177),tensor(0.1158),tensor(0.1159),tensor(0.1014),tensor(0.1001),tensor(0.1002),tensor(0.1125),tensor(0.1090),tensor(0.1081),tensor(0.1094),tensor(0.1076),tensor(0.1082),tensor(0.1331),tensor(0.1298),tensor(0.1267),tensor(0.0996),tensor(0.0991),tensor(0.0982),tensor(0.1318),tensor(0.1090),tensor(0.1105),tensor(0.1089),tensor(0.1173),tensor(0.1178),tensor(0.1156),tensor(0.1016),tensor(0.1004),tensor(0.0998),tensor(0.1090),tensor(0.1090),tensor(0.1104),tensor(0.1098),tensor(0.1272),tensor(0.0986),tensor(0.1097),tensor(0.1086),tensor(0.1092),tensor(0.1173),tensor(0.0999),tensor(0.1104),tensor(0.1091)
rougeL_recall,tensor(0.6345),tensor(0.2025),tensor(0.2245),tensor(0.2250),tensor(0.2239),tensor(0.1271),tensor(0.2053),tensor(0.2196),tensor(0.2355),tensor(0.2302),tensor(0.2248),tensor(0.2247),tensor(0.2252),tensor(0.2350),tensor(0.2046),tensor(0.2222),tensor(0.2211),tensor(0.2203),tensor(0.2248),tensor(0.2251),tensor(0.1368),tensor(0.1472),tensor(0.2330),tensor(0.2385),tensor(0.2288),tensor(0.2350),tensor(0.2343),tensor(0.2291),tensor(0.2288),tensor(0.2283),tensor(0.2265),tensor(0.2215),tensor(0.2271),tensor(0.2307),tensor(0.2341),tensor(0.2343),tensor(0.2053),tensor(0.2090),tensor(0.2226),tensor(0.2227),tensor(0.2201),tensor(0.2255),tensor(0.1547),tensor(0.2351),tensor(0.2388),tensor(0.2350),tensor(0.2289),tensor(0.2302),tensor(0.2336),tensor(0.2299),tensor(0.2267),tensor(0.2277),tensor(0.2217),tensor(0.2297),tensor(0.2319),tensor(0.2366),tensor(0.2070),tensor(0.2200),tensor(0.2359),tensor(0.2347),tensor(0.2360),tensor(0.2304),tensor(0.2269),tensor(0.2320),tensor(0.2355)
rougeLsum_fmeasure,tensor(0.0346),tensor(0.3400),tensor(0.2192),tensor(0.2585),tensor(0.2144),tensor(0.1765),tensor(0.2523),tensor(0.2110),tensor(0.2382),tensor(0.2182),tensor(0.2233),tensor(0.2196),tensor(0.2167),tensor(0.2360),tensor(0.2457),tensor(0.2549),tensor(0.2574),tensor(0.2157),tensor(0.2137),tensor(0.2137),tensor(0.1871),tensor(0.1971),tensor(0.2294),tensor(0.2317),tensor(0.2376),tensor(0.2384),tensor(0.2369),tensor(0.2173),tensor(0.2175),tensor(0.2169),tensor(0.2225),tensor(0.2189),tensor(0.2166),tensor(0.2369),tensor(0.2360),tensor(0.2336),tensor(0.2471),tensor(0.2431),tensor(0.2562),tensor(0.2173),tensor(0.2158),tensor(0.2138),tensor(0.2045),tensor(0.2320),tensor(0.2330),tensor(0.2299),tensor(0.2370),tensor(0.2384),tensor(0.2374),tensor(0.2181),tensor(0.2143),tensor(0.2164),tensor(0.2188),tensor(0.2362),tensor(0.2384),tensor(0.2345),tensor(0.2424),tensor(0.2168),tensor(0.2324),tensor(0.2302),tensor(0.2302),tensor(0.2385),tensor(0.2152),tensor(0.2371),tensor(0.2303)
