,0
"('LDA',)",0.08333333333333333
"('Lex', 'LDA')",0.16666666666666666
"('Lex', 'Luhn')",0.3333333333333333
"('Lex', 'Luhn', 'LDA')",0.3333333333333333
"('Lex', 'Luhn', 'Lsa', 'LDA')",0.08333333333333333
"('Lex', 'Luhn', 'Lsa', 'Tr')",0.25
"('Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')",0.16666666666666666
"('Lex', 'Luhn', 'Tr')",0.3333333333333333
"('Lex', 'Luhn', 'Tr', 'LDA')",0.3333333333333333
"('Lex', 'Tr')",0.49999999999999994
"('Lex', 'Tr', 'LDA')",0.16666666666666666
"('Lex',)",0.5833333333333333
"('Lsa',)",0.08333333333333333
"('Luhn', 'Tr')",0.25
"('Luhn', 'Tr', 'LDA')",0.25
"('Luhn',)",0.16666666666666666
"('Tm', 'LDA')",0.08333333333333333
"('Tm', 'Lex')",0.3333333333333333
"('Tm', 'Lex', 'LDA')",0.16666666666666666
"('Tm', 'Lex', 'Luhn')",0.3333333333333333
"('Tm', 'Lex', 'Luhn', 'LDA')",0.3333333333333333
"('Tm', 'Lex', 'Luhn', 'Lsa')",0.3333333333333333
"('Tm', 'Lex', 'Luhn', 'Lsa', 'LDA')",0.25
"('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr')",0.3333333333333333
"('Tm', 'Lex', 'Luhn', 'Lsa', 'Tr', 'LDA')",0.25
"('Tm', 'Lex', 'Luhn', 'Tr')",0.3333333333333333
"('Tm', 'Lex', 'Luhn', 'Tr', 'LDA')",0.3333333333333333
"('Tm', 'Lex', 'Tr')",0.3333333333333333
"('Tm', 'Lex', 'Tr', 'LDA')",0.3333333333333333
"('Tm', 'Luhn')",0.3333333333333333
"('Tm', 'Luhn', 'LDA')",0.3333333333333333
"('Tm', 'Luhn', 'Lsa')",0.16666666666666666
"('Tm', 'Luhn', 'Lsa', 'LDA')",0.16666666666666666
"('Tm', 'Luhn', 'Lsa', 'Tr')",0.3333333333333333
"('Tm', 'Luhn', 'Lsa', 'Tr', 'LDA')",0.16666666666666666
"('Tm', 'Luhn', 'Tr')",0.3333333333333333
"('Tm', 'Luhn', 'Tr', 'LDA')",0.3333333333333333
"('Tm', 'Tr')",0.25
"('Tm', 'Tr', 'LDA')",0.16666666666666666
"('Tm',)",0.16666666666666666
"('Tr', 'LDA')",0.3333333333333333
"('Tr',)",0.08333333333333333
Original Article,0.3333333333333333
Original Summary,1.0
